,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,1.52873,0.280777,1.52873,0.280777,6,2,2,0,2.5132000000000003,w,2014-08-23 14:30:00,1,0,0,3,1.247953,224,34,132,23,1,0,0,3,1.247953,1.52873,0.280777,1.52873,0.280777,2,0,2.5132000000000003,1,0,0,3,1.247953,1.52873,0.280777,1.52873,0.280777,2,0,2.5132000000000003,Augsburg,0.7788,0.1768,0.0444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,1.29948,2.51429,1.29948,2.51429,2,5,1,1,0.5448,d,2014-08-30 14:30:00,0,1,0,1,-1.21481,188,41,176,36,1,0,1,4,0.0331429999999999,2.82821,2.795067,2.82821,2.795067,3,1,3.0580000000000003,1,0,1,4,0.0331429999999999,2.82821,2.795067,2.82821,2.795067,3,1,3.0580000000000003,Werder Bremen,0.1122,0.2082,0.6796,a,1.19453,1.75585,1.19453,1.75585,5,3,2,2,0.8467,d,2014-08-23 14:30:00,0,1,0,1,-0.5613199999999998,227,23,199,35,0,0,1,1,-0.5613199999999998,1.19453,1.75585,1.19453,1.75585,2,2,0.8467,0,0,1,1,-0.5613199999999998,1.19453,1.75585,1.19453,1.75585,2,2,0.8467,Hertha Berlin,0.1759,0.319,0.5051
2,h,1.15845,1.63553,1.15845,1.63553,10,6,1,1,0.9943,d,2014-09-13 14:30:00,0,1,0,1,-0.4770799999999999,246,39,183,15,1,0,2,5,-0.443937,3.98666,4.430597,3.98666,4.430597,4,2,4.052300000000001,1,0,2,5,-0.443937,3.98666,4.430597,3.98666,4.430597,4,2,4.052300000000001,Wolfsburg,0.2355,0.2878,0.4767,h,1.00484,1.59633,1.00484,1.59633,4,2,2,2,0.8438000000000001,d,2014-08-30 14:30:00,0,1,0,1,-0.5914900000000001,174,35,357,28,0,1,1,1,-1.96319,2.20326,4.16645,2.20326,4.16645,3,4,1.3138,0,1,1,1,-1.96319,2.20326,4.16645,2.20326,4.16645,3,4,1.3138,Eintracht Frankfurt,0.1881,0.2795,0.5324
3,a,1.15033,1.32987,1.15033,1.32987,5,9,2,0,1.2352,w,2014-09-20 14:30:00,1,0,0,3,-0.17954,322,31,124,34,2,0,2,8,-0.6234770000000001,5.13699,5.760467,5.13699,5.760467,6,2,5.2875000000000005,2,0,2,8,-0.6234770000000001,5.13699,5.760467,5.13699,5.760467,6,2,5.2875000000000005,VfB Stuttgart,0.3092,0.3076,0.3832,a,0.310166,1.22987,0.310166,1.22987,3,13,0,2,0.5502,l,2014-09-13 14:30:00,0,0,1,0,-0.919704,441,26,167,33,0,2,1,1,-3.47131,1.4662499999999998,4.93756,1.4662499999999998,4.93756,1,5,1.572,0,2,1,1,-3.47131,1.4662499999999998,4.93756,1.4662499999999998,4.93756,1,5,1.572,Bayern Munich,0.0864,0.291,0.6226
4,h,1.81502,2.44871,1.81502,1.69094,5,3,3,3,0.8589,d,2014-09-23 19:00:00,0,1,0,1,0.1240799999999999,148,35,259,23,2,0,3,9,-0.4993970000000001,6.95201,8.209177,6.95201,7.451407000000001,9,5,6.146400000000001,2,0,3,9,-0.4993970000000001,6.95201,8.209177,6.95201,7.451407000000001,9,5,6.146400000000001,Freiburg,0.2016,0.2541,0.5443,h,0.869782,0.285542,0.869782,0.285542,11,0,2,2,1.8742,d,2014-09-19 19:30:00,0,1,0,1,0.5842400000000001,224,27,236,23,0,2,2,2,-1.0210929999999998,3.813667,4.076981000000001,3.0558880000000004,4.076981000000001,3,6,5.6449,0,2,2,2,-1.0210929999999998,3.813667,4.076981000000001,3.0558880000000004,4.076981000000001,3,6,5.6449,Hertha Berlin,0.4959,0.3865,0.1176
5,a,1.08667,0.614332,1.08667,0.614332,2,5,0,0,1.7661,d,2014-09-26 19:30:00,0,1,0,1,0.472338,332,29,192,21,2,0,4,10,-0.027059,8.03868,8.823509,8.03868,8.065739,9,5,7.9125,1,0,4,7,-1.2750119999999998,6.50995,8.542731999999999,6.50995,7.784962,7,5,5.399299999999999,Mainz 05,0.4812,0.3225,0.1963,a,1.09799,1.45137,1.09799,1.45137,4,11,2,2,1.1014000000000002,d,2014-09-23 19:00:00,0,1,0,1,-0.35338,251,32,242,26,2,0,3,9,1.861383,7.289364,6.185766999999999,6.531594,4.670211,9,5,7.8208,2,0,3,9,1.861383,7.289364,6.185766999999999,6.531594,4.670211,9,5,7.8208,Eintracht Frankfurt,0.2684,0.2962,0.4354
6,h,3.2287,0.847395,3.2287,0.847395,9,7,2,1,2.729,w,2014-10-04 14:30:00,1,0,0,3,2.381305,358,38,203,18,3,0,4,13,2.354246,11.26738,9.670904,11.26738,8.913134000000001,11,6,10.6415,2,0,3,9,2.321103,8.43917,6.875837,8.43917,6.118067,8,5,7.583499999999999,Schalke 04,0.8822,0.0824,0.0354,h,1.07746,0.662005,1.07746,0.662005,2,7,2,1,1.7502,w,2014-09-27 14:30:00,1,0,0,3,0.4154550000000001,241,27,172,36,2,2,2,8,-1.7603049999999991,8.307445,8.552190000000001,6.791885000000001,8.552190000000001,10,10,8.3873,2,1,2,8,-1.5371799999999998,7.35078,7.3724,5.8352200000000005,7.3724,9,8,7.263999999999999,Borussia Dortmund,0.4737,0.3291,0.1972
7,a,1.55868,1.82378,1.55868,1.82378,3,6,1,1,1.1552,d,2014-10-19 14:30:00,0,1,0,1,-0.2650999999999999,279,35,145,28,3,0,5,14,2.089146,12.82606,11.494684,12.82606,10.736914,12,7,11.7967,2,0,3,9,2.533083,8.8394,7.064087,8.8394,6.306317,8,5,7.7444,Hamburger SV,0.2896,0.2864,0.424,a,1.42953,1.20017,1.42953,1.20017,4,7,1,0,1.5515,w,2014-10-04 14:30:00,1,0,0,3,0.22936,242,33,116,28,1,4,2,5,-3.658886,6.317049,9.975935,6.317049,9.975935,2,8,7.038899999999999,1,3,1,4,-2.820397,4.263222,7.0836190000000006,4.263222,7.0836190000000006,2,5,4.8732,Borussia Dortmund,0.4244,0.2783,0.2973
8,h,1.5035,0.673226,0.745723,0.673226,6,4,1,0,2.1241000000000003,w,2014-10-25 14:30:00,1,0,0,3,0.072497,204,40,235,19,4,0,5,17,2.161643,14.32956,12.16791,13.571783,11.41014,13,7,13.920800000000002,2,0,3,9,2.78512,9.19257,6.407443,8.434793,5.649673,7,5,8.633299999999998,Paderborn,0.6206,0.2623,0.1171,h,2.37575,0.558647,2.37575,0.558647,7,6,3,1,2.653,w,2014-10-19 16:30:00,1,0,0,3,1.817103,274,28,243,28,3,2,3,12,0.3412719999999998,10.58028,10.996778,10.58028,10.239008000000002,13,11,11.2962,2,2,1,7,-0.098036,7.530564,7.6286,7.530564,7.6286,8,9,7.6004,Eintracht Frankfurt,0.8458,0.1156,0.0386
9,a,0.646539,2.46276,0.646539,2.46276,5,10,1,3,0.2628,l,2014-11-02 14:30:00,0,0,1,0,-1.816221,255,31,322,32,4,1,5,17,0.3454219999999999,14.976099,14.63067,14.218322,13.8729,14,10,14.183600000000002,2,1,2,8,0.844819,8.024089,6.421493,7.266311999999999,6.421493,5,5,8.0372,Borussia M.Gladbach,0.0459,0.1251,0.829,h,0.648384,1.2047,0.648384,1.2047,7,5,0,0,0.859,d,2014-10-26 16:30:00,0,1,0,1,-0.5563160000000001,376,14,126,20,4,0,5,17,7.803869999999999,14.63489,9.104354,14.63489,6.83102,12,4,15.8596,3,0,2,11,3.5095490000000003,7.752064000000001,5.00029,7.752064000000001,4.242515,7,2,8.930900000000001,Bayern Munich,0.1842,0.3064,0.5094
