,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.433199,2.40939,0.433199,2.40939,3,7,1,1,0.2034,d,2014-08-24 16:30:00,0,1,0,1,-1.976191,406,28,268,19,0,0,1,1,-1.976191,0.433199,2.40939,0.433199,2.40939,1,1,0.2034,0,0,1,1,-1.976191,0.433199,2.40939,0.433199,2.40939,1,1,0.2034,Borussia M.Gladbach,0.0314,0.1092,0.8594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,0.722885,1.2983,0.722885,1.2983,9,4,0,2,0.8184,l,2014-08-30 14:30:00,0,0,1,0,-0.575415,170,27,468,18,0,1,1,1,-2.551606,1.156084,3.70769,1.156084,3.70769,1,3,1.0218,0,1,1,1,-2.551606,1.156084,3.70769,1.156084,3.70769,1,3,1.0218,FC Cologne,0.1737,0.2973,0.529,h,0.522276,0.913337,0.522276,0.913337,4,2,0,0,0.9362,d,2014-08-23 14:30:00,0,1,0,1,-0.391061,327,25,205,29,0,0,1,1,-0.391061,0.522276,0.913337,0.522276,0.913337,0,0,0.9362,0,0,1,1,-0.391061,0.522276,0.913337,0.522276,0.913337,0,0,0.9362,Hamburger SV,0.1907,0.3641,0.4452
2,a,0.310166,1.22987,0.310166,1.22987,3,13,0,2,0.5502,l,2014-09-13 14:30:00,0,0,1,0,-0.919704,441,26,167,33,0,2,1,1,-3.47131,1.4662499999999998,4.93756,1.4662499999999998,4.93756,1,5,1.572,0,2,1,1,-3.47131,1.4662499999999998,4.93756,1.4662499999999998,4.93756,1,5,1.572,Bayern Munich,0.0864,0.291,0.6226,a,1.50328,1.30795,1.50328,1.30795,10,1,1,1,1.5143,d,2014-08-30 17:30:00,0,1,0,1,0.19533,195,41,407,23,1,0,1,4,1.56703,4.0734,2.50637,4.0734,2.50637,3,2,3.8629,1,0,1,4,1.56703,4.0734,2.50637,4.0734,2.50637,3,2,3.8629,Schalke 04,0.3897,0.3452,0.2651
3,h,1.32987,1.15033,1.32987,1.15033,9,5,0,2,1.4571999999999998,l,2014-09-20 14:30:00,0,0,1,0,0.17954,124,34,322,31,0,3,1,1,-3.29177,2.79612,6.087890000000001,2.79612,6.087890000000001,1,7,3.0292,0,3,1,1,-3.29177,2.79612,6.087890000000001,2.79612,6.087890000000001,1,7,3.0292,Hoffenheim,0.3832,0.3076,0.3092,h,1.15845,1.63553,1.15845,1.63553,10,6,1,1,0.9943,d,2014-09-13 14:30:00,0,1,0,1,-0.4770799999999999,246,39,183,15,1,0,2,5,-0.443937,3.98666,4.430597,3.98666,4.430597,4,2,4.052300000000001,1,0,2,5,-0.443937,3.98666,4.430597,3.98666,4.430597,4,2,4.052300000000001,Wolfsburg,0.2355,0.2878,0.4767
4,a,1.48044,2.13683,1.48044,2.13683,5,14,2,2,0.9395,d,2014-09-24 19:00:00,0,1,0,1,-0.6563899999999998,378,17,195,22,0,3,2,2,-3.94816,4.27656,8.224720000000001,4.27656,8.224720000000001,3,9,3.9687,0,3,2,2,-3.94816,4.27656,8.224720000000001,4.27656,8.224720000000001,3,9,3.9687,Borussia Dortmund,0.2323,0.2426,0.5251,a,2.10376,0.974914,1.34598,0.974914,8,4,0,2,2.2814,l,2014-09-20 17:30:00,0,0,1,0,0.371066,180,36,308,33,2,2,0,6,2.4579450000000005,6.605924,3.390199,5.8481440000000005,3.390199,6,7,7.758599999999999,2,2,0,6,2.4579450000000005,6.605924,3.390199,5.8481440000000005,3.390199,6,7,7.758599999999999,Mainz 05,0.6895,0.2129,0.0976
5,h,0.826395,0.853246,0.826395,0.853246,5,5,1,0,1.261,w,2014-09-27 14:30:00,1,0,0,3,-0.0268509999999999,272,33,333,21,1,3,2,5,-3.975011,5.102955,9.077966000000002,5.102955,9.077966000000002,4,9,5.2297,1,3,1,4,-1.99882,4.669756,6.668576,4.669756,6.668576,3,8,5.0263,Hannover 96,0.2981,0.3667,0.3352,h,0.408032,0.695122,0.408032,0.695122,3,5,1,0,0.9448,w,2014-09-24 19:00:00,1,0,0,3,-0.28709,373,19,245,22,3,1,1,10,-0.7622800000000007,4.926792,5.689072,4.926792,5.689072,5,3,6.16,3,1,1,10,-0.7622800000000007,4.926792,5.689072,4.926792,5.689072,5,3,6.16,FC Cologne,0.1754,0.4186,0.406
6,a,1.42919,2.36582,1.42919,1.60804,8,5,2,3,0.6992999999999999,l,2014-10-03 19:30:00,0,0,1,0,-0.1788499999999999,178,30,291,22,1,4,2,5,-4.153860999999999,6.532145,11.443786,6.532145,10.686006000000004,6,12,5.929,1,3,1,4,-1.6022549999999998,5.376061,7.736096,5.376061,6.978316,5,9,4.9072,Hertha Berlin,0.1599,0.2196,0.6205,a,0.283655,1.25743,0.283655,0.499737,1,3,0,1,0.3991,l,2014-09-28 14:30:00,0,0,1,0,-0.216082,172,24,141,36,1,3,2,5,-3.892037,5.182269,9.074223,4.424493,8.31653,8,12,5.0271,1,3,1,4,-4.453357,3.426419,7.879693,2.668643,7.121999999999999,6,10,3.1928,Augsburg,0.0536,0.2383,0.7081
7,h,1.30466,1.86824,1.30466,1.86824,3,4,3,3,0.9498,d,2014-10-18 14:30:00,0,1,0,1,-0.56358,169,31,184,22,1,4,3,6,-4.717440999999999,7.836805,13.312026,7.836805,12.554246000000004,9,15,6.8788,1,2,2,5,-1.2461309999999997,6.370555,8.374466,6.370555,7.616686,8,10,5.3068,Bayer Leverkusen,0.2294,0.2616,0.509,h,1.60118,1.12552,1.60118,1.12552,11,1,2,2,1.7384,d,2014-10-04 14:30:00,0,1,0,1,0.4756599999999999,135,49,250,34,3,1,3,12,4.568736,10.709839,6.898878,10.709839,6.141103,13,11,12.3996,1,1,3,6,2.084097,7.030329000000001,5.704007,7.030329000000001,4.946231999999999,7,9,7.8607,Paderborn,0.4817,0.2933,0.225
8,a,3.13433,2.97969,3.13433,2.97969,5,9,5,4,1.5038,w,2014-10-25 14:30:00,1,0,0,3,0.1546399999999996,213,30,188,27,2,4,3,9,-4.562800999999999,10.971135,16.291716,10.971135,15.533936000000002,14,19,8.3826,2,1,2,8,-1.271031,8.175015,10.203826,8.175015,9.446046,13,12,5.3534,Eintracht Frankfurt,0.4308,0.2114,0.3578,a,0.558647,2.37575,0.558647,2.37575,6,7,1,3,0.2314,l,2014-10-19 16:30:00,0,0,1,0,-1.817103,243,28,274,28,3,2,3,12,-0.3259619999999996,9.773388,10.85713,9.773388,10.09935,13,13,9.9905,2,1,2,8,-1.1355439999999997,5.577846,7.47117,5.577846,6.71339,10,10,5.2691,Paderborn,0.0386,0.1156,0.8458
9,h,0.924949,2.69946,0.924949,2.69946,4,8,0,4,0.3081,l,2014-11-01 14:30:00,0,0,1,0,-1.7745110000000002,239,32,319,16,2,5,3,9,-6.337312,11.896084,18.991176000000003,11.896084,18.233396000000003,14,23,8.6907,2,2,1,7,-2.389152,7.619524,10.766456,7.619524,10.008676,11,14,4.722,Wolfsburg,0.0589,0.1314,0.8097,h,4.06466,1.6222,4.06466,1.6222,8,4,3,0,2.6581,w,2014-10-26 14:30:00,1,0,0,3,2.44246,229,34,247,41,5,2,2,17,2.9538279999999992,13.704642000000002,9.993039,12.946867,9.993039,16,9,14.8001,4,1,0,12,4.255722,8.307061999999998,4.051340000000001,8.307061999999998,4.051340000000001,8,3,9.563,Mainz 05,0.8559,0.0904,0.0537
