,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,2.42013,0.18521,2.42013,0.18521,7,1,4,0,2.8414,w,2015-08-15 20:30:00,1,0,0,3,2.23492,321,28,385,19,1,0,0,3,2.23492,2.42013,0.18521,2.42013,0.18521,4,0,2.8414,1,0,0,3,2.23492,2.42013,0.18521,2.42013,0.18521,4,0,2.8414,Borussia M.Gladbach,0.9246,0.0676,0.0078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,3.63386,0.0514071,2.87608,0.0514071,15,1,4,0,2.978,w,2015-08-23 17:30:00,1,0,0,3,2.8246729,122,28,297,32,2,0,0,6,5.0595929,6.05399,0.2366171,5.29621,0.2366171,8,0,5.8194,2,0,0,6,5.0595929,6.05399,0.2366171,5.29621,0.2366171,8,0,5.8194,Ingolstadt,0.9894,0.0098,0.0008,a,0.577316,0.547769,0.577316,0.547769,5,4,1,0,1.294,w,2015-08-15 17:30:00,1,0,0,3,0.0295470000000001,258,20,121,28,1,0,0,3,0.0295470000000001,0.577316,0.547769,0.577316,0.547769,1,0,1.294,1,0,0,3,0.0295470000000001,0.577316,0.547769,0.577316,0.547769,1,0,1.294,Mainz 05,0.2884,0.4288,0.2828
2,h,3.73248,0.633538,3.73248,0.633538,10,1,3,1,2.9256,w,2015-08-30 17:30:00,1,0,0,3,3.098942,184,34,307,21,3,0,0,9,8.1585349,9.78647,0.8701551000000001,9.02869,0.8701551000000001,11,1,8.745000000000001,3,0,0,9,8.1585349,9.78647,0.8701551000000001,9.02869,0.8701551000000001,11,1,8.745000000000001,Hertha Berlin,0.9654,0.0294,0.0052,h,0.494279,0.957641,0.494279,0.957641,5,4,1,1,0.7781,d,2015-08-21 22:30:00,0,1,0,1,-0.4633619999999999,196,22,245,36,1,0,1,4,-1.1369159999999998,1.727189,2.106331,0.969415,2.106331,2,1,2.2508,1,0,1,4,-1.1369159999999998,1.727189,2.106331,0.969415,2.106331,2,1,2.2508,Werder Bremen,0.1465,0.3386,0.5149
3,a,2.16909,0.582795,0.65354,0.582795,18,1,4,2,2.6185000000000005,w,2015-09-12 17:30:00,1,0,0,3,0.070745,120,20,323,12,4,0,0,12,8.2292799,11.95556,1.4529501,9.68223,1.4529501,15,3,11.363500000000002,4,0,0,12,8.2292799,11.95556,1.4529501,9.68223,1.4529501,15,3,11.363500000000002,Hannover 96,0.8282,0.1339,0.0379,a,0.373166,3.41346,0.373166,3.41346,3,11,0,3,0.0475,l,2015-08-29 17:30:00,0,0,1,0,-3.0402940000000003,227,20,275,20,0,2,1,1,-5.0259844000000005,2.3280256,6.59623,1.5702455999999998,6.59623,2,6,1.6951,0,2,1,1,-5.0259844000000005,2.3280256,6.59623,1.5702455999999998,6.59623,2,6,1.6951,Mainz 05,0.0056,0.0307,0.9637
4,h,4.08165,0.927753,3.32388,0.927753,14,5,3,0,2.8865,w,2015-09-20 19:30:00,1,0,0,3,2.396127,214,37,309,37,5,0,0,15,10.6254069,16.03721,2.3807031,13.00611,2.3807031,18,3,14.250000000000002,5,0,0,15,10.6254069,16.03721,2.3807031,13.00611,2.3807031,18,3,14.250000000000002,Bayer Leverkusen,0.9485,0.041,0.0105,h,1.3554,0.284787,1.3554,0.284787,9,0,0,1,2.3091,l,2015-09-12 17:30:00,0,0,1,0,1.0706129999999998,70,31,306,32,2,2,0,6,3.8014964,6.676981999999999,4.3910456,6.676981999999999,2.8754856,3,5,7.795100000000001,2,2,0,6,3.8014964,6.676981999999999,4.3910456,6.676981999999999,2.8754856,3,5,7.795100000000001,Darmstadt,0.6875,0.2466,0.0659
5,a,1.63998,1.18726,1.63998,1.18726,11,4,1,1,1.723,d,2015-09-23 22:00:00,0,1,0,1,0.45272,121,25,420,27,5,0,1,16,11.0781269,17.677190000000003,3.5679631,14.64609,3.5679631,19,4,15.973000000000004,4,0,1,13,8.843206899999998,15.25706,3.3827531000000004,12.22596,3.3827531000000004,15,4,13.1316,Hoffenheim,0.4846,0.2692,0.2462,a,1.01304,1.27625,1.01304,1.27625,4,10,1,3,1.1189,l,2015-09-18 22:30:00,0,0,1,0,-0.2632100000000001,251,28,153,20,0,4,1,1,-5.71271,4.8849670000000005,9.839898000000002,4.127188,9.839898000000002,4,10,4.5847,0,4,1,1,-5.71271,4.8849670000000005,9.839898000000002,4.127188,9.839898000000002,4,10,4.5847,Mainz 05,0.2668,0.3185,0.4147
6,h,1.97055,0.508638,1.97055,0.508638,17,1,2,2,2.5162,d,2015-09-27 19:30:00,0,1,0,1,1.461912,96,26,368,29,5,0,2,17,12.5400389,19.64774,4.0766011,16.61664,4.0766011,21,6,18.489200000000004,3,0,2,11,7.480446,13.593749999999998,3.839984,11.32043,3.839984,13,6,12.6698,Darmstadt,0.7842,0.1636,0.0522,h,1.91868,1.19628,1.16098,1.19628,5,6,2,1,1.9864,w,2015-09-22 22:00:00,1,0,0,3,-0.0353000000000001,176,33,72,21,2,1,3,9,-3.2827200000000003,5.2949600000000006,8.57776,4.53726,7.819979999999999,6,7,5.382099999999999,2,1,2,8,-3.99231,3.48584,6.72045,2.72814,6.72045,4,5,4.0629,Werder Bremen,0.5729,0.2677,0.1594
7,a,1.10489,3.72164,1.10489,2.96386,3,11,1,5,0.1156,l,2015-10-04 19:30:00,0,0,1,0,-1.85897,371,28,264,31,5,1,2,17,10.6810689,20.752630000000003,7.7982411,17.72153,7.0404611,22,11,18.604800000000004,2,1,2,8,2.5225339999999994,10.96616,6.928086,8.69284,6.170306,11,10,9.859800000000002,Bayern Munich,0.0185,0.0601,0.9214,a,2.77408,0.75194,2.01631,0.75194,5,3,3,0,2.7673,w,2015-09-26 17:30:00,1,0,0,3,1.2643699999999998,168,23,515,34,7,0,0,21,15.906883,21.32446,3.1442460000000008,18.29335,2.386467,23,3,19.4905,5,0,0,15,10.837948,15.55954,1.6904820000000005,12.52843,1.6904820000000005,16,2,14.3118,Mainz 05,0.8943,0.0844,0.0213
8,a,3.64229,1.55155,2.86537,1.55155,12,9,2,0,2.6053,w,2015-10-16 22:30:00,1,0,0,3,1.31382,307,35,219,41,6,1,2,20,11.9948889,24.394920000000003,9.3497911,20.5869,8.5920111,24,11,21.210100000000004,2,1,2,8,3.765609,12.43936,7.896840999999999,10.90467,7.139061,9,8,9.8466,Mainz 05,0.8312,0.1117,0.0571,a,1.45155,1.86109,1.45155,1.10331,8,4,3,2,1.0487,w,2015-10-02 22:30:00,1,0,0,3,0.3482399999999999,97,23,260,31,4,4,0,12,2.44098,12.874742,12.707092,12.874742,10.433762000000002,12,11,10.618400000000005,2,3,0,6,-1.3530569999999995,6.9028030000000005,10.52919,6.9028030000000005,8.25586,7,9,4.4639,Darmstadt,0.2591,0.2714,0.4695
9,h,4.21104,0.293643,4.21104,0.293643,18,3,5,1,2.9914,w,2015-10-25 18:30:00,1,0,0,3,3.917397,218,22,331,30,7,1,2,23,15.9122859,28.605960000000003,9.6434341,24.79794,8.8856541,29,12,24.201500000000003,2,1,2,8,5.286879,12.56875,7.262731,11.79183,6.504951,11,9,9.9515,Augsburg,0.9959,0.0037,0.0004,h,1.42706,2.54284,1.42706,2.54284,7,1,0,2,0.5467,l,2015-10-17 17:30:00,0,0,1,0,-1.11578,73,12,367,18,1,6,2,5,-4.995841,11.053662,16.807278,8.780331,13.776172,8,15,9.4407,1,3,1,4,-2.624232,7.658347,9.5248,5.385016,8.009248,6,10,5.6374,Darmstadt,0.1189,0.19,0.6911
