,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.18521,2.42013,0.18521,2.42013,1,7,0,4,0.091,l,2015-08-15 20:30:00,0,0,1,0,-2.23492,385,19,321,28,0,1,0,0,-2.23492,0.18521,2.42013,0.18521,2.42013,0,4,0.091,0,1,0,0,-2.23492,0.18521,2.42013,0.18521,2.42013,0,4,0.091,Borussia Dortmund,0.0078,0.0676,0.9246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,1.22742,2.01071,1.22742,2.01071,1,2,1,2,0.8179,l,2015-08-23 19:30:00,0,0,1,0,-0.78329,199,34,541,36,0,2,0,0,-3.01821,1.41263,4.43084,1.41263,4.43084,1,6,0.9089,0,2,0,0,-3.01821,1.41263,4.43084,1.41263,4.43084,1,6,0.9089,Mainz 05,0.1971,0.2266,0.5763,h,0.547769,0.577316,0.547769,0.577316,4,5,0,1,1.2772,l,2015-08-15 17:30:00,0,0,1,0,-0.0295470000000001,121,28,258,20,0,1,0,0,-0.0295470000000001,0.547769,0.577316,0.547769,0.577316,0,1,1.2772,0,1,0,0,-0.0295470000000001,0.547769,0.577316,0.547769,0.577316,0,1,1.2772,Ingolstadt,0.2828,0.4288,0.2884
2,a,0.755739,3.23257,0.755739,1.71702,1,8,1,2,0.1099,l,2015-08-30 19:30:00,0,0,1,0,-0.961281,167,19,300,35,0,3,0,0,-3.979491,2.168369,7.66341,2.168369,6.14786,2,8,1.0188,0,3,0,0,-3.979491,2.168369,7.66341,2.168369,6.14786,2,8,1.0188,Werder Bremen,0.0152,0.0643,0.9205,a,0.957641,0.494279,0.957641,0.494279,4,5,1,1,1.8833,d,2015-08-21 22:30:00,0,1,0,1,0.4633619999999999,245,36,196,22,0,1,1,1,-0.071721,1.872358,1.944079,1.872358,1.944079,1,4,2.8158000000000003,0,1,1,1,-0.071721,1.872358,1.944079,1.872358,1.944079,1,4,2.8158000000000003,Hertha Berlin,0.5149,0.3386,0.1465
3,h,0.436066,1.02932,0.436066,1.02932,3,2,0,3,0.7299,l,2015-09-11 22:30:00,0,0,1,0,-0.593254,352,38,396,25,0,4,0,0,-4.572744999999999,2.604435,8.69273,2.604435,7.17718,2,11,1.7487,0,4,0,0,-4.572744999999999,2.604435,8.69273,2.604435,7.17718,2,11,1.7487,Hamburger SV,0.1302,0.3393,0.5305,a,1.44461,1.67081,1.44461,0.913029,5,9,1,2,1.1357,l,2015-08-29 17:30:00,0,0,1,0,0.531581,240,27,234,36,1,2,0,3,-3.1175749999999995,2.919984,6.79534,2.919984,6.037559,4,9,2.0795,1,2,0,3,-3.1175749999999995,2.919984,6.79534,2.919984,6.037559,4,9,2.0795,FC Cologne,0.2815,0.2912,0.4273
4,a,0.4042,0.541995,0.4042,0.541995,4,4,0,1,1.1161,l,2015-09-19 17:30:00,0,0,1,0,-0.137795,278,32,440,28,0,5,0,0,-4.710539999999999,3.008635,9.234725,3.008635,7.719175,2,12,2.8648,0,5,0,0,-4.710539999999999,3.008635,9.234725,3.008635,7.719175,2,12,2.8648,FC Cologne,0.2174,0.4639,0.3187,a,0.902695,2.93005,0.902695,2.93005,6,7,2,6,0.2702,l,2015-09-12 20:30:00,0,0,1,0,-2.027355,288,29,317,34,2,1,1,7,-4.455565999999999,5.802624999999999,9.50041,4.2870740000000005,8.74264,8,9,3.2929000000000004,2,1,1,7,-4.455565999999999,5.802624999999999,9.50041,4.2870740000000005,8.74264,8,9,3.2929000000000004,Eintracht Frankfurt,0.0526,0.1124,0.835
5,h,2.84575,1.92244,2.84575,0.406889,6,2,4,2,2.0036,w,2015-09-23 22:00:00,1,0,0,3,2.438861,302,32,298,28,1,5,0,3,-2.271679,5.854385,11.157165,5.854385,8.126064,6,14,4.868399999999999,1,4,0,3,-0.0367590000000004,5.669174999999999,8.737035,5.669174999999999,5.705934,6,10,4.7774,Augsburg,0.5949,0.2189,0.1862,h,2.24649,0.56218,1.48871,0.56218,6,6,2,0,2.6057,w,2015-09-20 19:30:00,1,0,0,3,0.92653,298,19,271,24,1,3,1,4,-1.4450790000000002,5.641805,7.844658,4.884025,6.329103999999999,4,5,6.409000000000001,1,3,1,4,-1.4450790000000002,5.641805,7.844658,4.884025,6.329103999999999,4,5,6.409000000000001,Hannover 96,0.8252,0.1301,0.0447
6,a,1.18534,2.45923,1.18534,1.70153,1,10,3,1,0.5433,w,2015-09-26 17:30:00,1,0,0,3,-0.5161899999999999,195,28,207,35,2,5,0,6,-2.7878689999999997,7.039725,13.616395,7.039725,9.827594,9,15,5.4117,2,3,0,6,0.2303409999999996,5.627095,9.185555,5.627095,5.396754,8,9,4.5028,VfB Stuttgart,0.1151,0.198,0.6869,a,1.81814,0.807709,1.81814,0.807709,5,2,3,1,2.1601,w,2015-09-23 22:00:00,1,0,0,3,1.010431,255,35,127,20,1,5,0,3,5.808990999999999,13.56149,8.510269000000001,12.803719999999998,6.994729,8,14,11.6059,1,4,0,3,4.674281000000001,10.57591,6.659399,10.57591,5.901629,7,11,9.4669,Hannover 96,0.6364,0.2509,0.1127
7,h,1.45907,0.813505,1.45907,0.813505,4,5,2,0,1.9192,w,2015-10-03 17:30:00,1,0,0,3,0.645565,339,37,270,28,3,5,0,9,-2.1423039999999998,8.498795,14.429899999999998,8.498795,10.641099,11,15,7.3309,3,2,0,9,1.837187,6.330425999999999,6.76649,6.330425999999999,4.493239,9,7,6.3121,Wolfsburg,0.5481,0.2749,0.177,h,1.41905,1.08934,1.41905,1.08934,7,1,1,1,1.619,d,2015-09-26 17:30:00,0,1,0,1,0.3297099999999999,179,26,452,15,3,1,3,12,-0.6670980000000002,9.150832,8.302375999999999,7.635278,8.302375999999999,10,8,11.5206,2,1,2,8,-1.218961,6.270621,5.974028,4.755067,5.974028,7,6,8.4133,Hannover 96,0.4429,0.2903,0.2668
8,a,3.50891,0.990091,2.75113,0.232314,8,4,5,1,2.8505000000000003,w,2015-10-17 20:30:00,1,0,0,3,2.518816,263,16,287,32,4,5,0,12,0.3765120000000004,12.007705,15.419990999999998,11.249925,10.873413,16,16,10.1814,4,1,0,12,4.949256999999999,9.40327,6.727261,8.64549,3.696233,14,5,8.4327,Eintracht Frankfurt,0.9311,0.0572,0.0117,a,0.740308,1.185,0.740308,1.185,3,9,0,2,0.9633,l,2015-10-03 17:30:00,0,0,1,0,-0.4446920000000001,146,17,341,33,2,3,3,9,-2.647663,10.113495,12.003388,9.355725,12.003388,13,11,8.7857,1,2,2,5,-1.2218379999999998,6.258019,7.479857000000001,6.258019,7.479857000000001,7,7,5.3542000000000005,Ingolstadt,0.2197,0.3042,0.4761
9,h,2.25814,0.767714,1.50036,0.767714,8,3,3,1,2.4781,w,2015-10-25 20:30:00,1,0,0,3,0.7326459999999999,219,30,342,28,5,5,0,15,1.1091580000000003,14.265845,16.187704999999998,12.750285,11.641127,19,17,12.6595,5,0,0,15,5.819698,11.25721,6.95298,9.74165,3.921952,17,5,9.7947,Schalke 04,0.771,0.1651,0.0639,h,2.51235,0.933849,2.51235,0.933849,8,4,2,1,2.4541,w,2015-10-17 17:30:00,1,0,0,3,1.5785010000000002,174,28,281,18,6,2,1,19,1.3641919999999998,14.647053,13.282855,13.889273,12.525081000000002,12,9,13.744,4,1,0,12,1.149841,8.25194,7.102099000000001,8.25194,7.102099000000001,6,4,8.2549,Hertha Berlin,0.764,0.1621,0.0739
