,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,1.80912,1.85731,1.80912,1.09953,9,3,2,2,1.3192,d,2015-08-15 17:30:00,0,1,0,1,0.7095900000000002,184,27,83,17,0,0,1,1,0.7095900000000002,1.80912,1.85731,1.80912,1.09953,2,2,1.3192,0,0,1,1,0.7095900000000002,1.80912,1.85731,1.80912,1.09953,2,2,1.3192,Hannover 96,0.3461,0.2809,0.373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.790379,1.05775,0.790379,1.05775,0,7,1,1,1.122,d,2015-08-22 17:30:00,0,1,0,1,-0.2673709999999999,368,20,47,19,0,0,2,2,0.4422190000000002,2.599499,2.91506,2.599499,2.15728,3,3,2.4412,0,0,2,2,0.4422190000000002,2.599499,2.91506,2.599499,2.15728,3,3,2.4412,Schalke 04,0.2636,0.3312,0.4052,a,1.4498,0.914717,1.4498,0.914717,7,7,3,0,1.7929,w,2015-08-15 17:30:00,1,0,0,3,0.535083,241,30,185,21,1,0,0,3,0.535083,1.4498,0.914717,1.4498,0.914717,3,0,1.7929,1,0,0,3,0.535083,1.4498,0.914717,1.4498,0.914717,3,0,1.7929,Werder Bremen,0.5061,0.2746,0.2193
2,h,0.287238,1.3935,0.287238,1.3935,5,10,0,0,0.3091,d,2015-08-29 17:30:00,0,1,0,1,-1.106262,275,25,61,20,0,0,3,3,-0.6640429999999998,2.886737,4.30856,2.886737,3.55078,3,3,2.7503,0,0,3,3,-0.6640429999999998,2.886737,4.30856,2.886737,3.55078,3,3,2.7503,Hoffenheim,0.0372,0.1975,0.7653,h,1.29953,2.53588,0.541751,2.53588,2,13,1,2,0.5648,l,2015-08-22 17:30:00,0,0,1,0,-1.994129,379,27,93,22,0,2,0,0,-5.03791,1.783479,6.063610000000001,1.0257,6.063610000000001,2,4,0.6338999999999999,0,2,0,0,-5.03791,1.783479,6.063610000000001,1.0257,6.063610000000001,2,4,0.6338999999999999,Bayern Munich,0.1222,0.1982,0.6796
3,a,0.284787,1.3554,0.284787,1.3554,0,9,1,0,0.4443,w,2015-09-12 17:30:00,1,0,0,3,-1.0706129999999998,306,32,70,31,1,0,3,6,-1.7346559999999998,3.171524,5.663959999999999,3.171524,4.90618,4,3,3.1946,1,0,3,6,-1.7346559999999998,3.171524,5.663959999999999,3.171524,4.90618,4,3,3.1946,Bayer Leverkusen,0.0659,0.2466,0.6875,a,0.420202,3.52476,0.420202,2.0092,3,10,0,3,0.0424999999999999,l,2015-08-29 20:30:00,0,0,1,0,-1.588998,372,42,132,22,2,1,0,6,2.7308834,5.321581999999999,4.1062586,5.321581999999999,2.5906986,3,4,5.486000000000001,2,1,0,6,2.7308834,5.321581999999999,4.1062586,5.321581999999999,2.5906986,3,4,5.486000000000001,Bayern Munich,0.0052,0.0269,0.9679
4,h,0.204756,1.71752,0.204756,1.71752,4,12,0,3,0.2011,l,2015-09-19 17:30:00,0,0,1,0,-1.512764,451,9,79,18,1,1,3,6,-3.24742,3.3762800000000004,7.38148,3.3762800000000004,6.6237,4,6,3.3957,1,1,3,6,-3.24742,3.3762800000000004,7.38148,3.3762800000000004,6.6237,4,6,3.3957,Bayern Munich,0.0218,0.1357,0.8425,h,3.85642,0.15319,3.09864,0.15319,15,1,2,1,2.9845,w,2015-09-12 17:30:00,1,0,0,3,2.94545,82,27,396,12,4,0,0,12,9.603383,13.1461,2.027156,10.87276,1.269377,12,2,11.0938,4,0,0,12,9.603383,13.1461,2.027156,10.87276,1.269377,12,2,11.0938,Augsburg,0.9926,0.0067,0.0007
5,h,1.91868,1.19628,1.16098,1.19628,5,6,2,1,1.9864,w,2015-09-22 22:00:00,1,0,0,3,-0.0353000000000001,176,33,72,21,2,1,3,9,-3.2827200000000003,5.2949600000000006,8.57776,4.53726,7.819979999999999,6,7,5.382099999999999,2,1,2,8,-3.99231,3.48584,6.72045,2.72814,6.72045,4,5,4.0629,Werder Bremen,0.5729,0.2677,0.1594,h,1.22829,1.47429,1.22829,0.716516,8,3,0,1,1.0944,l,2015-09-19 17:30:00,0,0,1,0,0.5117740000000001,94,22,160,35,2,2,1,7,2.919186,8.546018,4.8690560000000005,7.030468,4.111282,6,7,9.2414,2,2,1,7,2.919186,8.546018,4.8690560000000005,7.030468,4.111282,6,7,9.2414,Ingolstadt,0.2601,0.3141,0.4258
6,a,0.508638,1.97055,0.508638,1.97055,1,17,2,2,0.3202,d,2015-09-27 19:30:00,0,1,0,1,-1.461912,368,29,96,26,2,1,4,10,-4.744632,5.803598000000001,10.54831,5.045898,9.79053,8,9,5.702299999999999,2,1,2,8,-5.186851,3.204099,7.633249999999999,2.446399,7.633249999999999,5,6,3.2611,Borussia Dortmund,0.0522,0.1636,0.7842,a,1.63998,1.18726,1.63998,1.18726,11,4,1,1,1.723,d,2015-09-23 22:00:00,0,1,0,1,0.45272,121,25,420,27,5,0,1,16,11.0781269,17.677190000000003,3.5679631,14.64609,3.5679631,19,4,15.973000000000004,4,0,1,13,8.843206899999998,15.25706,3.3827531000000004,12.22596,3.3827531000000004,15,4,13.1316,Hoffenheim,0.4846,0.2692,0.2462
7,h,1.86109,1.45155,1.10331,1.45155,4,8,2,3,1.6799,l,2015-10-02 22:30:00,0,0,1,0,-0.3482399999999999,260,31,97,23,2,2,4,10,-5.092872,7.664688000000001,11.999859999999998,6.149208,11.242079999999998,10,12,7.382199999999999,2,2,1,7,-4.428829,4.777951,7.6913,3.262471,7.6913,7,9,4.6319,Mainz 05,0.4695,0.2714,0.2591,h,0.75194,2.77408,0.75194,2.01631,3,5,0,3,0.1483,l,2015-09-26 17:30:00,0,0,1,0,-1.2643699999999998,515,34,168,23,3,4,0,9,2.09274,11.423192000000002,10.846002,11.423192000000002,9.330452,9,9,9.569700000000005,2,3,0,6,1.338997000000001,8.864713,9.041266,8.864713,7.525716,7,7,6.337,Bayern Munich,0.0213,0.0844,0.8943
8,a,2.54284,1.42706,2.54284,1.42706,1,7,2,0,2.2633,w,2015-10-17 17:30:00,1,0,0,3,1.11578,367,18,73,12,3,2,4,13,-3.977092,10.207528,13.42692,8.692048,12.66914,12,12,9.645499999999998,2,2,1,7,-2.242436,7.036004,7.76296,5.520524,7.76296,8,9,6.4509,Augsburg,0.6911,0.19,0.1189,a,0.119117,1.98173,0.119117,1.22395,1,12,1,1,0.1105,d,2015-10-04 19:30:00,0,1,0,1,-1.1048330000000002,301,15,147,37,1,5,2,5,-3.880061,9.626601999999998,14.264438,7.353271,11.233332,8,13,8.894,1,3,1,4,-4.453901999999999,6.384477,10.83838,4.111146,8.565047999999999,7,10,5.0995,Bayer Leverkusen,0.0089,0.0838,0.9073
9,h,0.594469,0.976111,0.594469,0.976111,5,10,0,1,0.9633,l,2015-10-24 17:30:00,0,0,1,0,-0.3816419999999999,335,23,82,18,3,3,4,13,-4.358734,10.801997,14.403031,9.286517,13.645250999999998,12,13,10.6088,2,2,1,7,-1.1113139999999997,7.425717000000001,7.0215510000000005,5.910237,7.0215510000000005,8,7,7.213100000000001,Wolfsburg,0.2062,0.3447,0.4491,h,2.80506,1.07639,2.80506,1.07639,9,4,4,2,2.4803,w,2015-10-17 17:30:00,1,0,0,3,1.7286700000000002,310,25,308,32,4,2,3,15,0.416007,12.769397,10.837836,11.253843,10.837836,14,12,14.8068,2,2,1,7,-0.713165,7.627759,7.583144000000001,6.869979,7.583144000000001,8,10,7.755799999999999,Hoffenheim,0.7788,0.1439,0.0773
