,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.950098,0.740041,0.950098,0.740041,6,4,1,2,1.4879000000000002,l,2015-08-16 17:30:00,0,0,1,0,0.210057,371,33,207,27,0,1,0,0,0.210057,0.950098,0.740041,0.950098,0.740041,1,2,1.4879000000000002,0,1,0,0,0.210057,0.950098,0.740041,0.950098,0.740041,1,2,1.4879000000000002,Wolfsburg,0.3753,0.362,0.2627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,0.945278,1.26112,0.945278,1.26112,8,5,1,1,1.0993,d,2015-08-22 17:30:00,0,1,0,1,-0.315842,176,30,206,33,0,1,1,1,-0.105785,1.895376,2.001161,1.895376,2.001161,2,3,2.5872,0,1,1,1,-0.105785,1.895376,2.001161,1.895376,2.001161,2,3,2.5872,Augsburg,0.2589,0.3226,0.4185,h,1.14869,1.23291,1.14869,0.475136,3,4,0,1,1.2159,l,2015-08-15 17:30:00,0,0,1,0,0.673554,292,30,189,18,0,1,0,0,0.673554,1.14869,1.23291,1.14869,0.475136,0,1,1.2159,0,1,0,0,0.673554,1.14869,1.23291,1.14869,0.475136,0,1,1.2159,Hertha Berlin,0.3015,0.3114,0.3871
2,a,1.9601,2.52237,1.20233,2.52237,4,9,4,1,0.8443,w,2015-08-29 17:30:00,1,0,0,3,-1.32004,205,26,211,43,1,1,1,4,-1.425825,3.855476,4.523531,3.097706,4.523531,6,4,3.4315,1,1,1,4,-1.425825,3.855476,4.523531,3.097706,4.523531,6,4,3.4315,VfB Stuttgart,0.1824,0.2971,0.5205,a,1.89549,1.32114,1.89549,1.32114,3,9,2,3,1.8355,l,2015-08-22 20:30:00,0,0,1,0,0.5743499999999999,207,56,148,27,0,2,0,0,1.7090599999999998,4.88107,3.17201,4.1233,2.41424,3,6,3.9745,0,2,0,0,1.7090599999999998,4.88107,3.17201,4.1233,2.41424,3,6,3.9745,Hamburger SV,0.5274,0.2533,0.2193
3,h,2.93005,0.902695,2.93005,0.902695,7,6,6,2,2.6174,w,2015-09-12 20:30:00,1,0,0,3,2.027355,317,34,288,29,2,1,1,7,0.6015299999999999,6.785526,5.426226,6.027756,5.426226,12,6,6.0489,2,1,1,7,0.6015299999999999,6.785526,5.426226,6.027756,5.426226,12,6,6.0489,FC Cologne,0.835,0.1124,0.0526,h,1.67081,1.44461,0.913029,1.44461,9,5,2,1,1.5731000000000002,w,2015-08-29 17:30:00,1,0,0,3,-0.531581,234,36,240,27,2,0,1,7,-2.428211,4.89993,6.57036,3.384379,5.812589999999999,6,3,3.0227000000000004,2,0,1,7,-2.428211,4.89993,6.57036,3.384379,5.812589999999999,6,3,3.0227000000000004,Hamburger SV,0.4273,0.2912,0.2815
4,a,0.221397,0.909692,0.221397,0.909692,3,3,0,0,0.5693,d,2015-09-19 17:30:00,0,1,0,1,-0.6882949999999999,241,24,221,27,2,1,2,8,-0.0867649999999999,7.006923,6.335918,6.249153,6.335918,12,6,6.6182,2,1,2,8,-0.0867649999999999,7.006923,6.335918,6.249153,6.335918,12,6,6.6182,Hamburger SV,0.0722,0.3527,0.5751,a,1.02932,0.436066,1.02932,0.436066,2,3,3,0,1.9308,w,2015-09-11 22:30:00,1,0,0,3,0.593254,396,25,352,38,2,2,0,6,-2.524321,3.949304,7.231406,3.949304,6.473625,7,9,4.0103,2,2,0,6,-2.524321,3.949304,7.231406,3.949304,6.473625,7,9,4.0103,Borussia M.Gladbach,0.5305,0.3393,0.1302
5,a,0.952574,2.25209,0.952574,2.25209,5,9,0,2,0.4211,l,2015-09-23 22:00:00,0,0,1,0,-1.299516,260,30,258,16,2,2,2,8,-1.386281,7.959497,8.588007999999999,7.201727,8.588007999999999,12,8,7.0393,2,1,2,8,-1.5963379999999998,7.009399,7.847967,6.251628999999999,7.847967,11,6,5.5514,Schalke 04,0.0831,0.1718,0.7451,a,1.09359,3.31265,1.09359,3.31265,5,8,1,0,0.245,w,2015-09-20 17:30:00,1,0,0,3,-2.21906,223,24,174,39,3,1,1,10,-2.004709,7.488703,9.493406,6.730923,8.735632,7,5,5.7341,3,1,1,10,-2.004709,7.488703,9.493406,6.730923,8.735632,7,5,5.7341,VfB Stuttgart,0.0466,0.1052,0.8482
6,h,1.41369,2.23038,1.41369,2.23038,6,2,1,1,0.7831,d,2015-09-27 17:30:00,0,1,0,1,-0.8166899999999999,306,24,198,21,2,2,3,9,-2.202971,9.373187,10.818388,8.615417,10.818388,13,9,7.8224,2,1,2,8,-2.097186,7.477811,8.817226999999999,6.720040999999999,8.817226999999999,11,6,5.2352,Hertha Berlin,0.1877,0.22,0.5923,h,1.34684,0.853586,1.34684,0.853586,11,5,2,0,1.7683,w,2015-09-22 22:00:00,1,0,0,3,0.4932540000000001,286,22,275,14,3,2,1,10,-4.693389999999999,5.456011,10.149407,4.698237,9.391627,7,7,5.9179,2,2,1,7,-4.019836,4.223101,9.000717,4.223101,8.242937,6,7,4.4452,FC Cologne,0.4953,0.2824,0.2223
7,a,0.740308,1.185,0.740308,1.185,3,9,0,2,0.9633,l,2015-10-03 17:30:00,0,0,1,0,-0.4446920000000001,146,17,341,33,2,3,3,9,-2.647663,10.113495,12.003388,9.355725,12.003388,13,11,8.7857,1,2,2,5,-1.2218379999999998,6.258019,7.479857000000001,6.258019,7.479857000000001,7,7,5.3542000000000005,Ingolstadt,0.2197,0.3042,0.4761,a,0.638071,1.3352,0.638071,1.3352,3,7,1,1,0.7076,d,2015-09-25 22:30:00,0,1,0,1,-0.6971289999999999,277,24,161,20,3,2,2,11,-4.5860259,4.8851791,9.471211,4.1274051,8.713431,4,6,6.8868,2,1,2,8,-1.7909000000000002,4.256456,5.289581999999999,3.498682,5.289581999999999,3,2,5.5806,FC Cologne,0.1444,0.2744,0.5812
8,h,0.990091,3.50891,0.232314,2.75113,4,8,1,5,0.0923,l,2015-10-17 20:30:00,0,0,1,0,-2.518816,287,32,263,16,2,4,3,9,-5.166478999999999,11.103586,15.512298,9.588039000000002,14.754518,14,16,8.878,0,3,2,2,-5.768008999999999,4.318059999999999,10.086072,3.560283,9.328292,2,10,2.8290999999999995,Borussia M.Gladbach,0.0117,0.0572,0.9311,h,1.45907,0.813505,1.45907,0.813505,4,5,2,0,1.9192,w,2015-10-03 17:30:00,1,0,0,3,0.645565,339,37,270,28,3,5,0,9,-2.142304,8.498795,14.429899999999998,8.498795,10.641099,11,15,7.3309,3,2,0,9,1.837187,6.330425999999999,6.76649,6.330425999999999,4.493239,9,7,6.3121,Wolfsburg,0.5481,0.2749,0.177
9,a,0.74964,0.454178,0.74964,0.454178,4,3,2,1,1.6613,w,2015-10-24 17:30:00,1,0,0,3,0.2954619999999999,300,29,421,19,3,4,3,12,-4.871016999999999,11.853226,15.966476,10.337679,15.208696,16,17,10.5393,1,3,1,4,-4.784252,4.846303,9.630558,4.088526,8.872778,4,11,3.9211,Hannover 96,0.4199,0.4016,0.1785,a,1.26113,1.52116,1.26113,1.52116,2,7,1,0,1.1442,w,2015-10-18 17:30:00,1,0,0,3,-0.26003,349,22,181,29,2,5,2,8,-8.429763400000002,7.3264266,17.27174,6.568646599999999,14.99841,8,16,5.7456,2,2,1,7,-3.333034,4.415606,8.506419999999999,4.415606,7.748639999999999,4,6,3.8029,FC Cologne,0.2702,0.3336,0.3962
