,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.547769,0.577316,0.547769,0.577316,4,5,0,1,1.2772,l,2015-08-15 17:30:00,0,0,1,0,-0.0295470000000001,121,28,258,20,0,1,0,0,-0.0295470000000001,0.547769,0.577316,0.547769,0.577316,0,1,1.2772,0,1,0,0,-0.0295470000000001,0.547769,0.577316,0.547769,0.577316,0,1,1.2772,Ingolstadt,0.2828,0.4288,0.2884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,2.01071,1.22742,2.01071,1.22742,2,1,2,1,1.9555,w,2015-08-23 19:30:00,1,0,0,3,0.78329,541,36,199,34,1,1,0,3,0.7537429999999999,2.558479,1.804736,2.558479,1.804736,2,2,3.2327000000000004,1,1,0,3,0.7537429999999999,2.558479,1.804736,2.558479,1.804736,2,2,3.2327000000000004,Borussia M.Gladbach,0.5763,0.2266,0.1971,a,0.18521,2.42013,0.18521,2.42013,1,7,0,4,0.091,l,2015-08-15 20:30:00,0,0,1,0,-2.23492,385,19,321,28,0,1,0,0,-2.23492,0.18521,2.42013,0.18521,2.42013,0,4,0.091,0,1,0,0,-2.23492,0.18521,2.42013,0.18521,2.42013,0,4,0.091,Borussia Dortmund,0.0078,0.0676,0.9246
2,h,3.41346,0.373166,3.41346,0.373166,11,3,3,0,2.9218,w,2015-08-29 17:30:00,1,0,0,3,3.0402940000000003,275,20,227,20,2,1,0,6,3.794037,5.971939000000001,2.177902,5.971939000000001,2.177902,5,2,6.1545000000000005,2,1,0,6,3.794037,5.971939000000001,2.177902,5.971939000000001,2.177902,5,2,6.1545000000000005,Hannover 96,0.9637,0.0307,0.0056,h,0.0975496,1.37365,0.0975496,1.37365,1,4,0,1,0.2477,l,2015-08-22 17:30:00,0,0,1,0,-1.2761004,264,16,159,42,0,1,1,1,-1.9856904,1.9548596,3.18277,1.1970796,3.18277,2,3,1.6476,0,1,1,1,-1.9856904,1.9548596,3.18277,1.1970796,3.18277,2,3,1.6476,Bayer Leverkusen,0.0172,0.1961,0.7867
3,a,2.94627,3.13941,2.94627,2.38163,8,9,1,2,1.2847,l,2015-09-13 19:30:00,0,0,1,0,0.5646400000000003,277,29,140,38,2,2,0,6,4.358677,8.918209000000001,5.317311999999999,8.918209000000001,4.559532,6,4,7.4392,2,2,0,6,4.358677,8.918209000000001,5.317311999999999,8.918209000000001,4.559532,6,4,7.4392,Schalke 04,0.3582,0.2101,0.4317,a,0.748153,1.52939,0.748153,0.771616,8,0,0,3,0.6442,l,2015-08-28 22:30:00,0,0,1,0,-0.023463,365,26,281,36,1,1,1,4,0.7789909999999999,3.255703,3.2344860000000004,3.255703,2.476712,4,4,3.9839,1,1,1,4,0.7789909999999999,3.255703,3.2344860000000004,3.255703,2.476712,4,4,3.9839,Wolfsburg,0.1301,0.2539,0.616
4,h,1.27625,1.01304,1.27625,1.01304,10,4,3,1,1.5626,w,2015-09-18 22:30:00,1,0,0,3,0.2632100000000001,153,20,251,28,3,2,0,9,4.621887,10.194459000000002,6.330352,10.194459000000002,5.572572,9,5,9.001800000000001,3,2,0,9,4.621887,10.194459000000002,6.330352,10.194459000000002,5.572572,9,5,9.001800000000001,Hoffenheim,0.4147,0.3185,0.2668,h,0.694948,2.2128,0.694948,2.2128,4,8,1,3,0.3385,l,2015-09-13 17:30:00,0,0,1,0,-1.517852,144,29,256,28,0,3,1,1,-5.4495000000000005,3.871927,8.563648,3.114148,8.563648,3,7,3.4658,0,3,1,1,-5.4495000000000005,3.871927,8.563648,3.114148,8.563648,3,7,3.4658,Werder Bremen,0.0608,0.1561,0.7831
5,a,0.476793,1.74157,0.476793,1.74157,4,9,0,1,0.4196,l,2015-09-23 22:00:00,0,0,1,0,-1.264777,247,22,138,35,3,3,0,9,3.35711,10.671252000000004,8.071921999999999,10.671252000000004,7.314142,9,6,9.421400000000002,3,2,0,9,3.386657000000001,10.123483,7.494606,10.123483,6.736826,9,5,8.1442,Bayer Leverkusen,0.0698,0.2102,0.72,a,0.927753,4.08165,0.927753,3.32388,5,14,0,3,0.0725,l,2015-09-20 19:30:00,0,0,1,0,-2.396127,309,37,214,37,2,3,0,6,1.4053693999999997,7.604734999999999,8.4726956,7.604734999999999,6.1993656,3,8,7.8676,2,3,0,6,1.4053693999999997,7.604734999999999,8.4726956,7.604734999999999,6.1993656,3,8,7.8676,Borussia Dortmund,0.0105,0.041,0.9485
6,h,0.75194,2.77408,0.75194,2.01631,3,5,0,3,0.1483,l,2015-09-26 17:30:00,0,0,1,0,-1.2643699999999998,515,34,168,23,3,4,0,9,2.09274,11.423192000000002,10.846002,11.423192000000002,9.330452,9,9,9.569700000000005,2,3,0,6,1.338997000000001,8.864713,9.041266,8.864713,7.525716,7,7,6.337,Bayern Munich,0.0213,0.0844,0.8943,h,3.68676,0.160394,3.68676,0.160394,11,1,5,1,2.9662,w,2015-09-22 22:00:00,1,0,0,3,3.526366,289,22,513,11,6,0,0,18,14.642513,18.55038,2.3923060000000005,16.27704,1.6345269999999998,20,3,16.7232,5,0,0,15,11.567707,15.32134,2.2380720000000003,13.048,1.480293,15,3,13.7815,Wolfsburg,0.9838,0.0148,0.0014
7,a,1.45155,1.86109,1.45155,1.10331,8,4,3,2,1.0487,w,2015-10-02 22:30:00,1,0,0,3,0.3482399999999999,97,23,260,31,4,4,0,12,2.44098,12.874742,12.707092,12.874742,10.433762000000002,12,11,10.618400000000005,2,3,0,6,-1.3530569999999995,6.9028030000000005,10.52919,6.9028030000000005,8.25586,7,9,4.4639,Darmstadt,0.2591,0.2714,0.4695,a,0.508638,1.97055,0.508638,1.97055,1,17,2,2,0.3202,d,2015-09-27 19:30:00,0,1,0,1,-1.461912,368,29,96,26,2,1,4,10,-4.744632,5.803598000000001,10.54831,5.045898,9.79053,8,9,5.702299999999999,2,1,2,8,-5.186851,3.204099,7.633249999999999,2.446399,7.633249999999999,5,6,3.2611,Borussia Dortmund,0.0522,0.1636,0.7842
8,h,1.55155,3.64229,1.55155,2.86537,9,12,0,2,0.283,l,2015-10-16 22:30:00,0,0,1,0,-1.31382,219,41,307,35,4,5,0,12,1.1271599999999995,14.426292000000002,16.349382,14.426292000000002,13.299132000000002,12,13,10.901400000000002,2,3,0,6,-3.231517,5.508083,11.03207,5.508083,8.739600000000001,6,9,3.4622,Borussia Dortmund,0.0571,0.1117,0.8312,a,1.10489,3.72164,1.10489,2.96386,3,11,1,5,0.1156,l,2015-10-04 19:30:00,0,0,1,0,-1.85897,371,28,264,31,5,1,2,17,10.6810689,20.752630000000003,7.7982411,17.72153,7.0404611,22,11,18.604800000000004,2,1,2,8,2.5225339999999994,10.96616,6.928086,8.69284,6.170306,11,10,9.859800000000002,Bayern Munich,0.0185,0.0601,0.9214
9,h,1.53001,2.29004,1.53001,2.29004,7,4,1,3,0.8344999999999999,l,2015-10-24 17:30:00,0,0,1,0,-0.7600299999999998,142,26,305,32,4,6,0,12,0.3671299999999999,15.956302000000004,18.639422,15.956302000000004,15.589172,13,16,11.735900000000004,1,4,0,3,-4.254757,5.761843,12.30907,5.761843,10.0166,4,11,2.7341,Werder Bremen,0.2012,0.2309,0.5679,h,0.691198,2.13219,0.691198,2.13219,3,9,0,1,0.3762,l,2015-10-17 17:30:00,0,0,1,0,-1.440992,441,24,89,24,2,6,1,7,1.3439330000000005,12.261782,10.917773,10.746232,9.402299,7,14,12.930200000000005,0,5,0,0,-1.063479,4.944054,7.523007,4.944054,6.0075330000000005,1,8,4.7832,Bayern Munich,0.0697,0.1671,0.7632
