,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.452708,0.711094,0.452708,0.711094,4,2,0,2,1.0396999999999998,l,2016-08-27 17:30:00,0,0,1,0,-0.258386,297,30,241,14,0,1,0,0,-0.258386,0.452708,0.711094,0.452708,0.711094,0,2,1.0396999999999998,0,1,0,0,-0.258386,0.452708,0.711094,0.452708,0.711094,0,2,1.0396999999999998,Wolfsburg,0.2065,0.4202,0.3733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,1.65986,1.62947,1.65986,0.871696,4,7,2,1,1.372,w,2016-09-11 17:30:00,1,0,0,3,0.7881639999999999,203,37,198,26,1,1,0,3,0.5297779999999999,2.112568,2.340564,2.112568,1.58279,2,3,2.4117,1,1,0,3,0.5297779999999999,2.112568,2.340564,2.112568,1.58279,2,3,2.4117,Werder Bremen,0.3649,0.2773,0.3578,a,0.185791,4.53263,0.185791,3.7751,0,22,0,6,0.0072,l,2016-08-26 22:30:00,0,0,1,0,-3.589309,464,10,207,28,0,1,0,0,-3.589309,0.185791,4.53263,0.185791,3.7751,0,6,0.0072,0,1,0,0,-3.589309,0.185791,4.53263,0.185791,3.7751,0,6,0.0072,Bayern Munich,0.0004,0.006,0.9936
2,h,0.82866,1.54386,0.82866,1.54386,2,3,1,3,0.7161000000000001,l,2016-09-18 17:30:00,0,0,1,0,-0.7152000000000001,181,34,224,24,1,2,0,3,-0.1854220000000002,2.941228,3.884424,2.941228,3.12665,3,6,3.1278,1,2,0,3,-0.1854220000000002,2.941228,3.884424,2.941228,3.12665,3,6,3.1278,Mainz 05,0.1453,0.2802,0.5745,h,0.788235,2.26684,0.788235,2.26684,5,8,4,4,0.4333,d,2016-09-11 19:30:00,0,1,0,1,-1.4786050000000002,348,25,104,22,0,1,1,1,-1.461815,1.867085,4.08668,1.867085,3.3289,5,6,1.2159,0,1,1,1,-1.461815,1.867085,4.08668,1.867085,3.3289,5,6,1.2159,Hoffenheim,0.0904,0.1621,0.7475
3,a,0.230565,2.0338,0.230565,1.27602,0,15,0,0,0.1553,d,2016-09-21 22:00:00,0,1,0,1,-1.045455,408,30,118,25,1,2,1,4,-1.2308770000000002,3.171793,5.918224,3.171793,4.4026700000000005,3,6,3.2831,1,2,1,4,-1.2308770000000002,3.171793,5.918224,3.171793,4.4026700000000005,3,6,3.2831,Bayer Leverkusen,0.0173,0.1034,0.8793,a,2.11932,2.14781,1.36154,2.14781,8,5,1,2,1.3697,l,2016-09-17 17:30:00,0,0,1,0,-0.7862700000000002,192,26,356,53,1,2,0,3,-0.0822400000000003,5.36779,4.69225,4.61001,4.69225,5,5,4.621499999999999,1,2,0,3,-0.0822400000000003,5.36779,4.69225,4.61001,4.69225,5,5,4.621499999999999,Eintracht Frankfurt,0.3665,0.2702,0.3633
4,h,1.95473,0.129868,1.95473,0.129868,8,3,1,0,2.6856,w,2016-09-24 17:30:00,1,0,0,3,1.824862,115,23,386,22,2,2,1,7,0.5939849999999998,5.126523,6.0480920000000005,5.126523,4.532538000000001,4,6,5.9687,2,2,1,7,0.5939849999999998,5.126523,6.0480920000000005,5.126523,4.532538000000001,4,6,5.9687,Darmstadt,0.8515,0.1311,0.0174,h,1.62811,1.44238,1.62811,1.44238,2,7,1,1,1.5059,d,2016-09-20 22:00:00,0,1,0,1,0.1857299999999999,433,19,125,27,1,2,1,4,-7.626662,2.644038,10.2707,2.644038,10.2707,2,9,1.9285,1,2,1,4,-7.626662,2.644038,10.2707,2.644038,10.2707,2,9,1.9285,Hoffenheim,0.4083,0.281,0.3107
5,a,0.313816,1.04258,0.313816,1.04258,2,7,1,2,0.6614,l,2016-09-30 22:30:00,0,0,1,0,-0.7287640000000001,324,33,265,38,2,3,1,7,-0.1347790000000003,5.440339,7.0906720000000005,5.440339,5.575118000000001,5,8,6.6301000000000005,2,2,1,7,0.1236069999999996,4.987631,6.379578,4.987631,4.864024000000001,5,6,5.590400000000001,RasenBallsport Leipzig,0.1066,0.3416,0.5518,a,0.819612,0.366844,0.819612,0.366844,5,4,1,1,1.8089,d,2016-09-25 19:45:00,0,1,0,1,0.452768,233,24,251,17,2,0,3,9,5.063506,9.13244,3.311164,8.37467,3.311164,9,4,11.2033,2,0,3,9,5.063506,9.13244,3.311164,8.37467,3.311164,9,4,11.2033,FC Cologne,0.4762,0.3803,0.1435
6,h,0.414301,0.73357,0.414301,0.73357,2,3,1,1,0.972,d,2016-10-15 17:30:00,0,1,0,1,-0.3192690000000001,255,33,241,27,2,3,2,8,-0.4540480000000004,5.85464,7.824242000000001,5.85464,6.308688000000001,6,9,7.6021,1,2,2,5,-0.9838260000000004,3.742072,5.483678,3.742072,4.725898,4,6,5.1904,Schalke 04,0.185,0.417,0.398,h,3.05307,0.802215,2.29529,0.802215,5,6,4,0,2.7892,w,2016-10-02 19:30:00,1,0,0,3,1.4930750000000002,600,33,178,18,1,5,0,3,-0.8773159999999995,7.796870999999999,8.674187,7.039090999999999,7.916406999999999,6,10,7.0741000000000005,1,4,0,3,-0.699131,6.865956,6.807307,6.108176,6.807307,6,9,6.4432,Borussia M.Gladbach,0.9053,0.0733,0.0214
7,a,1.23006,1.53071,1.23006,1.53071,4,9,1,2,1.0447,l,2016-10-22 17:30:00,0,0,1,0,-0.3006500000000001,317,21,256,19,2,4,2,8,-0.7546980000000005,7.0847,9.354952,7.0847,7.839398000000001,7,11,8.6468,1,2,2,5,-0.5692760000000003,4.143472,5.470528,4.143472,4.712748,4,5,5.518999999999999,Freiburg,0.2446,0.3109,0.4445,a,0.860554,2.4316,0.860554,1.67382,7,4,1,2,0.3601999999999999,l,2016-10-15 17:30:00,0,0,1,0,-0.813266,220,26,307,31,3,4,0,9,-1.926006,7.506743999999999,9.432752,6.748965999999999,8.674972,8,11,8.7398,2,3,0,6,-2.083988,5.591641000000001,8.433409,5.591641000000001,7.675629,4,8,5.259,Hoffenheim,0.0684,0.155,0.7766
8,h,0.724858,3.47304,0.724858,3.47304,3,11,1,3,0.0907999999999999,l,2016-10-29 17:30:00,0,0,1,0,-2.748182,506,25,162,26,2,5,2,8,-3.50288,7.809558,12.827992000000002,7.809558,11.312438,8,14,8.7376,1,3,1,4,-2.272003,4.637765,6.909768000000001,4.637765,6.909768000000001,5,8,5.4545,Bayern Munich,0.0127,0.0527,0.9346,h,1.73353,0.49977,1.73353,0.49977,7,6,2,0,2.3381000000000003,w,2016-10-22 20:30:00,1,0,0,3,1.23376,308,32,443,26,6,0,2,20,10.13537,17.463532,6.570632,16.706001999999998,6.570632,20,4,16.912899999999997,3,0,2,11,6.384418,10.25733,3.872912,10.25733,3.872912,9,3,11.1289,Borussia M.Gladbach,0.7074,0.2159,0.0767
9,a,1.15792,0.587399,1.15792,0.587399,4,5,2,0,1.9004,w,2016-11-05 18:30:00,1,0,0,3,0.5705210000000001,164,16,203,23,3,5,2,11,-2.932359,8.967478,13.415391,8.967478,11.899837,10,14,10.638,1,3,1,4,-3.526344,3.840955,7.367299000000001,3.840955,7.367299000000001,6,8,4.6693,Ingolstadt,0.5295,0.3119,0.1586,a,0.216935,2.21072,0.216935,1.45294,0,5,0,2,0.1221,l,2016-10-29 17:30:00,0,0,1,0,-1.236005,206,22,152,31,0,7,2,2,-4.90616,10.258446,15.164611,8.742901,13.649061,7,19,10.0951,0,4,1,1,-7.466201,5.735534,13.20174,4.219989,11.68619,5,11,2.4517,Mainz 05,0.014,0.0801,0.9059
