,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.360723,0.869084,0.360723,0.869084,1,10,1,2,0.8162,l,2016-08-28 17:30:00,0,0,1,0,-0.508361,353,13,333,24,0,1,0,0,-0.508361,0.360723,0.869084,0.360723,0.869084,1,2,0.8162,0,1,0,0,-0.508361,0.360723,0.869084,0.360723,0.869084,1,2,0.8162,Hertha Berlin,0.1429,0.3875,0.4696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,1.55438,0.130259,0.796602,0.130259,4,0,3,1,2.6646,w,2016-09-10 17:30:00,1,0,0,3,0.666343,435,30,165,16,1,1,0,3,0.157982,1.915103,0.999343,1.1573250000000002,0.999343,4,3,3.4807999999999995,1,1,0,3,0.157982,1.915103,0.999343,1.1573250000000002,0.999343,4,3,3.4807999999999995,Borussia M.Gladbach,0.8406,0.1428,0.0166,h,1.88815,1.11067,1.88815,1.11067,3,7,2,1,1.9589,w,2016-08-27 20:30:00,1,0,0,3,0.77748,218,25,266,40,1,0,0,3,0.77748,1.88815,1.11067,1.88815,1.11067,2,1,1.9589,1,0,0,3,0.77748,1.88815,1.11067,1.88815,1.11067,2,1,1.9589,Bayer Leverkusen,0.5722,0.2423,0.1855
2,a,1.4295,1.40487,1.4295,1.40487,3,4,0,3,1.2927,l,2016-09-16 22:30:00,0,0,1,0,0.0246299999999999,165,19,381,16,1,2,0,3,0.182612,3.344603,2.404213,2.586825,2.404213,4,6,4.773499999999999,1,2,0,3,0.182612,3.344603,2.404213,2.586825,2.404213,4,6,4.773499999999999,FC Cologne,0.3307,0.3006,0.3687,a,1.36943,0.914326,1.36943,0.914326,4,5,0,0,1.7677999999999998,d,2016-09-10 17:30:00,0,1,0,1,0.4551039999999999,298,12,144,12,1,0,1,4,3.028239,4.501379999999999,1.473141,4.501379999999999,1.473141,2,0,4.5909,1,0,1,4,3.028239,4.501379999999999,1.473141,4.501379999999999,1.473141,2,0,4.5909,Wolfsburg,0.4975,0.2753,0.2272
3,h,1.78293,0.647916,1.78293,0.647916,5,3,1,0,2.3531,w,2016-09-20 22:00:00,1,0,0,3,1.135014,253,33,221,16,2,2,0,6,1.317626,5.127533,3.052129,4.369755,3.052129,5,6,7.1266,2,2,0,6,1.317626,5.127533,3.052129,4.369755,3.052129,5,6,7.1266,Hamburger SV,0.7096,0.2243,0.0661,h,1.08134,3.30009,1.08134,2.54232,4,5,0,4,0.1433,l,2016-09-17 17:30:00,0,0,1,0,-1.4609800000000002,157,20,307,31,0,2,1,1,-3.840223,2.047337,6.64533,2.047337,5.887560000000001,2,8,1.0429000000000002,0,2,1,1,-3.840223,2.047337,6.64533,2.047337,5.887560000000001,2,8,1.0429000000000002,RasenBallsport Leipzig,0.0217,0.0782,0.9001
4,a,1.05384,3.2333,1.05384,3.2333,2,14,1,3,0.2122,l,2016-09-23 22:30:00,0,0,1,0,-2.17946,372,49,129,27,2,3,0,6,-0.8618339999999998,6.181373,6.285429,5.423595,6.285429,6,9,7.3388,2,3,0,6,-0.8618339999999998,6.181373,6.285429,5.423595,6.285429,6,9,7.3388,Borussia Dortmund,0.0371,0.1009,0.862,a,2.34245,2.71087,2.34245,2.71087,4,11,5,1,1.1589,w,2016-09-20 22:00:00,1,0,0,3,-0.3684199999999999,327,15,357,37,3,1,0,9,3.020731,8.698618,4.920107,7.940837999999999,4.920107,13,3,6.9155,3,1,0,9,3.020731,8.698618,4.920107,7.940837999999999,4.920107,13,3,6.9155,Wolfsburg,0.3123,0.222,0.4657
5,h,0.464817,0.715723,0.464817,0.715723,9,8,1,0,1.0408,w,2016-10-01 17:30:00,1,0,0,3,-0.250906,331,27,134,25,3,3,0,9,-1.1127399999999998,6.64619,7.001151999999999,5.888412,7.001151999999999,7,9,8.3796,3,2,0,9,-0.6043789999999998,6.285467,6.132067999999999,5.527689,6.132067999999999,6,7,7.5634,Eintracht Frankfurt,0.2088,0.4144,0.3768,h,1.50633,1.17158,1.50633,0.413801,11,3,3,3,1.6606,d,2016-09-24 17:30:00,0,1,0,1,1.092529,258,28,336,28,3,1,1,10,2.992141,7.5156360000000015,5.281274,6.757856000000001,3.765715,8,5,8.5286,3,1,1,10,2.992141,7.5156360000000015,5.281274,6.757856000000001,3.765715,8,5,8.5286,Hertha Berlin,0.4497,0.3115,0.2388
6,a,0.860554,2.4316,0.860554,1.67382,7,4,1,2,0.3601999999999999,l,2016-10-15 17:30:00,0,0,1,0,-0.813266,220,26,307,31,3,4,0,9,-1.926006,7.506743999999999,9.432752,6.748965999999999,8.674972,8,11,8.7398,2,3,0,6,-2.083988,5.591641000000001,8.433409,5.591641000000001,7.675629,4,8,5.259,Hoffenheim,0.0684,0.155,0.7766,a,3.31162,2.21758,3.31162,1.45981,5,4,2,1,2.1105,w,2016-10-01 17:30:00,1,0,0,3,1.85181,205,30,246,38,2,0,4,10,2.230585,11.9776,10.504784999999998,11.9776,9.747014999999998,11,9,9.3731,2,0,3,9,3.549605,10.82136,8.029525,10.82136,7.271755000000001,9,7,8.8384,Ingolstadt,0.6401,0.1902,0.1697
7,h,1.53071,1.23006,1.53071,1.23006,9,4,2,1,1.6444,w,2016-10-22 17:30:00,1,0,0,3,0.3006500000000001,256,19,317,21,4,4,0,12,-1.6253559999999998,9.037454,10.662812,8.279675999999998,9.905032,10,12,10.3842,3,2,0,9,-1.807968,5.692851,8.258599,5.692851,7.500819,6,6,5.6107,Augsburg,0.4445,0.3109,0.2446,h,0.414301,0.73357,0.414301,0.73357,2,3,1,1,0.972,d,2016-10-15 17:30:00,0,1,0,1,-0.3192690000000001,255,33,241,27,2,3,2,8,-0.4540480000000004,5.85464,7.824242000000001,5.85464,6.308688000000001,6,9,7.6021,1,2,2,5,-0.9838260000000004,3.742072,5.483678,3.742072,4.725898,4,6,5.1904,Schalke 04,0.185,0.417,0.398
8,a,1.71134,1.29428,0.953566,1.29428,6,6,3,1,1.6929999999999998,w,2016-10-29 17:30:00,1,0,0,3,-0.3407140000000001,263,34,161,26,5,4,0,15,-1.96607,10.748794,11.957092,9.233242,11.199312,13,13,12.0772,3,2,0,9,-3.283696,5.6212610000000005,8.904963,4.863487,8.147183,8,7,4.9506,Werder Bremen,0.4714,0.2788,0.2498,a,0.913725,3.33619,0.913725,3.33619,5,11,1,3,0.1486,l,2016-10-23 17:30:00,0,0,1,0,-2.4224650000000003,260,18,201,54,2,5,1,7,-6.313414,9.025616,16.854344,8.267842,14.581256,10,21,8.3558,2,2,1,7,-0.2647910000000002,6.008795,7.031364,6.008795,6.273586,8,9,6.848199999999999,RasenBallsport Leipzig,0.0232,0.079,0.8978
9,h,0.916201,2.12583,0.916201,1.36806,2,4,0,3,0.4995,l,2016-11-05 18:30:00,0,0,1,0,-0.451859,141,15,271,33,5,5,0,15,-2.417929,11.664995,14.082922,10.149442999999998,12.567372,13,16,12.5767,3,2,0,9,-1.5560950000000002,5.483622,7.797493000000001,4.725848,6.281943,7,7,5.2379,Wolfsburg,0.1014,0.1953,0.7033,h,1.1136,2.12119,1.1136,2.12119,3,10,1,2,0.6804,l,2016-10-29 17:30:00,0,0,1,0,-1.00759,225,48,191,32,1,5,3,6,-1.1685289999999997,10.867054,12.793363,10.867054,12.035583,6,13,10.7091,0,4,1,1,-1.7531309999999998,4.182244,6.693154999999999,4.182244,5.9353750000000005,3,8,4.9091,Bayer Leverkusen,0.1536,0.2196,0.6268
