,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,1.20744,0.309707,1.20744,0.309707,3,2,1,1,2.1924,d,2016-08-27 17:30:00,0,1,0,1,0.8977330000000001,187,24,200,25,0,0,1,1,0.8977330000000001,1.20744,0.309707,1.20744,0.309707,1,1,2.1924,0,0,1,1,0.8977330000000001,1.20744,0.309707,1.20744,0.309707,1,1,2.1924,Hamburger SV,0.6363,0.2835,0.0802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,0.986677,0.854096,0.986677,0.854096,7,5,0,2,1.4582,l,2016-09-10 17:30:00,0,0,1,0,0.132581,167,36,239,23,0,1,1,1,1.0303140000000002,2.1941170000000003,1.163803,2.1941170000000003,1.163803,1,3,3.6506,0,1,1,1,1.0303140000000002,2.1941170000000003,1.163803,2.1941170000000003,1.163803,1,3,3.6506,Hertha Berlin,0.3717,0.3431,0.2852,h,0.869084,0.360723,0.869084,0.360723,10,1,2,1,1.7963,w,2016-08-28 17:30:00,1,0,0,3,0.508361,333,24,353,13,1,0,0,3,0.508361,0.869084,0.360723,0.869084,0.360723,2,1,1.7963,1,0,0,3,0.508361,0.869084,0.360723,0.869084,0.360723,2,1,1.7963,Freiburg,0.4696,0.3875,0.1429
2,a,1.54672,0.446972,1.54672,0.446972,5,9,1,3,2.2691,l,2016-09-17 17:30:00,0,0,1,0,1.0997480000000002,313,29,98,24,0,2,1,1,2.130062000000001,3.740837,1.6107749999999998,3.740837,1.6107749999999998,2,6,5.9197,0,2,1,1,2.130062000000001,3.740837,1.6107749999999998,3.740837,1.6107749999999998,2,6,5.9197,Bayern Munich,0.679,0.2321,0.0889,a,2.2266,0.965209,2.2266,0.965209,19,3,2,0,2.2984,w,2016-09-09 22:30:00,1,0,0,3,1.261391,151,26,386,32,2,0,0,6,4.8507,6.7592300000000005,1.151,6.0017,1.151,8,0,5.2852,2,0,0,6,4.8507,6.7592300000000005,1.151,6.0017,1.151,8,0,5.2852,Schalke 04,0.6996,0.1996,0.1008
3,h,0.782075,0.352096,0.782075,0.352096,9,1,0,2,1.7237,l,2016-09-20 22:00:00,0,0,1,0,0.4299789999999999,133,35,163,26,0,3,1,1,2.5600410000000005,4.522912000000001,1.962871,4.522912000000001,1.962871,2,8,7.6434,0,3,1,1,2.5600410000000005,4.522912000000001,1.962871,4.522912000000001,1.962871,2,8,7.6434,Eintracht Frankfurt,0.435,0.4187,0.1463,h,2.14781,2.11932,2.14781,1.36154,5,8,2,1,1.3601,w,2016-09-17 17:30:00,1,0,0,3,0.7862700000000002,356,53,192,26,2,1,0,6,2.329591,5.657210000000001,3.3276190000000003,4.899430000000001,2.569839,3,2,6.0104,2,1,0,6,2.329591,5.657210000000001,3.3276190000000003,4.899430000000001,2.569839,3,2,6.0104,Bayer Leverkusen,0.3633,0.2702,0.3665
4,a,0.535119,1.18177,0.535119,1.18177,3,5,0,2,0.7384,l,2016-09-24 17:30:00,0,0,1,0,-0.646651,323,29,223,31,0,4,1,1,1.9133900000000008,5.058031000000001,3.144641,5.058031000000001,3.144641,2,10,8.3818,0,4,1,1,1.9133900000000008,5.058031000000001,3.144641,5.058031000000001,3.144641,2,10,8.3818,Borussia M.Gladbach,0.1439,0.3067,0.5494,a,0.224262,1.58682,0.224262,1.58682,4,5,1,1,0.306,d,2016-09-21 22:00:00,0,1,0,1,-1.362558,185,32,344,29,2,1,1,7,0.4197290000000002,5.8731610000000005,5.453429999999999,5.115381,4.695652,8,6,5.2349000000000006,2,1,1,7,0.4197290000000002,5.8731610000000005,5.453429999999999,5.115381,4.695652,8,6,5.2349000000000006,RasenBallsport Leipzig,0.0384,0.1908,0.7708
5,h,2.21758,3.31162,1.45981,3.31162,4,5,1,2,0.6993,l,2016-10-01 17:30:00,0,0,1,0,-1.85181,246,38,205,30,0,5,1,1,0.0615800000000006,7.275611,6.456261,6.517841000000001,6.456261,3,12,9.0811,0,5,0,0,-0.8361529999999999,6.068171,6.146554,5.310401,6.146554,2,11,6.888699999999999,Hoffenheim,0.1697,0.1902,0.6401,h,1.8649,1.04708,1.8649,1.04708,3,8,2,1,2.0308,w,2016-09-25 17:30:00,1,0,0,3,0.81782,343,19,260,34,1,0,4,7,0.3787749999999998,8.66598,8.287204999999998,8.66598,8.287204999999998,9,8,7.2626,1,0,4,7,0.3787749999999998,8.66598,8.287204999999998,8.66598,8.287204999999998,9,8,7.2626,Schalke 04,0.5902,0.2602,0.1496
6,a,1.07265,3.98127,0.314875,3.2235,5,7,1,2,0.0851,l,2016-10-15 17:30:00,0,0,1,0,-2.908625,341,27,136,25,0,6,1,1,-2.847044999999999,8.348261,10.437531,6.8327160000000005,9.679761,4,14,9.1662,0,5,0,0,-3.877359,6.154144,9.273728,4.638599,8.515958,3,11,5.515599999999999,FC Cologne,0.013,0.0461,0.9409,a,0.899194,2.20563,0.899194,2.20563,1,12,1,1,0.5026,d,2016-10-01 17:30:00,0,1,0,1,-1.3064360000000002,342,8,178,17,3,0,3,12,1.0570150000000005,8.361037999999999,7.304023000000001,8.361037999999999,7.304023000000001,10,3,8.530399999999998,2,0,3,9,-1.51612,5.229088000000001,6.745208,5.229088000000001,6.745208,8,3,5.707300000000001,Bayern Munich,0.1044,0.1894,0.7062
7,h,1.69325,2.51636,1.69325,2.51636,3,10,3,3,0.8068,d,2016-10-22 17:30:00,0,1,0,1,-0.8231100000000002,378,18,86,27,0,6,2,2,-3.670155,10.041511,12.953891,8.525966,12.196121,7,17,9.973,0,4,1,1,-5.800217,6.300674,11.343116,4.785129,10.585346,5,11,4.0533,Borussia Dortmund,0.193,0.2278,0.5792,h,2.60334,0.994838,1.84556,0.994838,7,2,1,1,2.5053,d,2016-10-14 22:30:00,0,1,0,1,0.8507220000000001,101,19,456,31,4,2,1,13,5.36138,15.372705,8.495765,13.857145,8.495765,17,7,12.8654,3,1,1,10,5.846349999999999,13.070387,6.466257,12.312607000000002,6.466257,15,5,10.0867,Hertha Berlin,0.7858,0.1479,0.0663
8,a,0.216935,2.21072,0.216935,1.45294,0,5,0,2,0.1221,l,2016-10-29 17:30:00,0,0,1,0,-1.236005,206,22,152,31,0,7,2,2,-4.90616,10.258446,15.164611,8.742901,13.649061,7,19,10.0951,0,4,1,1,-7.466201,5.735534,13.20174,4.219989,11.68619,5,11,2.4517,Mainz 05,0.014,0.0801,0.9059,a,0.987414,1.21196,0.987414,1.21196,4,9,0,3,1.1439,l,2016-10-23 19:30:00,0,0,1,0,-0.2245459999999999,242,26,223,32,3,3,2,11,0.1270789999999995,10.645154,12.03363,9.887374,9.760295,14,15,10.0151,2,2,1,7,0.8736939999999997,7.234209000000001,7.11829,6.476429,5.602734999999999,6,8,6.7955000000000005,Schalke 04,0.2783,0.309,0.4127
9,h,0.587399,1.15792,0.587399,1.15792,5,4,0,2,0.7877000000000001,l,2016-11-05 18:30:00,0,0,1,0,-0.5705210000000001,203,23,164,16,0,8,2,2,-5.476681,10.845845,16.322531,9.3303,14.806981,7,21,10.8828,0,4,1,1,-7.390071,5.787814000000001,13.17789,4.272269,11.66234,5,11,2.5010000000000003,Augsburg,0.1586,0.3119,0.5295,h,0.724858,3.47304,0.724858,3.47304,3,11,1,3,0.0907999999999999,l,2016-10-29 17:30:00,0,0,1,0,-2.748182,506,25,162,26,2,5,2,8,-3.50288,7.809558,12.827992000000002,7.809558,11.312438,8,14,8.7376,1,3,1,4,-2.272003,4.637765,6.909768000000001,4.637765,6.909768000000001,5,8,5.4545,Bayern Munich,0.0127,0.0527,0.9346
