,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,2.47526,1.15624,2.47526,1.15624,7,7,2,2,2.2783,d,2016-08-28 19:30:00,0,1,0,1,1.31902,276,25,133,21,0,0,1,1,1.31902,2.47526,1.15624,2.47526,1.15624,2,2,2.2783,0,0,1,1,1.31902,2.47526,1.15624,2.47526,1.15624,2,2,2.2783,Hoffenheim,0.6971,0.187,0.1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,0.950658,0.482478,0.950658,0.482478,7,10,1,0,1.8344,w,2016-09-10 20:30:00,1,0,0,3,0.46818,363,34,139,19,1,0,1,4,1.7872,3.425918,1.638718,3.425918,1.638718,3,2,4.1127,1,0,1,4,1.7872,3.425918,1.638718,3.425918,1.638718,3,2,4.1127,Borussia Dortmund,0.4951,0.3491,0.1558,h,1.81984,1.07885,1.06206,1.07885,3,5,2,1,1.9622,w,2016-08-27 17:30:00,1,0,0,3,-0.01679,108,20,456,35,1,0,0,3,-0.01679,1.81984,1.07885,1.06206,1.07885,2,1,1.9622,1,0,0,3,-0.01679,1.81984,1.07885,1.06206,1.07885,2,1,1.9622,Mainz 05,0.569,0.2552,0.1758
2,a,3.30009,1.08134,2.54232,1.08134,5,4,4,0,2.7785,w,2016-09-17 17:30:00,1,0,0,3,1.4609800000000002,307,31,157,20,2,0,1,7,3.2481800000000005,6.726008,2.720058,5.968238,2.720058,7,2,6.8912,2,0,1,7,3.2481800000000005,6.726008,2.720058,5.968238,2.720058,7,2,6.8912,Hamburger SV,0.9001,0.0782,0.0217,a,0.65629,2.1378,0.65629,2.1378,5,9,1,3,0.3755,l,2016-09-10 17:30:00,0,0,1,0,-1.48151,246,28,123,26,0,1,1,1,-2.379243,0.965997,3.34524,0.965997,3.34524,2,4,0.8996000000000001,0,1,1,1,-2.379243,0.965997,3.34524,0.965997,3.34524,2,4,0.8996000000000001,Bayer Leverkusen,0.068,0.1715,0.7605
3,h,1.58682,0.224262,1.58682,0.224262,5,4,1,1,2.5032,d,2016-09-21 22:00:00,0,1,0,1,1.362558,344,29,185,32,2,0,2,8,4.610738,8.312828,2.94432,7.555058000000001,2.94432,8,3,9.3944,2,0,2,8,4.610738,8.312828,2.94432,7.555058000000001,2.94432,8,3,9.3944,Borussia M.Gladbach,0.7708,0.1908,0.0384,h,3.63049,1.20156,2.87271,1.20156,6,5,4,1,2.7774,w,2016-09-17 20:30:00,1,0,0,3,1.67115,231,22,398,30,2,1,0,6,1.7822870000000002,5.648899,3.86661,4.891119,3.108832,7,5,4.9289000000000005,2,1,0,6,1.7822870000000002,5.648899,3.86661,4.891119,3.108832,7,5,4.9289000000000005,Werder Bremen,0.9015,0.0729,0.0256
4,a,0.819612,0.366844,0.819612,0.366844,5,4,1,1,1.8089,d,2016-09-25 19:45:00,0,1,0,1,0.452768,233,24,251,17,2,0,3,9,5.063506,9.13244,3.311164,8.37467,3.311164,9,4,11.2033,2,0,3,9,5.063506,9.13244,3.311164,8.37467,3.311164,9,4,11.2033,FC Cologne,0.4762,0.3803,0.1435,a,1.18875,1.37614,1.18875,1.37614,3,11,3,1,1.2194,w,2016-09-21 22:00:00,1,0,0,3,-0.1873899999999999,340,22,147,23,3,0,1,10,2.816219,7.094999999999999,4.278781,7.094999999999999,4.278781,8,1,7.217,3,0,1,10,2.816219,7.094999999999999,4.278781,7.094999999999999,4.278781,8,1,7.217,Schalke 04,0.3043,0.3065,0.3892
5,h,1.04258,0.313816,1.04258,0.313816,7,2,2,1,1.997,w,2016-09-30 22:30:00,1,0,0,3,0.7287640000000001,265,38,324,33,3,0,3,12,5.79227,10.17502,3.62498,9.41725,3.62498,11,5,13.2003,3,0,2,11,4.47325,7.699759999999999,2.46874,6.9419900000000005,2.46874,9,3,10.922,Augsburg,0.5518,0.3416,0.1066,h,1.95473,0.129868,1.95473,0.129868,8,3,1,0,2.6856,w,2016-09-24 17:30:00,1,0,0,3,1.824862,115,23,386,22,2,2,1,7,0.5939849999999998,5.126523,6.0480920000000005,5.126523,4.532538000000001,4,6,5.9687,2,2,1,7,0.5939849999999998,5.126523,6.0480920000000005,5.126523,4.532538000000001,4,6,5.9687,Darmstadt,0.8515,0.1311,0.0174
6,a,1.82053,0.684268,1.06275,0.684268,9,3,1,0,2.3044,w,2016-10-16 19:30:00,1,0,0,3,0.3784820000000001,244,29,175,25,4,0,3,15,6.170752,11.99555,4.309248,10.48,4.309248,12,5,15.5047,3,0,2,11,4.383552,8.569632,2.67053,7.054082,2.67053,9,3,11.392,Wolfsburg,0.6981,0.2101,0.0918,h,1.32308,0.256465,1.32308,0.256465,8,7,0,0,2.3174,d,2016-10-02 17:30:00,0,1,0,1,1.066615,197,25,331,29,1,2,3,6,1.0199760000000004,8.491309000000001,7.471333,8.491309000000001,7.471333,4,7,8.8838,0,2,3,3,0.7615900000000004,7.780214999999999,7.018624999999999,7.780214999999999,7.018624999999999,2,7,7.3437,Mainz 05,0.6875,0.2549,0.0576
7,h,3.33619,0.913725,3.33619,0.913725,11,5,3,1,2.7724,w,2016-10-23 17:30:00,1,0,0,3,2.4224650000000003,201,54,260,18,5,0,3,18,8.593217000000001,15.33174,5.2229730000000005,13.81619,5.2229730000000005,15,6,18.2771,3,0,2,11,5.3450370000000005,8.605732,2.502915,7.847952,2.502915,8,4,11.3859,Werder Bremen,0.8978,0.079,0.0232,h,1.51915,0.548105,1.51915,0.548105,4,14,2,1,2.2715,w,2016-10-15 20:30:00,1,0,0,3,0.971045,282,16,164,35,2,4,1,7,-3.890949,8.111891,13.518154,7.354117,11.245066,9,18,8.2072,2,2,1,7,0.486524,6.29663,7.325664,6.29663,5.810105999999999,8,10,6.8493,Bayer Leverkusen,0.6829,0.2228,0.0943
8,a,1.64364,0.199603,1.64364,0.199603,9,2,2,0,2.6202,w,2016-10-29 17:30:00,1,0,0,3,1.444037,111,28,306,27,6,0,3,21,10.037254,16.97538,5.422576,15.459829999999998,5.422576,17,6,20.8973,4,0,1,13,5.426516,8.662552,2.478256,7.904771999999999,2.478256,9,3,11.5029,Darmstadt,0.8223,0.1533,0.0244,h,1.38031,0.577877,1.38031,0.577877,5,3,3,1,2.0661,w,2016-10-22 17:30:00,1,0,0,3,0.802433,487,28,148,18,2,4,2,8,-11.366164,7.363215999999999,17.213827000000002,5.089883,16.456047,8,15,6.0198,1,2,2,5,-3.5537719999999995,6.347288,8.385507,4.073955,7.627727,7,7,5.597200000000001,Wolfsburg,0.5972,0.2745,0.1283
9,h,2.98005,0.510631,2.98005,0.510631,9,3,3,1,2.7776,w,2016-11-06 18:30:00,1,0,0,3,2.469419,246,37,216,35,7,0,3,24,12.506673,19.95543,5.933207,18.43988,5.933207,20,7,23.6749,5,0,0,15,7.443167000000001,10.82299,2.622043,10.06521,2.622043,11,3,12.4716,Mainz 05,0.9003,0.0767,0.023,h,2.21072,0.216935,1.45294,0.216935,5,0,2,0,2.7978,w,2016-10-29 17:30:00,1,0,0,3,1.236005,152,31,206,22,4,3,2,14,1.3630839999999995,12.855874,12.250564999999998,11.340314,9.97723,16,15,12.8129,2,2,1,7,1.6397789999999997,8.059009,6.419225,6.543449,4.903670000000001,6,7,7.832600000000001,Ingolstadt,0.9059,0.0801,0.014
