,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.837903,1.62503,0.837903,1.62503,4,10,0,1,0.7776,l,2017-08-20 17:00:00,0,0,1,0,-0.787127,346,22,312,22,0,1,0,0,-0.787127,0.837903,1.62503,0.837903,1.62503,0,1,0.7776,0,1,0,0,-0.787127,0.837903,1.62503,0.837903,1.62503,0,1,0.7776,Borussia M.Gladbach,0.1769,0.2469,0.5762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,1.88741,1.64554,1.88741,1.64554,10,4,1,3,1.5215999999999998,l,2017-08-25 19:30:00,0,0,1,0,0.24187,95,11,322,16,0,2,0,0,-0.545257,2.725313,3.27057,2.725313,3.27057,1,4,2.2992,0,2,0,0,-0.545257,2.725313,3.27057,2.725313,3.27057,1,4,2.2992,Hamburger SV,0.4144,0.2784,0.3072,h,0.55238,0.573987,0.55238,0.573987,4,11,1,0,1.2538,w,2017-08-19 14:30:00,1,0,0,3,-0.021607,267,25,110,24,1,0,0,3,-0.021607,0.55238,0.573987,0.55238,0.573987,1,0,1.2538,1,0,0,3,-0.021607,0.55238,0.573987,0.55238,0.573987,1,0,1.2538,Augsburg,0.2777,0.4207,0.3016
2,a,0.458374,2.27655,0.458374,1.51878,8,1,0,3,0.2017,l,2017-09-09 14:30:00,0,0,1,0,-1.060406,110,20,296,25,0,3,0,0,-1.6056629999999998,3.183687,5.54712,3.183687,4.789350000000001,1,7,2.5009,0,3,0,0,-1.6056629999999998,3.183687,5.54712,3.183687,4.789350000000001,1,7,2.5009,Augsburg,0.0319,0.106,0.8621,h,2.45658,1.3232,2.45658,1.3232,12,6,2,2,2.1084,d,2017-08-26 14:30:00,0,1,0,1,1.1333800000000005,267,35,219,15,0,1,1,1,1.1549870000000002,3.0305670000000005,1.87558,3.0305670000000005,1.87558,2,3,3.4339,0,1,1,1,1.1549870000000002,3.0305670000000005,1.87558,3.0305670000000005,1.87558,2,3,3.4339,Borussia M.Gladbach,0.6372,0.1968,0.166
3,a,0.461837,3.85155,0.461837,3.09377,1,9,0,5,0.043,l,2017-09-17 17:00:00,0,0,1,0,-2.631933,452,20,127,21,0,4,0,0,-4.237596,3.645524,9.39867,3.645524,7.883120000000001,1,12,2.5439,0,4,0,0,-4.237596,3.645524,9.39867,3.645524,7.883120000000001,1,12,2.5439,Borussia Dortmund,0.0056,0.0262,0.9682,a,1.56801,0.490076,1.56801,0.490076,9,1,0,0,2.1934,d,2017-09-09 14:30:00,0,1,0,1,1.077934,57,21,365,11,2,0,1,7,3.370638,4.76212,1.391482,4.76212,1.391482,5,0,6.716200000000001,2,0,1,7,3.370638,4.76212,1.391482,4.76212,1.391482,5,0,6.716200000000001,Freiburg,0.6471,0.2521,0.1008
4,h,1.84333,1.33101,1.84333,0.573238,6,4,0,1,1.8064,l,2017-09-20 17:30:00,0,0,1,0,1.270092,204,31,272,27,0,5,0,0,-2.967504,5.488854,10.729679999999998,5.488854,8.456358000000002,1,13,4.3503,0,5,0,0,-2.967504,5.488854,10.729679999999998,5.488854,8.456358000000002,1,13,4.3503,Eintracht Frankfurt,0.5001,0.3061,0.1938,h,1.32498,0.72838,1.32498,0.72838,14,5,1,2,1.8418,l,2017-09-16 14:30:00,0,0,1,0,0.5966,122,25,302,21,1,2,1,4,1.7419570000000002,4.409026000000001,2.667069,4.409026000000001,2.667069,2,3,6.784199999999999,1,2,1,4,1.7419570000000002,4.409026000000001,2.667069,4.409026000000001,2.667069,2,3,6.784199999999999,Augsburg,0.5188,0.2854,0.1958
5,a,1.10618,1.35909,1.10618,1.35909,3,6,0,0,1.15,d,2017-09-24 14:30:00,0,1,0,1,-0.2529099999999999,288,20,112,13,0,5,1,1,-3.220414,6.595034,12.088769999999998,6.595034,9.815448000000002,1,13,5.5003,0,4,1,1,-2.433287,5.757131,10.46374,5.757131,8.190418,1,12,4.7227,Hannover 96,0.2767,0.3199,0.4034,a,1.03212,2.89359,1.03212,2.13581,1,4,1,1,0.2689,d,2017-09-20 19:30:00,0,1,0,1,-1.1036900000000005,209,22,243,32,3,0,2,11,0.572743,5.226091,5.411128,5.226091,4.653348,6,2,6.9164,3,0,2,11,0.572743,5.226091,5.411128,5.226091,4.653348,6,2,6.9164,Freiburg,0.0509,0.1162,0.8329
6,h,1.34012,3.09763,1.34012,3.09763,3,13,1,2,0.3933,l,2017-10-01 17:00:00,0,0,1,0,-1.75751,220,25,206,32,0,6,1,1,-4.977924,7.935154,15.1864,7.935154,12.913078000000002,2,15,5.8936,0,4,1,1,-4.432667,5.209841,11.91583,5.209841,9.642508,1,11,3.5944000000000003,RasenBallsport Leipzig,0.0845,0.1398,0.7757,h,1.54654,0.539765,1.54654,0.539765,6,3,2,1,2.2139,w,2017-09-23 14:30:00,1,0,0,3,1.006775,144,26,283,28,3,2,1,10,2.990871,8.308374,6.833052,8.308374,5.317503,10,7,8.6787,3,1,1,10,3.354216,7.517158999999999,4.9207220000000005,7.517158999999999,4.162943,10,5,8.196000000000002,Eintracht Frankfurt,0.6566,0.2441,0.0993
7,a,1.58359,2.18945,1.58359,2.18945,7,9,1,2,0.9405,l,2017-10-13 19:30:00,0,0,1,0,-0.6058599999999998,153,17,224,24,0,7,1,1,-5.583784,9.518744,17.37585,9.518744,15.102528000000005,3,17,6.8341,0,4,1,1,-3.978121,6.335057,11.82873,6.335057,10.313178,2,10,4.3332,VfB Stuttgart,0.2376,0.2277,0.5347,a,0.884399,1.12984,0.884399,1.12984,3,2,1,2,1.1365,l,2017-09-30 14:30:00,0,0,1,0,-0.2454409999999999,197,24,323,26,2,4,1,7,2.061871,7.219579,5.915485,6.461799,4.399928,4,9,10.353699999999998,1,3,1,4,0.6750510000000002,4.252440999999999,5.092947,4.252440999999999,3.5773899999999994,3,7,5.9499,Eintracht Frankfurt,0.274,0.3145,0.4115
8,h,1.79566,0.948887,1.79566,0.948887,9,5,0,0,2.0651,d,2017-10-22 12:30:00,0,1,0,1,0.846773,218,22,169,22,0,7,2,2,-4.737011,11.314404,18.324737,11.314404,16.051415000000002,3,17,8.8992,0,3,2,2,-0.4994149999999999,7.66888,8.926067,7.66888,8.168295,2,5,6.3553,Werder Bremen,0.6082,0.2405,0.1513,h,1.52059,1.45235,1.52059,1.45235,4,12,0,2,1.4126,l,2017-10-15 17:00:00,0,0,1,0,0.06824,316,23,274,26,0,4,4,4,-0.7615299999999999,7.079817,7.841347,7.079817,7.841347,3,9,9.9456,0,2,3,3,0.2568660000000001,5.473631999999999,5.216766,5.473631999999999,5.216766,2,5,6.830800000000001,Borussia M.Gladbach,0.3823,0.2657,0.352
9,a,0.850339,1.44263,0.850339,1.44263,5,8,1,2,0.8239000000000001,l,2017-10-28 14:30:00,0,0,1,0,-0.5922910000000001,294,23,112,25,0,8,2,2,-5.329302,12.164743,19.767367,12.164743,17.494045000000003,4,19,9.7231,0,3,2,2,-2.361798,6.675889,9.037687,6.675889,9.037687,3,6,5.3728,Bayer Leverkusen,0.1695,0.3154,0.5151,a,2.24178,2.49876,2.24178,2.49876,7,11,5,1,1.2145,w,2017-10-21 14:30:00,1,0,0,3,-0.25698,349,27,236,23,3,3,3,12,4.990130000000001,15.191318999999998,10.201189,14.433539,9.443409,20,14,15.780699999999998,2,1,2,8,2.674745,7.649981,4.975236,7.649981,4.975236,12,6,8.6999,Borussia M.Gladbach,0.3278,0.2311,0.4411
