,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.55238,0.573987,0.55238,0.573987,4,11,1,0,1.2538,w,2017-08-19 14:30:00,1,0,0,3,-0.021607,267,25,110,24,1,0,0,3,-0.021607,0.55238,0.573987,0.55238,0.573987,1,0,1.2538,1,0,0,3,-0.021607,0.55238,0.573987,0.55238,0.573987,1,0,1.2538,Augsburg,0.2777,0.4207,0.3016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,1.64554,1.88741,1.64554,1.88741,4,10,3,1,1.2,w,2017-08-25 19:30:00,1,0,0,3,-0.24187,322,16,95,11,2,0,0,6,-0.2634770000000001,2.19792,2.461397,2.19792,2.461397,4,1,2.4538,2,0,0,6,-0.2634770000000001,2.19792,2.461397,2.19792,2.461397,4,1,2.4538,FC Cologne,0.3072,0.2784,0.4144,a,0.837903,1.62503,0.837903,1.62503,4,10,0,1,0.7776,l,2017-08-20 17:00:00,0,0,1,0,-0.787127,346,22,312,22,0,1,0,0,-0.787127,0.837903,1.62503,0.837903,1.62503,0,1,0.7776,0,1,0,0,-0.787127,0.837903,1.62503,0.837903,1.62503,0,1,0.7776,Borussia M.Gladbach,0.1769,0.2469,0.5762
2,h,1.17417,1.37657,1.17417,1.37657,2,11,0,2,1.214,l,2017-09-08 19:30:00,0,0,1,0,-0.2024000000000001,279,18,86,23,2,1,0,6,-0.4658770000000002,3.37209,3.837967,3.37209,3.837967,4,3,3.6678,2,1,0,6,-0.4658770000000002,3.37209,3.837967,3.37209,3.837967,4,3,3.6678,RasenBallsport Leipzig,0.3055,0.2975,0.397,h,2.85363,0.456207,2.85363,0.456207,14,5,4,1,2.7293,w,2017-08-27 14:30:00,1,0,0,3,2.397423,143,25,329,29,1,1,0,3,2.034078,3.644845,2.368537,3.644845,1.610767,4,3,3.212,1,1,0,3,2.034078,3.644845,2.368537,3.644845,1.610767,4,3,3.212,Freiburg,0.8794,0.0911,0.0295
3,a,0.453334,2.2982,0.453334,2.2982,3,8,0,2,0.1503,l,2017-09-15 19:30:00,0,0,1,0,-1.844866,279,33,132,23,2,2,0,6,-2.3107430000000004,3.825424,6.136167,3.825424,6.136167,4,5,3.8181,2,2,0,6,-2.3107430000000004,3.825424,6.136167,3.825424,6.136167,4,5,3.8181,Hannover 96,0.0203,0.0894,0.8903,a,0.480156,1.13451,0.480156,1.13451,2,9,1,1,0.7384,d,2017-09-09 14:30:00,0,1,0,1,-0.6543539999999999,230,25,247,30,2,0,1,7,-0.1684329999999997,1.895771,2.064204,1.895771,2.064204,3,1,3.8872,2,0,1,7,-0.1684329999999997,1.895771,2.064204,1.895771,2.064204,3,1,3.8872,Wolfsburg,0.141,0.3154,0.5436
4,h,0.186271,3.18132,0.186271,3.18132,4,10,0,3,0.0182,l,2017-09-20 19:30:00,0,0,1,0,-2.995049,185,31,166,33,2,3,0,6,-5.305792,4.011695,9.317487,4.011695,9.317487,4,8,3.836300000000001,2,3,0,6,-5.305792,4.011695,9.317487,4.011695,9.317487,4,8,3.836300000000001,Borussia Dortmund,0.001,0.0152,0.9838,h,3.85155,0.461837,3.09377,0.461837,9,1,5,0,2.9308,w,2017-09-17 17:00:00,1,0,0,3,2.631933,127,21,452,20,3,0,1,10,6.002571,8.613669999999999,1.853319,7.85589,1.853319,10,0,9.647,3,0,1,10,6.002571,8.613669999999999,1.853319,7.85589,1.853319,10,0,9.647,FC Cologne,0.9682,0.0262,0.0056
5,a,0.443359,2.39337,0.443359,2.39337,3,10,0,3,0.1855,l,2017-09-24 17:00:00,0,0,1,0,-1.950011,186,33,204,34,2,4,0,6,-7.255803,4.455054,11.710857,4.455054,11.710857,4,11,4.021800000000001,1,4,0,3,-7.234196,3.902674,11.136869999999998,3.902674,11.136869999999998,3,11,2.768,Bayer Leverkusen,0.0283,0.1006,0.8711,a,0.426791,0.501808,0.426791,0.501808,5,3,1,2,1.1542,l,2017-09-20 19:30:00,0,0,1,0,-0.075017,196,28,362,22,1,3,1,4,2.240368,7.968128999999999,5.727760999999999,7.210349,4.969981000000001,9,10,8.235,1,3,1,4,2.240368,7.968128999999999,5.727760999999999,7.210349,4.969981000000001,9,10,8.235,Hertha Berlin,0.2263,0.4753,0.2984
6,h,0.957096,0.426954,0.957096,0.426954,5,4,0,0,1.8103,d,2017-09-30 17:30:00,0,1,0,1,0.5301419999999999,147,21,194,29,2,4,1,7,-6.7256610000000006,5.41215,12.137811,5.41215,12.137811,4,11,5.8321000000000005,0,4,1,1,-6.462184000000001,3.21423,9.676414,3.21423,9.676414,0,10,3.3783000000000003,Werder Bremen,0.4805,0.3688,0.1507,h,1.41802,0.859674,1.41802,0.859674,6,2,0,0,1.8176,d,2017-09-23 14:30:00,0,1,0,1,0.558346,192,28,274,25,0,3,3,3,-0.2996280000000001,5.132273,5.431901,5.132273,5.431901,3,7,7.712099999999999,0,2,3,3,-0.1321910000000001,4.32544,4.457631,4.32544,4.457631,3,6,6.5444,Freiburg,0.5118,0.2822,0.206
7,a,1.99466,1.24944,1.23689,1.24944,3,6,2,3,1.9922,l,2017-10-14 14:30:00,0,0,1,0,-0.01255,132,29,203,30,2,5,1,7,-6.738211000000001,7.40681,13.387251,6.649039999999999,13.387251,6,14,7.824300000000001,0,4,1,1,-6.272334,4.03472,9.549284,3.2769500000000003,9.549284,2,11,4.156499999999999,Mainz 05,0.5796,0.2534,0.167,a,0.90227,0.743969,0.90227,0.743969,9,5,1,1,1.4432,d,2017-09-30 14:30:00,0,1,0,1,0.158301,271,29,251,20,2,4,1,7,-4.1563740000000005,6.164617,10.320991,5.406837,9.563211,7,11,8.0979,2,2,1,7,-3.1289,5.251971999999999,7.623092,4.494192,7.623092,7,9,6.7069,Wolfsburg,0.36,0.3632,0.2768
8,h,0.162992,2.29592,0.162992,2.29592,2,15,0,1,0.1163,l,2017-10-21 17:30:00,0,0,1,0,-2.132928,351,17,86,21,2,6,1,7,-8.871139000000001,7.569802,15.683171000000002,6.812031999999999,15.683171000000002,6,15,7.940600000000001,0,4,1,1,-6.560396000000001,3.744378,9.547004,2.9866080000000004,9.547004,2,10,4.1225,Bayern Munich,0.0103,0.0854,0.9043,h,1.586,0.345885,1.586,0.345885,16,2,5,0,2.3324,w,2017-10-14 14:30:00,1,0,0,3,1.240115,201,19,432,14,5,1,2,17,8.641311,17.997249999999998,7.082599000000001,15.723909999999998,7.082599000000001,21,7,17.9239,3,0,2,11,6.436967,12.30672,4.354193,10.79116,4.354193,16,4,11.4211,Freiburg,0.7015,0.2279,0.0706
9,a,0.972895,0.827213,0.972895,0.827213,6,4,1,2,1.4751,l,2017-10-28 14:30:00,0,0,1,0,0.1456819999999999,200,26,184,31,2,7,1,7,-8.725457,8.542697,16.510384000000002,7.784927,16.510384000000002,7,17,9.4157,0,4,1,1,-3.419665,4.531002,7.192897,3.773232,7.192897,3,9,5.579400000000001,Hertha Berlin,0.3794,0.3369,0.2837,a,1.83067,2.83818,0.315112,2.0804,8,11,1,1,0.6612,d,2017-10-22 14:30:00,0,1,0,1,-1.765288,316,22,203,22,2,3,4,10,-5.038323299999999,6.107170700000001,11.903276,4.591612700000001,9.629936,9,11,7.4342,1,2,2,5,-2.4920993,4.5584297,7.808311,3.0428717,5.5349710000000005,5,7,4.2609,Freiburg,0.1425,0.2337,0.6238
