,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.436556,0.879388,0.436556,0.879388,1,6,2,0,0.8676999999999999,w,2017-08-19 14:30:00,1,0,0,3,-0.4428319999999999,282,33,341,27,1,0,0,3,-0.4428319999999999,0.436556,0.879388,0.436556,0.879388,2,0,0.8676999999999999,1,0,0,3,-0.4428319999999999,0.436556,0.879388,0.436556,0.879388,2,0,0.8676999999999999,VfB Stuttgart,0.1659,0.37,0.4641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.406341,2.06987,0.406341,2.06987,2,7,0,2,0.272,l,2017-08-26 17:30:00,0,0,1,0,-1.6635289999999998,417,19,156,23,1,1,0,3,-2.106361,0.842897,2.949258,0.842897,2.949258,2,2,1.1397,1,1,0,3,-2.106361,0.842897,2.949258,0.842897,2.949258,2,2,1.1397,Borussia Dortmund,0.0425,0.1445,0.813,a,1.12424,0.495065,1.12424,0.495065,10,2,3,0,1.9393,w,2017-08-19 14:30:00,1,0,0,3,0.6291749999999999,99,32,344,18,1,0,0,3,0.6291749999999999,1.12424,0.495065,1.12424,0.495065,3,0,1.9393,1,0,0,3,0.6291749999999999,1.12424,0.495065,1.12424,0.495065,3,0,1.9393,Wolfsburg,0.5398,0.3199,0.1403
2,h,0.250761,0.569654,0.250761,0.569654,1,3,1,1,0.904,d,2017-09-10 14:30:00,0,1,0,1,-0.318893,229,23,248,25,1,1,1,4,-2.425254,1.093658,3.518912,1.093658,3.518912,3,3,2.0437,1,1,1,4,-2.425254,1.093658,3.518912,1.093658,3.518912,3,3,2.0437,Werder Bremen,0.1351,0.4987,0.3662,h,0.229698,1.39955,0.229698,1.39955,3,11,0,2,0.3498,l,2017-08-26 14:30:00,0,0,1,0,-1.169852,342,14,141,24,0,2,0,0,-1.3372890000000002,1.036531,2.3738200000000003,1.036531,2.3738200000000003,0,3,1.5175,0,2,0,0,-1.3372890000000002,1.036531,2.3738200000000003,1.036531,2.3738200000000003,0,3,1.5175,Bayern Munich,0.0422,0.2232,0.7346
3,a,0.455083,0.576053,0.455083,0.576053,4,4,1,1,1.1296,d,2017-09-17 12:30:00,0,1,0,1,-0.12097,377,32,254,20,1,1,2,5,-2.546224,1.548741,4.094965,1.548741,4.094965,4,4,3.1733,1,1,2,5,-2.546224,1.548741,4.094965,1.548741,4.094965,4,4,3.1733,Hoffenheim,0.2232,0.46,0.3168,h,0.612108,1.51192,0.612108,1.51192,2,9,2,0,0.667,w,2017-09-09 17:30:00,1,0,0,3,-0.899812,367,19,128,23,2,0,1,7,-1.730445,2.266388,4.754613,2.266388,3.996833,5,2,2.3922,2,0,1,7,-1.730445,2.266388,4.754613,2.266388,3.996833,5,2,2.3922,Bayern Munich,0.1341,0.2647,0.6012
4,h,0.501808,0.426791,0.501808,0.426791,3,5,2,1,1.3705,w,2017-09-20 19:30:00,1,0,0,3,0.075017,362,22,196,28,2,1,2,8,-2.471207,2.050549,4.521756,2.050549,4.521756,6,5,4.5438,2,1,2,8,-2.471207,2.050549,4.521756,2.050549,4.521756,6,5,4.5438,Bayer Leverkusen,0.2984,0.4753,0.2263,h,2.25411,0.429073,2.25411,0.429073,10,2,4,0,2.6807000000000003,w,2017-09-17 14:30:00,1,0,0,3,1.825037,198,26,398,23,1,2,1,4,2.315385,7.541338,5.225953,6.783558,4.468173,8,8,7.0808,1,2,1,4,2.315385,7.541338,5.225953,6.783558,4.468173,8,8,7.0808,Freiburg,0.853,0.1217,0.0253
5,a,0.53695,1.17811,0.53695,0.42033,2,1,0,1,0.659,l,2017-09-23 14:30:00,0,0,1,0,0.11662,171,29,276,22,2,2,2,8,-2.3545869999999995,2.587499,5.699866,2.587499,4.942086,6,6,5.2028,1,2,2,5,-1.9117549999999996,2.1509430000000003,4.820478,2.1509430000000003,4.062698,4,6,4.3351,Mainz 05,0.1048,0.3446,0.5506,h,1.1225,0.960305,1.1225,0.960305,8,5,2,3,1.4942,l,2017-09-20 19:30:00,0,0,1,0,0.1621950000000001,305,29,189,19,1,4,0,3,-4.198055,4.084237,9.040072,4.084237,8.282292,5,10,4.6583,1,4,0,3,-4.198055,4.084237,9.040072,4.084237,8.282292,5,10,4.6583,Hoffenheim,0.4008,0.2918,0.3074
6,h,1.66354,1.51044,1.66354,1.51044,3,13,2,2,1.5066,d,2017-10-01 14:30:00,0,1,0,1,0.1531,361,20,150,18,2,2,3,9,-2.2014869999999997,4.2510390000000005,7.210306,4.2510390000000005,6.452526,8,8,6.7094,1,1,3,6,-0.0951259999999998,3.408142,4.261048,3.408142,3.503268,6,6,5.569699999999999,Bayern Munich,0.4113,0.2727,0.316,h,2.33812,0.470696,1.58034,0.470696,5,2,2,2,2.6724,d,2017-09-22 19:30:00,0,1,0,1,1.109644,260,24,339,12,4,1,1,13,7.554296,14.90081,5.073174000000001,12.62747,5.073174000000001,14,5,14.3708,3,1,1,10,7.419616,12.12175,3.186574,10.606189999999998,3.186574,11,4,12.3633,Wolfsburg,0.8527,0.1143,0.033
7,h,0.0254617,1.85479,0.0254617,1.09701,0,7,0,2,0.0636,l,2017-10-14 14:30:00,0,0,1,0,-1.0715483,393,23,230,46,2,3,3,9,-3.273035299999999,4.276500700000001,9.065096,4.276500700000001,7.549536,8,10,6.773,1,2,2,5,-0.8477813000000001,3.1828427,5.546184,3.1828427,4.030624,5,7,4.729299999999999,Schalke 04,0.0017,0.0585,0.9398,h,0.615732,1.13731,0.615732,1.13731,3,3,1,1,0.8517,d,2017-09-29 19:30:00,0,1,0,1,-0.5215780000000001,292,27,228,26,3,3,1,10,-1.49622,8.051099,8.789549,6.535549,8.031769,8,9,8.9104,2,2,1,7,-1.4571299999999998,5.735738,7.192868,4.977957999999999,6.435088,6,8,5.735400000000001,Bayer Leverkusen,0.1791,0.3144,0.5065
8,a,1.83067,2.83818,0.315112,2.0804,8,11,1,1,0.6612,d,2017-10-22 14:30:00,0,1,0,1,-1.765288,316,22,203,22,2,3,4,10,-5.038323299999999,6.107170700000001,11.903276,4.591612700000001,9.629936,9,11,7.4342,1,2,2,5,-2.4920993,4.5584297,7.808311,3.0428717,5.5349710000000005,5,7,4.2609,Freiburg,0.1425,0.2337,0.6238,a,0.345885,1.586,0.345885,1.586,2,16,0,5,0.4397,l,2017-10-14 14:30:00,0,0,1,0,-1.240115,432,14,201,19,1,3,4,7,-6.685131,6.954693000000001,12.882044,6.196913,12.882044,5,16,7.1053,1,2,2,5,-1.898182,5.777042000000001,6.917444000000001,5.019262,6.917444000000001,4,12,6.0832,Bayern Munich,0.0706,0.2279,0.7015
9,h,0.827213,0.972895,0.827213,0.972895,4,6,2,1,1.188,w,2017-10-28 14:30:00,1,0,0,3,-0.1456819999999999,184,31,200,26,3,3,4,13,-5.184005299999999,6.9343837000000015,12.876171,5.418825700000001,10.602831,11,12,8.6222,1,2,2,5,-2.7127983,4.883834700000001,8.354415,3.3682767000000005,6.081075,5,7,4.0784,Hamburger SV,0.2837,0.3369,0.3794,h,0.162992,2.29592,0.162992,2.29592,2,15,0,1,0.1163,l,2017-10-21 17:30:00,0,0,1,0,-2.132928,351,17,86,21,2,6,1,7,-8.871139000000001,7.569802,15.683171000000002,6.812031999999999,15.683171000000002,6,15,7.940600000000001,0,4,1,1,-6.560396000000001,3.744378,9.547004,2.9866080000000004,9.547004,2,10,4.1225,Bayern Munich,0.0103,0.0854,0.9043
