,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,1.91233,0.791215,1.15456,0.791215,3,5,2,0,2.3082,w,2017-08-19 17:30:00,1,0,0,3,0.363345,325,34,188,42,1,0,0,3,0.363345,1.91233,0.791215,1.15456,0.791215,2,0,2.3082,1,0,0,3,0.363345,1.91233,0.791215,1.15456,0.791215,2,0,2.3082,RasenBallsport Leipzig,0.6997,0.2091,0.0912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.403031,0.805466,0.403031,0.805466,5,7,0,1,0.8668,l,2017-08-27 17:00:00,0,0,1,0,-0.402435,252,23,277,25,1,1,0,3,-0.03909,2.315361,1.596681,1.557591,1.596681,2,1,3.175,1,1,0,3,-0.03909,2.315361,1.596681,1.557591,1.596681,2,1,3.175,Hannover 96,0.1578,0.3934,0.4488,a,0.610149,0.526663,0.610149,0.526663,1,6,1,0,1.409,w,2017-08-19 14:30:00,1,0,0,3,0.083486,343,23,172,35,1,0,0,3,0.083486,0.610149,0.526663,0.610149,0.526663,1,0,1.409,1,0,0,3,0.083486,0.610149,0.526663,0.610149,0.526663,1,0,1.409,Mainz 05,0.3271,0.4277,0.2452
2,h,1.98675,1.30096,1.22897,1.30096,2,2,3,1,1.8965,w,2017-09-10 17:00:00,1,0,0,3,-0.07199,473,24,264,31,2,1,0,6,-0.11108,4.302111,2.897641,2.786561,2.897641,5,2,5.0715,2,1,0,6,-0.11108,4.302111,2.897641,2.786561,2.897641,5,2,5.0715,VfB Stuttgart,0.5502,0.2459,0.2039,h,2.08775,0.385982,1.32997,0.385982,8,2,1,0,2.6415,w,2017-08-26 14:30:00,1,0,0,3,0.943988,228,34,232,21,1,1,0,3,1.38682,2.9671380000000003,0.822538,2.209358,0.822538,1,2,4.4038,1,1,0,3,1.38682,2.9671380000000003,0.822538,2.209358,0.822538,1,2,4.4038,Mainz 05,0.8369,0.1308,0.0323
3,a,0.930766,0.982258,0.930766,0.982258,3,6,2,1,1.314,w,2017-09-16 14:30:00,1,0,0,3,-0.0514919999999999,221,26,270,31,3,1,0,9,-0.162572,5.232877,3.879899,3.717327,3.879899,7,3,6.3855,3,1,0,9,-0.162572,5.232877,3.879899,3.717327,3.879899,7,3,6.3855,Werder Bremen,0.3272,0.3324,0.3404,a,0.569654,0.250761,0.569654,0.250761,3,1,1,1,1.5973,d,2017-09-10 14:30:00,0,1,0,1,0.318893,248,25,229,23,0,2,1,1,-1.018396,1.606185,2.624581,1.606185,2.624581,1,4,3.1148,0,2,1,1,-1.018396,1.606185,2.624581,1.606185,2.624581,1,4,3.1148,Hertha Berlin,0.3662,0.4987,0.1351
4,h,1.16279,2.45506,1.16279,1.69728,2,14,0,3,0.526,l,2017-09-19 19:30:00,0,0,1,0,-0.5344899999999999,409,22,223,28,3,2,0,9,-0.6970619999999998,6.395667,6.334959,4.880117,5.577179,7,6,6.9115,3,2,0,9,-0.6970619999999998,6.395667,6.334959,4.880117,5.577179,7,6,6.9115,Bayern Munich,0.109,0.199,0.692,h,4.4171,0.711282,4.4171,0.711282,25,1,4,0,2.9206,w,2017-09-16 14:30:00,1,0,0,3,3.705818,125,25,460,19,3,1,0,9,5.910162,10.10763,3.4396880000000003,9.34985,3.4396880000000003,9,3,9.4234,3,1,0,9,5.910162,10.10763,3.4396880000000003,9.34985,3.4396880000000003,9,3,9.4234,Mainz 05,0.9641,0.0283,0.0076
5,a,1.0397,1.31728,1.0397,1.31728,9,3,0,2,1.1472000000000002,l,2017-09-23 14:30:00,0,0,1,0,-0.2775799999999999,283,33,361,25,3,3,0,9,-0.9746419999999998,7.435367,7.652239,5.919817,6.894459,7,8,8.0587,2,3,0,6,-1.3379869999999998,5.523037,6.8610240000000005,4.765257,6.103244,5,8,5.750500000000001,Hoffenheim,0.2866,0.2874,0.426,a,0.960305,1.1225,0.960305,1.1225,5,8,3,2,1.214,w,2017-09-20 19:30:00,1,0,0,3,-0.1621950000000001,189,19,305,29,3,0,2,11,-1.77167,3.802746,6.332196,3.802746,5.574415999999999,9,5,5.0166,3,0,2,11,-1.77167,3.802746,6.332196,3.802746,5.574415999999999,9,5,5.0166,Mainz 05,0.3074,0.2918,0.4008
6,h,0.615732,1.13731,0.615732,1.13731,3,3,1,1,0.8517,d,2017-09-29 19:30:00,0,1,0,1,-0.5215780000000001,292,27,228,26,3,3,1,10,-1.49622,8.051099,8.789549,6.535549,8.031769,8,9,8.9104,2,2,1,7,-1.4571299999999998,5.735738,7.192868,4.977957999999999,6.435088,6,8,5.735400000000001,Bayer Leverkusen,0.1791,0.3144,0.5065,h,2.39337,0.443359,2.39337,0.443359,10,3,3,0,2.7139,w,2017-09-24 17:00:00,1,0,0,3,1.950011,204,34,186,33,2,3,1,7,4.190379,10.361498999999998,6.171119999999999,9.603719,5.413340000000001,12,10,10.948899999999998,2,2,1,7,4.325059,8.474899,3.39206,7.717118999999999,3.39206,11,7,10.1561,Hamburger SV,0.8711,0.1006,0.0283
7,a,1.85479,0.0254617,1.09701,0.0254617,7,0,2,0,2.8779,w,2017-10-14 14:30:00,1,0,0,3,1.0715483,230,46,393,23,4,3,1,13,-0.4246716999999997,9.905889,8.815010699999998,7.632559,8.0572307,10,9,11.7883,2,2,1,7,-0.3135916999999997,5.603778,5.9173697,4.845998,5.159589700000001,5,7,6.716800000000001,Hertha Berlin,0.9398,0.0585,0.0017,h,1.66354,1.51044,1.66354,1.51044,3,13,2,2,1.5066,d,2017-10-01 14:30:00,0,1,0,1,0.1531,361,20,150,18,2,2,3,9,-2.201487,4.2510390000000005,7.210306,4.2510390000000005,6.452526,8,8,6.7094,1,1,3,6,-0.0951259999999998,3.408142,4.261048,3.408142,3.503268,6,6,5.569699999999999,Bayern Munich,0.4113,0.2727,0.316
8,h,1.78667,0.596599,1.78667,0.596599,4,1,2,0,2.4025,w,2017-10-20 19:30:00,1,0,0,3,1.190071,191,44,350,31,5,3,1,16,0.7653993000000003,11.692559,9.411609699999998,9.419229,8.6538297,12,9,14.1908,2,2,1,7,0.9279713000000004,6.459682,5.5317107000000005,5.7019020000000005,4.7739307,5,6,7.8053,Mainz 05,0.733,0.2035,0.0635,h,1.24944,1.99466,1.24944,1.23689,6,3,3,2,0.7544,w,2017-10-14 14:30:00,1,0,0,3,0.01255,203,30,132,29,3,4,1,10,-4.143824,7.414057,12.315651,6.656276999999999,10.800101,10,13,8.8523,2,2,1,7,-3.489392,5.163602,8.652984,4.405822000000001,7.895213999999999,7,10,5.7393,Hamburger SV,0.167,0.2534,0.5796
9,h,1.44123,0.979437,0.683454,0.22166,3,6,1,1,1.7493,d,2017-10-28 14:30:00,0,1,0,1,0.461794,318,42,254,19,5,3,2,17,1.2271933000000004,13.133789,10.3910467,10.102683,8.8754897,13,10,15.9401,2,1,2,8,1.9242553,6.738122,4.0560877,5.2225660000000005,3.2983107,6,4,9.0286,Wolfsburg,0.4613,0.3654,0.1733,h,1.29664,1.91537,0.538861,1.15759,3,6,1,1,0.8331,d,2017-10-22 17:00:00,0,1,0,1,-0.6187289999999999,243,16,277,32,1,2,6,9,-3.036301,7.601992,11.396074,6.844213,9.880513999999998,9,12,9.3385,0,0,5,5,-2.5307570000000004,4.443762,7.7323,3.685983,6.216740000000001,7,7,4.4484,Hoffenheim,0.1866,0.2733,0.5401
