,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,3.08883,0.697274,2.33114,0.697274,11,3,3,1,2.7901,w,2018-08-24 21:30:00,1,0,0,3,1.633866,160,17,360,27,1,0,0,3,1.633866,3.08883,0.697274,2.33114,0.697274,3,1,2.7901,1,0,0,3,1.633866,3.08883,0.697274,2.33114,0.697274,3,1,2.7901,Hoffenheim,0.9052,0.0745,0.0203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,1.71434,0.0990837,1.71434,0.0990837,18,6,3,0,2.5713000000000004,w,2018-09-01 16:30:00,1,0,0,3,1.6152563,197,25,380,12,2,0,0,6,3.2491223,4.80317,0.7963577,4.04548,0.7963577,6,1,5.361400000000001,2,0,0,6,3.2491223,4.80317,0.7963577,4.04548,0.7963577,6,1,5.361400000000001,VfB Stuttgart,0.795,0.1863,0.0187,a,1.07847,1.28621,1.07847,1.28621,4,4,0,1,1.1571,l,2018-08-26 16:30:00,0,0,1,0,-0.20774,244,17,229,28,0,1,0,0,-0.20774,1.07847,1.28621,1.07847,1.28621,0,1,1.1571,0,1,0,0,-0.20774,1.07847,1.28621,1.07847,1.28621,0,1,1.1571,Mainz 05,0.2833,0.3072,0.4095
2,h,1.40345,0.784725,1.40345,0.0270284,13,1,3,1,1.8758,w,2018-09-15 13:30:00,1,0,0,3,1.3764216,148,17,443,11,3,0,0,9,4.6255439,6.20662,1.5810827,5.44893,0.8233860999999999,9,2,7.2372,3,0,0,9,4.6255439,6.20662,1.5810827,5.44893,0.8233860999999999,9,2,7.2372,Bayer Leverkusen,0.508,0.3518,0.1402,h,0.877655,2.13508,0.877655,2.13508,4,2,1,3,0.5011,l,2018-09-01 13:30:00,0,0,1,0,-1.257425,255,17,227,31,0,2,0,0,-2.0259150000000004,1.935405,5.47687,1.935405,3.96132,1,5,0.7108,0,2,0,0,-2.0259150000000004,1.935405,5.47687,1.935405,3.96132,1,5,0.7108,Wolfsburg,0.1049,0.1864,0.7087
3,a,2.58882,0.358342,1.83112,0.358342,7,1,2,0,2.8166,w,2018-09-22 16:30:00,1,0,0,3,1.472778,151,21,499,29,4,0,0,12,6.0983219,8.79544,1.9394247,7.28005,1.1817281,11,2,10.0538,4,0,0,12,6.0983219,8.79544,1.9394247,7.28005,1.1817281,11,2,10.0538,Schalke 04,0.9173,0.0647,0.018,a,0.729351,1.4002,0.729351,1.4002,8,4,1,2,0.7934,l,2018-09-15 16:30:00,0,0,1,0,-0.6708489999999999,253,18,243,19,0,3,0,0,-0.6058259999999998,4.186501,3.276774,2.670948,3.276774,2,6,4.879,0,3,0,0,-0.6058259999999998,4.186501,3.276774,2.670948,3.276774,2,6,4.879,Borussia M.Gladbach,0.1737,0.2723,0.554
4,h,1.43314,1.32512,1.43314,1.32512,3,3,1,1,1.3957,d,2018-09-25 18:30:00,0,1,0,1,0.10802,161,19,378,34,4,0,1,13,6.2063419,10.22858,3.2645447,8.71319,2.5068481,12,3,11.4495,4,0,1,13,6.2063419,10.22858,3.2645447,8.71319,2.5068481,12,3,11.4495,Augsburg,0.3481,0.3514,0.3005,h,2.11259,1.39048,2.11259,1.39048,8,6,2,3,1.8697,l,2018-09-22 13:30:00,0,0,1,0,0.72211,236,29,216,17,1,2,1,4,-1.48598,5.35609,6.84207,5.35609,6.84207,6,7,4.6563,1,2,1,4,-1.48598,5.35609,6.84207,5.35609,6.84207,6,7,4.6563,Werder Bremen,0.5452,0.2341,0.2207
5,a,2.40599,1.48921,2.40599,0.731438,20,4,0,2,2.0448,l,2018-09-28 18:30:00,0,0,1,0,1.674552,129,31,340,20,4,1,1,13,7.8808939,12.63457,4.7537547,11.11918,3.2382861,12,5,13.4943,3,1,1,10,6.2470279,9.54574,4.0564807,8.78804,2.5410121,9,4,10.704200000000002,Hertha Berlin,0.6048,0.2304,0.1648,a,0.94148,2.51866,0.94148,1.76088,5,10,1,3,0.3081,l,2018-09-25 16:30:00,0,0,1,0,-0.8194,244,14,263,25,3,1,1,10,0.532469,7.088849,10.34477,7.088849,6.556380000000001,10,7,4.260599999999999,3,1,1,10,0.532469,7.088849,10.34477,7.088849,6.556380000000001,10,7,4.260599999999999,Werder Bremen,0.0553,0.1422,0.8025
6,h,0.595523,0.559058,0.595523,0.559058,8,1,0,3,1.3055,l,2018-10-06 16:30:00,0,0,1,0,0.0364649999999999,156,21,442,11,4,2,1,13,7.9173589,13.230093,5.3128127,11.714703,3.7973441,12,8,14.7998,2,2,1,7,4.6682366,8.426923,4.5164550000000006,7.669223000000001,3.0009864000000004,6,7,9.4384,Borussia M.Gladbach,0.2917,0.4304,0.2779,a,0.849348,0.802752,0.849348,0.802752,2,9,2,2,1.3845,d,2018-09-29 13:30:00,0,1,0,1,0.0465959999999999,285,15,235,14,3,1,2,11,-0.585185,11.104388,9.416243,8.831058,9.416243,12,9,9.3988,2,1,2,8,-1.353675,7.762598,8.358493000000001,7.004818,8.358493000000001,10,9,6.695200000000001,Wolfsburg,0.343,0.3555,0.3015
7,a,2.75811,0.815476,2.75811,0.815476,7,2,3,1,2.6766,w,2018-10-20 13:30:00,1,0,0,3,1.942634,230,17,316,20,5,2,1,16,9.8599929,15.988203,6.128288700000001,14.472813,4.6128201,15,9,17.4764,2,2,1,7,5.234449,9.781583,4.547206,9.023883,3.789434,6,7,10.2392,Wolfsburg,0.855,0.1116,0.0334,a,0.351604,1.10209,0.351604,1.10209,4,4,0,2,0.6423,l,2018-10-05 18:30:00,0,0,1,0,-0.750486,220,18,253,19,2,2,3,9,1.80364,8.862281,7.911241,8.105001,6.301361,10,11,10.2319,0,2,3,3,0.3396849999999998,5.416911000000001,5.172046,4.659631,4.319946,5,9,7.038399999999999,Werder Bremen,0.1066,0.3225,0.5709
8,a,2.15695,0.592384,2.15695,0.592384,12,3,2,1,2.498,w,2018-10-27 13:30:00,1,0,0,3,1.564566,171,20,383,14,6,2,1,19,11.4245589,18.145153,6.720672700000001,16.629763,5.2052041,17,10,19.974400000000003,2,2,1,7,5.326237,9.349713,4.781248000000001,9.349713,4.0234760000000005,6,8,9.9206,Mainz 05,0.7761,0.1697,0.0542,a,0.472964,3.00692,0.472964,3.00692,2,8,0,4,0.0804,l,2018-10-21 16:00:00,0,0,1,0,-2.533956,356,15,322,16,2,3,3,9,-3.1972190000000005,8.272572,11.469791,8.272572,11.469791,4,8,8.464599999999999,0,3,2,2,-4.285745,3.806825,8.09257,3.806825,8.09257,0,6,3.8968,Borussia M.Gladbach,0.0103,0.0495,0.9402
9,h,1.8539,0.592458,1.8539,0.592458,17,1,1,1,2.3461,d,2018-11-03 14:30:00,0,1,0,1,1.2614420000000002,144,24,350,16,6,2,2,20,12.686000900000002,19.999053,7.3131307,18.483663,5.7976621,18,11,22.320500000000003,2,2,1,7,6.479659,9.770473,4.048586,9.770473,3.290814,6,8,10.871,Freiburg,0.7149,0.2014,0.0837,h,1.41352,1.14643,0.655744,0.388653,3,4,3,1,1.554,w,2018-10-26 18:30:00,1,0,0,3,0.2670909999999999,370,16,299,22,3,3,3,12,-2.471696,11.820178,14.197555,10.210302,12.681998,13,15,11.5232,2,1,2,8,-1.780501,5.341088,7.87937,4.583312,6.363813,6,6,5.5726,Borussia M.Gladbach,0.3978,0.3606,0.2416
