,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.840127,1.91197,0.840127,1.91197,4,7,1,1,0.5885,d,2018-08-25 16:30:00,0,1,0,1,-1.071843,299,25,282,25,0,0,1,1,-1.071843,0.840127,1.91197,0.840127,1.91197,1,1,0.5885,0,0,1,1,-1.071843,0.840127,1.91197,0.840127,1.91197,1,1,0.5885,Werder Bremen,0.1261,0.2102,0.6637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,0.462033,0.842511,0.462033,0.842511,5,2,0,0,0.9115,d,2018-08-31 21:30:00,0,1,0,1,-0.380478,259,28,359,22,0,0,2,2,-1.452321,1.30216,2.754481,1.30216,2.754481,1,1,1.5,0,0,2,2,-1.452321,1.30216,2.754481,1.30216,2.754481,1,1,1.5,Borussia Dortmund,0.1758,0.3841,0.4401,h,1.96153,1.46268,1.96153,1.46268,4,4,4,1,1.7433,w,2018-08-26 19:00:00,1,0,0,3,0.49885,219,20,228,30,1,0,0,3,0.49885,1.96153,1.46268,1.96153,1.46268,4,1,1.7433,1,0,0,3,0.49885,1.96153,1.46268,1.96153,1.46268,4,1,1.7433,RasenBallsport Leipzig,0.4946,0.2595,0.2459
2,a,0.950644,2.35222,0.950644,2.35222,6,5,2,3,0.4726,l,2018-09-15 13:30:00,0,0,1,0,-1.401576,126,18,404,19,0,1,2,2,-2.853897,2.2528040000000003,5.106701,2.2528040000000003,5.106701,3,4,1.9726,0,1,2,2,-2.853897,2.2528040000000003,5.106701,2.2528040000000003,5.106701,3,4,1.9726,RasenBallsport Leipzig,0.103,0.1636,0.7334,h,2.25033,1.43691,2.25033,1.43691,10,5,1,1,1.9351000000000005,d,2018-09-02 13:30:00,0,1,0,1,0.81342,117,21,258,30,0,1,1,1,0.31457,3.71301,3.39844,3.71301,3.39844,2,5,2.932300000000001,0,1,1,1,0.31457,3.71301,3.39844,3.71301,3.39844,2,5,2.932300000000001,Fortuna Duesseldorf,0.5713,0.2212,0.2075
3,a,0.557368,1.64985,0.557368,1.64985,6,11,0,2,0.4538,l,2018-09-22 13:30:00,0,0,1,0,-1.092482,289,4,252,16,0,2,2,2,-3.946379,2.810172,6.756551,2.810172,6.756551,3,6,2.4264,0,2,2,2,-3.946379,2.810172,6.756551,2.810172,6.756551,3,6,2.4264,Nuernberg,0.0797,0.2147,0.7056,a,0.514375,0.700449,0.514375,0.700449,4,3,1,1,1.1242,d,2018-09-16 13:30:00,0,1,0,1,-0.1860739999999999,277,18,250,28,0,1,2,2,0.5618920000000001,3.420875000000001,2.101206,2.663098,2.101206,2,3,5.1488,0,1,2,2,0.5618920000000001,3.420875000000001,2.101206,2.663098,2.101206,2,3,5.1488,Werder Bremen,0.2383,0.4093,0.3524
4,h,2.06878,1.98958,1.311,1.98958,8,7,1,3,1.4494,l,2018-09-25 18:30:00,0,0,1,0,-0.67858,184,27,351,25,0,3,2,2,-4.624959,4.878952,8.746131,4.121172,8.746131,4,9,3.8758,0,3,2,2,-4.624959,4.878952,8.746131,4.121172,8.746131,4,9,3.8758,Hoffenheim,0.3972,0.2578,0.345,h,1.92814,1.4456,1.92814,1.4456,8,4,1,1,1.7359,d,2018-09-22 13:30:00,0,1,0,1,0.4825399999999999,377,21,253,18,1,2,1,4,1.965504,8.305314,7.85527,8.305314,6.339809999999999,6,7,6.0638,1,2,1,4,1.965504,8.305314,7.85527,8.305314,6.339809999999999,6,7,6.0638,Borussia Dortmund,0.4918,0.2605,0.2477
5,a,0.613099,2.76495,0.613099,2.76495,2,8,1,4,0.1254,l,2018-09-30 13:30:00,0,0,1,0,-2.151851,126,20,251,27,0,4,2,2,-6.776809999999999,5.492051,11.511081,4.734271,11.511081,5,13,4.0012,0,4,1,1,-5.704967,4.651923999999999,9.599111,3.894144,9.599111,4,12,3.4127,Eintracht Frankfurt,0.0138,0.084,0.9022,a,1.11709,1.5541,1.11709,1.5541,3,7,1,3,1.0585,l,2018-09-26 18:30:00,0,0,1,0,-0.4370100000000001,268,18,194,13,1,3,1,4,-3.013178,5.187194000000001,8.20038,4.429422,7.4426,6,9,4.5693,1,3,1,4,-3.013178,5.187194000000001,8.20038,4.429422,7.4426,6,9,4.5693,Borussia M.Gladbach,0.2629,0.2698,0.4673
6,h,2.0396,0.69495,2.0396,0.69495,2,3,3,1,2.3633,w,2018-10-06 13:30:00,1,0,0,3,1.34465,224,26,188,20,1,4,2,5,-5.43216,7.531651,12.206031,6.773871,12.206031,8,14,6.3645,1,4,0,3,-3.979839,6.229491,9.45155,5.471711,9.45155,7,13,4.8645,VfB Stuttgart,0.7262,0.1847,0.0891,h,2.43649,0.656694,2.43649,0.656694,5,4,2,1,2.5731,w,2018-09-29 13:30:00,1,0,0,3,1.7797960000000002,257,19,149,20,1,3,2,5,-2.3914993000000004,6.8459547,9.237454,6.8459547,9.237454,5,10,6.9649,1,2,2,5,-2.1837593,5.767484700000001,7.951244000000001,5.767484700000001,7.951244000000001,5,9,5.8078,Werder Bremen,0.8143,0.1302,0.0555
7,a,1.0744,2.38988,1.0744,1.6321,3,8,2,2,0.4805999999999999,d,2018-10-20 13:30:00,0,1,0,1,-0.5577000000000001,216,25,115,21,1,4,3,6,-5.98986,8.606051,14.595911,7.848270999999999,13.838131,10,16,6.8451,1,3,1,4,-3.1359629999999994,6.353247,9.48921,5.595467,8.73143,7,12,4.8725,Bayer Leverkusen,0.0975,0.1881,0.7144,a,0.551906,0.501569,0.551906,0.501569,3,5,0,0,1.307,d,2018-10-07 11:30:00,0,1,0,1,0.0503369999999999,201,26,285,24,2,4,1,7,-3.9762986000000007,7.386756,12.878689,6.6290594,10.605358,7,13,6.095600000000001,2,2,1,7,-1.9503836000000003,5.451351,7.401819,4.6936544,6.644038,6,8,5.3848,Freiburg,0.2882,0.4424,0.2694
8,h,0.616434,1.45577,0.616434,0.697996,6,2,1,2,0.6052,l,2018-10-27 13:30:00,0,0,1,0,-0.0815619999999999,126,27,244,32,1,5,3,6,-6.071422,9.222485,16.051681000000002,8.464705,14.536127,11,18,7.450299999999999,1,3,1,4,-2.125043,6.412313,9.29513,5.654533,7.779576,8,12,5.023899999999999,Augsburg,0.1179,0.2515,0.6306,h,0.267706,1.098,0.267706,1.098,1,7,0,0,0.5453,d,2018-10-20 13:30:00,0,1,0,1,-0.8302940000000001,155,33,198,37,2,3,3,9,0.6649259999999999,14.513936,13.09123,13.756156,13.09123,14,13,11.3153,1,2,2,5,2.873016,11.270436,7.639639999999999,10.512656,7.639639999999999,10,9,8.528699999999999,RasenBallsport Leipzig,0.0793,0.3074,0.6133
9,a,1.18456,2.95181,1.18456,2.19403,7,7,1,3,0.3495,l,2018-11-03 14:30:00,0,0,1,0,-1.00947,379,30,214,29,1,6,3,6,-7.080892,10.407045,19.003491000000004,9.649265,16.730157000000002,12,21,7.799799999999999,1,3,1,4,-2.455933,5.528093,10.257359999999998,5.528093,7.984026,8,12,3.924,Schalke 04,0.0725,0.132,0.7955,a,0.754245,0.760107,0.754245,0.760107,2,8,0,0,1.3365,d,2018-10-28 13:30:00,0,1,0,1,-0.0058619999999999,308,28,120,27,2,6,1,7,0.1812239999999999,10.54546,9.606383,9.029907,8.848683,5,11,13.7588,2,2,1,7,2.259828,6.000617,3.740789,6.000617,3.740789,3,3,8.7611,RasenBallsport Leipzig,0.3228,0.3681,0.3091
