,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,1.34412,1.03309,0.586343,1.03309,3,4,0,1,1.6267,l,2018-08-25 16:30:00,0,0,1,0,-0.4467470000000001,288,20,286,24,0,1,0,0,-0.4467470000000001,1.34412,1.03309,0.586343,1.03309,0,1,1.6267,0,1,0,0,-0.4467470000000001,1.34412,1.03309,0.586343,1.03309,0,1,1.6267,Hertha Berlin,0.4244,0.3535,0.2221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,1.56238,0.367667,1.56238,0.367667,6,4,1,1,2.3979,d,2018-09-01 13:30:00,0,1,0,1,1.194713,245,20,360,15,0,1,1,1,0.747966,2.9065000000000003,1.400757,2.148723,1.400757,1,2,4.0246,0,1,1,1,0.747966,2.9065000000000003,1.400757,2.148723,1.400757,1,2,4.0246,Mainz 05,0.7305,0.2064,0.0631,h,1.28621,1.07847,1.28621,1.07847,4,4,1,0,1.5356999999999998,w,2018-08-26 16:30:00,1,0,0,3,0.20774,229,28,244,17,1,0,0,3,0.20774,1.28621,1.07847,1.28621,1.07847,1,0,1.5356999999999998,1,0,0,3,0.20774,1.28621,1.07847,1.28621,1.07847,1,0,1.5356999999999998,VfB Stuttgart,0.4095,0.3072,0.2833
2,a,0.514375,0.700449,0.514375,0.700449,4,3,1,1,1.1242,d,2018-09-16 13:30:00,0,1,0,1,-0.1860739999999999,277,18,250,28,0,1,2,2,0.5618920000000001,3.420875000000001,2.101206,2.663098,2.101206,2,3,5.1488,0,1,2,2,0.5618920000000001,3.420875000000001,2.101206,2.663098,2.101206,2,3,5.1488,Werder Bremen,0.2383,0.4093,0.3524,a,1.34271,1.25306,1.34271,0.495288,9,1,2,1,1.3943,w,2018-09-01 13:30:00,1,0,0,3,0.8474220000000001,188,23,252,7,1,0,1,4,1.919265,3.25468,2.093187,3.25468,1.335415,3,2,3.5956,1,0,1,4,1.919265,3.25468,2.093187,3.25468,1.335415,3,2,3.5956,Eintracht Frankfurt,0.3601,0.314,0.3259
3,h,1.64985,0.557368,1.64985,0.557368,11,6,2,0,2.3315,w,2018-09-22 13:30:00,1,0,0,3,1.092482,252,16,289,4,1,1,2,5,1.654374,5.070725,2.658574,4.312948,2.658574,4,3,7.4803,1,1,2,5,1.654374,5.070725,2.658574,4.312948,2.658574,4,3,7.4803,Hannover 96,0.7056,0.2147,0.0797,a,0.950644,2.35222,0.950644,2.35222,6,5,2,3,0.4726,l,2018-09-15 13:30:00,0,0,1,0,-1.401576,126,18,404,19,0,1,2,2,-2.853897,2.2528040000000003,5.106701,2.2528040000000003,5.106701,3,4,1.9726,0,1,2,2,-2.853897,2.2528040000000003,5.106701,2.2528040000000003,5.106701,3,4,1.9726,RasenBallsport Leipzig,0.103,0.1636,0.7334
4,a,0.154216,2.18746,0.154216,2.18746,3,8,0,7,0.1397,l,2018-09-26 18:30:00,0,0,1,0,-2.0332440000000003,580,18,212,16,1,2,2,5,-0.3788700000000002,5.224941,4.846034,4.467164,4.846034,4,10,7.62,1,2,2,5,-0.3788700000000002,5.224941,4.846034,4.467164,4.846034,4,10,7.62,Borussia Dortmund,0.014,0.0977,0.8883,a,1.4456,1.92814,1.4456,1.92814,4,8,1,1,1.0036,d,2018-09-22 13:30:00,0,1,0,1,-0.4825399999999999,253,18,377,21,2,0,2,8,2.1525040000000004,6.204670999999999,4.052167,6.204670999999999,4.052167,8,3,7.3039,2,0,2,8,2.1525040000000004,6.204670999999999,4.052167,6.204670999999999,4.052167,8,3,7.3039,Hoffenheim,0.2477,0.2605,0.4918
5,h,2.42225,1.17182,1.66448,1.17182,3,11,3,0,2.3296,w,2018-09-29 13:30:00,1,0,0,3,0.4926599999999999,341,13,195,15,2,2,2,8,0.1137899999999996,7.647191,6.017854,6.131644,6.017854,7,10,9.9496,2,1,2,8,0.5605369999999996,6.303071,4.984764,5.545301,4.984764,7,9,8.3229,Fortuna Duesseldorf,0.7149,0.1849,0.1002,h,1.75244,1.48071,0.994659,1.48071,8,5,1,2,1.559,l,2018-09-26 16:30:00,0,0,1,0,-0.486051,311,24,216,23,1,2,2,5,-2.05463,7.54048,8.079559,6.024929,8.079559,5,6,6.5655,1,2,2,5,-2.05463,7.54048,8.079559,6.024929,8.079559,5,6,6.5655,Bayer Leverkusen,0.41,0.329,0.261
6,a,0.394254,3.17935,0.394254,2.42157,2,5,0,6,0.0527,l,2018-10-07 16:00:00,0,0,1,0,-2.027316,347,12,287,35,2,3,2,8,-1.9135260000000005,8.041445,9.197204,6.525898,8.439423999999999,7,16,10.0023,2,2,1,7,-2.6614920000000004,5.134945,7.796447000000001,4.377175,7.038667,6,14,5.9777,RasenBallsport Leipzig,0.0045,0.0392,0.9563,a,1.47287,1.77221,1.47287,1.01443,9,11,2,1,1.1349,w,2018-09-29 13:30:00,1,0,0,3,0.4584399999999999,317,24,211,27,3,1,2,11,3.986805,12.55263,8.565825,11.79485,7.808045,10,9,10.6652,3,0,2,11,4.485655,11.08995,6.6042950000000005,10.33217,5.846515,9,5,9.668,Hoffenheim,0.2896,0.2661,0.4443
7,h,1.11043,2.46148,0.352729,2.46148,3,15,1,3,0.4575,l,2018-10-20 13:30:00,0,0,1,0,-2.108751,379,15,137,24,2,4,2,8,-4.022277,9.151875,11.658684,6.878627,10.900904,8,19,10.4598,2,3,0,6,-4.584169,5.731,9.557478,4.215529,8.799698,6,16,5.311,Hoffenheim,0.0882,0.1929,0.7189,h,2.24067,1.02517,2.24067,1.02517,12,1,1,2,2.2992,l,2018-10-07 13:30:00,0,0,1,0,1.2155000000000002,127,19,291,21,2,4,1,7,3.4011440000000004,14.307773999999998,12.42209,13.549994,10.148849999999998,11,12,11.2548,1,3,1,4,3.09206,10.13037,7.796080000000001,9.37259,6.28053,7,8,8.5744,Eintracht Frankfurt,0.699,0.2022,0.0988
8,h,0.949097,0.998569,0.949097,0.998569,3,4,1,1,1.261,d,2018-10-28 11:30:00,0,1,0,1,-0.049472,269,15,227,19,2,4,3,9,-4.071749,10.100972,12.657253,7.827724,11.899473,9,20,11.7208,1,3,1,4,-5.726122999999999,5.030247,9.998679,3.514776,9.240899,5,17,4.2405,Eintracht Frankfurt,0.3048,0.3466,0.3486,h,3.51257,0.666096,2.75479,0.666096,8,3,7,1,2.8418,w,2018-10-19 18:30:00,1,0,0,3,2.088694,266,18,336,23,4,3,1,13,0.0118669999999991,12.489884,11.720244999999998,10.974332,10.962464999999998,19,12,10.7003,3,1,1,10,3.267594999999999,10.22336,6.955765,9.46558,6.197984999999999,15,7,8.4819,Fortuna Duesseldorf,0.9294,0.0536,0.017
9,a,1.37885,2.61879,1.37885,2.61879,6,7,2,2,0.5668,d,2018-11-03 14:30:00,0,1,0,1,-1.2399400000000005,248,22,159,21,2,4,4,10,-5.311688999999999,11.479822,15.276043,9.206574,14.518263,11,22,12.2876,1,2,2,5,-4.932819,6.254881,10.430009,4.73941,9.672229,7,12,4.667599999999999,Augsburg,0.1263,0.1879,0.6858,a,1.45577,0.616434,0.697996,0.616434,2,6,2,1,2.1433,w,2018-10-27 13:30:00,1,0,0,3,0.0815619999999999,244,32,126,27,3,3,3,12,0.7464879999999998,15.969706,13.707664,14.454152,13.707664,16,14,13.4586,2,1,2,8,2.232468,10.613616,6.865594,9.098062,6.865594,10,7,8.802299999999999,Hannover 96,0.6306,0.2515,0.1179
