,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,1.91197,0.840127,1.91197,0.840127,7,4,1,1,2.2013,d,2018-08-25 16:30:00,0,1,0,1,1.071843,282,25,299,25,0,0,1,1,1.071843,1.91197,0.840127,1.91197,0.840127,1,1,2.2013,0,0,1,1,1.071843,1.91197,0.840127,1.91197,0.840127,1,1,2.2013,Hannover 96,0.6637,0.2102,0.1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,1.34271,1.25306,1.34271,0.495288,9,1,2,1,1.3943,w,2018-09-01 13:30:00,1,0,0,3,0.8474220000000001,188,23,252,7,1,0,1,4,1.919265,3.25468,2.093187,3.25468,1.335415,3,2,3.5956,1,0,1,4,1.919265,3.25468,2.093187,3.25468,1.335415,3,2,3.5956,Eintracht Frankfurt,0.3601,0.314,0.3259,a,0.81415,1.46674,0.81415,1.46674,2,13,2,0,0.8449,w,2018-08-25 16:30:00,1,0,0,3,-0.6525899999999999,238,15,179,19,1,0,0,3,-0.6525899999999999,0.81415,1.46674,0.81415,1.46674,2,0,0.8449,1,0,0,3,-0.6525899999999999,0.81415,1.46674,0.81415,1.46674,2,0,0.8449,Freiburg,0.1897,0.2758,0.5345
2,h,0.700449,0.514375,0.700449,0.514375,3,4,1,1,1.4665,d,2018-09-16 13:30:00,0,1,0,1,0.1860739999999999,250,28,277,18,1,0,2,5,2.105339,3.955129,2.607562,3.955129,1.84979,4,3,5.062099999999999,1,0,2,5,2.105339,3.955129,2.607562,3.955129,1.84979,4,3,5.062099999999999,Nuernberg,0.3524,0.4093,0.2383,h,1.56238,0.367667,1.56238,0.367667,6,4,1,1,2.3979,d,2018-09-01 13:30:00,0,1,0,1,1.194713,245,20,360,15,0,1,1,1,0.747966,2.9065000000000003,1.400757,2.148723,1.400757,1,2,4.0246,0,1,1,1,0.747966,2.9065000000000003,1.400757,2.148723,1.400757,1,2,4.0246,Mainz 05,0.7305,0.2064,0.0631
3,a,1.39048,2.11259,1.39048,2.11259,6,8,3,2,0.8962,w,2018-09-22 13:30:00,1,0,0,3,-0.72211,216,17,236,29,2,0,2,8,1.3832289999999998,5.345609,4.720152,5.345609,3.96238,7,5,5.9583,2,0,2,8,1.3832289999999998,5.345609,4.720152,5.345609,3.96238,7,5,5.9583,Augsburg,0.2207,0.2341,0.5452,a,0.736371,2.81187,0.736371,2.81187,4,8,1,2,0.2508,l,2018-09-15 13:30:00,0,0,1,0,-2.075499,229,30,186,27,1,1,1,4,-2.20809,3.2435,5.45159,3.2435,5.45159,4,4,2.7866,1,1,1,4,-2.20809,3.2435,5.45159,3.2435,5.45159,4,4,2.7866,Mainz 05,0.046,0.1128,0.8412
4,h,2.51866,0.94148,1.76088,0.94148,10,5,3,1,2.5497,w,2018-09-25 16:30:00,1,0,0,3,0.8194,263,25,244,14,3,0,2,11,2.202629,7.864269,5.661632,7.106489,4.90386,10,6,8.508,3,0,2,11,2.202629,7.864269,5.661632,7.106489,4.90386,10,6,8.508,Hertha Berlin,0.8025,0.1422,0.0553,h,3.9572,2.64706,3.9572,1.88928,7,5,4,2,2.1582,w,2018-09-22 13:30:00,1,0,0,3,2.06792,284,16,310,17,3,0,1,10,1.351869,6.147368999999999,7.82611,6.147368999999999,4.7955000000000005,9,4,3.9525,3,0,1,10,1.351869,6.147368999999999,7.82611,6.147368999999999,4.7955000000000005,9,4,3.9525,Borussia M.Gladbach,0.664,0.1662,0.1698
5,a,0.656694,2.43649,0.656694,2.43649,4,5,1,2,0.2967,l,2018-09-29 13:30:00,0,0,1,0,-1.7797960000000002,149,20,257,19,3,1,2,11,0.4228329999999998,8.520963,8.098122,7.763183,7.34035,11,8,8.804699999999999,3,1,1,10,-0.6490100000000001,6.608993,7.257995,5.851213,6.500223,10,7,6.6034,VfB Stuttgart,0.0555,0.1302,0.8143,a,0.640951,3.13273,0.640951,3.13273,3,8,0,2,0.1149,l,2018-09-26 18:30:00,0,0,1,0,-2.491779,161,20,327,22,0,3,2,2,-4.171295300000001,4.4094647,8.58076,4.4094647,8.58076,3,9,4.3918,0,3,2,2,-4.171295300000001,4.4094647,8.58076,4.4094647,8.58076,3,9,4.3918,RasenBallsport Leipzig,0.0165,0.0654,0.9181
6,h,1.10209,0.351604,1.10209,0.351604,4,4,2,0,2.0352,w,2018-10-05 18:30:00,1,0,0,3,0.750486,253,19,220,18,4,1,2,14,1.1733189999999998,9.623053,8.449726,8.865273,7.691954,13,8,10.839899999999998,3,1,1,10,-0.7459460000000002,6.368373,6.356539,5.610593,6.356539,10,6,7.2443,Wolfsburg,0.5709,0.3225,0.1066,h,0.802752,0.849348,0.802752,0.849348,9,2,2,2,1.26,d,2018-09-29 13:30:00,0,1,0,1,-0.0465959999999999,235,14,285,15,2,1,3,9,2.554126,8.510677,6.809151,7.753397,5.199271,10,9,9.5896,1,1,3,6,2.347596,7.200386999999999,4.947610999999999,6.443107,4.095511,8,8,8.7086,Borussia M.Gladbach,0.3015,0.3555,0.343
7,a,0.399747,0.966026,0.399747,0.966026,5,4,2,0,0.7575,w,2018-10-20 16:30:00,1,0,0,3,-0.566279,237,28,298,21,5,1,2,17,0.6070399999999998,10.0228,9.415752,9.26502,8.65798,15,8,11.5974,4,1,0,12,-1.498299,6.067670999999999,6.808190000000001,5.309891,6.808190000000001,11,5,6.535299999999999,Schalke 04,0.1357,0.3504,0.5139,a,1.75802,0.557607,1.75802,0.557607,4,5,2,0,2.3899,w,2018-10-06 13:30:00,1,0,0,3,1.200413,193,26,219,21,2,5,0,6,-0.3791930000000001,8.825189,8.446529,7.309636,7.688829,5,9,10.5302,2,3,0,6,-0.4442160000000001,5.368039,6.569955,5.368039,5.812255,4,5,6.4446,Fortuna Duesseldorf,0.7307,0.1978,0.0715
8,h,1.49927,4.07211,1.49927,4.07211,7,8,2,6,0.2288,l,2018-10-28 16:00:00,0,0,1,0,-2.57284,210,29,370,16,5,2,2,17,-1.9658000000000004,11.52207,13.487862,10.76429,12.73009,17,14,11.826199999999998,3,2,0,9,-3.3490290000000003,6.176461,8.767710000000001,5.418681,8.767710000000001,10,9,5.867899999999999,Bayer Leverkusen,0.0478,0.0854,0.8668,h,2.38988,1.0744,1.6321,1.0744,8,3,2,2,2.3313,d,2018-10-20 13:30:00,0,1,0,1,0.5577000000000001,115,21,216,25,2,4,2,8,-3.4185986000000006,9.776636,13.953089,8.2611594,11.679758,9,15,8.426900000000002,2,1,2,8,-0.0162619999999998,7.056506,7.072769,6.298726,6.314988,7,7,6.9437,Hannover 96,0.7144,0.1881,0.0975
9,a,1.25758,1.54801,1.25758,1.54801,11,3,1,2,1.0966,l,2018-11-04 17:00:00,0,0,1,0,-0.2904300000000002,210,18,404,19,5,3,2,17,-2.2562300000000004,12.77965,15.035872,12.02187,14.2781,18,16,12.9228,2,3,0,6,-4.458859,4.915381,9.37424,4.915381,9.37424,8,10,4.4148,Mainz 05,0.2638,0.3052,0.431,h,0.592384,2.15695,0.592384,2.15695,3,12,1,2,0.3323,l,2018-10-27 13:30:00,0,0,1,0,-1.564566,383,14,171,20,2,4,3,9,-4.761785000000001,8.864956,13.626741,8.864956,13.626741,5,10,8.796899999999999,0,3,2,2,-5.319651,3.636299,8.955950000000001,3.636299,8.955950000000001,1,7,3.3315,Bayern Munich,0.0542,0.1697,0.7761
