,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,1.31029,1.86154,1.31029,1.10376,6,3,2,1,0.881,w,2018-08-25 16:30:00,1,0,0,3,0.2065299999999998,161,28,259,26,1,0,0,3,0.2065299999999998,1.31029,1.86154,1.31029,1.10376,2,1,0.881,1,0,0,3,0.2065299999999998,1.31029,1.86154,1.31029,1.10376,2,1,0.881,Schalke 04,0.1996,0.2822,0.5182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,2.13508,0.877655,2.13508,0.877655,2,4,3,1,2.3125,w,2018-09-01 13:30:00,1,0,0,3,1.257425,227,31,255,17,2,0,0,6,1.463955,3.44537,2.739195,3.44537,1.981415,5,2,3.1935,2,0,0,6,1.463955,3.44537,2.739195,3.44537,1.981415,5,2,3.1935,Bayer Leverkusen,0.7087,0.1864,0.1049,a,1.05775,3.34179,1.05775,1.82624,6,10,0,2,0.2097,l,2018-08-25 19:30:00,0,0,1,0,-0.7684900000000001,282,16,316,24,0,1,0,0,-0.7684900000000001,1.05775,3.34179,1.05775,1.82624,0,2,0.2097,0,1,0,0,-0.7684900000000001,1.05775,3.34179,1.05775,1.82624,0,2,0.2097,Borussia M.Gladbach,0.041,0.0867,0.8723
2,h,2.23932,0.590795,1.48204,0.590795,7,0,2,2,2.6024,d,2018-09-15 13:30:00,0,1,0,1,0.8912450000000001,150,22,274,19,2,0,1,7,2.3552,5.68469,3.32999,4.92741,2.57221,7,4,5.7959,2,0,1,7,2.3552,5.68469,3.32999,4.92741,2.57221,7,4,5.7959,Hertha Berlin,0.8233,0.1325,0.0442,a,0.566284,1.59561,0.566284,0.837837,3,9,2,0,0.5094,w,2018-09-02 16:00:00,1,0,0,3,-0.271553,258,24,189,24,2,0,0,6,0.175194,1.599374,2.93973,1.599374,1.42418,3,0,1.5292,2,0,0,6,0.175194,1.599374,2.93973,1.599374,1.42418,3,0,1.5292,Schalke 04,0.0892,0.2418,0.669
3,h,0.826665,2.26733,0.826665,1.41523,7,3,1,3,0.3817,l,2018-09-22 13:30:00,0,0,1,0,-0.588565,90,28,406,21,2,1,1,7,1.766635,6.511355,5.59732,5.754075,3.98744,8,7,6.1776,2,1,1,7,1.766635,6.511355,5.59732,5.754075,3.98744,8,7,6.1776,Freiburg,0.0747,0.1576,0.7677,h,1.20784,1.19724,1.20784,1.19724,4,6,3,3,1.2772,d,2018-09-16 16:00:00,0,1,0,1,0.0105999999999999,278,16,193,20,0,2,1,1,-1.2797600000000002,4.21176,5.49152,4.21176,5.49152,4,8,3.4899,0,2,1,1,-1.2797600000000002,4.21176,5.49152,4.21176,5.49152,4,8,3.4899,VfB Stuttgart,0.3106,0.3454,0.344
4,a,1.19657,0.362483,1.19657,0.362483,7,3,0,0,2.152,d,2018-09-26 18:30:00,0,1,0,1,0.8340869999999999,208,22,203,20,2,1,2,8,2.600722,7.707924999999999,5.959803,6.950645,4.349923,8,7,8.3296,2,1,2,8,2.600722,7.707924999999999,5.959803,6.950645,4.349923,8,7,8.3296,Mainz 05,0.622,0.286,0.092,a,0.76291,1.29357,0.76291,1.29357,7,16,0,1,0.8976000000000001,l,2018-09-23 13:30:00,0,0,1,0,-0.5306600000000001,236,18,258,27,2,1,1,7,0.5578659999999995,5.228657,4.670791,5.228657,4.670791,4,3,5.4654,2,1,1,7,0.5578659999999995,5.228657,4.670791,5.228657,4.670791,4,3,5.4654,Bayer Leverkusen,0.2,0.2976,0.5024
5,h,0.802752,0.849348,0.802752,0.849348,9,2,2,2,1.26,d,2018-09-29 13:30:00,0,1,0,1,-0.0465959999999999,235,14,285,15,2,1,3,9,2.554126,8.510677,6.809151,7.753397,5.199271,10,9,9.5896,1,1,3,6,2.347596,7.200386999999999,4.947610999999999,6.443107,4.095511,8,8,8.7086,Borussia M.Gladbach,0.3015,0.3555,0.343,h,1.5541,1.11709,1.5541,1.11709,7,3,3,1,1.6717,w,2018-09-26 18:30:00,1,0,0,3,0.4370100000000001,194,13,268,18,3,1,1,10,-0.6317809999999999,10.25504,8.613491,7.98171,8.613491,10,7,8.0143,3,1,1,10,-0.6317809999999999,10.25504,8.613491,7.98171,8.613491,10,7,8.0143,Eintracht Frankfurt,0.4673,0.2698,0.2629
6,a,0.351604,1.10209,0.351604,1.10209,4,4,0,2,0.6423,l,2018-10-05 18:30:00,0,0,1,0,-0.750486,220,18,253,19,2,2,3,9,1.80364,8.862281,7.911241,8.105001,6.301361,10,11,10.2319,0,2,3,3,0.3396849999999998,5.416911000000001,5.172046,4.659631,4.319946,5,9,7.038399999999999,Werder Bremen,0.1066,0.3225,0.5709,a,0.656694,2.43649,0.656694,2.43649,4,5,1,2,0.2967,l,2018-09-29 13:30:00,0,0,1,0,-1.7797960000000002,149,20,257,19,3,1,2,11,0.4228329999999998,8.520963,8.098122,7.763183,7.34035,11,8,8.804699999999999,3,1,1,10,-0.6490100000000001,6.608993,7.257995,5.851213,6.500223,10,7,6.6034,VfB Stuttgart,0.0555,0.1302,0.8143
7,h,0.815476,2.75811,0.815476,2.75811,2,7,1,3,0.2118,l,2018-10-20 13:30:00,0,0,1,0,-1.942634,316,20,230,17,2,3,3,9,-0.1389940000000002,9.677757,10.669351,8.920477,9.059471,11,14,10.4437,0,3,2,2,-2.494194,3.993067,7.339361,3.993067,6.487261,4,10,4.6478,Bayern Munich,0.0334,0.1116,0.855,h,0.595523,0.559058,0.595523,0.559058,8,1,0,3,1.3055,l,2018-10-06 16:30:00,0,0,1,0,0.0364649999999999,156,21,442,11,4,2,1,13,7.9173589,13.230093,5.3128127,11.714703,3.7973441,12,8,14.7998,2,2,1,7,4.6682366,8.426923,4.5164550000000006,7.669223000000001,3.0009864000000004,6,7,9.4384,Borussia M.Gladbach,0.2917,0.4304,0.2779
8,a,1.74956,0.245269,0.991785,0.245269,6,3,3,0,2.6158,w,2018-10-27 13:30:00,1,0,0,3,0.7465160000000001,166,24,289,19,3,3,3,12,0.6075219999999998,11.427317,10.91462,9.912262,9.30474,14,14,13.0595,1,2,2,5,-1.159113,4.915962,5.3173,4.158187,5.3173,6,7,6.8819,Fortuna Duesseldorf,0.8219,0.1501,0.028,a,0.666096,3.51257,0.666096,2.75479,3,8,1,7,0.1046,l,2018-10-19 18:30:00,0,0,1,0,-2.088694,336,23,266,18,1,5,2,5,-5.836397,9.936003,15.772399,8.420452000000001,14.256849,6,18,7.5679,0,4,1,1,-4.421898,5.387603,10.56727,4.629822000000001,9.05172,2,14,3.7734,Eintracht Frankfurt,0.017,0.0536,0.9294
9,h,0.44332,1.19435,0.44332,1.19435,4,5,0,1,0.6205,l,2018-11-03 14:30:00,0,0,1,0,-0.7510300000000001,268,21,227,24,3,4,3,12,-0.1435080000000003,11.870637,12.10897,10.355582,10.49909,14,15,13.68,1,3,1,4,-2.74423,4.162712,6.149167,3.404937,6.149167,6,8,5.3504,Borussia Dortmund,0.1121,0.2842,0.6037,h,3.57277,2.04279,3.57277,1.28501,15,5,2,2,2.3517,d,2018-10-27 13:30:00,0,1,0,1,2.28776,215,21,259,30,6,0,3,21,6.940756,17.998889,11.815913,17.998889,11.058133,29,10,16.880300000000002,4,0,1,13,4.788252,11.794218,7.763745999999999,11.794218,7.005965999999999,21,7,9.5764,Hertha Berlin,0.73,0.1617,0.1083
