,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,2.47615,1.20475,2.47615,1.20475,9,2,3,2,2.3902,w,2019-08-17 14:30:00,1,0,0,3,1.2714,119,31,504,29,1,0,0,3,1.2714,2.47615,1.20475,2.47615,1.20475,3,2,2.3902,1,0,0,3,1.2714,2.47615,1.20475,2.47615,1.20475,3,2,2.3902,Paderborn,0.731,0.1972,0.0718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,1.82469,1.12017,1.82469,1.12017,7,4,3,1,1.9219,w,2019-08-24 14:30:00,1,0,0,3,0.7045199999999998,149,29,469,25,2,0,0,6,1.97592,4.30084,2.32492,4.30084,2.32492,6,3,4.3121,2,0,0,6,1.97592,4.30084,2.32492,4.30084,2.32492,6,3,4.3121,Fortuna Duesseldorf,0.5586,0.2461,0.1953,a,1.01536,2.0112,1.01536,2.0112,7,14,3,1,0.6734,w,2019-08-17 14:30:00,1,0,0,3,-0.99584,378,18,178,15,1,0,0,3,-0.99584,1.01536,2.0112,1.01536,2.0112,3,1,0.6734,1,0,0,3,-0.99584,1.01536,2.0112,1.01536,2.0112,3,1,0.6734,Werder Bremen,0.1485,0.2279,0.6236
2,h,0.936475,0.450548,0.936475,0.450548,8,1,0,0,1.778,d,2019-08-31 14:30:00,0,1,0,1,0.4859269999999999,100,13,375,18,2,0,1,7,2.461847,5.237315,2.775468,5.237315,2.775468,6,3,6.0901,2,0,1,7,2.461847,5.237315,2.775468,5.237315,2.775468,6,3,6.0901,Hoffenheim,0.4701,0.3677,0.1622,h,1.05096,0.841426,1.05096,0.841426,4,3,3,2,1.5381,w,2019-08-24 14:30:00,1,0,0,3,0.2095339999999999,252,24,314,19,1,1,0,3,-0.977035,1.685791,2.662826,1.685791,2.662826,3,3,2.0055,1,1,0,3,-0.977035,1.685791,2.662826,1.685791,2.662826,3,3,2.0055,Werder Bremen,0.4031,0.3288,0.2681
3,a,1.14812,3.23112,1.14812,3.23112,3,9,0,4,0.22,l,2019-09-14 13:30:00,0,0,1,0,-2.083,173,25,465,28,2,1,1,7,0.3788469999999995,6.385434999999999,6.006588000000001,6.385434999999999,6.006588000000001,6,7,6.310099999999999,2,1,1,7,0.3788469999999995,6.385434999999999,6.006588000000001,6.385434999999999,6.006588000000001,6,7,6.310099999999999,Borussia Dortmund,0.0387,0.1039,0.8574,a,1.60213,1.4209,1.60213,1.4209,12,2,1,3,1.5178000000000005,l,2019-08-31 17:30:00,0,0,1,0,0.18123,107,13,451,19,2,1,0,6,3.680157,6.943,3.262843,6.943,3.262843,9,5,6.532,2,1,0,6,3.680157,6.943,3.262843,6.943,3.262843,9,5,6.532,Union Berlin,0.404,0.3058,0.2902
4,h,1.55742,0.125413,1.55742,0.125413,8,1,2,0,2.5505000000000004,w,2019-09-21 13:30:00,1,0,0,3,1.432007,228,24,563,25,3,1,1,10,1.8108539999999995,7.942855,6.132001000000001,7.942855,6.132001000000001,8,7,8.8606,3,1,1,10,1.8108539999999995,7.942855,6.132001000000001,7.942855,6.132001000000001,8,7,8.8606,Union Berlin,0.7868,0.1901,0.0231,h,1.98106,2.14722,1.22329,0.631742,5,6,1,2,1.2346,l,2019-09-14 13:30:00,0,0,1,0,0.591548,228,26,155,17,1,2,1,4,-3.2252370000000004,5.076065,9.05901,4.318295,7.543532,5,8,3.3964000000000003,1,2,1,4,-3.2252370000000004,5.076065,9.05901,4.318295,7.543532,5,8,3.3964000000000003,Werder Bremen,0.3166,0.2848,0.3986
5,a,0.978659,0.27153,0.978659,0.27153,6,1,3,0,2.0901,w,2019-09-28 13:30:00,1,0,0,3,0.7071289999999999,143,13,590,23,4,1,1,13,2.517982999999999,8.921514,6.403531000000001,8.921514,6.403531000000001,11,7,10.9507,3,1,1,10,1.2465829999999996,6.445364,5.198781,6.445364,5.198781,8,5,8.560500000000001,Augsburg,0.5885,0.3246,0.0869,a,0.884946,1.70133,0.884946,1.70133,6,5,1,1,0.7102,d,2019-09-21 13:30:00,0,1,0,1,-0.816384,267,25,149,21,1,2,2,5,-2.986076,6.234718,9.220794,6.234718,9.220794,7,11,5.2518,1,2,2,5,-2.986076,6.234718,9.220794,6.234718,9.220794,7,11,5.2518,Freiburg,0.1547,0.2461,0.5992
6,h,1.6617,2.45811,1.6617,2.45811,9,3,1,1,0.7931999999999999,d,2019-10-05 14:30:00,0,1,0,1,-0.7964100000000001,211,27,507,30,4,1,2,14,1.7215729999999991,10.583214,8.861641,10.583214,8.861641,12,8,11.7439,2,1,2,8,-0.2543470000000003,6.282374,6.536721,6.282374,6.536721,6,5,7.4318,RasenBallsport Leipzig,0.1843,0.2403,0.5754,h,1.2781,2.64689,1.2781,1.88912,13,10,1,3,0.4762,l,2019-09-28 13:30:00,0,0,1,0,-0.6110199999999999,159,25,317,33,4,1,1,13,5.421948,13.49916,8.077207999999999,12.741386,7.319438,14,6,11.5528,3,1,1,10,2.2709850000000005,9.56529,7.294301,8.807516,6.536531,10,6,8.666,Schalke 04,0.1008,0.1738,0.7254
7,a,1.58917,2.73688,1.58917,1.97918,7,9,0,3,0.6699999999999999,l,2019-10-18 19:30:00,0,0,1,0,-0.3900099999999999,121,23,382,23,4,2,2,14,1.3315629999999992,12.172384,11.598521000000002,12.172384,10.840821,12,11,12.4139,2,2,1,7,-1.1302840000000005,6.935069,8.823053000000002,6.935069,8.065353,6,8,6.3238,Eintracht Frankfurt,0.1629,0.1813,0.6558,h,2.95637,1.75811,2.95637,1.00042,8,2,2,2,2.2657,d,2019-10-06 17:00:00,0,1,0,1,1.95595,156,23,235,16,3,2,2,11,2.959343,11.841573,9.63992,11.841573,8.88223,11,10,11.365200000000002,2,1,2,8,2.613577,9.084936,7.229049000000001,9.084936,6.4713590000000005,9,8,8.348500000000001,Werder Bremen,0.6882,0.2011,0.1107
8,h,2.95018,0.502517,2.95018,0.502517,8,6,2,2,2.8107,d,2019-10-26 17:30:00,0,1,0,1,2.447663,175,35,296,17,4,2,3,15,3.779225999999999,15.122564,12.101038,15.122564,11.343338,14,13,15.2246,2,1,2,8,3.400379,8.737129,6.09445,8.737129,5.336749999999999,8,6,8.9145,Werder Bremen,0.9148,0.0663,0.0189,h,0.967641,0.353813,0.967641,0.353813,10,2,1,1,1.8957,d,2019-10-19 14:30:00,0,1,0,1,0.613828,287,19,315,13,2,3,3,9,-2.08132,11.760451000000002,12.326373,9.487283,11.568603,13,17,10.5307,1,1,3,6,-3.856416000000001,6.438314999999999,8.779333000000001,4.165147,8.021563,7,9,5.1754,Hertha Berlin,0.5119,0.36,0.1281
9,h,2.12992,2.05874,2.12992,2.05874,3,3,1,2,1.3835000000000002,l,2019-11-02 14:30:00,0,0,1,0,0.07118,204,27,291,18,4,3,3,15,3.850405999999999,17.252484,14.159778,17.252484,13.402078,15,15,16.6081,1,2,2,5,2.039552,9.309629,8.027777,9.309629,7.270076999999999,7,8,7.7475,Borussia M.Gladbach,0.3762,0.2549,0.3689,h,1.99947,0.997822,1.99947,0.997822,5,3,4,2,2.1318,w,2019-10-27 17:00:00,1,0,0,3,1.001648,247,20,242,29,6,2,1,19,9.351891,22.46635,13.114459,22.46635,13.114459,19,9,18.2954,4,1,0,12,9.360948,15.92867,6.567722000000001,15.92867,6.567722000000001,14,5,12.4253,Eintracht Frankfurt,0.6378,0.2184,0.1438
