,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,1.01536,2.0112,1.01536,2.0112,7,14,3,1,0.6734,w,2019-08-17 14:30:00,1,0,0,3,-0.99584,378,18,178,15,1,0,0,3,-0.99584,1.01536,2.0112,1.01536,2.0112,3,1,0.6734,1,0,0,3,-0.99584,1.01536,2.0112,1.01536,2.0112,3,1,0.6734,Werder Bremen,0.1485,0.2279,0.6236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,1.12017,1.82469,1.12017,1.82469,4,7,1,3,0.832,l,2019-08-24 14:30:00,0,0,1,0,-0.7045199999999998,469,25,149,29,1,1,0,3,-1.70036,2.13553,3.83589,2.13553,3.83589,4,4,1.5053999999999998,1,1,0,3,-1.70036,2.13553,3.83589,2.13553,3.83589,4,4,1.5053999999999998,Bayer Leverkusen,0.1953,0.2461,0.5586,h,2.47615,1.20475,2.47615,1.20475,9,2,3,2,2.3902,w,2019-08-17 14:30:00,1,0,0,3,1.2714,119,31,504,29,1,0,0,3,1.2714,2.47615,1.20475,2.47615,1.20475,3,2,2.3902,1,0,0,3,1.2714,2.47615,1.20475,2.47615,1.20475,3,2,2.3902,Paderborn,0.731,0.1972,0.0718
2,a,0.759809,1.75705,0.759809,1.75705,3,2,1,2,0.5968,l,2019-09-01 17:00:00,0,0,1,0,-0.997241,273,22,137,22,1,2,0,3,-2.697601,2.895339,5.5929400000000005,2.895339,5.5929400000000005,5,6,2.1022,1,2,0,3,-2.697601,2.895339,5.5929400000000005,2.895339,5.5929400000000005,5,6,2.1022,Eintracht Frankfurt,0.1234,0.2266,0.65,a,0.935237,1.77604,0.935237,1.77604,4,2,1,2,0.6887,l,2019-08-25 14:30:00,0,0,1,0,-0.8408030000000001,251,27,305,22,1,1,0,3,0.3457659999999999,2.756637,2.410871,2.756637,2.410871,2,2,3.0167,1,1,0,3,0.3457659999999999,2.756637,2.410871,2.756637,2.410871,2,2,3.0167,RasenBallsport Leipzig,0.1498,0.2393,0.6109
3,h,0.679763,2.28602,0.679763,2.28602,4,3,1,1,0.2989,d,2019-09-13 18:30:00,0,1,0,1,-1.6062570000000005,313,21,186,27,1,2,1,4,-4.303858,3.575102,7.878960000000001,3.575102,7.878960000000001,6,7,2.4011,1,2,1,4,-4.303858,3.575102,7.878960000000001,3.575102,7.878960000000001,6,7,2.4011,Wolfsburg,0.0539,0.1372,0.8089,h,0.996067,0.492299,0.996067,0.492299,9,6,1,1,1.8253,d,2019-08-31 14:30:00,0,1,0,1,0.503768,172,36,318,31,2,0,1,7,0.459181,3.307817,2.090857,2.550038,2.090857,6,2,5.143000000000001,2,0,1,7,0.459181,3.307817,2.090857,2.550038,2.090857,6,2,5.143000000000001,Paderborn,0.497,0.3343,0.1687
4,a,1.27666,4.2854,1.27666,4.2854,5,7,1,2,0.1399,l,2019-09-22 13:30:00,0,0,1,0,-3.0087400000000004,276,15,167,17,1,3,1,4,-7.312598,4.851762,12.164360000000002,4.851762,12.164360000000002,7,9,2.541,1,3,1,4,-7.312598,4.851762,12.164360000000002,4.851762,12.164360000000002,7,9,2.541,Borussia M.Gladbach,0.0273,0.058,0.9147,a,1.55336,0.841764,1.55336,0.841764,7,8,1,0,1.9603,w,2019-09-14 13:30:00,1,0,0,3,0.7115960000000001,204,33,184,36,2,1,1,7,-0.0090569999999997,6.53768,6.546737,6.53768,6.546737,5,4,5.8701,2,1,1,7,-0.0090569999999997,6.53768,6.546737,6.53768,6.546737,5,4,5.8701,FC Cologne,0.5682,0.2557,0.1761
5,h,2.01843,1.67484,2.01843,0.917139,3,2,1,2,1.6163999999999998,l,2019-09-29 13:30:00,0,0,1,0,1.1012909999999998,263,13,304,25,1,4,1,4,-6.211307000000001,6.870191999999999,13.839200000000002,6.870191999999999,13.081499000000004,8,11,4.1574,0,4,1,1,-5.215467,5.854832,11.828,5.854832,11.070299,5,10,3.4839999999999995,Freiburg,0.4468,0.276,0.2772,h,1.70133,0.884946,1.70133,0.884946,5,6,1,1,2.0437,d,2019-09-21 13:30:00,0,1,0,1,0.816384,149,21,267,25,3,1,1,10,0.8648989999999998,8.594401,6.213952,7.078851,6.213952,11,4,8.6556,3,1,1,10,0.8648989999999998,8.594401,6.213952,7.078851,6.213952,11,4,8.6556,Augsburg,0.5992,0.2461,0.1547
6,a,1.1795,2.0219,0.421722,2.0219,2,6,1,3,0.7314,l,2019-10-04 19:30:00,0,0,1,0,-1.600178,290,23,246,22,1,5,1,4,-7.811485000000001,8.049692,15.861100000000002,7.291913999999999,15.103399000000003,9,14,4.8888,0,4,1,1,-6.111125000000001,5.914162,12.02521,5.156384,11.267509,5,10,3.3834,Hertha Berlin,0.1608,0.249,0.5902,a,2.20336,0.533432,2.20336,0.533432,4,8,4,0,2.6038,w,2019-09-29 16:00:00,1,0,0,3,1.669928,302,16,210,21,2,3,1,7,1.1579610000000002,8.157164000000002,8.514762000000001,8.157164000000002,6.9992030000000005,9,11,7.7203,2,3,0,6,1.6926610000000002,6.972574,6.037692000000001,6.972574,5.2799130000000005,7,9,7.2737,FC Cologne,0.8239,0.1321,0.044
7,h,2.01829,0.236283,2.01829,0.236283,6,0,1,0,2.7088,w,2019-10-19 14:30:00,1,0,0,3,1.782007,246,21,279,19,2,5,1,7,-6.029478000000001,10.067982,16.097383,9.310204,15.339682000000003,10,14,7.5976,1,3,1,4,-3.3318770000000004,7.172643000000001,10.504443,6.414865000000001,9.746742,5,8,5.4954,Mainz 05,0.8656,0.112,0.0224,a,2.63853,1.49293,1.88075,0.735157,7,3,2,1,2.1689,w,2019-10-05 14:30:00,1,0,0,3,1.145593,394,35,140,11,2,5,0,6,-2.6705239999999995,9.335007,12.763294,8.577227,11.247751,7,17,7.698899999999999,2,3,0,6,-2.04708,6.737901000000001,8.784974,5.9801210000000005,8.027201,6,11,5.9976,Paderborn,0.6543,0.206,0.1397
8,a,1.43646,0.738686,1.43646,0.738686,5,3,0,2,1.9379,l,2019-10-26 14:30:00,0,0,1,0,0.6977740000000001,212,22,213,24,2,6,1,7,-5.331704000000001,11.504442,16.836069000000002,10.746664,16.078368000000005,10,16,9.5355,1,4,0,3,-1.0278460000000007,7.92934,8.957109,7.171562,8.199408,4,9,7.1344,Paderborn,0.555,0.2729,0.1721,a,0.574545,2.41631,0.574545,2.41631,2,3,0,3,0.2835,l,2019-10-20 14:30:00,0,0,1,0,-1.841765,232,25,377,24,0,7,1,1,-7.385607999999999,9.142525,17.28592,8.384752,15.77036,9,22,6.226499999999999,0,5,0,0,-5.795640000000001,5.633816,11.429462999999998,4.876043,10.671682999999998,5,15,4.037800000000001,FC Cologne,0.0503,0.1326,0.8171
9,h,2.18646,1.03434,1.42868,1.03434,1,10,2,0,2.2888,w,2019-11-03 14:30:00,1,0,0,3,0.3943399999999999,275,31,153,23,3,6,1,10,-4.937364000000001,13.690902,17.870409000000002,12.175344,17.112708000000005,12,16,11.8243,2,3,0,6,2.375234,8.83914,5.706049,7.323582,4.948348,5,7,9.2833,FC Cologne,0.6952,0.2032,0.1016,a,1.52391,1.54568,1.52391,1.54568,9,4,1,3,1.3285,l,2019-10-25 19:30:00,0,0,1,0,-0.0217699999999998,196,18,214,28,2,6,1,7,-3.363538,10.625008,14.746326,10.625008,13.988546,9,19,9.5749,1,3,1,4,-1.981183,6.554502,9.293465,6.554502,8.535684999999999,5,12,5.1425,Mainz 05,0.3525,0.271,0.3765
10,a,2.06462,1.23132,1.30684,1.23132,5,3,3,3,2.07,d,2019-11-09 14:30:00,0,1,0,1,0.07552,275,27,153,15,3,6,2,11,-4.861844000000001,15.755522,19.101729,13.482183999999998,18.344028000000005,15,19,13.8943,2,2,1,7,1.349463,8.88533,5.262529,6.611992,5.262529,7,8,9.7369,Schalke 04,0.6108,0.2376,0.1516,a,0.355124,1.55099,0.355124,0.793215,5,6,3,2,0.3414,w,2019-11-03 17:00:00,1,0,0,3,-0.438091,115,17,358,23,5,2,3,18,2.171451,12.790689,11.377023,12.032919,9.861468,17,11,14.4916,2,1,2,8,1.795855,6.992848,5.196998,6.235078,4.439223,7,6,8.0761,Augsburg,0.0501,0.1911,0.7588
11,h,0.443491,3.81728,0.443491,3.81728,3,14,0,4,0.0306999999999999,l,2019-11-23 14:30:00,0,0,1,0,-3.373789,421,13,128,23,3,7,2,11,-8.235633000000002,16.199013,22.919009000000003,13.925674999999998,22.161308000000005,15,23,13.925,2,2,1,7,-0.4241480000000002,8.149320999999999,7.057909,6.633761,7.057909,6,9,9.0362,Bayern Munich,0.0026,0.0229,0.9745,h,3.90951,0.608676,3.90951,0.608676,8,1,4,0,2.9342,w,2019-11-09 17:30:00,1,0,0,3,3.300834,270,27,402,22,6,2,3,21,14.038402999999995,28.197820000000004,14.159405,25.924480000000003,11.886077,29,16,23.4087,2,2,1,7,6.01995,12.71053,8.206134,12.71053,6.69058,10,10,9.5657,Borussia Dortmund,0.969,0.0272,0.0038
12,a,0.884323,2.69182,0.884323,2.69182,3,6,1,1,0.2872,d,2019-11-30 14:30:00,0,1,0,1,-1.807497,316,28,297,20,3,7,3,12,-10.04313,17.083336,25.610829000000003,14.809997999999998,24.853128000000005,16,24,14.2122,1,2,2,5,-4.013652,7.015354,9.513446,5.4997940000000005,9.513446,6,10,6.6146,Hoffenheim,0.0555,0.1207,0.8238,h,2.15404,2.10482,2.15404,2.10482,9,4,1,5,1.4167999999999998,l,2019-11-24 17:00:00,0,0,1,0,0.04922,155,17,308,27,6,4,2,20,-2.544404,15.58835,17.374981,14.830577,17.374981,17,19,15.3244,4,1,0,12,2.376954,9.572455,6.437728000000001,8.814682000000001,6.437728000000001,11,8,9.3384,Mainz 05,0.3994,0.2186,0.382
13,a,0.102341,3.95015,0.102341,3.95015,4,24,0,5,0.0089,l,2019-12-07 14:30:00,0,0,1,0,-3.847809,513,15,211,26,3,8,3,12,-13.890939,17.185677,29.560979000000003,14.912338999999998,28.80327800000001,16,29,14.2211,1,2,2,5,-8.559235,5.681235,12.72491,4.165675,12.72491,6,13,4.685600000000001,Borussia Dortmund,0.0003,0.008,0.9917,a,1.48269,0.751161,1.48269,0.751161,9,7,2,1,2.0166,w,2019-11-30 14:30:00,1,0,0,3,0.7315290000000001,319,20,296,33,6,2,5,23,3.0382240000000005,23.200555,19.404791,22.443015,19.404791,28,19,21.3658,2,1,2,8,-3.431242,6.494009,9.167711,5.736469,9.167711,8,8,5.8782,Hertha Berlin,0.5866,0.2568,0.1566
14,h,0.263544,3.98532,0.263544,3.22755,0,10,0,3,0.0180999999999999,l,2019-12-14 17:30:00,0,0,1,0,-2.964006,461,7,178,19,3,9,3,12,-16.854945,17.449220999999998,33.546299000000005,15.175882999999995,32.03082800000001,16,32,14.2392,0,3,2,2,-11.917581,3.758319,15.67589,3.0005390000000003,14.918119999999998,4,16,2.4149,RasenBallsport Leipzig,0.0021,0.0118,0.9861,h,3.5887,1.28019,2.83093,1.28019,5,8,3,1,2.6791,w,2019-12-07 14:30:00,1,0,0,3,1.55074,402,38,237,24,9,2,3,30,13.200262,33.72542,18.251914,30.694406,17.494144,39,16,28.7845,5,0,0,15,6.535644,13.8511,5.042216000000001,11.57786,5.042216000000001,22,6,12.2366,Hoffenheim,0.8615,0.0946,0.0439
15,a,0.755838,1.4601,0.755838,1.4601,0,5,0,3,0.7535000000000001,l,2019-12-17 19:30:00,0,0,1,0,-0.7042619999999999,163,15,246,21,3,10,3,12,-17.559207,18.205059,35.006399,15.931720999999998,33.490928000000004,16,35,14.9927,0,4,1,1,-12.697363,2.4495370000000003,15.90467,2.4495370000000003,15.146900000000002,1,16,1.0984,Augsburg,0.1568,0.2831,0.5601,a,2.22713,1.75727,1.46936,1.75727,5,12,4,2,1.7637999999999998,w,2019-12-13 19:30:00,1,0,0,3,-0.2879100000000001,440,14,88,15,5,5,5,20,-2.985085,22.710371,23.421963,19.679266,22.664351,24,28,20.7507,4,0,1,13,3.636544,10.41279,5.260528000000001,8.13946,4.502916,12,4,10.3257,Hoffenheim,0.5045,0.2503,0.2452
16,h,1.17089,1.9614,1.17089,1.9614,7,6,2,1,0.758,w,2019-12-22 14:30:00,1,0,0,3,-0.79051,265,16,222,22,4,10,3,15,-18.349717,19.375949,36.967799,17.102610999999996,35.452328,18,36,15.750700000000002,1,3,1,4,-10.114083999999998,3.176936,14.04879,3.176936,13.29102,3,13,1.8257,Union Berlin,0.1773,0.2261,0.5966,h,1.53884,0.819222,1.53884,0.819222,5,1,0,2,1.9354,l,2019-12-17 19:30:00,0,0,1,0,0.719618,197,23,182,13,6,8,2,20,-7.308433999999999,20.806713,25.841823,17.017910999999998,24.326345,19,22,19.8018,2,2,1,7,2.323179,8.27728,5.1964,7.519579,5.1964,6,5,9.3197,Hoffenheim,0.5518,0.28,0.1682
