,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,1.20475,2.47615,1.20475,2.47615,2,9,2,3,0.4125999999999999,l,2019-08-17 14:30:00,0,0,1,0,-1.2714,504,29,119,31,0,1,0,0,-1.2714,1.20475,2.47615,1.20475,2.47615,2,3,0.4125999999999999,0,1,0,0,-1.2714,1.20475,2.47615,1.20475,2.47615,2,3,0.4125999999999999,Bayer Leverkusen,0.0718,0.1972,0.731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,1.81166,2.38424,1.81166,1.62646,4,7,1,3,0.9357,l,2019-08-24 14:30:00,0,0,1,0,0.1852,189,34,246,17,0,2,0,0,-1.0862,3.01641,4.860390000000001,3.01641,4.10261,3,6,1.3483,0,2,0,0,-1.0862,3.01641,4.860390000000001,3.01641,4.10261,3,6,1.3483,Freiburg,0.2365,0.2262,0.5373,h,1.88401,0.784216,1.12624,0.784216,3,8,3,0,2.2574,w,2019-08-17 14:30:00,1,0,0,3,0.3420239999999999,202,10,239,23,1,0,0,3,0.3420239999999999,1.88401,0.784216,1.12624,0.784216,3,0,2.2574,1,0,0,3,0.3420239999999999,1.88401,0.784216,1.12624,0.784216,3,0,2.2574,Mainz 05,0.6829,0.2087,0.1084
2,a,0.492299,0.996067,0.492299,0.996067,6,9,1,1,0.8404,d,2019-08-31 14:30:00,0,1,0,1,-0.503768,318,31,172,36,0,2,1,1,-1.589968,3.508709,5.856457000000001,3.508709,5.098677,4,7,2.1887,0,2,1,1,-1.589968,3.508709,5.856457000000001,3.508709,5.098677,4,7,2.1887,Wolfsburg,0.1687,0.3343,0.497,a,1.33245,0.936557,0.574671,0.936557,5,10,3,0,1.6981,w,2019-08-25 17:00:00,1,0,0,3,-0.3618859999999999,294,26,207,26,2,0,0,6,-0.0445869999999999,2.31175,1.598558,1.553971,1.598558,5,1,3.3177000000000003,2,0,0,6,-0.0445869999999999,2.31175,1.598558,1.553971,1.598558,5,1,3.3177000000000003,Hertha Berlin,0.4613,0.3142,0.2245
3,h,1.39508,1.9184,1.39508,1.9184,3,14,1,5,0.9921,l,2019-09-15 16:00:00,0,0,1,0,-0.52332,238,28,209,27,0,3,1,1,-2.113288,4.903789,7.774857000000001,4.903789,7.0170770000000005,5,12,3.1808,0,3,1,1,-2.113288,4.903789,7.774857000000001,4.903789,7.0170770000000005,5,12,3.1808,Schalke 04,0.2442,0.2595,0.4963,h,1.16546,0.771094,1.16546,0.771094,7,6,3,0,1.7378,w,2019-08-31 14:30:00,1,0,0,3,0.394366,259,22,342,16,1,1,1,4,-0.035621,3.006393,3.799794,3.006393,3.042014,3,3,3.4281,1,1,1,4,-0.035621,3.006393,3.799794,3.006393,3.042014,3,3,3.4281,Hertha Berlin,0.4742,0.3152,0.2106
4,a,1.89015,0.983173,1.89015,0.983173,8,4,1,2,2.0931,l,2019-09-21 13:30:00,0,0,1,0,0.906977,170,29,303,37,0,4,1,1,-1.206311,6.793939,8.758030000000002,6.793939,8.000250000000001,6,14,5.273899999999999,0,4,1,1,-1.206311,6.793939,8.758030000000002,6.793939,8.000250000000001,6,14,5.273899999999999,Hertha Berlin,0.6205,0.2316,0.1479,a,2.07839,1.1162,2.07839,1.1162,8,4,1,2,2.0599,l,2019-09-14 13:30:00,0,0,1,0,0.96219,267,18,242,23,0,3,1,1,0.3950100000000001,4.970631000000001,6.0911800000000005,4.970631000000001,4.575621,3,10,4.4412,0,3,1,1,0.3950100000000001,4.970631000000001,6.0911800000000005,4.970631000000001,4.575621,3,10,4.4412,Mainz 05,0.6092,0.2323,0.1585
5,h,0.281111,3.47305,0.281111,3.47305,2,17,2,3,0.044,l,2019-09-28 13:30:00,0,0,1,0,-3.191939,420,25,207,21,0,5,1,1,-4.39825,7.07505,12.231080000000002,7.07505,11.473300000000002,8,17,5.317899999999999,0,4,1,1,-3.12685,5.8703,9.75493,5.8703,8.99715,6,14,4.9053,Bayern Munich,0.0048,0.0296,0.9656,h,2.92351,1.03267,2.16573,1.03267,12,7,4,0,2.5456,w,2019-09-21 13:30:00,1,0,0,3,1.13306,198,25,319,22,3,0,2,11,4.826514,12.01424,5.67216,9.7409,4.914386,16,4,10.9166,3,0,2,11,4.826514,12.01424,5.67216,9.7409,4.914386,16,4,10.9166,FC Cologne,0.8058,0.1282,0.066
6,h,1.49293,2.63853,0.735157,1.88075,3,7,1,2,0.6251,l,2019-10-05 14:30:00,0,0,1,0,-1.145593,140,11,394,35,0,6,1,1,-5.543843,8.56798,14.869610000000002,7.810207,13.35405,9,19,5.942999999999999,0,4,1,1,-4.457643,5.551570000000001,10.00922,4.7937970000000005,9.25144,6,13,4.5947000000000005,Mainz 05,0.1397,0.206,0.6543,h,1.27755,0.994636,1.27755,0.994636,5,7,0,1,1.5577,l,2019-09-28 13:30:00,0,0,1,0,0.282914,213,28,246,26,1,5,0,3,-3.8161169999999993,6.696477,11.270364,6.696477,10.512594000000002,5,16,5.529999999999999,1,4,0,3,-3.4740930000000003,5.912261,9.386354,5.912261,9.386354,5,13,4.9961,Wolfsburg,0.4112,0.3241,0.2647
7,a,0.574545,2.41631,0.574545,2.41631,2,3,0,3,0.2835,l,2019-10-20 14:30:00,0,0,1,0,-1.841765,232,25,377,24,0,7,1,1,-7.385607999999999,9.142525,17.28592,8.384752,15.77036,9,22,6.226499999999999,0,5,0,0,-5.795640000000001,5.633816,11.429462999999998,4.876043,10.671682999999998,5,15,4.037800000000001,FC Cologne,0.0503,0.1326,0.8171,a,1.04818,2.04637,1.04818,2.04637,2,12,1,1,0.6398,d,2019-10-05 17:30:00,0,1,0,1,-0.99819,233,23,170,37,1,5,1,4,-5.183533,6.684787999999999,12.626101,6.684787999999999,11.868321,5,16,5.6625,1,3,1,4,-3.721885,5.085326,9.564991,5.085326,8.807211,3,11,4.1167,Schalke 04,0.1413,0.2159,0.6428
8,h,0.738686,1.43646,0.738686,1.43646,3,5,2,0,0.7891999999999999,w,2019-10-26 14:30:00,1,0,0,3,-0.6977740000000001,213,24,212,22,1,7,1,4,-8.083382,9.881211,18.72238,9.123438,17.20682,11,22,7.015699999999999,1,4,0,3,-5.9700940000000005,4.977421999999999,10.947523,4.219649,10.189743,6,10,3.8349,Fortuna Duesseldorf,0.1721,0.2729,0.555,h,2.01829,0.236283,2.01829,0.236283,6,0,1,0,2.7088,w,2019-10-19 14:30:00,1,0,0,3,1.782007,246,21,279,19,2,5,1,7,-6.029478000000001,10.067982,16.097383,9.310204,15.339682000000003,10,14,7.5976,1,3,1,4,-3.3318770000000004,7.172643000000001,10.504443,6.414865000000001,9.746742,5,8,5.4954,Mainz 05,0.8656,0.112,0.0224
9,a,0.464343,1.89547,0.464343,1.89547,2,7,0,3,0.3622999999999999,l,2019-11-01 19:30:00,0,0,1,0,-1.431127,637,14,319,16,1,8,1,4,-9.514509,10.345554,20.61785,9.587781,19.10229,11,25,7.377999999999999,1,4,0,3,-8.308198,3.551615,11.85982,2.793842,11.10204,5,11,2.1041,Hoffenheim,0.0622,0.1757,0.7621,a,2.93074,2.37055,2.93074,2.37055,4,7,3,2,1.7597,w,2019-10-26 14:30:00,1,0,0,3,0.56019,193,17,332,34,4,3,2,14,-4.247347,9.91974,14.167087,9.91974,14.167087,11,13,9.2206,3,1,1,10,-2.101805,6.679551,8.781355999999999,6.679551,8.781355999999999,8,7,5.4619,Hertha Berlin,0.51,0.2297,0.2603
10,h,1.20293,1.09006,0.445318,1.09006,3,17,0,1,1.4735,l,2019-11-09 14:30:00,0,0,1,0,-0.644742,123,20,327,27,1,9,1,4,-10.159251,11.548484,21.70791,10.033099,20.19235,11,26,8.8515,1,4,0,3,-5.761001,4.473434,9.47683,2.958049,8.71905,3,9,3.5336,Augsburg,0.3831,0.3242,0.2927,h,1.55099,0.355124,0.793215,0.355124,6,5,2,3,2.4675,l,2019-11-03 17:00:00,0,0,1,0,0.438091,358,23,115,17,1,5,4,7,-6.621628999999999,12.297581,18.161435,11.539806,18.161435,12,24,10.425,0,3,2,2,-3.635552999999999,6.062863,8.940641000000001,5.3050880000000005,8.940641000000001,5,13,5.1732,Schalke 04,0.7588,0.1911,0.0501
11,a,2.10743,1.9077,2.10743,1.9077,3,14,3,3,1.5543,d,2019-11-22 19:30:00,0,1,0,1,0.1997299999999999,446,14,222,37,1,9,2,5,-9.959521,13.655914,23.61561,12.140529,22.10005,14,29,10.4058,1,3,1,4,-4.415678000000001,5.087934,8.746,4.330322,8.746,5,10,4.4628,Borussia Dortmund,0.4368,0.2439,0.3193,a,0.608676,3.90951,0.608676,3.90951,1,8,0,4,0.0385999999999999,l,2019-11-09 17:30:00,0,0,1,0,-3.300834,402,22,270,27,5,2,4,19,2.506425,19.810165,16.5462,19.052625,16.5462,23,15,18.1474,2,1,2,8,-5.244042,5.507575,9.994077,4.750035,9.994077,6,6,4.714799999999999,Bayern Munich,0.0038,0.0272,0.969
12,h,1.55563,1.79269,1.55563,1.79269,4,10,2,3,1.2272,l,2019-11-30 14:30:00,0,0,1,0,-0.2370599999999998,285,31,307,37,1,10,2,5,-10.196581,15.211544,25.4083,13.696159000000002,23.89274,16,32,11.633,1,3,1,4,-2.810973,6.069019,8.12238,5.311407,8.12238,7,10,5.406499999999999,RasenBallsport Leipzig,0.3265,0.2477,0.4258,h,2.57218,0.886616,1.81441,0.886616,22,3,4,1,2.5181,w,2019-11-23 17:30:00,1,0,0,3,0.927794,177,18,421,14,7,2,3,24,11.412462,28.34403,15.416093999999998,26.070786,14.658324,33,13,24.580300000000005,3,1,1,10,5.194104,12.38676,5.677186000000001,10.87129,5.677186000000001,18,6,11.061,FC Cologne,0.79,0.1481,0.0619
