,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.782907,3.93387,0.782907,3.93387,2,12,0,4,0.0764,l,2019-08-18 17:00:00,0,0,1,0,-3.150963,410,26,181,22,0,1,0,0,-3.150963,0.782907,3.93387,0.782907,3.93387,0,4,0.0764,0,1,0,0,-3.150963,0.782907,3.93387,0.782907,3.93387,0,4,0.0764,RasenBallsport Leipzig,0.0132,0.0368,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.891198,1.37579,0.891198,1.37579,2,3,1,1,0.909,d,2019-08-24 14:30:00,0,1,0,1,-0.484592,201,29,165,27,0,1,1,1,-3.635555,1.674105,5.30966,1.674105,5.30966,1,5,0.9854,0,1,1,1,-3.635555,1.674105,5.30966,1.674105,5.30966,1,5,0.9854,Augsburg,0.1987,0.3129,0.4884,a,0.904482,3.25906,0.904482,3.25906,3,14,1,5,0.1731,l,2019-08-17 14:30:00,0,0,1,0,-2.354578,408,18,136,23,0,1,0,0,-2.354578,0.904482,3.25906,0.904482,3.25906,1,5,0.1731,0,1,0,0,-2.354578,0.904482,3.25906,0.904482,3.25906,1,5,0.1731,Borussia Dortmund,0.0285,0.0876,0.8839
2,h,1.4209,1.60213,1.4209,1.60213,2,12,3,1,1.1764,w,2019-08-31 17:30:00,1,0,0,3,-0.18123,451,19,107,13,1,1,1,4,-3.816785,3.095005,6.91179,3.095005,6.91179,4,6,2.1618000000000004,1,1,1,4,-3.816785,3.095005,6.91179,3.095005,6.91179,4,6,2.1618000000000004,Borussia Dortmund,0.2902,0.3058,0.404,a,2.08181,0.937461,2.08181,0.937461,6,2,3,1,2.2749,w,2019-08-23 19:30:00,1,0,0,3,1.144349,105,23,399,24,2,0,0,6,3.498927,5.34087,1.841943,5.34087,1.841943,8,2,5.0142,2,0,0,6,3.498927,5.34087,1.841943,5.34087,1.841943,8,2,5.0142,FC Cologne,0.6897,0.2058,0.1045
3,h,1.98106,2.14722,1.22329,0.631742,5,6,1,2,1.2346,l,2019-09-14 13:30:00,0,0,1,0,0.591548,228,26,155,17,1,2,1,4,-3.2252370000000004,5.076065,9.05901,4.318295,7.543532,5,8,3.3964000000000003,1,2,1,4,-3.2252370000000004,5.076065,9.05901,4.318295,7.543532,5,8,3.3964000000000003,Werder Bremen,0.3166,0.2848,0.3986,h,2.46951,1.48072,2.46951,1.48072,5,5,3,2,2.1235,w,2019-09-01 14:30:00,1,0,0,3,0.98879,141,16,302,16,1,2,0,3,1.7750960000000002,5.322136,3.54704,5.322136,3.54704,6,8,5.3553,1,2,0,3,1.7750960000000002,5.322136,3.54704,5.322136,3.54704,6,8,5.3553,Augsburg,0.6335,0.223,0.1435
4,a,0.125413,1.55742,0.125413,1.55742,1,8,0,2,0.2593999999999999,l,2019-09-21 13:30:00,0,0,1,0,-1.432007,563,25,228,24,1,3,1,4,-4.657244,5.201478,10.61643,4.443708,9.100952,5,10,3.6558,1,3,1,4,-4.657244,5.201478,10.61643,4.443708,9.100952,5,10,3.6558,Bayer Leverkusen,0.0231,0.1901,0.7868,a,1.14812,3.23112,1.14812,3.23112,3,9,0,4,0.22,l,2019-09-14 13:30:00,0,0,1,0,-2.083,173,25,465,28,2,1,1,7,0.3788469999999995,6.385434999999999,6.006588000000001,6.385434999999999,6.006588000000001,6,7,6.310099999999999,2,1,1,7,0.3788469999999995,6.385434999999999,6.006588000000001,6.385434999999999,6.006588000000001,6,7,6.310099999999999,Borussia Dortmund,0.0387,0.1039,0.8574
5,h,0.7564,2.31283,0.7564,2.31283,4,2,1,2,0.3257,l,2019-09-27 18:30:00,0,0,1,0,-1.55643,191,14,237,24,1,4,1,4,-6.213674,5.957878,12.92926,5.200108,11.413782,6,12,3.9815,1,3,1,4,-3.062711,5.174971,8.99539,4.417201,7.479912000000001,6,8,3.9051,Eintracht Frankfurt,0.0601,0.1454,0.7945,h,1.15899,2.36595,1.15899,2.36595,1,6,2,2,0.5660000000000001,d,2019-09-22 16:00:00,0,1,0,1,-1.2069600000000005,402,40,166,21,2,2,1,7,-0.5530370000000002,6.572373,7.1254100000000005,6.572373,7.1254100000000005,7,7,6.570600000000001,2,2,1,7,-0.5530370000000002,6.572373,7.1254100000000005,6.572373,7.1254100000000005,7,7,6.570600000000001,Borussia Dortmund,0.1243,0.1931,0.6826
6,a,0.511105,1.80334,0.511105,1.80334,2,6,0,1,0.4405,l,2019-10-06 14:30:00,0,0,1,0,-1.2922349999999998,215,28,183,20,1,5,1,4,-7.505909,6.468983,14.7326,5.711213,13.217122,6,13,4.422,1,4,0,3,-3.870354,4.794878,9.42294,4.037108,7.907462000000001,5,8,3.4366,Wolfsburg,0.083,0.1915,0.7255,a,0.994636,1.27755,0.994636,1.27755,7,5,1,0,1.1182,w,2019-09-28 13:30:00,1,0,0,3,-0.282914,246,26,213,28,3,0,3,12,1.9810180000000008,7.530255,4.791458,6.772475999999999,4.791458,9,4,10.3338,2,0,3,9,1.6637190000000004,6.550955,4.129457,5.793176,4.129457,7,3,8.7142,Mainz 05,0.2647,0.3241,0.4112
7,h,1.47678,0.565578,1.47678,0.565578,8,6,2,0,2.1616,w,2019-10-19 14:30:00,1,0,0,3,0.911202,346,29,190,17,2,5,1,7,-6.594707,7.945762999999999,15.298178000000002,7.187993,13.7827,8,13,6.5836,1,4,0,3,-2.777922,4.850758000000001,8.386388,4.092988,6.87091,4,7,4.421799999999999,Freiburg,0.6377,0.2485,0.1138,h,0.467957,0.774276,0.467957,0.774276,2,4,2,2,0.964,d,2019-10-05 14:30:00,0,1,0,1,-0.3063189999999999,462,23,222,18,4,1,2,14,-0.5427109999999999,10.737198,9.006658,8.463947,9.006658,15,7,10.7272,2,1,2,8,-0.6995349999999998,6.468947999999999,6.410782000000001,5.711246999999999,6.410782000000001,9,6,6.6317,Borussia Dortmund,0.1859,0.4063,0.4078
8,a,1.7324,2.88476,0.216846,2.88476,0,15,1,2,0.6191,l,2019-10-26 14:30:00,0,0,1,0,-2.667914,435,28,195,22,2,6,1,7,-9.262621,9.678163,18.182938,7.404839,16.66746,9,15,7.2027,1,4,0,3,-6.037384,4.602098,9.123928,3.0865439999999995,9.123928,4,7,3.8063,Bayern Munich,0.1365,0.2096,0.6539,a,3.06071,2.14428,3.06071,2.14428,20,3,2,2,1.9958,d,2019-10-19 14:30:00,0,1,0,1,0.9164299999999996,107,17,436,13,4,1,3,15,9.984414999999998,20.32127,8.821289,18.04793,8.063515,22,10,18.0087,2,1,2,8,7.064864999999999,12.90094,5.836069,12.14316,5.078295000000001,11,7,11.0094,Augsburg,0.5923,0.2189,0.1888
9,h,1.31187,0.415645,0.554093,0.415645,3,4,1,0,2.2744,w,2019-11-02 17:30:00,1,0,0,3,0.1384479999999999,221,26,245,9,3,6,1,10,-9.124173,10.990033,18.598583,7.958932,17.083105,10,15,9.4771,2,3,0,6,-4.466929,5.788555,7.982153,3.5152239999999995,7.982153,5,5,5.8213,Hertha Berlin,0.6757,0.2473,0.077,h,2.37055,2.93074,2.37055,2.93074,7,4,2,3,1.0106,l,2019-10-26 14:30:00,0,0,1,0,-0.56019,332,34,193,17,3,4,2,11,1.584121,12.903427000000002,13.592643000000002,12.903427000000002,11.319306,15,16,11.4948,3,1,1,10,1.1891110000000005,7.932796,7.501463,7.932796,6.743685,12,6,7.0536,Hoffenheim,0.2603,0.2297,0.51
