,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.618787,2.46928,0.618787,2.46928,2,9,1,1,0.2322,d,2020-09-19 13:30:00,0,1,0,1,-1.850493,311,25,176,26,0,0,1,1,-1.850493,0.618787,2.46928,0.618787,2.46928,1,1,0.2322,0,0,1,1,-1.850493,0.618787,2.46928,0.618787,2.46928,1,1,0.2322,Eintracht Frankfurt,0.0388,0.1158,0.8454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,0.163242,1.3741,0.163242,1.3741,1,10,1,0,0.2553999999999999,w,2020-09-26 13:30:00,1,0,0,3,-1.210858,263,24,275,21,1,0,1,4,-3.061351,0.782029,3.84338,0.782029,3.84338,2,1,0.4876,1,0,1,4,-3.061351,0.782029,3.84338,0.782029,3.84338,2,1,0.4876,FC Cologne,0.0248,0.181,0.7942,h,2.40801,2.9032,2.40801,2.14542,5,10,2,3,0.9889,l,2020-09-19 13:30:00,0,0,1,0,0.2625899999999999,274,23,277,24,0,1,0,0,0.2625899999999999,2.40801,2.9032,2.40801,2.14542,2,3,0.9889,0,1,0,0,0.2625899999999999,2.40801,2.9032,2.40801,2.14542,2,3,0.9889,Hoffenheim,0.2453,0.253,0.5017
2,a,1.02247,0.346071,1.02247,0.346071,7,5,0,1,2.029,l,2020-10-03 13:30:00,0,0,1,0,0.676399,154,20,391,19,1,1,1,4,-2.384952,1.804499,4.189451,1.804499,4.189451,2,2,2.5166,1,1,1,4,-2.384952,1.804499,4.189451,1.804499,4.189451,2,2,2.5166,Werder Bremen,0.5678,0.3256,0.1066,a,3.10437,1.67597,2.34668,1.67597,4,3,3,1,2.3403,w,2020-09-26 16:30:00,1,0,0,3,0.6707100000000001,303,32,87,22,1,1,0,3,-0.8874580000000001,3.600262,3.73003,2.842572,3.73003,4,5,2.6892,1,1,0,3,-0.8874580000000001,3.600262,3.73003,2.842572,3.73003,4,5,2.6892,Schalke 04,0.724,0.1683,0.1077
3,h,1.21235,3.29447,1.21235,3.29447,4,16,1,4,0.2714999999999999,l,2020-10-17 16:30:00,0,0,1,0,-2.08212,416,12,223,30,1,2,1,4,-4.467072,3.016849,7.483921,3.016849,7.483921,3,6,2.7881,1,2,1,4,-4.467072,3.016849,7.483921,3.016849,7.483921,3,6,2.7881,Bayern Munich,0.0544,0.1083,0.8373,h,3.99311,1.24509,3.23533,1.24509,11,1,4,3,2.815,w,2020-10-04 16:00:00,1,0,0,3,1.99024,157,38,280,23,2,1,0,6,5.11109,9.7871,3.91823,8.27155,3.16046,13,7,6.3244,2,1,0,6,5.11109,9.7871,3.91823,8.27155,3.16046,13,7,6.3244,Hertha Berlin,0.9187,0.0589,0.0224
4,a,0.664903,2.77748,0.664903,2.77748,3,12,1,2,0.2212,l,2020-10-25 14:30:00,0,0,1,0,-2.112577,300,28,307,23,1,3,1,4,-6.579649,3.681752,10.261401,3.681752,10.261401,4,8,3.0093,1,3,1,4,-6.579649,3.681752,10.261401,3.681752,10.261401,4,8,3.0093,Wolfsburg,0.0392,0.1036,0.8572,a,1.34469,2.11077,1.34469,1.353,4,6,1,1,0.7898000000000001,d,2020-10-17 18:30:00,0,1,0,1,-0.00831,253,27,244,30,0,0,4,4,-0.1719069999999998,4.354542,5.284219,4.354542,4.526449,2,2,4.702,0,0,4,4,-0.1719069999999998,4.354542,5.284219,4.354542,4.526449,2,2,4.702,Borussia M.Gladbach,0.1881,0.2255,0.5864
5,h,0.255813,2.75909,0.255813,2.75909,0,18,0,2,0.0945,l,2020-10-31 14:30:00,0,0,1,0,-2.503277,477,18,159,21,1,4,1,4,-9.082926,3.9375649999999993,13.020491000000002,3.9375649999999993,13.020491000000002,4,10,3.1038,1,4,0,3,-7.232433,3.318778,10.551211,3.318778,10.551211,3,9,2.8716,Borussia Dortmund,0.012,0.0585,0.9295,h,1.48384,0.236172,1.48384,0.236172,16,1,3,0,2.3978,w,2020-10-24 16:30:00,1,0,0,3,1.247668,158,17,470,26,4,1,0,12,5.115926,9.39043,3.5167239999999995,8.632650000000002,3.5167239999999995,11,2,11.1727,4,1,0,12,5.115926,9.39043,3.5167239999999995,8.632650000000002,3.5167239999999995,11,2,11.1727,Schalke 04,0.7236,0.227,0.0494
6,a,0.259002,2.25166,0.259002,1.49388,3,10,0,5,0.1128,l,2020-11-07 14:30:00,0,0,1,0,-1.234878,385,13,397,19,1,5,1,4,-10.317804,4.196566999999999,15.272151,4.196566999999999,14.514371000000002,4,15,3.2166,0,5,0,0,-7.256453,3.414538,11.428771,3.414538,10.670991,2,14,2.729,Union Berlin,0.0115,0.0783,0.9102,a,3.66229,1.49329,2.90451,1.49329,9,15,3,1,2.7108000000000003,w,2020-11-02 19:30:00,1,0,0,3,1.41122,328,17,216,27,2,1,3,9,3.8073,9.666634,5.101554,8.908854000000002,5.101554,11,7,11.5192,2,0,3,9,4.18261,8.621484,3.681094,7.863704,3.681094,10,4,10.502,Hoffenheim,0.8737,0.0897,0.0366
7,h,0.0,1.32693,0.0,1.32693,1,7,1,2,0.1552,l,2020-11-21 14:30:00,0,0,1,0,-1.32693,435,19,183,15,1,6,1,4,-11.644734,4.196566999999999,16.599081,4.196566999999999,15.841301,5,17,3.3718000000000004,0,5,0,0,-9.259782,2.392068,12.40963,2.392068,11.65185,3,15,0.8552,Bayer Leverkusen,0.0,0.1552,0.8448,h,1.53904,3.02085,1.53904,2.26308,9,2,4,3,0.4652,w,2020-11-08 17:00:00,1,0,0,3,-0.72404,276,33,405,27,4,0,3,15,0.972491,9.014548,8.042047,8.256768000000001,7.284276999999999,14,8,10.0322,4,0,1,13,2.099842,7.660849000000001,5.560997,6.903069,4.803227,13,7,8.377099999999999,Borussia M.Gladbach,0.1004,0.164,0.7356
8,a,1.76313,2.84171,1.76313,2.08393,7,9,1,2,0.6924,l,2020-11-28 14:30:00,0,0,1,0,-0.3208,323,21,213,22,1,7,1,4,-11.965534,5.959696999999999,19.440791,5.959696999999999,17.925231,6,19,4.0642000000000005,0,5,0,0,-7.498462000000001,2.942848,11.95687,2.942848,10.44131,3,13,1.2761,RasenBallsport Leipzig,0.1659,0.1947,0.6394,a,0.911677,0.888746,0.911677,0.888746,7,3,1,1,1.3198,d,2020-11-21 17:30:00,0,1,0,1,0.0229309999999999,164,21,327,44,5,1,2,17,8.148543,16.813045000000002,5.633482000000001,13.782025,5.633482000000001,16,5,17.7812,3,1,1,10,4.171982,9.121244999999998,3.433793,7.605775,3.433793,8,3,10.6147,Eintracht Frankfurt,0.3239,0.3481,0.328
9,h,1.18485,2.54193,1.18485,2.54193,5,5,2,1,0.3863,w,2020-12-05 14:30:00,1,0,0,3,-1.3570799999999998,268,38,268,28,2,7,1,7,-13.322614,7.144546999999999,21.982721,7.144546999999999,20.467161,8,20,4.450500000000001,1,4,0,3,-6.742965,3.462795,11.72132,3.462795,10.20576,4,12,1.4411999999999998,Mainz 05,0.0728,0.1679,0.7593,h,1.78391,1.1082,1.78391,1.1082,9,7,1,1,1.9154,d,2020-11-29 17:00:00,0,1,0,1,0.67571,349,22,174,31,1,6,2,5,-4.096663000000001,13.785016000000002,17.881679000000002,12.269456000000002,16.366119,11,22,9.8023,1,2,2,5,1.34797,11.26406,9.15831,9.748500000000002,8.40053,9,10,8.1813,Hoffenheim,0.5538,0.254,0.1922
