,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,1.11757,1.90067,1.11757,1.12689,5,1,1,0,0.7402,w,2014-08-16 15:00:00,1,0,0,3,-0.0093199999999999,216,21,218,17,1,0,0,3,-0.0093199999999999,1.11757,1.90067,1.11757,1.12689,1,0,0.7402,1,0,0,3,-0.0093199999999999,1.11757,1.90067,1.11757,1.12689,1,0,0.7402,Queens Park Rangers,0.1651,0.2449,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,0.870175,1.60916,0.870175,1.60916,2,13,1,1,0.7265999999999999,d,2014-08-24 13:30:00,0,1,0,1,-0.7389849999999999,246,12,186,19,1,0,1,4,-0.7483049999999999,1.987745,3.50983,1.987745,2.73605,2,1,1.4668,1,0,1,4,-0.7483049999999999,1.987745,3.50983,1.987745,2.73605,2,1,1.4668,Stoke,0.1493,0.2787,0.572,h,0.423368,0.909774,0.423368,0.909774,3,4,0,1,0.8041,l,2014-08-16 15:00:00,0,0,1,0,-0.4864059999999999,132,32,323,23,0,1,0,0,-0.4864059999999999,0.423368,0.909774,0.423368,0.909774,0,1,0.8041,0,1,0,0,-0.4864059999999999,0.423368,0.909774,0.423368,0.909774,0,1,0.8041,Aston Villa,0.1468,0.3637,0.4895
2,a,0.28888,0.639316,0.28888,0.639316,7,6,1,2,0.9139,l,2014-08-31 13:30:00,0,0,1,0,-0.3504359999999999,278,24,366,13,1,1,1,4,-1.098741,2.276625,4.149146,2.276625,3.375366,3,3,2.3807,1,1,1,4,-1.098741,2.276625,4.149146,2.276625,3.375366,3,3,2.3807,Aston Villa,0.1451,0.4786,0.3763,h,0.507525,0.699295,0.507525,0.699295,4,7,0,0,1.1057,d,2014-08-23 12:45:00,0,1,0,1,-0.19177,326,21,180,21,1,0,1,4,0.2946359999999999,1.417299,1.122663,1.417299,1.122663,1,0,2.9379,1,0,1,4,0.2946359999999999,1.417299,1.122663,1.417299,1.122663,1,0,2.9379,Newcastle United,0.2289,0.419,0.3521
3,h,0.439084,0.661678,0.439084,0.661678,1,0,2,2,1.049,d,2014-09-15 20:00:00,0,1,0,1,-0.222594,273,37,192,23,1,1,2,5,-1.321335,2.715709,4.810824,2.715709,4.037044,5,5,3.4297,1,1,2,5,-1.321335,2.715709,4.810824,2.715709,4.037044,5,5,3.4297,West Ham,0.2056,0.4322,0.3622,h,0.635223,1.57513,0.635223,1.57513,0,11,1,3,0.5808,l,2014-08-30 15:00:00,0,0,1,0,-0.939907,332,12,184,26,1,2,0,3,-0.14275,3.827893,3.209473,3.066723,3.209473,4,5,4.5687,1,2,0,3,-0.14275,3.827893,3.209473,3.066723,3.209473,4,5,4.5687,Southampton,0.1053,0.2649,0.6298
4,a,0.854291,1.91632,0.854291,1.91632,2,12,2,2,0.5712999999999999,d,2014-09-20 15:00:00,0,1,0,1,-1.062029,310,16,187,23,1,1,3,6,-2.383364,3.57,6.727144,3.57,5.953364,7,7,4.001,1,1,3,6,-2.383364,3.57,6.727144,3.57,5.953364,7,7,4.001,Newcastle United,0.1128,0.2329,0.6543,a,1.15026,2.11739,1.15026,2.11739,1,4,0,4,0.6358,l,2014-09-13 15:00:00,0,0,1,0,-0.9671299999999998,370,18,354,30,0,2,2,2,-1.253107,4.512898,5.766005,4.512898,5.766005,3,9,4.4087,0,2,2,2,-1.253107,4.512898,5.766005,4.512898,5.766005,3,9,4.4087,Southampton,0.1393,0.2179,0.6428
5,h,1.12374,1.78953,0.362605,1.78953,2,13,2,4,0.8489,l,2014-09-27 15:00:00,0,0,1,0,-1.426925,426,20,280,25,1,2,3,6,-3.810289,4.69374,8.516674,3.932605,7.742894,9,11,4.8499,0,2,3,3,-3.800969,3.5761700000000003,6.616004,2.815035,6.616004,8,11,4.1097,Manchester City,0.1907,0.2768,0.5325,h,1.05592,1.02093,1.05592,1.02093,17,2,1,1,1.305,d,2014-09-21 16:00:00,0,1,0,1,0.03499,223,39,313,21,2,1,2,8,1.7840739999999995,7.050307999999999,5.266234,7.050307999999999,5.266234,8,5,8.2409,2,1,2,8,1.7840739999999995,7.050307999999999,5.266234,7.050307999999999,5.266234,8,5,8.2409,Chelsea,0.3206,0.3432,0.3362
6,h,1.07209,0.616109,1.07209,0.616109,3,4,2,0,1.7394,w,2014-10-04 15:00:00,1,0,0,3,0.4559809999999999,146,27,335,26,2,2,3,9,-3.354308,5.76583,9.132783,5.004695,8.359003,11,11,6.5893,1,2,2,5,-2.606003,3.778085,5.622953,3.01695,5.622953,9,10,5.1225,Crystal Palace,0.4669,0.3387,0.1944,h,2.1144,0.453547,2.1144,0.453547,1,5,2,0,2.7068,w,2014-09-27 15:00:00,1,0,0,3,1.660853,260,29,119,16,2,2,2,8,-1.1345490000000005,6.959788,8.855507,6.198619,7.333168,10,10,6.456099999999999,2,1,2,8,0.2614100000000001,6.801637,7.301397,6.040468,5.779058,9,8,6.3447,Leicester,0.8643,0.1139,0.0218
7,a,0.552062,2.14845,0.552062,2.14845,0,17,2,2,0.3149999999999999,d,2014-10-18 15:00:00,0,1,0,1,-1.596388,352,8,253,40,2,2,4,10,-4.950696,6.3178920000000005,11.281233,5.556757,10.507453,13,13,6.904299999999999,1,1,3,6,-3.851955,4.041267,7.132087,3.280132,7.132087,10,10,4.5236,Arsenal,0.0528,0.1566,0.7906,a,0.330699,1.40263,0.330699,0.641457,6,3,0,2,0.3612,l,05/10/2014 14:05,0,0,1,0,-0.310758,237,21,255,31,2,1,4,10,3.7453,10.319829,7.335702,10.319829,6.574529,11,9,12.0929,1,1,3,6,2.250081,7.332169,5.843261,7.332169,5.082088,7,6,7.869,Chelsea,0.0507,0.2091,0.7402
8,a,0.222999,0.678924,0.222999,0.678924,2,11,0,0,0.7686,d,2014-10-25 15:00:00,0,1,0,1,-0.4559249999999999,335,32,150,24,2,2,5,11,-5.406621,6.540891,11.960157,5.779756,11.186377,13,13,7.672899999999999,1,1,3,6,-4.085285999999999,3.825182,7.149333,3.064047,7.149333,8,8,4.2432,Liverpool,0.1033,0.4587,0.438,a,1.51813,2.60852,1.51813,2.60852,8,8,3,2,0.6537,w,2014-10-19 13:30:00,1,0,0,3,-1.09039,126,20,258,34,4,3,1,13,0.8548370000000001,10.691786,9.836951,9.930616,9.075779,13,12,10.9997,2,2,1,7,-0.0088220000000001,5.714807,6.484800999999999,5.714807,5.723629,7,8,6.1045,Queens Park Rangers,0.153,0.1947,0.6523
9,h,0.256678,1.90484,0.256678,1.90484,10,5,0,1,0.184,l,2014-11-01 15:00:00,0,0,1,0,-1.648162,333,13,239,29,2,3,5,11,-7.054783,6.797569,13.864997,6.036434,13.091217,13,14,7.856899999999999,1,2,2,5,-4.671419,3.2275690000000004,7.137853,2.466434,7.137853,6,7,3.8559,Southampton,0.0218,0.1186,0.8596,h,1.3758,0.867568,1.3758,0.867568,8,0,1,0,1.7481999999999998,w,2014-10-25 15:00:00,1,0,0,3,0.5082319999999999,187,23,341,16,6,2,1,19,7.790534999999999,15.238367,7.447832000000001,15.238367,7.447832000000001,20,5,17.3956,4,1,0,12,5.662876,9.327514,3.664638,9.327514,3.664638,12,2,10.2909,Stoke,0.4816,0.3034,0.215
10,a,0.526656,1.10315,0.526656,1.10315,6,7,0,1,0.8296,l,2014-11-08 15:00:00,0,0,1,0,-0.5764940000000001,128,19,207,25,2,4,5,11,-7.631277,7.324225,14.968147,6.56309,14.194367,13,15,8.686499999999999,1,2,2,5,-3.820988,2.630485,6.451473000000001,2.630485,6.451473000000001,4,4,3.8366000000000007,Burnley,0.1697,0.3205,0.5098,a,0.684259,4.3298,0.684259,4.3298,2,19,0,3,0.0275,l,2014-11-01 15:00:00,0,0,1,0,-3.645541,312,24,168,20,0,6,4,4,-8.475059,9.103662,16.817552,8.342493000000001,16.817552,5,19,9.4806,0,4,1,1,-6.466578999999999,5.415470999999999,11.88205,5.415470999999999,11.88205,4,15,3.5152,Arsenal,0.003,0.0185,0.9785
11,h,0.94244,2.16438,0.94244,2.16438,2,6,1,2,0.5483,l,2014-11-23 16:00:00,0,0,1,0,-1.22194,320,24,100,25,2,5,5,11,-8.853217,8.266665,17.132527,7.50553,16.358747,14,17,9.234799999999998,0,3,2,2,-5.498909,2.500835,7.999744,2.500835,7.999744,3,6,2.6455,Tottenham,0.1149,0.2036,0.6815,h,1.28384,1.24867,1.28384,1.24867,3,2,1,2,1.3814,l,2014-11-09 13:30:00,0,0,1,0,0.0351700000000001,143,33,251,22,4,5,2,14,3.1704229999999995,16.125726,16.117003,15.364556,12.194133000000004,14,16,15.239999999999998,2,3,0,6,2.9672080000000003,9.084734999999998,7.756887,8.323564999999999,5.356357,6,9,7.8715,Stoke,0.3576,0.3086,0.3338
12,a,0.230407,1.76885,0.230407,1.76885,1,8,0,3,0.1537,l,2014-11-29 15:00:00,0,0,1,0,-1.538443,508,26,151,25,2,6,5,11,-10.391660000000002,8.497072,18.901377,7.735937,18.127597,14,20,9.3885,0,4,1,1,-5.440964,2.17918,7.620144,2.17918,7.620144,1,7,2.4842,Manchester United,0.0139,0.112,0.8741,a,1.2791,2.00193,1.2791,2.00193,2,12,2,1,0.873,w,2014-11-22 17:30:00,1,0,0,3,-0.7228300000000003,258,18,137,23,5,3,4,19,2.111778,14.378935999999998,14.550667999999998,14.378935999999998,12.267158,19,15,16.7618,2,1,2,8,-0.8379510000000001,5.738581999999999,6.576533,5.738581999999999,6.576533,6,5,6.6111,Arsenal,0.2116,0.2382,0.5502
13,a,0.29547,1.27965,0.29547,1.27965,1,7,1,1,0.4724,d,2014-12-03 19:45:00,0,1,0,1,-0.98418,317,36,192,17,2,6,6,12,-11.375840000000002,8.792542,20.181027,8.031407,19.407247,15,21,9.8609,0,4,1,1,-5.969219000000001,2.251651,8.220870000000001,2.251651,8.220870000000001,2,8,2.188,Everton,0.0705,0.2609,0.6686,a,0.934335,1.13109,0.934335,1.13109,4,1,1,2,1.1608,l,2014-11-30 16:00:00,0,0,1,0,-0.1967549999999999,214,16,366,30,4,4,5,17,0.5711240000000003,17.596485,15.503024,15.312979000000004,14.741855,23,21,19.5238,2,1,2,8,0.7792640000000005,6.549485,5.009055,5.788319,5.009055,7,5,8.160499999999999,Tottenham,0.2817,0.3157,0.4026
14,h,0.586305,1.06151,0.586305,0.300343,3,4,0,0,0.7852999999999999,d,2014-12-06 15:00:00,0,1,0,1,0.2859619999999999,303,32,285,23,2,6,7,13,-11.089878000000002,9.378847,21.242537,8.617712,19.707590000000003,15,21,10.6462,0,3,2,2,-4.035095000000001,2.581278,7.37754,2.581278,6.616372999999999,2,7,2.7893,West Bromwich Albion,0.1493,0.3374,0.5133,h,1.41302,1.24431,1.41302,1.24431,2,2,1,2,1.4463,l,2014-12-02 20:00:00,0,0,1,0,0.1687099999999999,172,18,247,30,3,7,4,13,-6.7619959000000005,13.2044621,18.444139,10.9209831,17.682978999999996,14,20,16.8251,1,4,0,3,-5.6218839,3.1489771,8.770861,3.1489771,8.770861,2,7,4.1142,West Ham,0.379,0.3093,0.3117
15,a,0.435091,1.21862,0.435091,1.21862,0,11,0,2,0.6282,l,2014-12-13 15:00:00,0,0,1,0,-0.783529,300,28,226,30,2,7,7,13,-11.873407000000002,9.813937999999998,22.461157,9.052803,20.926210000000005,15,23,11.274399999999998,0,3,2,2,-4.24213,2.489713,7.49301,2.489713,6.731843,2,8,2.5879,Chelsea,0.1109,0.2955,0.5936,a,2.16232,1.48574,2.16232,1.48574,22,7,1,2,1.83,l,2014-12-06 12:45:00,0,0,1,0,0.6765799999999997,149,21,315,21,11,1,3,36,17.0603409,30.540687000000005,11.9580031,29.01834400000001,11.9580031,34,13,31.7891,3,1,1,10,7.549814899999999,10.981041,3.4312261,10.981041,3.4312261,8,3,10.8752,Newcastle United,0.5302,0.2394,0.2304
