,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,1.33192,1.55248,1.33192,1.55248,6,9,2,1,1.1776999999999995,w,2014-08-17 13:30:00,1,0,0,3,-0.2205600000000001,238,21,401,36,1,0,0,3,-0.2205600000000001,1.33192,1.55248,1.33192,1.55248,2,1,1.1776999999999995,1,0,0,3,-0.2205600000000001,1.33192,1.55248,1.33192,1.55248,2,1,1.1776999999999995,Southampton,0.2941,0.2954,0.4105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.901889,1.31375,0.901889,1.31375,7,11,1,3,0.9614,l,2014-08-25 20:00:00,0,0,1,0,-0.4118609999999999,328,18,289,17,1,1,0,3,-0.632421,2.233809,2.86623,2.233809,2.86623,3,4,2.1391,1,1,0,3,-0.632421,2.233809,2.86623,2.233809,2.86623,3,4,2.1391,Manchester City,0.2223,0.2945,0.4832,a,1.48053,0.965583,1.48053,0.965583,9,6,2,0,1.7849,w,2014-08-17 16:00:00,1,0,0,3,0.5149469999999999,284,22,343,22,1,0,0,3,0.5149469999999999,1.48053,0.965583,1.48053,0.965583,2,0,1.7849,1,0,0,3,0.5149469999999999,1.48053,0.965583,1.48053,0.965583,2,0,1.7849,Newcastle United,0.504,0.2729,0.2231
2,a,2.74317,0.48592,1.982,0.48592,4,6,3,0,2.7561,w,2014-08-31 13:30:00,1,0,0,3,1.49608,303,25,198,28,2,1,0,6,0.8636590000000001,4.976979,3.35215,4.215809,3.35215,6,4,4.8952,2,1,0,6,0.8636590000000001,4.976979,3.35215,4.215809,3.35215,6,4,4.8952,Tottenham,0.8902,0.0855,0.0243,h,2.38894,1.07617,2.38894,1.07617,8,2,4,0,2.2766,w,2014-08-24 13:30:00,1,0,0,3,1.3127699999999998,224,29,456,28,2,0,0,6,1.2378999999999998,3.406,2.92927,3.406,2.1681,5,0,2.9902,2,0,0,6,1.2378999999999998,3.406,2.92927,3.406,2.1681,5,0,2.9902,Queens Park Rangers,0.6971,0.1853,0.1176
3,h,0.728097,0.701676,0.728097,0.701676,5,1,0,1,1.2967,l,2014-09-13 17:30:00,0,0,1,0,0.026421,91,14,486,9,2,2,0,6,0.8900800000000001,5.705076,4.053826,4.943906,4.053826,6,5,6.1919,2,2,0,6,0.8900800000000001,5.705076,4.053826,4.943906,4.053826,6,5,6.1919,Aston Villa,0.3062,0.3781,0.3157,h,0.639316,0.28888,0.639316,0.28888,6,7,2,1,1.6075,w,2014-08-31 13:30:00,1,0,0,3,0.3504359999999999,366,13,278,24,2,0,1,7,0.6450719999999999,2.056615,1.411543,2.056615,1.411543,3,1,4.5454,2,0,1,7,0.6450719999999999,2.056615,1.411543,2.056615,1.411543,3,1,4.5454,Hull,0.3763,0.4786,0.1451
4,a,0.37835,1.26032,0.37835,1.26032,4,5,1,3,0.5005999999999999,l,2014-09-20 17:30:00,0,0,1,0,-0.8819700000000001,122,17,313,24,2,3,0,6,0.0081099999999999,6.083426,5.314146,5.322256,5.314146,7,8,6.692500000000001,2,3,0,6,0.0081099999999999,6.083426,5.314146,5.322256,5.314146,7,8,6.692500000000001,West Ham,0.0793,0.2627,0.658,a,0.661678,0.439084,0.661678,0.439084,0,1,2,2,1.5188,d,2014-09-15 20:00:00,0,1,0,1,0.222594,192,23,273,37,1,2,1,4,0.0798439999999999,4.489571,3.648557,3.728401,3.648557,6,7,6.0875,1,2,1,4,0.0798439999999999,4.489571,3.648557,3.728401,3.648557,6,7,6.0875,Hull,0.3622,0.4322,0.2056
5,h,1.5286,0.475885,1.5286,0.475885,8,3,1,1,2.2529,d,2014-09-27 12:45:00,0,1,0,1,1.052715,300,25,217,20,2,3,1,7,1.060825,7.612026,5.790031,6.850856,5.790031,8,9,8.945400000000001,1,3,1,4,1.281385,6.280106,4.237551,5.518936,4.237551,6,8,7.767700000000001,Everton,0.6695,0.2444,0.0861,h,2.56122,1.62886,1.80005,0.867691,14,4,2,3,2.067,l,2014-09-21 16:00:00,0,0,1,0,0.932359,99,19,459,20,1,2,2,5,-0.2040450000000002,6.765375000000001,6.969419,6.004205,6.20825,11,13,6.6301000000000005,1,2,2,5,-0.2040450000000002,6.765375000000001,6.969419,6.004205,6.20825,11,13,6.6301000000000005,Crystal Palace,0.6149,0.2223,0.1628
6,h,1.56163,1.4384,1.56163,0.677228,10,5,2,1,1.4005999999999998,w,2014-10-04 15:00:00,1,0,0,3,0.884402,201,25,257,32,3,3,1,10,1.945227,9.173656,7.228431,8.412486000000001,6.467259,10,10,10.346,2,2,1,7,2.577648,6.939847,4.362201,6.178677,3.601029,7,6,8.206900000000001,West Bromwich Albion,0.3724,0.2834,0.3442,h,1.81127,0.473814,1.81127,0.473814,3,2,4,0,2.4671000000000003,w,2014-09-28 16:00:00,1,0,0,3,1.337456,228,20,342,18,2,2,2,8,0.3779889999999999,6.543225,5.404065999999999,5.782055,5.404065999999999,7,7,9.324,2,2,1,7,0.44763,4.859795,4.412165,4.859795,4.412165,5,5,7.2882,Burnley,0.7628,0.1787,0.0585
7,a,1.51813,2.60852,1.51813,2.60852,8,8,3,2,0.6537,w,2014-10-19 13:30:00,1,0,0,3,-1.09039,126,20,258,34,4,3,1,13,0.8548370000000001,10.691786,9.836951,9.930616,9.075779,13,12,10.9997,2,2,1,7,-0.0088220000000001,5.714807,6.484800999999999,5.714807,5.723629,7,8,6.1045,Queens Park Rangers,0.153,0.1947,0.6523,a,0.697342,1.64038,0.697342,1.64038,0,5,0,2,0.5123,l,2014-10-05 16:15:00,0,0,1,0,-0.943038,234,24,273,22,1,5,1,4,-5.874003999999999,7.023219000000001,12.123443,6.249439,12.123443,4,15,6.171599999999999,1,3,1,4,-4.570554,4.046379,8.616933,4.046379,8.616933,4,10,3.6186,West Ham,0.0881,0.248,0.6639
8,h,0.678924,0.222999,0.678924,0.222999,11,2,0,0,1.7727,d,2014-10-25 15:00:00,0,1,0,1,0.4559249999999999,150,24,335,32,4,3,2,14,1.310762,11.37071,10.05995,10.60954,9.298778,13,12,12.7724,2,1,2,8,0.4206819999999998,5.665634000000001,6.006124,5.665634000000001,5.244952,7,7,6.580499999999999,Hull,0.438,0.4587,0.1033,a,0.552062,2.14845,0.552062,2.14845,0,17,2,2,0.3149999999999999,d,2014-10-18 15:00:00,0,1,0,1,-1.596388,352,8,253,40,2,2,4,10,-4.950696,6.3178920000000005,11.281233,5.556757,10.507453,13,13,6.904299999999999,1,1,3,6,-3.851955,4.041267,7.132087,3.280132,7.132087,10,10,4.5236,Arsenal,0.0528,0.1566,0.7906
9,a,0.258953,1.56863,0.258953,1.56863,6,5,0,1,0.3271,l,2014-11-01 12:45:00,0,0,1,0,-1.309677,150,16,385,28,4,4,2,14,0.001085,11.629663,11.62858,10.868493,10.867408,13,13,13.0995,2,1,2,8,-0.0070249999999998,5.5462370000000005,6.314433999999999,5.5462370000000005,5.553262,6,5,6.407,Newcastle United,0.0422,0.2005,0.7573,a,0.73967,2.03729,0.73967,2.03729,3,4,2,1,0.4751,w,2014-10-26 13:30:00,1,0,0,3,-1.29762,300,32,133,25,2,3,4,10,-0.7346570000000003,11.687758,12.422415,11.687758,12.422415,10,15,11.6298,2,1,2,8,0.5184499999999996,7.17486,6.656409999999999,7.17486,6.656409999999999,7,6,7.221100000000001,Tottenham,0.0949,0.1904,0.7147
