,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,1.90067,1.11757,1.12689,1.11757,1,5,0,1,2.0149,l,2014-08-16 15:00:00,0,0,1,0,0.0093199999999999,218,17,216,21,0,1,0,0,0.0093199999999999,1.90067,1.11757,1.12689,1.11757,0,1,2.0149,0,1,0,0,0.0093199999999999,1.90067,1.11757,1.12689,1.11757,0,1,2.0149,Hull,0.59,0.2449,0.1651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,1.07617,2.38894,1.07617,2.38894,2,8,0,4,0.5381,l,2014-08-24 13:30:00,0,0,1,0,-1.3127699999999998,456,28,224,29,0,2,0,0,-1.3034499999999998,2.97684,3.50651,2.20306,3.50651,0,5,2.553,0,2,0,0,-1.3034499999999998,2.97684,3.50651,2.20306,3.50651,0,5,2.553,Tottenham,0.1176,0.1853,0.6971,a,1.01706,1.8531,1.01706,1.09193,3,9,1,0,0.7136,w,2014-08-16 15:00:00,1,0,0,3,-0.0748699999999999,252,23,270,24,1,0,0,3,-0.0748699999999999,1.01706,1.8531,1.01706,1.09193,1,0,0.7136,1,0,0,3,-0.0748699999999999,1.01706,1.8531,1.01706,1.09193,1,0,0.7136,West Ham,0.1496,0.2648,0.5856
2,h,1.27277,0.964343,1.27277,0.964343,7,7,1,0,1.5890999999999995,w,2014-08-30 15:00:00,1,0,0,3,0.308427,322,26,166,21,1,2,0,3,-0.9950229999999998,4.2496100000000006,4.470853,3.47583,4.470853,1,5,4.142099999999999,1,2,0,3,-0.9950229999999998,4.2496100000000006,4.470853,3.47583,4.470853,1,5,4.142099999999999,Sunderland,0.4306,0.2973,0.2721,h,0.666489,0.941557,0.666489,0.941557,4,2,1,1,0.9735,d,2014-08-24 16:00:00,0,1,0,1,-0.275068,267,21,297,27,0,0,2,2,-0.2054269999999999,1.65839,2.624987,1.65839,1.863817,3,3,1.6701,0,0,2,2,-0.2054269999999999,1.65839,2.624987,1.65839,1.863817,3,3,1.6701,Manchester United,0.207,0.3525,0.4405
3,a,0.563524,2.20911,0.563524,2.20911,4,9,0,4,0.3136,l,2014-09-14 16:00:00,0,0,1,0,-1.6455859999999998,546,12,228,26,1,3,0,3,-2.6406089999999995,4.813134000000001,6.679963,4.039354,6.679963,1,9,4.455699999999999,1,3,0,3,-2.6406089999999995,4.813134000000001,6.679963,4.039354,6.679963,1,9,4.455699999999999,Manchester United,0.0545,0.1501,0.7954,a,0.467281,0.513746,0.467281,0.513746,11,2,0,0,1.2096,d,2014-08-30 12:45:00,0,1,0,1,-0.046465,150,21,305,27,0,1,2,2,1.116877,2.575188,1.458311,2.575188,1.458311,2,3,5.1195,0,1,2,2,1.116877,2.575188,1.458311,2.575188,1.458311,2,3,5.1195,Burnley,0.2443,0.4767,0.279
4,h,1.05642,1.45847,1.05642,1.45847,3,6,2,2,0.9737,d,2014-09-20 12:45:00,0,1,0,1,-0.40205,238,24,235,24,1,3,1,4,-3.042659,5.869554000000001,8.138433,5.095774,8.138433,3,11,5.429399999999999,1,3,1,4,-3.042659,5.869554000000001,8.138433,5.095774,8.138433,3,11,5.429399999999999,Stoke,0.2286,0.2879,0.4835,h,1.64782,0.598313,1.64782,0.598313,8,6,0,1,2.1916,l,2014-09-13 15:00:00,0,0,1,0,1.0495070000000002,156,23,232,19,1,2,1,4,0.71011,3.980140000000001,3.27003,3.980140000000001,3.27003,2,3,5.738,1,2,1,4,0.71011,3.980140000000001,3.27003,3.980140000000001,3.27003,2,3,5.738,Leicester,0.6489,0.2449,0.1062
5,a,0.456323,2.34463,0.456323,2.34463,3,8,1,2,0.2299,l,2014-09-27 15:00:00,0,0,1,0,-1.888307,262,18,210,22,1,4,1,4,-4.930966,6.325877000000001,10.483063,5.552097,10.483063,4,13,5.659299999999999,1,3,1,4,-4.940286,4.425207,9.365493,4.425207,9.365493,4,12,3.6444,Southampton,0.0376,0.1171,0.8453,a,0.750244,0.520262,0.750244,0.520262,7,2,1,0,1.4978,w,2014-09-20 15:00:00,1,0,0,3,0.229982,266,34,299,17,3,1,1,10,2.357641,6.661097,4.303456,6.661097,4.303456,9,3,8.602500000000001,3,1,1,10,2.357641,6.661097,4.303456,6.661097,4.303456,9,3,8.602500000000001,Swansea,0.3648,0.4034,0.2318
6,a,0.697342,1.64038,0.697342,1.64038,0,5,0,2,0.5123,l,2014-10-05 16:15:00,0,0,1,0,-0.943038,234,24,273,22,1,5,1,4,-5.874003999999999,7.023219000000001,12.123443,6.249439,12.123443,4,15,6.171599999999999,1,3,1,4,-4.570554,4.046379,8.616933,4.046379,8.616933,4,10,3.6186,West Ham,0.0881,0.248,0.6639,a,1.27452,0.520246,1.27452,0.520246,10,5,1,2,2.0207,l,2014-09-27 15:00:00,0,0,1,0,0.7542740000000001,315,21,189,13,2,3,1,7,1.7160880000000005,7.024411,4.547153,6.263241,4.547153,10,10,10.3449,2,2,1,7,1.6412180000000005,5.171311,3.530093,5.171311,3.530093,10,9,8.3233,Manchester United,0.5793,0.2828,0.1379
7,h,2.60852,1.51813,2.60852,1.51813,8,8,2,3,2.1516,l,2014-10-19 13:30:00,0,0,1,0,1.09039,258,34,126,20,1,6,1,4,-4.783613999999999,9.631739,13.641573,8.857959,13.641573,6,18,8.3232,0,4,1,1,-3.788591,5.382128999999999,9.17072,5.382128999999999,9.17072,5,13,4.181100000000001,Liverpool,0.6523,0.1947,0.153,h,1.56163,1.4384,1.56163,0.677228,10,5,2,1,1.4005999999999998,w,2014-10-04 15:00:00,1,0,0,3,0.884402,201,25,257,32,3,3,1,10,1.945227,9.173656,7.228431,8.412486000000001,6.467259,10,10,10.346,2,2,1,7,2.577648,6.939847,4.362201,6.178677,3.601029,7,6,8.206900000000001,West Bromwich Albion,0.3724,0.2834,0.3442
8,h,0.81667,1.18709,0.81667,1.18709,3,6,2,0,0.9961,w,2014-10-27 20:00:00,1,0,0,3,-0.3704199999999999,340,25,123,22,2,6,1,7,-5.154033999999999,10.448409000000002,14.828663,9.674629,14.828663,8,18,9.3193,1,3,1,4,-2.5134250000000007,5.635275,8.1487,5.635275,8.1487,7,9,4.8636,Aston Villa,0.2245,0.3226,0.4529,a,0.37205,1.67016,0.37205,1.67016,6,7,0,3,0.3414,l,2014-10-18 15:00:00,0,0,1,0,-1.29811,414,24,193,12,3,4,1,10,-5.922027000000001,4.698532999999999,10.62056,4.698532999999999,10.62056,4,12,7.318499999999999,1,4,0,3,-6.567099,2.6419179999999995,9.209017,2.6419179999999995,9.209017,1,11,2.7731000000000003,Everton,0.0524,0.1842,0.7634
9,a,0.510067,2.23703,0.510067,1.47586,3,12,1,2,0.2420999999999999,l,2014-11-01 15:00:00,0,0,1,0,-0.965793,300,23,176,32,2,7,1,7,-6.119826999999999,10.958476,17.065693,10.184696,16.304523,9,20,9.5614,1,4,0,3,-3.0771679999999995,5.088922,8.92726,5.088922,8.16609,6,9,4.132,Chelsea,0.0372,0.1305,0.8323,a,0.989916,1.84074,0.989916,1.84074,8,7,1,1,0.7389,d,2014-10-26 16:00:00,0,1,0,1,-0.850824,254,18,245,18,7,0,2,23,8.544732999999999,17.322616,8.01671,16.561443,8.01671,24,9,18.2865,3,0,2,11,2.185587999999999,7.570806,4.624045000000001,6.809633,4.624045000000001,9,3,8.633000000000001,Manchester United,0.1664,0.2397,0.5939
