,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.782253,0.876106,0.782253,0.876106,2,11,1,0,1.2278000000000002,w,2015-08-08 18:00:00,1,0,0,3,-0.093853,308,26,207,30,1,0,0,3,-0.093853,0.782253,0.876106,0.782253,0.876106,1,0,1.2278000000000002,1,0,0,3,-0.093853,0.782253,0.876106,0.782253,0.876106,1,0,1.2278000000000002,Bournemouth,0.2926,0.35,0.3574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,0.219118,0.660404,0.219118,0.660404,3,5,0,1,0.7821,l,2015-08-14 22:45:00,0,0,1,0,-0.4412859999999999,301,30,285,30,1,1,0,3,-0.535139,1.001371,1.53651,1.001371,1.53651,1,1,2.0099,1,1,0,3,-0.535139,1.001371,1.53651,1.001371,1.53651,1,1,2.0099,Manchester United,0.1056,0.4653,0.4291,h,0.627539,0.6746,0.627539,0.6746,4,10,1,0,1.2528,w,2015-08-08 15:45:00,1,0,0,3,-0.047061,318,23,263,32,1,0,0,3,-0.047061,0.627539,0.6746,0.627539,0.6746,1,0,1.2528,1,0,0,3,-0.047061,0.627539,0.6746,0.627539,0.6746,1,0,1.2528,Tottenham,0.2843,0.3999,0.3158
2,a,0.765278,1.23807,0.765278,1.23807,6,9,1,2,0.9601,l,2015-08-22 18:00:00,0,0,1,0,-0.472792,178,21,196,24,1,2,0,3,-1.007931,1.766649,2.7745800000000003,1.766649,2.7745800000000003,2,3,2.97,1,2,0,3,-1.007931,1.766649,2.7745800000000003,1.766649,2.7745800000000003,2,3,2.97,Crystal Palace,0.2174,0.3079,0.4747,h,0.964134,2.05542,0.964134,2.05542,5,15,1,2,0.6022000000000001,l,2015-08-16 16:30:00,0,0,1,0,-1.0912859999999998,281,24,202,29,1,1,0,3,-0.1122959999999997,3.073884,3.18618,3.073884,3.18618,4,3,2.7321,1,1,0,3,-0.1122959999999997,3.073884,3.18618,3.073884,3.18618,4,3,2.7321,Arsenal,0.1303,0.2113,0.6584
3,h,2.27406,0.368848,1.51289,0.368848,12,3,2,2,2.7246,d,2015-08-29 18:00:00,0,1,0,1,1.144042,190,22,294,40,1,2,1,4,0.1361109999999998,4.040709,3.143428,3.279539,3.143428,4,5,5.694599999999999,1,2,1,4,0.1361109999999998,4.040709,3.143428,3.279539,3.143428,4,5,5.694599999999999,Sunderland,0.8747,0.1005,0.0248,h,0.569426,1.56064,0.569426,1.56064,2,4,1,1,0.6088,d,2015-08-22 18:00:00,0,1,0,1,-0.991214,293,29,163,19,0,2,1,1,-2.7263460000000004,2.358014,5.84553,2.358014,5.08436,4,8,1.6083,0,2,1,1,-2.7263460000000004,2.358014,5.84553,2.358014,5.08436,4,8,1.6083,Swansea,0.1219,0.2431,0.635
4,a,0.953181,1.34987,0.953181,1.34987,5,11,2,3,1.0342,l,2015-09-13 19:00:00,0,0,1,0,-0.3966889999999999,185,22,236,33,1,3,1,4,-0.2605780000000001,4.99389,4.493298,4.2327200000000005,4.493298,6,8,6.7288,1,3,1,4,-0.2605780000000001,4.99389,4.493298,4.2327200000000005,4.493298,6,8,6.7288,Leicester,0.2446,0.3004,0.455,a,0.919097,0.321432,0.157928,0.321432,6,4,1,1,2.1203,d,2015-08-29 18:00:00,0,1,0,1,-0.1635039999999999,217,42,141,20,2,0,2,8,0.4144369999999996,6.125528999999999,4.188753,4.60319,4.188753,8,5,7.349,2,0,2,8,0.4144369999999996,6.125528999999999,4.188753,4.60319,4.188753,8,5,7.349,Bournemouth,0.5975,0.3278,0.0747
5,h,0.876719,0.632761,0.876719,0.632761,5,2,0,1,1.5584,l,2015-09-19 18:00:00,0,0,1,0,0.243958,153,25,244,29,1,4,1,4,-0.01662,5.870609,5.126059000000001,5.109439,5.126059000000001,6,9,8.2872,0,4,1,1,0.0772330000000001,5.088355999999999,4.2499530000000005,4.327185999999999,4.2499530000000005,5,9,7.0594,West Bromwich Albion,0.3959,0.3707,0.2334,h,0.409143,1.00731,0.409143,1.00731,5,7,0,0,0.7587999999999999,d,2015-09-12 18:00:00,0,1,0,1,-0.5981669999999999,347,17,154,18,1,2,2,5,-3.863187999999999,3.8358309999999993,6.937848000000001,3.07466,6.937848000000001,3,6,4.2212,1,2,2,5,-3.863187999999999,3.8358309999999993,6.937848000000001,3.07466,6.937848000000001,3,6,4.2212,Southampton,0.1387,0.3427,0.5186
6,a,0.892054,1.78331,0.892054,1.78331,2,11,2,3,0.7259,l,2015-09-26 18:00:00,0,0,1,0,-0.8912559999999999,317,12,215,29,1,5,1,4,-0.907876,6.762663,6.909369000000001,6.001493,6.909369000000001,8,12,9.0131,0,4,1,1,-0.3727369999999999,5.761291999999999,5.372859,5.000121999999999,5.372859,7,11,7.0032000000000005,Liverpool,0.1605,0.2444,0.5951,h,1.90447,0.556271,1.90447,0.556271,12,3,1,1,2.3581000000000003,d,2015-09-20 19:00:00,0,1,0,1,1.348199,195,22,319,21,2,2,2,8,2.355515,7.26448,5.67013,7.26448,4.908965,4,7,8.860800000000001,1,2,2,5,2.406916,6.934607,5.288856,6.934607,4.527691,3,7,7.696200000000001,Norwich,0.7195,0.1996,0.0809
7,h,0.839028,1.03499,0.839028,1.03499,7,3,0,1,1.1661,l,2015-10-03 18:00:00,0,0,1,0,-0.195962,229,30,258,31,1,6,1,4,-1.103838,7.601691,7.944359,6.840521,7.944359,8,13,10.1792,0,4,1,1,-0.0959069999999999,5.835042,5.169779,5.073872,5.169779,6,10,7.2092,Stoke,0.2754,0.3399,0.3847,h,1.94483,0.871678,1.94483,0.871678,3,8,2,1,2.2383,w,2015-09-26 18:00:00,1,0,0,3,1.073152,292,28,199,20,1,3,3,6,-4.200338,8.390049,12.590425000000002,7.628919,11.829257,7,10,8.795399999999999,1,2,2,5,-4.594029,5.199215000000001,10.554412,5.199215000000001,9.793244,5,7,5.374600000000001,Bournemouth,0.6734,0.2181,0.1085
8,a,0.795846,1.22875,0.795846,1.22875,2,6,0,2,0.9563,l,2015-10-17 18:00:00,0,0,1,0,-0.4329039999999999,205,21,238,44,1,7,1,4,-1.536742,8.397537,9.173109,7.636367,9.173109,8,15,11.1355,0,5,0,0,-1.672853,4.356828,6.029681,4.356828,6.029681,4,10,5.4409,Chelsea,0.2119,0.3206,0.4675,h,0.520175,1.58246,0.520175,1.58246,5,5,1,3,0.5438999999999999,l,2015-10-03 20:30:00,0,0,1,0,-1.062285,192,22,284,20,2,4,2,8,-2.1305939999999994,8.984076,12.637011,8.984076,11.114669999999998,12,17,8.636300000000002,1,3,1,4,-0.6030579999999995,5.829913,6.432971,5.829913,6.432971,7,10,6.3607000000000005,Southampton,0.1026,0.2361,0.6613
9,h,1.09516,1.74353,1.09516,1.74353,4,4,1,2,0.8114000000000001,l,2015-10-24 18:00:00,0,0,1,0,-0.6483700000000001,259,25,175,26,1,8,1,4,-2.185112,9.492697,10.916639,8.731527,10.916639,9,17,11.9469,0,5,0,0,-1.924534,4.498806999999999,6.423341,4.498806999999999,6.423341,3,9,5.2181,Swansea,0.1816,0.2666,0.5518,h,0.485489,1.64894,0.485489,0.88777,5,6,0,1,0.3905,l,2015-10-19 23:00:00,0,0,1,0,-0.4022809999999999,293,18,364,22,2,3,4,10,0.0448820000000003,11.145884,10.339835,9.623547,9.578665,10,11,12.6324,0,3,2,2,-3.684656,4.047791,7.73245,3.286624,6.971279999999999,3,7,3.8645,Stoke,0.0635,0.2,0.7365
