,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,2.56803,1.45946,1.80686,1.45946,5,6,4,2,2.1323,w,2015-08-08 18:00:00,1,0,0,3,0.3473999999999999,272,25,172,18,1,0,0,3,0.3473999999999999,2.56803,1.45946,1.80686,1.45946,4,2,2.1323,1,0,0,3,0.3473999999999999,2.56803,1.45946,1.80686,1.45946,4,2,2.1323,Sunderland,0.6422,0.2057,0.1521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,1.80939,0.513491,1.80939,0.513491,5,10,2,1,2.5134,w,2015-08-15 18:00:00,1,0,0,3,1.295899,331,22,102,16,2,0,0,6,1.6432989999999998,4.37742,1.972951,3.61625,1.972951,6,3,4.6457,2,0,0,6,1.6432989999999998,4.37742,1.972951,3.61625,1.972951,6,3,4.6457,West Ham,0.7808,0.171,0.0482,a,0.535961,1.33166,0.535961,1.33166,0,11,2,0,0.7095,w,2015-08-09 16:30:00,1,0,0,3,-0.795699,274,22,196,24,1,0,0,3,-0.795699,0.535961,1.33166,0.535961,1.33166,2,0,0.7095,1,0,0,3,-0.795699,0.535961,1.33166,0.535961,1.33166,2,0,0.7095,Arsenal,0.1423,0.2826,0.5751
2,h,0.829012,1.89437,0.829012,1.89437,5,5,1,1,0.583,d,2015-08-22 18:00:00,0,1,0,1,-1.0653580000000002,296,19,94,19,2,0,1,7,0.5779409999999996,5.206432,3.867321000000001,4.445262,3.867321000000001,7,4,5.2287,2,0,1,7,0.5779409999999996,5.206432,3.867321000000001,4.445262,3.867321000000001,7,4,5.2287,Tottenham,0.1213,0.2191,0.6596,h,1.70614,2.80956,1.70614,2.04843,1,5,2,2,0.6767,d,2015-08-15 18:00:00,0,1,0,1,-0.3422900000000002,243,24,325,28,0,1,1,1,-0.2952290000000002,2.38074,3.437099,2.38074,2.6759690000000003,2,3,2.024,0,1,1,1,-0.2952290000000002,2.38074,3.437099,2.38074,2.6759690000000003,2,3,2.024,Stoke,0.1614,0.1925,0.6461
3,a,0.919097,0.321432,0.157928,0.321432,6,4,1,1,2.1203,d,2015-08-29 18:00:00,0,1,0,1,-0.1635039999999999,217,42,141,20,2,0,2,8,0.4144369999999996,6.125528999999999,4.188753,4.60319,4.188753,8,5,7.349,2,0,2,8,0.4144369999999996,6.125528999999999,4.188753,4.60319,4.188753,8,5,7.349,Bournemouth,0.5975,0.3278,0.0747,a,2.8554,1.50203,2.09423,0.740861,7,3,4,3,2.3363,w,2015-08-22 18:00:00,1,0,0,3,1.353369,193,18,218,22,1,2,0,3,-0.2425929999999996,4.192311,4.434903,3.431141,3.673734,4,5,4.0364,1,2,0,3,-0.2425929999999996,4.192311,4.434903,3.431141,3.673734,4,5,4.0364,West Ham,0.7202,0.1757,0.1041
4,h,1.34987,0.953181,1.34987,0.953181,11,5,3,2,1.6654,w,2015-09-13 19:00:00,1,0,0,3,0.3966889999999999,236,33,185,22,3,0,2,11,0.8111259999999996,7.475398999999999,5.141934,5.95306,5.141934,11,7,9.0144,3,0,2,11,0.8111259999999996,7.475398999999999,5.141934,5.95306,5.141934,11,7,9.0144,Aston Villa,0.455,0.3004,0.2446,h,2.27406,0.368848,1.51289,0.368848,12,3,2,2,2.7246,d,2015-08-29 18:00:00,0,1,0,1,1.144042,190,22,294,40,1,2,1,4,0.1361109999999998,4.040709,3.143428,3.279539,3.143428,4,5,5.694599999999999,1,2,1,4,0.1361109999999998,4.040709,3.143428,3.279539,3.143428,4,5,5.694599999999999,Sunderland,0.8747,0.1005,0.0248
5,a,1.22582,1.14717,0.464652,1.14717,3,2,2,2,1.4325,d,2015-09-19 18:00:00,0,1,0,1,-0.682518,216,36,160,23,3,0,3,12,0.1286079999999996,8.701219,6.289104,6.417712,6.289104,13,9,10.4469,2,0,3,9,-0.2187920000000003,6.133189,4.829644,4.610852,4.829644,9,7,8.314599999999999,Stoke,0.3667,0.3324,0.3009,a,0.191277,4.42684,0.191277,4.42684,2,20,0,2,0.0096,l,2015-09-12 18:00:00,0,0,1,0,-4.235563,334,21,169,25,0,3,2,2,-5.956008000000001,5.298049,10.492927000000002,4.536919,10.492927000000002,3,7,5.321999999999999,0,3,2,2,-5.956008000000001,5.298049,10.492927000000002,4.536919,10.492927000000002,3,7,5.321999999999999,Arsenal,0.0007,0.0075,0.9918
6,h,1.38516,3.89623,1.38516,3.89623,8,17,2,5,0.2441999999999999,l,2015-09-26 18:00:00,0,0,1,0,-2.51107,310,30,149,22,3,1,3,12,-2.3824620000000003,10.086379,10.185334,7.802872,10.185334,15,14,10.6911,1,1,3,6,-4.025761000000001,5.708958999999999,8.212382999999999,4.186622,8.212382999999999,9,11,6.0454,Arsenal,0.0518,0.0888,0.8594,a,0.775312,2.0687,0.775312,2.0687,5,14,0,2,0.4477,l,19/09/2015 15:45,0,0,1,0,-1.293388,290,22,195,32,3,2,1,10,7.6821606,12.766262,5.0841014,12.766262,5.0841014,5,5,12.2896,3,1,1,10,6.8864616,11.434602,4.5481404,11.434602,4.5481404,5,3,10.2817,Chelsea,0.0856,0.1909,0.7235
7,a,3.00282,1.18074,2.24168,1.18074,5,5,2,1,2.5358,w,2015-10-03 18:00:00,1,0,0,3,1.0609400000000002,235,23,104,9,4,1,3,15,-1.321522,13.089199,11.366074,10.044552,11.366074,17,15,13.2269,2,1,2,8,-1.899463,7.882766999999999,7.498753000000001,5.59929,7.498753000000001,10,11,7.998199999999999,Norwich,0.8018,0.1304,0.0678,a,1.38603,2.60407,1.38603,2.60407,3,9,2,2,0.6213,d,2015-09-26 18:00:00,0,1,0,1,-1.21804,175,26,270,30,2,2,3,9,-0.9804059999999996,9.909745,10.890151,9.909745,10.890151,11,12,9.3046,1,1,3,6,-1.3891479999999998,7.062125,8.451273,7.062125,8.451273,7,8,6.1724000000000006,West Ham,0.1456,0.1845,0.6699
8,a,2.78648,1.46668,2.78648,1.46668,8,5,2,2,2.2377,d,2015-10-17 18:00:00,0,1,0,1,1.3198,212,32,145,16,4,1,4,16,-0.001722,15.875679000000002,12.832754,12.831032,12.832754,19,17,15.4646,2,1,2,8,-0.4161589999999999,9.75015,8.644001,8.227841999999999,8.644001,11,12,8.1156,Southampton,0.6842,0.1851,0.1307,a,1.58246,0.520175,1.58246,0.520175,5,5,3,1,2.22,w,2015-10-03 20:30:00,1,0,0,3,1.062285,284,20,192,22,3,2,3,12,3.837535,11.83422,8.757852,11.83422,7.996684999999999,13,10,12.7575,3,1,1,10,4.957195,8.83559,4.639562,8.83559,3.878395,11,5,9.8533,Chelsea,0.6613,0.2361,0.1026
9,h,1.33502,0.240008,1.33502,0.240008,2,5,1,0,2.633,w,2015-10-24 18:00:00,1,0,0,3,1.095012,257,19,256,22,5,1,4,19,1.09329,17.210699,13.072762,14.166052,13.072762,20,17,18.0976,2,1,2,8,0.2821640000000005,9.7353,7.930828,8.212992,7.930828,9,10,9.083199999999998,Crystal Palace,0.8261,0.1547,0.0192,h,1.08391,2.76356,0.322738,2.76356,9,15,1,3,0.3372,l,2015-10-17 18:00:00,0,0,1,0,-2.440822,251,20,165,23,5,4,0,15,-2.126801,13.196816,13.040105,10.913303999999998,13.040105,12,10,13.1203,2,3,0,6,-3.401067,6.692031999999999,7.809587,4.40852,7.809587,4,5,6.6239,West Ham,0.0623,0.1503,0.7874
