,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,1.13076,2.10975,1.13076,2.10975,5,10,1,3,0.6542,l,2015-08-08 18:00:00,0,0,1,0,-0.97899,109,19,255,24,0,1,0,0,-0.97899,1.13076,2.10975,1.13076,2.10975,1,3,0.6542,0,1,0,0,-0.97899,1.13076,2.10975,1.13076,2.10975,1,3,0.6542,Crystal Palace,0.1461,0.2159,0.638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,1.71686,0.329128,1.71686,0.329128,6,2,3,1,2.478,w,2015-08-15 18:00:00,1,0,0,3,1.3877320000000002,224,21,224,22,1,1,0,3,0.4087420000000001,2.84762,2.438878,2.84762,2.438878,4,4,3.1322,1,1,0,3,0.4087420000000001,2.84762,2.438878,2.84762,2.438878,4,4,3.1322,Sunderland,0.7645,0.1845,0.051,a,1.45946,2.56803,1.45946,1.80686,6,5,2,4,0.662,l,2015-08-08 18:00:00,0,0,1,0,-0.3473999999999999,172,18,272,25,0,1,0,0,-0.3473999999999999,1.45946,2.56803,1.45946,1.80686,2,4,0.662,0,1,0,0,-0.3473999999999999,1.45946,2.56803,1.45946,1.80686,2,4,0.662,Leicester,0.1521,0.2057,0.6422
2,h,3.14888,0.698228,3.14888,0.698228,4,2,1,1,2.7779,d,2015-08-22 18:00:00,0,1,0,1,2.4506520000000003,289,30,153,14,1,1,1,4,2.8593940000000004,5.9965,3.137106,5.9965,3.137106,5,5,5.9101,1,1,1,4,2.8593940000000004,5.9965,3.137106,5.9965,3.137106,5,5,5.9101,Stoke,0.9013,0.074,0.0247,a,2.80956,1.70614,2.04843,1.70614,5,1,2,2,2.1308,d,2015-08-15 18:00:00,0,1,0,1,0.3422900000000002,325,28,243,24,0,1,1,1,0.3936910000000002,3.190834,2.036013,2.429704,2.036013,2,3,3.4208,0,1,1,1,0.3936910000000002,3.190834,2.036013,2.429704,2.036013,2,3,3.4208,Tottenham,0.6461,0.1925,0.1614
3,a,0.639434,2.85501,0.639434,2.85501,2,2,0,3,0.1059,l,2015-08-30 16:30:00,0,0,1,0,-2.215576,307,12,186,18,1,2,1,4,0.6438180000000004,6.635934,5.992115999999999,6.635934,5.992115999999999,5,8,6.016,1,2,1,4,0.6438180000000004,6.635934,5.992115999999999,6.635934,5.992115999999999,5,8,6.016,Southampton,0.0094,0.0777,0.9129,a,0.68359,1.17588,0.68359,1.17588,2,2,0,0,0.8077000000000001,d,2015-08-23 19:00:00,0,1,0,1,-0.49229,200,27,199,22,0,1,2,2,-1.11966,2.99863,4.11829,2.99863,4.11829,2,5,2.9042,0,1,2,2,-1.11966,2.99863,4.11829,2.99863,4.11829,2,5,2.9042,Watford,0.1653,0.3118,0.5229
4,h,1.33151,0.389495,1.33151,0.389495,7,3,3,1,2.225,w,2015-09-12 18:00:00,1,0,0,3,0.942015,259,26,221,19,2,2,1,7,1.5858330000000005,7.967443999999999,6.381611,7.967443999999999,6.381611,8,9,8.241,2,2,1,7,1.5858330000000005,7.967443999999999,6.381611,7.967443999999999,6.381611,8,9,8.241,Bournemouth,0.6567,0.2549,0.0884,h,0.321432,0.919097,0.321432,0.157928,4,6,1,1,0.5519000000000001,d,2015-08-29 18:00:00,0,1,0,1,0.1635039999999999,141,20,217,42,1,2,1,4,-0.0790889999999996,4.513743,5.354,3.752573,3.831662,5,6,4.588299999999999,1,2,1,4,-0.0790889999999996,4.513743,5.354,3.752573,3.831662,5,6,4.588299999999999,Leicester,0.0747,0.3278,0.5975
5,a,0.556271,1.90447,0.556271,1.90447,3,12,1,1,0.4423,d,2015-09-20 19:00:00,0,1,0,1,-1.348199,319,21,195,22,2,2,2,8,0.2376340000000003,8.523715,8.286081,8.523715,8.286081,9,10,8.6833,2,1,2,8,1.2166240000000004,7.392955,6.176331,7.392955,6.176331,8,7,8.0291,Liverpool,0.0809,0.1996,0.7195,a,1.02572,1.46206,1.02572,0.700895,5,4,1,3,0.8883000000000001,l,2015-09-12 20:30:00,0,0,1,0,0.3248249999999999,304,21,264,27,2,2,1,7,1.007316,5.36001,5.113859000000001,5.36001,4.3526940000000005,3,6,6.502700000000001,2,2,1,7,1.007316,5.36001,5.113859000000001,5.36001,4.3526940000000005,3,6,6.502700000000001,Manchester United,0.1901,0.318,0.4919
6,a,1.38603,2.60407,1.38603,2.60407,3,9,2,2,0.6213,d,2015-09-26 18:00:00,0,1,0,1,-1.21804,175,26,270,30,2,2,3,9,-0.9804059999999996,9.909745,10.890151,9.909745,10.890151,11,12,9.3046,1,1,3,6,-1.3891479999999998,7.062125,8.451273,7.062125,8.451273,7,8,6.1724000000000006,West Ham,0.1456,0.1845,0.6699,a,0.995273,2.98465,0.995273,2.98465,3,15,2,1,0.2422,w,2015-09-19 20:30:00,1,0,0,3,-1.989377,309,13,143,39,4,2,0,12,-4.02769,6.231745,10.259436,5.470576,9.498266,13,7,5.691000000000001,3,2,0,9,-3.231991,5.695784,8.927776,4.934615,8.166606,11,7,4.9815000000000005,Manchester City,0.0415,0.1177,0.8408
7,h,1.18074,3.00282,1.18074,2.24168,5,5,1,2,0.3338,l,2015-10-03 18:00:00,0,0,1,0,-1.0609400000000002,104,9,235,23,2,3,3,9,-2.041346,11.090485,13.892971,11.090485,13.131831,12,14,9.6384,1,2,2,5,-4.900740000000001,5.093985,10.755865,5.093985,9.994725,7,9,3.7283,Leicester,0.0678,0.1304,0.8018,h,1.38516,3.89623,1.38516,3.89623,8,17,2,5,0.2441999999999999,l,2015-09-26 18:00:00,0,0,1,0,-2.51107,310,30,149,22,3,1,3,12,-2.3824620000000003,10.086379,10.185334,7.802872,10.185334,15,14,10.6911,1,1,3,6,-4.025761000000001,5.708958999999999,8.212382999999999,4.186622,8.212382999999999,9,11,6.0454,Arsenal,0.0518,0.0888,0.8594
8,a,1.34395,2.24896,1.34395,2.24896,4,8,2,6,0.7544,l,2015-10-18 19:00:00,0,0,1,0,-0.90501,192,26,238,19,2,4,3,9,-2.946356,12.434435,16.141931,12.434435,15.380791,14,20,10.3928,1,2,2,5,-3.590174,5.798501,10.149815,5.798501,9.388675,9,12,4.376799999999999,Newcastle United,0.1782,0.2198,0.602,a,0.980279,3.3346,0.980279,3.3346,3,14,1,6,0.2007999999999999,l,2015-10-03 18:00:00,0,0,1,0,-2.354321,248,11,181,33,0,5,3,3,-8.8289446,5.6797354,14.50868,5.6797354,14.50868,6,17,5.2435,0,4,1,1,-6.4503436,3.5820964,10.03244,3.5820964,10.03244,4,13,2.8658,Manchester City,0.038,0.0868,0.8752
9,h,1.03228,1.45436,1.03228,1.45436,6,3,0,1,0.9568,l,2015-10-24 18:00:00,0,0,1,0,-0.42208,137,18,231,17,2,5,3,9,-3.368436,13.466715,17.596291,13.466715,16.835151,14,21,11.3496,0,3,2,2,-4.954269000000001,5.499271,11.21468,5.499271,10.45354,6,12,3.1086,West Bromwich Albion,0.222,0.2908,0.4872,h,2.07781,0.658473,2.07781,0.658473,2,5,1,0,2.5696000000000003,w,2015-10-17 18:00:00,1,0,0,3,1.419337,179,19,211,23,3,4,2,11,-4.688421,8.077039999999998,12.765460000000004,7.315868999999999,12.00429,7,11,8.6745,2,2,1,7,-1.4234,4.650352,6.834922,4.650352,6.073752,4,5,5.2121,Sunderland,0.8061,0.1513,0.0426
