,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,2.59203,0.64396,1.83086,0.64396,5,10,2,2,2.724,d,2015-08-08 20:30:00,0,1,0,1,1.1869,212,24,228,22,0,0,1,1,1.1869,2.59203,0.64396,1.83086,0.64396,2,2,2.724,0,0,1,1,1.1869,2.59203,0.64396,1.83086,0.64396,2,2,2.724,Chelsea,0.8772,0.0924,0.0304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,1.97424,0.113109,1.97424,0.113109,4,0,2,0,2.8267,w,2015-08-15 18:00:00,1,0,0,3,1.861131,212,34,412,12,1,0,1,4,3.048031,4.566269999999999,0.757069,3.8051,0.757069,4,2,5.550699999999999,1,0,1,4,3.048031,4.566269999999999,0.757069,3.8051,0.757069,4,2,5.550699999999999,Newcastle United,0.9165,0.0772,0.0063,h,1.54613,1.2529,1.54613,1.2529,3,5,2,2,1.6323,d,2015-08-09 16:30:00,0,1,0,1,0.2932300000000001,229,18,266,38,0,0,1,1,0.2932300000000001,1.54613,1.2529,1.54613,1.2529,2,2,1.6323,0,0,1,1,0.2932300000000001,1.54613,1.2529,1.54613,1.2529,2,2,1.6323,Southampton,0.4386,0.3165,0.2449
2,a,1.56064,0.569426,1.56064,0.569426,4,2,1,1,2.1481,d,2015-08-22 18:00:00,0,1,0,1,0.991214,163,19,293,29,1,0,2,5,4.039245,6.12691,1.326495,5.36574,1.326495,5,3,7.6987999999999985,1,0,2,5,4.039245,6.12691,1.326495,5.36574,1.326495,5,3,7.6987999999999985,Sunderland,0.635,0.2431,0.1219,h,0.329128,1.71686,0.329128,1.71686,2,6,1,3,0.3375,l,2015-08-15 18:00:00,0,0,1,0,-1.3877320000000002,224,22,224,21,0,2,0,0,-1.735132,1.7885879999999998,4.28489,1.7885879999999998,3.52372,3,7,0.9995,0,2,0,0,-1.735132,1.7885879999999998,4.28489,1.7885879999999998,3.52372,3,7,0.9995,Norwich,0.051,0.1845,0.7645
3,h,0.971183,1.28089,0.971183,1.28089,3,9,2,1,1.0691000000000002,w,2015-08-30 19:00:00,1,0,0,3,-0.309707,349,23,200,29,2,0,2,8,3.729538,7.098093,2.607385,6.336923,2.607385,7,4,8.7679,2,0,2,8,3.729538,7.098093,2.607385,6.336923,2.607385,7,4,8.7679,Manchester United,0.2526,0.3113,0.4361,h,1.2491,0.4384,1.2491,0.4384,12,1,0,0,2.0587,d,2015-08-22 15:45:00,0,1,0,1,0.8107000000000001,146,31,295,16,2,0,1,7,1.204925,2.537043,1.332118,2.537043,1.332118,2,0,5.0641,2,0,1,7,1.204925,2.537043,1.332118,2.537043,1.332118,2,0,5.0641,Newcastle United,0.5889,0.292,0.1191
4,a,0.503008,1.57333,0.503008,1.57333,8,3,0,1,0.4894,l,2015-09-12 18:00:00,0,0,1,0,-1.070322,134,20,304,27,2,1,2,8,2.659216,7.601101,4.180714999999999,6.839931,4.180714999999999,7,5,9.2573,2,1,2,8,2.659216,7.601101,4.180714999999999,6.839931,4.180714999999999,7,5,9.2573,Watford,0.0867,0.2293,0.684,a,0.363603,1.52895,0.363603,1.52895,1,9,0,2,0.4264,l,2015-08-29 18:00:00,0,0,1,0,-1.165347,368,18,284,28,0,1,3,3,-0.6425790000000001,2.858223,3.500802,2.858223,3.500802,2,4,4.910800000000001,0,1,3,3,-0.6425790000000001,2.858223,3.500802,2.858223,3.500802,2,4,4.910800000000001,Manchester City,0.0669,0.2257,0.7074
5,h,0.864868,1.77458,0.864868,1.77458,4,12,0,0,0.7005,d,2015-09-19 18:00:00,0,1,0,1,-0.909712,223,26,243,27,2,1,3,9,1.7495040000000002,8.465969,5.955295,7.704798999999999,5.955295,7,5,9.9578,2,1,2,8,0.5626040000000001,5.873939,5.311335,5.873939,5.311335,5,3,7.2338,Everton,0.1553,0.2346,0.6101,h,1.18026,0.656048,1.18026,0.656048,4,7,3,1,1.8557,w,2015-09-12 15:45:00,1,0,0,3,0.5242120000000001,316,21,198,26,2,1,2,8,-1.400284,4.454796,5.855080000000001,4.454796,5.855080000000001,8,5,5.8839,2,1,2,8,-1.400284,4.454796,5.855080000000001,4.454796,5.855080000000001,8,5,5.8839,Chelsea,0.5186,0.2999,0.1815
6,a,1.41962,1.55418,0.658453,1.55418,4,10,1,3,1.2779,l,2015-09-26 18:00:00,0,0,1,0,-0.8957269999999999,200,18,316,27,2,2,3,9,0.8537770000000002,9.885589,7.509474999999999,8.363252,7.509474999999999,8,8,11.2357,1,2,2,5,-2.194254,5.319319,6.752406,4.558152,6.752406,4,6,5.685,Southampton,0.3217,0.3128,0.3655,h,1.83663,1.65119,1.83663,1.65119,7,4,2,3,1.5091,l,2015-09-20 19:00:00,0,0,1,0,0.18544,349,20,208,17,1,2,3,6,1.879523,8.69758,6.818057,8.69758,6.818057,7,8,9.1282,1,2,2,5,2.172753,7.44468,5.271927,7.44468,5.271927,5,6,8.077,Manchester United,0.4195,0.2506,0.3299
7,h,0.774806,1.18142,0.774806,1.18142,3,4,2,2,1.0062,d,2015-10-04 19:00:00,0,1,0,1,-0.4066139999999999,291,21,238,31,2,2,4,10,0.4471630000000003,10.660395,8.690895,9.138058,8.690895,10,10,12.2419,1,2,2,5,-3.592082,4.533485,7.3644,3.772318,7.3644,5,7,4.5431,Tottenham,0.2346,0.3024,0.463,h,2.30799,1.57842,2.30799,1.57842,3,17,4,1,1.896,w,2015-09-26 15:45:00,1,0,0,3,0.7295700000000003,201,38,218,20,3,1,3,12,3.6969180000000006,11.05415,8.118362,11.05415,7.3572320000000015,9,5,11.9004,3,0,2,11,3.992147000000001,8.67341,4.681263,8.67341,4.681263,7,2,9.8764,Manchester City,0.5584,0.2208,0.2208
8,h,0.485489,1.64894,0.485489,0.88777,5,6,0,1,0.3905,l,2015-10-19 23:00:00,0,0,1,0,-0.4022809999999999,293,18,364,22,2,3,4,10,0.0448820000000003,11.145884,10.339835,9.623547,9.578665,10,11,12.6324,0,3,2,2,-3.684656,4.047791,7.73245,3.286624,6.971279999999999,3,7,3.8645,Stoke,0.0635,0.2,0.7365,a,1.03499,0.839028,1.03499,0.839028,3,7,1,0,1.4939999999999998,w,2015-10-03 18:00:00,1,0,0,3,0.195962,258,31,229,30,2,3,3,9,-4.004376000000001,9.425039,13.429453000000002,8.663909,12.668285,8,10,10.2894,2,2,1,7,-1.947415,5.535977000000001,8.24456,5.535977000000001,7.483392,5,6,6.7205,Aston Villa,0.3847,0.3399,0.2754
9,a,1.74353,1.09516,1.74353,1.09516,4,4,2,1,1.922,w,2015-10-24 18:00:00,1,0,0,3,0.6483700000000001,175,26,259,25,3,3,4,13,0.6932520000000004,12.889414,11.434995,11.367076999999998,10.673825,12,12,14.554399999999998,1,2,2,5,-1.965964,5.288313,7.25428,4.527146,6.49311,5,7,5.2971,Aston Villa,0.5518,0.2666,0.1816,a,0.795846,1.22875,0.795846,1.22875,2,6,0,2,0.9563,l,2015-10-17 18:00:00,0,0,1,0,-0.4329039999999999,205,21,238,44,1,7,1,4,-1.536742,8.397537,9.173109,7.636367,9.173109,8,15,11.1355,0,5,0,0,-1.672853,4.356828,6.029681,4.356828,6.029681,4,10,5.4409,Chelsea,0.2119,0.3206,0.4675
