,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,1.95479,1.09877,1.19362,1.09877,11,4,2,1,2.0446,w,2016-08-13 20:30:00,1,0,0,3,0.0948499999999998,76,14,368,23,1,0,0,3,0.0948499999999998,1.95479,1.09877,1.19362,1.09877,2,1,2.0446,1,0,0,3,0.0948499999999998,1.95479,1.09877,1.19362,1.09877,2,1,2.0446,Sunderland,0.598,0.2506,0.1514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,2.17198,1.31066,1.41081,0.549491,9,3,4,1,2.0611,w,2016-08-20 15:30:00,1,0,0,3,0.861319,208,44,253,19,2,0,0,6,0.9561689999999998,4.1267700000000005,2.40943,2.60443,1.648261,6,2,4.1057,2,0,0,6,0.9561689999999998,4.1267700000000005,2.40943,2.60443,1.648261,6,2,4.1057,Stoke,0.6019,0.2554,0.1427,a,0.485626,1.80523,0.485626,1.80523,4,4,1,1,0.3097,d,2016-08-13 18:00:00,0,1,0,1,-1.319604,199,22,234,32,0,0,1,1,-1.319604,0.485626,1.80523,0.485626,1.80523,1,1,0.3097,0,0,1,1,-1.319604,0.485626,1.80523,0.485626,1.80523,1,1,0.3097,Middlesbrough,0.0491,0.1624,0.7885
2,h,3.21624,1.08385,3.21624,1.08385,18,0,3,1,2.6052000000000004,w,2016-08-28 19:00:00,1,0,0,3,2.13239,146,26,354,26,3,0,0,9,3.088559,7.34301,3.49328,5.82067,2.732111,9,3,6.7109000000000005,3,0,0,9,3.088559,7.34301,3.49328,5.82067,2.732111,9,3,6.7109000000000005,West Ham,0.8305,0.1137,0.0558,h,1.69288,0.39341,1.69288,0.39341,13,7,1,0,2.4378,w,2016-08-21 19:00:00,1,0,0,3,1.29947,253,34,172,23,1,1,0,3,1.045947,2.138484,1.85371,2.138484,1.092537,2,2,2.9080000000000004,1,1,0,3,1.045947,2.138484,1.85371,2.138484,1.092537,2,2,2.9080000000000004,Bournemouth,0.7472,0.1962,0.0566
3,a,1.88688,1.01013,1.88688,1.01013,11,8,2,1,2.0531,w,2016-09-10 15:30:00,1,0,0,3,0.8767499999999999,177,35,299,27,4,0,0,12,3.965309,9.22989,4.50341,7.707549999999999,3.742241,11,4,8.764000000000001,4,0,0,12,3.965309,9.22989,4.50341,7.707549999999999,3.742241,11,4,8.764000000000001,Manchester United,0.606,0.2351,0.1589,a,2.47208,0.268815,2.47208,0.268815,15,2,1,0,2.8411,w,2016-08-27 20:30:00,1,0,0,3,2.203265,237,20,249,13,3,0,0,9,3.582598,5.74866,1.404895,4.987493,1.404895,6,1,7.4356,3,0,0,9,3.582598,5.74866,1.404895,4.987493,1.404895,6,1,7.4356,Hull,0.9263,0.0622,0.0115
4,h,3.38733,0.389672,3.38733,0.389672,16,2,4,0,2.9382,w,2016-09-17 18:00:00,1,0,0,3,2.997658,189,43,318,15,5,0,0,15,6.962967,12.61722,4.893082,11.09488,4.131913,15,4,11.7022,5,0,0,15,6.962967,12.61722,4.893082,11.09488,4.131913,15,4,11.7022,Bournemouth,0.971,0.0252,0.0038,h,0.986511,1.48347,0.986511,1.48347,8,4,1,0,0.8984000000000001,w,2016-09-10 18:00:00,1,0,0,3,-0.496959,130,19,224,21,1,2,1,4,-4.108448,2.876782,7.746399999999999,2.876782,6.98523,3,5,1.9574,1,2,1,4,-4.108448,2.876782,7.746399999999999,2.876782,6.98523,3,5,1.9574,West Bromwich Albion,0.2038,0.287,0.5092
5,a,2.57704,1.11096,1.81587,1.11096,23,5,3,1,2.3997,w,2016-09-24 15:00:00,1,0,0,3,0.7049100000000001,229,23,320,28,6,0,0,18,7.667877,15.194260000000002,6.004042,12.91075,5.242873,18,5,14.1019,5,0,0,15,7.573027,13.23947,4.905272,11.71713,4.144102999999999,16,4,12.0573,Swansea,0.7432,0.1701,0.0867,a,0.490661,2.15218,0.490661,2.15218,4,7,0,1,0.3099,l,2016-09-18 17:15:00,0,0,1,0,-1.661519,237,14,213,25,1,3,1,4,-5.029548,4.911471000000001,10.05788,4.150302000000001,9.17985,4,7,3.7108,1,3,1,4,-5.029548,4.911471000000001,10.05788,4.150302000000001,9.17985,4,7,3.7108,Southampton,0.0536,0.1491,0.7973
6,a,0.909513,1.69975,0.909513,0.938577,13,2,0,2,0.7141,l,2016-10-02 17:15:00,0,0,1,0,-0.0290639999999999,157,22,260,44,6,1,0,18,7.638813,16.103773,7.703792,13.820263,6.18145,18,7,14.816,4,1,0,12,6.682644,11.977003,5.2943620000000005,11.215833,4.533189,12,5,10.710300000000002,Tottenham,0.1532,0.2545,0.5923,a,1.4158,0.361508,1.4158,0.361508,12,0,2,1,2.2536000000000005,w,2016-09-24 18:00:00,1,0,0,3,1.054292,230,23,276,40,4,0,2,14,6.029616,10.682181,5.413735,10.682181,4.652565,10,3,11.9385,4,0,1,13,5.696199,9.558701,4.623672,9.558701,3.862502000000001,9,2,10.2968,Middlesbrough,0.667,0.2526,0.0804
7,h,2.69208,0.144498,1.16978,0.144498,23,1,1,1,2.932,d,2016-10-15 18:00:00,0,1,0,1,1.025282,118,20,293,12,6,1,1,19,8.664095,18.795853,7.848289999999999,14.990043,6.325948,19,8,17.748,3,1,1,10,5.575536,11.452843,4.355009999999999,9.169373,3.593837,10,5,11.0371,Everton,0.9671,0.0307,0.0022,h,1.1542,0.47692,1.1542,0.47692,8,6,1,1,1.9777,d,2016-09-30 23:00:00,0,1,0,1,0.6772799999999999,127,25,179,16,4,1,2,14,4.798843,11.278753,5.71874,10.517583,5.71874,11,5,13.743899999999998,3,1,1,10,5.31214,8.64972,2.57641,7.88855,2.57641,8,3,11.4254,Crystal Palace,0.5569,0.307,0.1361
8,h,1.15321,0.563752,1.15321,0.563752,11,4,1,1,1.8629,d,2016-10-23 16:30:00,0,1,0,1,0.589458,145,23,297,27,6,1,2,20,9.253553,19.949063,8.412042,16.143253,6.8897,20,9,19.6109,2,1,2,8,5.288244000000001,10.719173,3.908632,8.435703,3.147459,9,5,10.8469,Southampton,0.5138,0.3215,0.1647,h,4.21181,1.03126,3.45064,0.270091,9,4,3,1,2.89,w,2016-10-16 19:00:00,1,0,0,3,3.180549,163,9,281,17,3,2,3,12,8.395518,13.603247,7.491234,12.842077,4.446559000000001,10,7,14.069400000000002,3,1,1,10,7.645874,11.438943,4.554238,10.677773,3.031899,8,3,10.7778,Burnley,0.9503,0.0391,0.0106
9,a,2.48018,0.596605,2.48018,0.596605,13,3,4,0,2.5971,w,2016-10-29 18:00:00,1,0,0,3,1.883575,169,22,389,24,7,1,2,23,11.137128,22.429243000000003,9.008647,18.623433,7.486305,24,9,22.208,2,1,2,8,4.174161,9.812023,4.115565,7.528553,3.354392,9,5,10.5058,West Bromwich Albion,0.8225,0.1296,0.0479,a,0.685982,2.2952,0.685982,2.2952,4,13,1,2,0.3777,l,2016-10-22 20:30:00,0,0,1,0,-1.6092179999999998,366,20,138,17,2,3,4,10,-2.40866,9.968652,12.377312,9.207482,11.616142,10,10,10.4427,1,1,3,6,-3.0800590000000003,5.084894,8.164953,4.323724,7.403783000000001,8,7,4.5439,Liverpool,0.0685,0.1722,0.7593
