,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,1.80523,0.485626,1.80523,0.485626,4,4,1,1,2.5279,d,2016-08-13 18:00:00,0,1,0,1,1.319604,234,32,199,22,0,0,1,1,1.319604,1.80523,0.485626,1.80523,0.485626,1,1,2.5279,0,0,1,1,1.319604,1.80523,0.485626,1.80523,0.485626,1,1,2.5279,Stoke,0.7885,0.1624,0.0491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.854908,1.4645,0.854908,1.4645,6,12,2,1,0.8507,w,2016-08-21 16:30:00,1,0,0,3,-0.6095919999999999,188,32,289,29,1,0,1,4,0.7100120000000001,2.660138,1.950126,2.660138,1.950126,3,2,3.3786,1,0,1,4,0.7100120000000001,2.660138,1.950126,2.660138,1.950126,3,2,3.3786,Sunderland,0.185,0.2957,0.5193,a,1.09877,1.95479,1.09877,1.19362,4,11,1,2,0.7048000000000001,l,2016-08-13 20:30:00,0,0,1,0,-0.0948499999999998,368,23,76,14,0,1,0,0,-0.0948499999999998,1.09877,1.95479,1.09877,1.19362,1,2,0.7048000000000001,0,1,0,0,-0.0948499999999998,1.09877,1.95479,1.09877,1.19362,1,2,0.7048000000000001,Manchester City,0.1514,0.2506,0.598
2,a,0.396816,0.696845,0.396816,0.696845,4,5,0,0,0.964,d,2016-08-28 16:30:00,0,1,0,1,-0.300029,175,26,322,18,1,0,2,5,0.409983,3.056954,2.646971,3.056954,2.646971,3,2,4.342599999999999,1,0,2,5,0.409983,3.056954,2.646971,3.056954,2.646971,3,2,4.342599999999999,West Bromwich Albion,0.1735,0.4435,0.383,h,2.01885,1.83897,2.01885,1.83897,7,8,1,2,1.4513999999999998,l,2016-08-20 18:00:00,0,0,1,0,0.17988,321,27,136,28,1,1,0,3,-0.1255889999999999,2.703443,2.829032,2.703443,2.829032,2,2,2.4917,1,1,0,3,-0.1255889999999999,2.703443,2.829032,2.703443,2.829032,2,2,2.4917,Everton,0.3984,0.2562,0.3454
3,h,0.611959,1.12437,0.611959,1.12437,2,4,1,2,0.8426,l,2016-09-10 18:00:00,0,0,1,0,-0.5124110000000001,214,23,320,19,1,1,2,5,-0.102428,3.668913,3.771341000000001,3.668913,3.771341000000001,4,4,5.185199999999999,1,1,2,5,-0.102428,3.668913,3.771341000000001,3.668913,3.771341000000001,4,4,5.185199999999999,Crystal Palace,0.1752,0.317,0.5078,h,2.659,0.974014,1.89783,0.974014,12,8,1,1,2.4858,d,2016-08-27 18:00:00,0,1,0,1,0.923816,166,34,246,19,0,2,1,1,-0.669002,4.007005,3.914837,3.245835,3.914837,1,3,4.2875,0,2,1,1,-0.669002,4.007005,3.914837,3.245835,3.914837,1,3,4.2875,Bournemouth,0.7804,0.1446,0.075
4,a,0.178081,1.17467,0.178081,1.17467,1,8,1,3,0.3788999999999999,l,2016-09-17 20:30:00,0,0,1,0,-0.9965890000000002,341,36,315,13,1,2,2,5,-1.099017,3.846994,4.946011,3.846994,4.946011,5,7,5.564099999999999,1,2,2,5,-1.099017,3.846994,4.946011,3.846994,4.946011,5,7,5.564099999999999,Everton,0.0387,0.2628,0.6985,a,2.84526,1.0404,2.84526,1.0404,4,3,3,0,2.4921,w,2016-09-12 23:00:00,1,0,0,3,1.80486,122,25,390,23,3,0,1,10,2.661328,7.792643,4.370145000000001,7.031473,4.370145000000001,7,2,7.622599999999999,3,0,1,10,2.661328,7.792643,4.370145000000001,7.031473,4.370145000000001,7,2,7.622599999999999,Sunderland,0.7837,0.141,0.0753
5,h,0.361508,1.4158,0.361508,1.4158,0,12,1,2,0.4938,l,2016-09-24 18:00:00,0,0,1,0,-1.054292,276,40,230,23,1,3,2,5,-2.153309,4.208502,6.361811,4.208502,6.361811,6,9,6.057899999999999,1,3,1,4,-3.472913,2.4032720000000003,5.876185,2.4032720000000003,5.876185,5,8,3.53,Tottenham,0.0804,0.2526,0.667,h,2.52591,0.960821,2.52591,0.960821,10,2,1,0,2.4296,w,2016-09-18 19:30:00,1,0,0,3,1.565089,103,19,354,20,3,0,2,11,4.975324,9.266381,5.052227,9.266381,4.291057,8,2,9.6849,3,0,2,11,4.975324,9.266381,5.052227,9.266381,4.291057,8,2,9.6849,Sunderland,0.7549,0.1649,0.0802
6,a,0.852603,0.883385,0.852603,0.883385,2,3,1,1,1.3076,d,2016-10-01 18:00:00,0,1,0,1,-0.0307819999999999,179,24,300,26,1,3,3,6,-2.184091,5.061105,7.245196,5.061105,7.245196,7,10,7.365499999999999,0,3,2,2,-2.894103,2.400967,5.29507,2.400967,5.29507,4,8,3.9869,West Ham,0.3209,0.3449,0.3342,h,0.693818,2.97877,0.693818,2.97877,4,12,0,3,0.1738,l,2016-09-25 19:00:00,0,0,1,0,-2.284952,272,23,203,22,1,5,0,3,-3.4720949999999995,7.612532000000001,11.8458,6.851362000000001,10.323457,7,16,5.9758,1,4,0,3,-3.2185719999999995,7.166928,10.3855,6.4057580000000005,9.62433,6,14,5.5056,Southampton,0.0297,0.0847,0.8856
7,h,0.528576,0.0893749,0.528576,0.0893749,3,2,0,1,1.7502,l,2016-10-16 16:30:00,0,0,1,0,0.4392011,153,28,286,19,1,4,3,6,-1.7448899,5.589681000000001,7.3345709,5.589681000000001,7.3345709,7,11,9.1157,0,4,1,1,-2.1548729000000004,2.5327270000000004,4.6875999,2.5327270000000004,4.6875999,4,9,4.7731,Watford,0.3998,0.5508,0.0494,h,1.23419,1.35487,1.23419,1.35487,12,2,2,2,1.2661,d,2016-10-01 18:00:00,0,1,0,1,-0.1206800000000001,181,28,153,17,2,3,2,8,-1.713847,7.672490000000001,9.386342,6.911325000000001,8.625172,12,13,7.9789,2,2,1,7,-0.0051639999999999,6.687895,6.693064,5.92673,5.931894,10,10,6.8197,Bournemouth,0.326,0.2881,0.3859
8,a,1.55581,0.711811,1.55581,0.711811,0,13,0,0,2.1083,d,2016-10-22 18:00:00,0,1,0,1,0.8439989999999999,287,14,87,19,1,4,4,7,-0.9008909,7.145491000000001,8.0463819,7.145491000000001,8.0463819,7,11,11.223999999999998,0,3,2,2,-0.7984629000000003,3.476578,4.2750409000000005,3.476578,4.2750409000000005,3,7,6.0388,Arsenal,0.6201,0.248,0.1319,h,3.50519,1.74979,3.50519,1.74979,11,7,3,2,2.4,w,2016-10-15 18:00:00,1,0,0,3,1.7553999999999998,299,23,240,28,6,1,1,19,5.593575,16.284669,8.407582,13.239988,7.646412999999999,19,9,16.1313,5,0,0,15,6.67027,12.548479999999998,5.117039,11.026139999999998,4.35587,13,4,11.7494,Swansea,0.7551,0.1347,0.1102
9,h,1.44317,1.54599,1.44317,1.54599,6,14,2,0,1.2891,w,2016-10-29 18:00:00,1,0,0,3,-0.1028199999999999,235,24,208,21,2,4,4,10,-1.0037109,8.588661,9.5923719,8.588661,9.5923719,9,11,12.513099999999998,1,2,2,5,0.0953060999999999,4.7416670000000005,4.6463609,4.7416670000000005,4.6463609,4,4,6.949000000000001,Bournemouth,0.3335,0.2886,0.3779,h,0.523371,0.74529,0.523371,0.74529,3,11,0,0,1.0949,d,2016-10-22 15:30:00,0,1,0,1,-0.2219189999999999,281,25,153,28,3,3,3,12,-5.89543,8.763609000000002,14.659039,8.002438999999999,13.897869,12,12,8.2728,2,1,2,8,-1.7869820000000003,5.886827,6.912639,5.125657,6.912639,9,7,6.3154,Tottenham,0.2292,0.4073,0.3635
