,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.485626,1.80523,0.485626,1.80523,4,4,1,1,0.3097,d,2016-08-13 18:00:00,0,1,0,1,-1.319604,199,22,234,32,0,0,1,1,-1.319604,0.485626,1.80523,0.485626,1.80523,1,1,0.3097,0,0,1,1,-1.319604,0.485626,1.80523,0.485626,1.80523,1,1,0.3097,Middlesbrough,0.0491,0.1624,0.7885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,1.31066,2.17198,0.549491,1.41081,3,9,1,4,0.6835,l,2016-08-20 15:30:00,0,0,1,0,-0.861319,253,19,208,44,0,1,1,1,-2.180923,1.7962859999999998,3.97721,1.035117,3.21604,2,5,0.9932,0,1,1,1,-2.180923,1.7962859999999998,3.97721,1.035117,3.21604,2,5,0.9932,Manchester City,0.1427,0.2554,0.6019,h,1.95479,1.09877,1.19362,1.09877,11,4,2,1,2.0446,w,2016-08-13 20:30:00,1,0,0,3,0.0948499999999998,76,14,368,23,1,0,0,3,0.0948499999999998,1.95479,1.09877,1.19362,1.09877,2,1,2.0446,1,0,0,3,0.0948499999999998,1.95479,1.09877,1.19362,1.09877,2,1,2.0446,Sunderland,0.598,0.2506,0.1514
2,a,0.187415,2.31835,0.187415,1.55718,9,9,0,1,0.1101999999999999,l,2016-08-27 18:00:00,0,0,1,0,-1.369765,279,25,207,29,0,2,1,1,-3.550688,1.983701,6.29556,1.2225320000000002,4.773219999999999,2,6,1.1034,0,2,1,1,-3.550688,1.983701,6.29556,1.2225320000000002,4.773219999999999,2,6,1.1034,Everton,0.0108,0.0778,0.9114,a,1.83897,2.01885,1.83897,2.01885,8,7,2,1,1.2924,w,2016-08-20 18:00:00,1,0,0,3,-0.17988,136,28,321,27,1,0,1,4,-0.5132970000000001,2.629033,3.1423300000000003,2.629033,3.1423300000000003,3,2,2.3185,1,0,1,4,-0.5132970000000001,2.629033,3.1423300000000003,2.629033,3.1423300000000003,3,2,2.3185,West Bromwich Albion,0.3454,0.2562,0.3984
3,h,1.01771,2.77025,1.01771,2.77025,10,9,0,4,0.3444,l,2016-09-10 18:00:00,0,0,1,0,-1.75254,268,20,156,18,0,3,1,1,-5.303228,3.001411,9.06581,2.2402420000000003,7.543469999999999,2,10,1.4478,0,3,1,1,-5.303228,3.001411,9.06581,2.2402420000000003,7.543469999999999,2,10,1.4478,Tottenham,0.0711,0.1311,0.7978,h,0.590511,1.92569,0.590511,1.16452,3,11,1,1,0.372,d,2016-08-27 15:30:00,0,1,0,1,-0.574009,212,28,221,31,1,0,2,5,1.6576949999999997,3.970221,3.073696,3.970221,2.312526,3,2,4.7308,1,0,2,5,1.6576949999999997,3.970221,3.073696,3.970221,2.312526,3,2,4.7308,Liverpool,0.0672,0.1704,0.7624
4,a,1.20308,1.31366,1.20308,1.31366,3,3,1,4,1.2599999999999998,l,2016-09-18 17:15:00,0,0,1,0,-0.1105800000000001,285,32,175,29,0,4,1,1,-5.413808,4.204491,10.37947,3.443322,8.85713,3,14,2.7078,0,4,1,1,-5.413808,4.204491,10.37947,3.443322,8.85713,3,14,2.7078,Crystal Palace,0.3162,0.3114,0.3724,a,1.12437,0.611959,1.12437,0.611959,4,2,2,1,1.8404,w,2016-09-10 18:00:00,1,0,0,3,0.5124110000000001,320,19,214,23,1,2,1,4,-0.1565909999999999,5.131374999999999,4.526796,4.370205,4.526796,3,4,6.1279,1,2,1,4,-0.1565909999999999,5.131374999999999,4.526796,4.370205,4.526796,3,4,6.1279,Middlesbrough,0.5078,0.317,0.1752
5,h,0.979673,0.270862,0.979673,0.270862,4,3,1,1,2.0007,d,2016-09-24 18:00:00,0,1,0,1,0.7088110000000001,153,21,203,26,0,4,2,2,-4.704997,5.184164,10.650332,4.422995,9.127992,4,15,4.7085,0,4,1,1,-3.385393,4.698538,8.845101999999999,3.937369,7.322762,3,14,4.3988,West Bromwich Albion,0.548,0.3567,0.0953,h,1.94229,2.37422,1.18112,1.61305,2,10,4,2,1.1062999999999998,w,2016-09-17 18:00:00,1,0,0,3,-0.4319300000000001,366,19,131,29,2,2,1,7,0.2394689999999999,6.826048,6.586579,6.064878,5.825409,6,5,7.0051,2,2,1,7,0.2394689999999999,6.826048,6.586579,6.064878,5.825409,6,5,7.0051,West Ham,0.2819,0.2606,0.4575
6,a,1.20043,2.80988,1.20043,2.80988,6,11,1,1,0.3766,d,2016-10-02 15:00:00,0,1,0,1,-1.60945,274,13,122,29,0,4,3,3,-6.314447,6.384594,13.460212,5.623425,11.937872,5,16,5.0851,0,3,2,2,-4.133524,4.588308,9.483002,4.588308,8.721832000000001,3,11,4.0919,Manchester United,0.0709,0.1639,0.7652,h,2.45604,0.286966,2.45604,0.286966,11,11,4,1,2.8436,w,2016-09-24 15:30:00,1,0,0,3,2.169074,153,22,428,22,4,2,0,12,5.304617,10.62842,5.323801,9.867253,4.562636,12,7,12.0667,3,2,0,9,3.916414,8.717369999999999,4.800953999999999,7.956203,4.039789,9,6,9.5491,Leicester,0.9268,0.0632,0.01
7,h,2.29543,0.587572,2.29543,0.587572,12,6,2,0,2.5777,w,2016-10-15 18:00:00,1,0,0,3,1.707858,182,16,271,19,1,4,3,6,-4.606589,8.680024,14.047783999999998,7.918855000000001,12.525443999999998,7,16,7.662799999999999,1,2,2,5,-1.0559010000000002,6.696323,7.752224,6.696323,7.752224,5,10,6.5594,Sunderland,0.814,0.1357,0.0503,h,1.19268,0.88211,1.19268,0.88211,8,7,1,1,1.6782,d,2016-10-01 18:00:00,0,1,0,1,0.31057,166,22,200,10,0,5,2,2,-2.8022590000000003,8.663161,11.465421,7.901992000000001,10.704251,6,13,8.3429,0,3,2,2,-3.3170010000000003,6.099891,8.655723000000002,5.338722,8.655723000000002,4,9,5.7845,West Bromwich Albion,0.4588,0.3018,0.2394
8,a,1.04273,0.701606,1.04273,0.701606,6,7,2,0,1.6251,w,2016-10-22 18:00:00,1,0,0,3,0.341124,257,22,264,29,2,4,3,9,-4.265465,9.722754,14.749389999999998,8.961585000000001,13.227049999999998,9,16,9.2879,2,1,2,8,1.037763,6.721343,5.68358,6.721343,5.68358,7,6,7.8401,Hull,0.4323,0.3282,0.2395,a,0.388589,2.92532,0.388589,2.16415,1,11,1,6,0.1018,l,2016-10-15 18:00:00,0,0,1,0,-1.7755609999999995,283,17,269,36,2,5,1,7,-10.787748,5.89099,19.723409,5.129821,15.917569,8,20,4.7918,0,4,1,1,-8.674571,2.6956070000000003,13.653679,1.934438,10.609009,4,18,2.2221999999999995,Bournemouth,0.0129,0.0631,0.924
9,h,2.16407,1.10058,2.16407,1.10058,10,4,3,1,2.1675,w,2016-11-01 00:00:00,1,0,0,3,1.0634900000000005,269,15,189,24,3,4,3,12,-3.201975,11.886824,15.84997,11.125655000000002,14.32763,12,17,11.4554,3,0,2,11,2.2118330000000004,7.682333,5.4705,7.682333,5.4705,9,3,8.7476,Swansea,0.6496,0.2187,0.1317,h,1.33215,0.478578,1.33215,0.478578,5,6,0,0,2.1413,d,2016-10-22 18:00:00,0,1,0,1,0.853572,219,29,214,27,1,6,2,5,-5.239086,11.762791000000002,18.641078,11.001622,16.240707999999998,8,15,8.606300000000001,0,4,1,1,-1.871057,7.341981,10.735378,7.341981,9.213038,4,9,5.2054,Watford,0.6242,0.2687,0.1071
