,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,1.09877,1.95479,1.09877,1.19362,4,11,1,2,0.7048000000000001,l,2016-08-13 20:30:00,0,0,1,0,-0.0948499999999998,368,23,76,14,0,1,0,0,-0.0948499999999998,1.09877,1.95479,1.09877,1.19362,1,2,0.7048000000000001,0,1,0,0,-0.0948499999999998,1.09877,1.95479,1.09877,1.19362,1,2,0.7048000000000001,Manchester City,0.1514,0.2506,0.598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,1.4645,0.854908,1.4645,0.854908,12,6,1,2,1.8536,l,2016-08-21 16:30:00,0,0,1,0,0.6095919999999999,289,29,188,32,0,2,0,0,0.514742,2.56327,2.809698,2.56327,2.048528,2,4,2.5584,0,2,0,0,0.514742,2.56327,2.809698,2.56327,2.048528,2,4,2.5584,Middlesbrough,0.5193,0.2957,0.185,h,1.80523,0.485626,1.80523,0.485626,4,4,1,1,2.5279,d,2016-08-13 18:00:00,0,1,0,1,1.319604,234,32,199,22,0,0,1,1,1.319604,1.80523,0.485626,1.80523,0.485626,1,1,2.5279,0,0,1,1,1.319604,1.80523,0.485626,1.80523,0.485626,1,1,2.5279,Stoke,0.7885,0.1624,0.0491
2,a,1.39142,0.613743,0.630251,0.613743,7,4,1,1,2.1223,d,2016-08-27 18:00:00,0,1,0,1,0.0165079999999999,258,17,111,19,0,2,1,1,0.53125,3.95469,3.423441,3.193521,2.662271,3,5,4.6807,0,2,1,1,0.53125,3.95469,3.423441,3.193521,2.662271,3,5,4.6807,Southampton,0.6217,0.2572,0.1211,a,0.613233,1.36553,0.613233,0.604363,8,9,0,2,0.6519,l,2016-08-19 23:00:00,0,0,1,0,0.00887,213,31,258,15,0,1,1,1,0.766152,1.550561,1.5455759999999998,1.550561,0.784409,1,3,2.6711,0,1,1,1,0.766152,1.550561,1.5455759999999998,1.550561,0.784409,1,3,2.6711,Manchester United,0.1269,0.2712,0.6019
3,h,1.0404,2.84526,1.0404,2.84526,3,4,0,3,0.3669,l,2016-09-12 23:00:00,0,0,1,0,-1.80486,390,23,122,25,0,3,1,1,-1.27361,4.99509,6.268701,4.2339210000000005,5.507531,3,8,5.0476,0,3,1,1,-1.27361,4.99509,6.268701,4.2339210000000005,5.507531,3,8,5.0476,Everton,0.0753,0.141,0.7837,h,2.31835,0.187415,1.55718,0.187415,9,9,1,0,2.812,w,2016-08-27 18:00:00,1,0,0,3,1.369765,207,29,279,25,2,0,1,7,0.856468,4.947383,3.3297450000000004,4.186213,3.3297450000000004,4,2,5.1305,2,0,1,7,0.856468,4.947383,3.3297450000000004,4.186213,3.3297450000000004,4,2,5.1305,Stoke,0.9114,0.0778,0.0108
4,a,0.960821,2.52591,0.960821,2.52591,2,10,0,1,0.4054999999999999,l,2016-09-18 19:30:00,0,0,1,0,-1.565089,354,20,103,19,0,4,1,1,-2.838699,5.955911,8.794611,5.194742000000001,8.033441,3,9,5.4531,0,4,1,1,-2.838699,5.955911,8.794611,5.194742000000001,8.033441,3,9,5.4531,Tottenham,0.0802,0.1649,0.7549,a,2.77025,1.01771,2.77025,1.01771,9,10,4,0,2.5245,w,2016-09-10 18:00:00,1,0,0,3,1.75254,156,18,268,20,2,0,2,8,3.410235,6.740471,4.091406,6.740471,3.330236,7,2,7.2553,2,0,2,8,3.410235,6.740471,4.091406,6.740471,3.330236,7,2,7.2553,Stoke,0.7978,0.1311,0.0711
5,h,1.51457,1.7887,1.51457,1.7887,7,6,2,3,1.2116,l,2016-09-24 18:00:00,0,0,1,0,-0.27413,249,24,160,17,0,5,1,1,-3.112829,7.470481,10.583311,6.709312000000001,9.822141,5,12,6.6647,0,4,1,1,-3.017979,6.371711,8.628521000000001,5.610542,8.628521000000001,4,10,5.9599,Crystal Palace,0.3215,0.2471,0.4314,h,1.31366,1.20308,1.31366,1.20308,3,3,4,1,1.4286,w,2016-09-18 17:15:00,1,0,0,3,0.1105800000000001,175,29,285,32,2,2,1,7,-0.0460109999999998,6.445034999999999,5.729876,5.683865000000001,5.729876,7,5,7.5565,2,2,1,7,-0.0460109999999998,6.445034999999999,5.729876,5.683865000000001,5.729876,7,5,7.5565,Stoke,0.3724,0.3114,0.3162
6,h,1.19268,0.88211,1.19268,0.88211,8,7,1,1,1.6782,d,2016-10-01 18:00:00,0,1,0,1,0.31057,166,22,200,10,0,5,2,2,-2.8022590000000003,8.663161,11.465421,7.901992000000001,10.704251,6,13,8.3429,0,3,2,2,-3.3170010000000003,6.099891,8.655723000000002,5.338722,8.655723000000002,4,9,5.7845,West Bromwich Albion,0.4588,0.3018,0.2394,a,0.270862,0.979673,0.270862,0.979673,3,4,1,1,0.6426000000000001,d,2016-09-24 18:00:00,0,1,0,1,-0.7088110000000001,203,26,153,21,2,2,2,8,-0.4693420000000001,7.09691,7.566251999999999,6.33574,6.805082,7,6,7.647699999999999,1,2,2,5,-0.1638730000000001,6.412317000000001,6.57619,5.651147000000001,5.8150200000000005,6,6,6.607399999999999,Stoke,0.0953,0.3567,0.548
7,a,0.587572,2.29543,0.587572,2.29543,6,12,0,2,0.2865999999999999,l,2016-10-15 18:00:00,0,0,1,0,-1.707858,271,19,182,16,0,6,2,2,-4.510117,9.250733,13.760851,8.489564000000001,12.999681,6,15,8.6295,0,4,1,1,-5.041367,5.296043,10.337409999999998,5.296043,10.337409999999998,3,10,3.9488,Stoke,0.0503,0.1357,0.814,a,1.20043,2.80988,1.20043,2.80988,6,11,1,1,0.3766,d,2016-10-02 15:00:00,0,1,0,1,-1.60945,274,13,122,29,0,4,3,3,-6.314447,6.384594,13.460212,5.623425,11.937872,5,16,5.0851,0,3,2,2,-4.133524,4.588308,9.483002,4.588308,8.721832000000001,3,11,4.0919,Manchester United,0.0709,0.1639,0.7652
8,a,0.808339,1.19585,0.808339,1.19585,3,8,0,1,1.0286,l,2016-10-22 18:00:00,0,0,1,0,-0.387511,264,21,141,25,0,7,2,2,-4.897628,10.059072,14.956701,9.297903000000002,14.195531,6,16,9.6581,0,4,1,1,-3.624018,5.063982,8.688,5.063982,8.688,3,8,4.6105,West Ham,0.2396,0.3098,0.4506,a,0.874219,1.94599,0.874219,1.18482,4,3,1,0,0.5341,w,2016-10-15 20:30:00,1,0,0,3,-0.310601,256,32,177,15,2,5,1,7,-3.751914,9.370136,14.644393,8.608966,12.360880000000002,9,17,7.8574,1,3,1,4,-2.665471,6.147802,9.574443,5.386632,8.052103,6,12,4.6683,Crystal Palace,0.1081,0.2098,0.6821
9,h,0.853434,2.48348,0.0922651,2.48348,1,12,1,4,0.2735,l,2016-10-29 15:30:00,0,0,1,0,-2.3912149,321,23,133,21,0,8,2,2,-7.288842900000001,10.912506,17.440181,9.390168100000002,16.679011,7,20,9.9316,0,4,1,1,-4.4501439000000005,4.956595,8.64557,4.1954261,8.64557,4,11,4.4785,Arsenal,0.0371,0.1622,0.8007,h,0.711811,1.55581,0.711811,1.55581,13,0,0,0,0.6436999999999999,d,2016-10-22 18:00:00,0,1,0,1,-0.8439989999999999,87,19,287,14,6,1,2,20,4.749575999999999,16.996480000000002,9.963392,13.951799,9.202222999999998,19,9,16.775,4,0,1,13,5.870470999999999,11.368101,5.497629,10.606931,4.73646,11,3,10.4754,Middlesbrough,0.1319,0.248,0.6201
