,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.684593,0.990062,0.684593,0.990062,5,4,1,0,1.0403,w,2016-08-13 18:00:00,1,0,0,3,-0.305469,184,26,98,23,1,0,0,3,-0.305469,0.684593,0.990062,0.684593,0.990062,1,0,1.0403,1,0,0,3,-0.305469,0.684593,0.990062,0.684593,0.990062,1,0,1.0403,Crystal Palace,0.2349,0.3356,0.4295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,2.01885,1.83897,2.01885,1.83897,7,8,1,2,1.4513999999999998,l,2016-08-20 18:00:00,0,0,1,0,0.17988,321,27,136,28,1,1,0,3,-0.1255889999999999,2.703443,2.829032,2.703443,2.829032,2,2,2.4917,1,1,0,3,-0.1255889999999999,2.703443,2.829032,2.703443,2.829032,2,2,2.4917,Everton,0.3984,0.2562,0.3454,h,0.790063,1.12348,0.790063,1.12348,5,8,1,1,1.0261,d,2016-08-13 18:00:00,0,1,0,1,-0.3334170000000001,230,31,184,34,0,0,1,1,-0.3334170000000001,0.790063,1.12348,0.790063,1.12348,1,1,1.0261,0,0,1,1,-0.3334170000000001,0.790063,1.12348,0.790063,1.12348,1,1,1.0261,Tottenham,0.2313,0.3322,0.4365
2,h,0.696845,0.396816,0.696845,0.396816,5,4,0,0,1.5925,d,2016-08-28 16:30:00,0,1,0,1,0.300029,322,18,175,26,1,1,1,4,0.1744400000000001,3.400288,3.225848,3.400288,3.225848,2,2,4.0842,1,1,1,4,0.1744400000000001,3.400288,3.225848,3.400288,3.225848,2,2,4.0842,Middlesbrough,0.383,0.4435,0.1735,a,0.854908,1.4645,0.854908,1.4645,6,12,2,1,0.8507,w,2016-08-21 16:30:00,1,0,0,3,-0.6095919999999999,188,32,289,29,1,0,1,4,0.7100120000000001,2.660138,1.950126,2.660138,1.950126,3,2,3.3786,1,0,1,4,0.7100120000000001,2.660138,1.950126,2.660138,1.950126,3,2,3.3786,Sunderland,0.185,0.2957,0.5193
3,a,1.48347,0.986511,1.48347,0.986511,4,8,0,1,1.8146,l,2016-09-10 18:00:00,0,0,1,0,0.496959,224,21,130,19,1,2,1,4,0.6713990000000001,4.883758,4.212358999999999,4.883758,4.212358999999999,2,3,5.8988,1,2,1,4,0.6713990000000001,4.883758,4.212358999999999,4.883758,4.212358999999999,2,3,5.8988,Bournemouth,0.5092,0.287,0.2038,a,0.974014,2.659,0.974014,1.89783,8,12,1,1,0.3696,d,2016-08-27 18:00:00,0,1,0,1,-0.923816,246,19,166,34,0,2,1,1,-3.611489,1.890271,6.26293,1.890271,5.50176,2,5,1.059,0,2,1,1,-3.611489,1.890271,6.26293,1.890271,5.50176,2,5,1.059,Crystal Palace,0.075,0.1446,0.7804
4,h,1.94229,2.37422,1.18112,1.61305,2,10,4,2,1.1062999999999998,w,2016-09-17 18:00:00,1,0,0,3,-0.4319300000000001,366,19,131,29,2,2,1,7,0.2394689999999999,6.826048,6.586579,6.064878,5.825409,6,5,7.0051,2,2,1,7,0.2394689999999999,6.826048,6.586579,6.064878,5.825409,6,5,7.0051,West Ham,0.2819,0.2606,0.4575,h,1.32216,1.85479,1.32216,1.85479,5,6,2,4,0.9798,l,2016-09-10 18:00:00,0,0,1,0,-0.5326299999999999,158,29,254,21,1,3,0,3,-1.619073,4.544494,6.92474,4.544494,6.1635670000000005,5,9,4.168900000000001,1,3,0,3,-1.619073,4.544494,6.92474,4.544494,6.1635670000000005,5,9,4.168900000000001,Watford,0.2437,0.2487,0.5076
5,a,0.270862,0.979673,0.270862,0.979673,3,4,1,1,0.6426000000000001,d,2016-09-24 18:00:00,0,1,0,1,-0.7088110000000001,203,26,153,21,2,2,2,8,-0.4693420000000001,7.09691,7.566251999999999,6.33574,6.805082,7,6,7.647699999999999,1,2,2,5,-0.1638730000000001,6.412317000000001,6.57619,5.651147000000001,5.8150200000000005,6,6,6.607399999999999,Stoke,0.0953,0.3567,0.548,a,1.20308,1.31366,1.20308,1.31366,3,3,1,4,1.2599999999999998,l,2016-09-18 17:15:00,0,0,1,0,-0.1105800000000001,285,32,175,29,0,4,1,1,-5.413808,4.204491,10.37947,3.443322,8.85713,3,14,2.7078,0,4,1,1,-5.413808,4.204491,10.37947,3.443322,8.85713,3,14,2.7078,Crystal Palace,0.3162,0.3114,0.3724
6,a,0.88211,1.19268,0.88211,1.19268,7,8,1,1,1.02,d,2016-10-01 18:00:00,0,1,0,1,-0.31057,200,10,166,22,2,2,3,9,-0.7799120000000002,7.97902,8.758932,7.21785,7.997762,8,7,8.6677,1,1,3,6,-0.6543230000000002,5.275577,5.929900000000001,4.514407,5.16873,6,5,6.176,Sunderland,0.2394,0.3018,0.4588,h,1.51457,1.7887,1.51457,1.7887,7,6,2,3,1.2116,l,2016-09-24 18:00:00,0,0,1,0,-0.27413,249,24,160,17,0,5,1,1,-3.112829,7.470481,10.583311,6.709312000000001,9.822141,5,12,6.6647,0,4,1,1,-3.017979,6.371711,8.628521000000001,5.610542,8.628521000000001,4,10,5.9599,Crystal Palace,0.3215,0.2471,0.4314
7,h,1.30365,1.32318,1.30365,1.32318,2,13,1,1,1.3973,d,2016-10-15 18:00:00,0,1,0,1,-0.01953,325,21,80,19,2,2,4,10,-0.7994420000000002,9.28267,10.082112,8.5215,9.320942,9,8,10.065,1,1,3,6,-0.9738820000000002,5.882382000000001,6.856264,5.121212,6.095094,7,6,5.980799999999999,Tottenham,0.3671,0.296,0.3369,h,1.69975,0.909513,0.938577,0.909513,2,13,2,0,2.0314,w,2016-10-02 17:15:00,1,0,0,3,0.0290639999999999,260,44,157,22,5,0,2,17,6.05868,12.381931,6.323248,11.620758,5.562078,12,3,13.9699,4,0,1,13,3.826976,9.002221,5.175241999999999,8.241048,4.414072,10,2,9.6111,Manchester City,0.5923,0.2545,0.1532
8,a,0.685982,2.2952,0.685982,2.2952,4,13,1,2,0.3777,l,2016-10-22 20:30:00,0,0,1,0,-1.6092179999999998,366,20,138,17,2,3,4,10,-2.40866,9.968652,12.377312,9.207482,11.616142,10,10,10.4427,1,1,3,6,-3.0800590000000003,5.084894,8.164953,4.323724,7.403783000000001,8,7,4.5439,Liverpool,0.0685,0.1722,0.7593,h,0.270441,0.537762,0.270441,0.537762,10,1,0,0,0.9191,d,2016-10-17 23:00:00,0,1,0,1,-0.267321,149,33,351,38,5,1,2,17,5.654879,15.651356,7.712978,12.606686,6.951807,18,10,14.9715,4,0,1,13,3.1010800000000005,11.127541,5.742961,8.844040999999999,5.742961,13,4,8.7659,Manchester United,0.1417,0.494,0.3643
9,h,0.596605,2.48018,0.596605,2.48018,3,13,0,4,0.2733,l,2016-10-29 18:00:00,0,0,1,0,-1.883575,389,24,169,22,2,4,4,10,-4.292235,10.565257,14.857492,9.804087,14.096322,10,14,10.716,0,2,3,3,-4.531704,3.739209,8.270913,3.739209,8.270913,4,9,3.7109,Manchester City,0.0479,0.1296,0.8225,h,1.15321,0.563752,1.15321,0.563752,11,4,1,1,1.8629,d,2016-10-23 16:30:00,0,1,0,1,0.589458,145,23,297,27,6,1,2,20,9.253553,19.949063,8.412042,16.143253,6.8897,20,9,19.6109,2,1,2,8,5.288244000000001,10.719173,3.908632,8.435703,3.147459,9,5,10.8469,Southampton,0.5138,0.3215,0.1647
