,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.445604,1.4603,0.445604,0.699127,3,7,1,2,0.4701999999999999,l,2016-08-15 23:00:00,0,0,1,0,-0.253523,333,28,213,34,0,1,0,0,-0.253523,0.445604,1.4603,0.445604,0.699127,1,2,0.4701999999999999,0,1,0,0,-0.253523,0.445604,1.4603,0.445604,0.699127,1,2,0.4701999999999999,Chelsea,0.078,0.2362,0.6858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,1.69288,0.39341,1.69288,0.39341,13,7,1,0,2.4378,w,2016-08-21 19:00:00,1,0,0,3,1.29947,253,34,172,23,1,1,0,3,1.045947,2.138484,1.85371,2.138484,1.092537,2,2,2.9080000000000004,1,1,0,3,1.045947,2.138484,1.85371,2.138484,1.092537,2,2,2.9080000000000004,Bournemouth,0.7472,0.1962,0.0566,h,0.522847,1.91105,0.522847,1.91105,3,4,1,3,0.3234,l,2016-08-14 16:30:00,0,0,1,0,-1.388203,351,24,263,25,0,1,0,0,-1.388203,0.522847,1.91105,0.522847,1.91105,1,3,0.3234,0,1,0,0,-1.388203,0.522847,1.91105,0.522847,1.91105,1,3,0.3234,Manchester United,0.0548,0.159,0.7862
2,a,1.08385,3.21624,1.08385,3.21624,0,18,1,3,0.2811,l,2016-08-28 19:00:00,0,0,1,0,-2.13239,354,26,146,26,1,2,0,3,-1.086443,3.222334,5.06995,3.222334,4.308777,3,5,3.1891000000000003,1,2,0,3,-1.086443,3.222334,5.06995,3.222334,4.308777,3,5,3.1891000000000003,Manchester City,0.0558,0.1137,0.8305,a,2.17198,1.31066,1.41081,0.549491,9,3,4,1,2.0611,w,2016-08-20 15:30:00,1,0,0,3,0.861319,208,44,253,19,2,0,0,6,0.9561689999999998,4.1267700000000005,2.40943,2.60443,1.648261,6,2,4.1057,2,0,0,6,0.9561689999999998,4.1267700000000005,2.40943,2.60443,1.648261,6,2,4.1057,Stoke,0.6019,0.2554,0.1427
3,h,1.32216,1.85479,1.32216,1.85479,5,6,2,4,0.9798,l,2016-09-10 18:00:00,0,0,1,0,-0.5326299999999999,158,29,254,21,1,3,0,3,-1.619073,4.544494,6.92474,4.544494,6.1635670000000005,5,9,4.168900000000001,1,3,0,3,-1.619073,4.544494,6.92474,4.544494,6.1635670000000005,5,9,4.168900000000001,Watford,0.2437,0.2487,0.5076,h,1.07775,2.03271,1.07775,1.27154,8,11,1,3,0.6309,l,2016-08-27 18:00:00,0,0,1,0,-0.1937899999999999,286,29,204,29,0,2,1,1,-1.902473,2.062345,4.725987999999999,2.062345,3.964818,3,6,1.7901,0,2,1,1,-1.902473,2.062345,4.725987999999999,2.062345,3.964818,3,6,1.7901,Arsenal,0.1375,0.2184,0.6441
4,a,2.37422,1.94229,1.61305,1.18112,10,2,2,4,1.6331,l,2016-09-17 18:00:00,0,0,1,0,0.4319300000000001,131,29,366,19,1,4,0,3,-1.1871429999999998,6.9187140000000005,8.86703,6.157544000000001,7.344687,7,13,5.8020000000000005,1,4,0,3,-1.1871429999999998,6.9187140000000005,8.86703,6.157544000000001,7.344687,7,13,5.8020000000000005,West Bromwich Albion,0.4575,0.2606,0.2819,a,1.48347,0.986511,1.48347,0.986511,4,8,0,1,1.8146,l,2016-09-10 18:00:00,0,0,1,0,0.496959,224,21,130,19,1,2,1,4,0.6713990000000001,4.883758,4.212358999999999,4.883758,4.212358999999999,2,3,5.8988,1,2,1,4,0.6713990000000001,4.883758,4.212358999999999,4.883758,4.212358999999999,2,3,5.8988,Bournemouth,0.5092,0.287,0.2038
5,h,0.693818,2.97877,0.693818,2.97877,4,12,0,3,0.1738,l,2016-09-25 19:00:00,0,0,1,0,-2.284952,272,23,203,22,1,5,0,3,-3.4720949999999995,7.612532000000001,11.8458,6.851362000000001,10.323457,7,16,5.9758,1,4,0,3,-3.2185719999999995,7.166928,10.3855,6.4057580000000005,9.62433,6,14,5.5056,Southampton,0.0297,0.0847,0.8856,h,2.15218,0.490661,2.15218,0.490661,7,4,1,0,2.5410000000000004,w,2016-09-18 17:15:00,1,0,0,3,1.661519,213,25,237,14,1,2,2,5,2.455363,5.491704,5.319847,5.491704,3.036341,4,6,6.6526000000000005,1,2,2,5,2.455363,5.491704,5.319847,5.491704,3.036341,4,6,6.6526000000000005,Swansea,0.7973,0.1491,0.0536
6,h,0.883385,0.852603,0.883385,0.852603,3,2,1,1,1.3475,d,2016-10-01 18:00:00,0,1,0,1,0.0307819999999999,300,26,179,24,1,5,1,4,-3.441313,8.495917,12.698403,7.734747,11.17606,8,17,7.323300000000001,0,4,1,1,-4.487259999999999,6.357433,10.844693,5.596263,10.083523,6,15,4.4153,Middlesbrough,0.3342,0.3449,0.3209,h,0.361508,1.4158,0.361508,1.4158,0,12,1,2,0.4938,l,2016-09-24 18:00:00,0,0,1,0,-1.054292,276,40,230,23,1,3,2,5,-2.153309,4.208502,6.361811,4.208502,6.361811,6,9,6.057899999999999,1,3,1,4,-3.472913,2.4032720000000003,5.876185,2.4032720000000003,5.876185,5,8,3.53,Tottenham,0.0804,0.2526,0.667
7,a,0.874219,1.94599,0.874219,1.18482,4,3,1,0,0.5341,w,2016-10-15 20:30:00,1,0,0,3,-0.310601,256,32,177,15,2,5,1,7,-3.751914,9.370136,14.644393,8.608966,12.360880000000002,9,17,7.8574,1,3,1,4,-2.665471,6.147802,9.574443,5.386632,8.052103,6,12,4.6683,Crystal Palace,0.1081,0.2098,0.6821,a,0.47692,1.1542,0.47692,1.1542,6,8,1,1,0.7153,d,2016-09-30 23:00:00,0,1,0,1,-0.6772799999999999,179,16,127,25,3,2,2,11,-0.4491609999999997,8.710655,8.398646,7.949485000000001,8.398646,11,8,9.8131,3,0,2,11,1.143657,7.36265,5.457822999999999,6.6014800000000005,5.457822999999999,11,6,8.011399999999998,Everton,0.1361,0.307,0.5569
8,h,1.19585,0.808339,1.19585,0.808339,8,3,1,0,1.6616,w,2016-10-22 18:00:00,1,0,0,3,0.387511,141,25,264,21,3,5,1,10,-3.364403,10.565986,15.452732,9.804816,13.169219000000002,10,17,9.519,2,2,1,7,-1.7453299999999996,6.021492,8.527992,5.260322,7.005652,5,8,5.350099999999999,Sunderland,0.4506,0.3098,0.2396,a,0.587572,2.29543,0.587572,2.29543,6,12,0,2,0.2865999999999999,l,2016-10-15 18:00:00,0,0,1,0,-1.707858,271,19,182,16,0,6,2,2,-4.510117,9.250733,13.760851,8.489564000000001,12.999681,6,15,8.6295,0,4,1,1,-5.041367,5.296043,10.337409999999998,5.296043,10.337409999999998,3,10,3.9488,Stoke,0.0503,0.1357,0.814
9,a,0.944816,2.0087,0.944816,2.0087,6,5,0,2,0.6109,l,2016-10-30 17:30:00,0,0,1,0,-1.0638840000000005,218,20,247,21,3,6,1,10,-4.428287,11.510802,17.461432000000002,10.749632,15.177919000000005,10,19,10.1299,2,2,1,7,-3.241144,4.592088,8.594402,4.592088,7.833232000000001,3,6,4.3279,Everton,0.1332,0.2113,0.6555,a,0.752795,0.905579,0.752795,0.905579,5,2,1,2,1.1068000000000002,l,2016-10-22 18:00:00,0,0,1,0,-0.152784,143,16,284,32,4,2,3,15,3.620777,12.176046,9.316399,11.414876,7.794099000000001,13,8,14.887999999999998,1,2,2,5,0.959449,4.383403,4.946254000000001,4.383403,3.423954,6,6,7.2654,Burnley,0.2503,0.3559,0.3938
