,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.564237,1.35651,0.564237,1.35651,3,4,3,2,0.6622999999999999,w,2017-08-12 15:00:00,1,0,0,3,-0.7922730000000001,285,12,179,18,1,0,0,3,-0.7922730000000001,0.564237,1.35651,0.564237,1.35651,3,2,0.6622999999999999,1,0,0,3,-0.7922730000000001,0.564237,1.35651,0.564237,1.35651,3,2,0.6622999999999999,Chelsea,0.1261,0.284,0.5899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,1.37242,0.653058,1.37242,0.653058,4,0,0,1,1.9653,l,2017-08-19 15:00:00,0,0,1,0,0.719362,88,16,266,19,1,1,0,3,-0.0729110000000001,1.936657,2.009568,1.936657,2.009568,3,3,2.6276,1,1,0,3,-0.0729110000000001,1.936657,2.009568,1.936657,2.009568,3,3,2.6276,West Bromwich Albion,0.5629,0.2766,0.1605,h,1.18399,0.378659,1.18399,0.378659,6,6,1,0,2.0681000000000003,w,2017-08-12 15:00:00,1,0,0,3,0.805331,313,18,96,8,1,0,0,3,0.805331,1.18399,0.378659,1.18399,0.378659,1,0,2.0681000000000003,1,0,0,3,0.805331,1.18399,0.378659,1.18399,0.378659,1,0,2.0681000000000003,Bournemouth,0.5875,0.3056,0.1069
2,a,0.670943,2.3497,0.670943,2.3497,5,15,1,1,0.3530999999999999,d,2017-08-27 16:00:00,0,1,0,1,-1.678757,319,18,145,21,1,1,1,4,-1.7516680000000002,2.6076,4.359268,2.6076,4.359268,4,4,2.9807,1,1,1,4,-1.7516680000000002,2.6076,4.359268,2.6076,4.359268,4,4,2.9807,Tottenham,0.0672,0.1515,0.7813,h,0.72428,0.834423,0.72428,0.834423,8,2,1,2,1.2090999999999998,l,2017-08-20 16:00:00,0,0,1,0,-0.1101429999999999,151,18,325,23,1,1,0,3,1.5994040000000005,3.06846,1.469056,3.06846,1.469056,3,2,3.7842,1,1,0,3,1.5994040000000005,3.06846,1.469056,3.06846,1.469056,3,2,3.7842,Chelsea,0.2838,0.3577,0.3585
3,h,0.429329,1.72996,0.429329,1.72996,2,8,1,0,0.3872,w,2017-09-10 13:30:00,1,0,0,3,-1.300631,209,26,108,23,2,1,1,7,-3.052299,3.036929,6.089228,3.036929,6.089228,5,4,3.3679,2,1,1,7,-3.052299,3.036929,6.089228,3.036929,6.089228,5,4,3.3679,Crystal Palace,0.0627,0.1991,0.7382,h,0.818951,0.966783,0.818951,0.966783,8,1,0,2,1.1777,l,2017-08-26 15:00:00,0,0,1,0,-0.1478319999999999,291,19,288,12,0,3,0,0,-3.017884,2.5352490000000003,5.553132999999999,2.5352490000000003,5.553132999999999,0,6,2.0915,0,3,0,0,-3.017884,2.5352490000000003,5.553132999999999,2.5352490000000003,5.553132999999999,0,6,2.0915,Swansea,0.2811,0.3344,0.3845
4,a,0.334402,2.18727,0.334402,2.18727,0,19,1,1,0.1813,d,2017-09-16 15:00:00,0,1,0,1,-1.852868,367,18,145,11,2,1,2,8,-4.9051670000000005,3.371331,8.276498,3.371331,8.276498,6,5,3.5492,2,1,2,8,-4.9051670000000005,3.371331,8.276498,3.371331,8.276498,6,5,3.5492,Liverpool,0.0238,0.1099,0.8663,a,0.665186,3.14589,0.665186,3.14589,3,9,0,5,0.14,l,2017-09-09 12:30:00,0,0,1,0,-2.480704,534,11,213,23,2,1,1,7,2.294726,9.590436,6.53454,8.829266,6.53454,8,8,7.395700000000001,2,1,1,7,2.294726,9.590436,6.53454,8.829266,6.53454,8,8,7.395700000000001,Manchester City,0.0228,0.0716,0.9056
5,h,0.369454,0.312561,0.369454,0.312561,2,2,0,0,1.3209,d,2017-09-23 15:00:00,0,1,0,1,0.056893,230,17,246,20,2,1,3,9,-4.848274000000001,3.740785,8.589059,3.740785,8.589059,6,5,4.8701,1,1,3,6,-4.056001,3.176548,7.232549,3.176548,7.232549,3,3,4.2078,Huddersfield,0.2589,0.5442,0.1969,h,0.700349,1.24181,0.700349,0.480681,3,5,1,1,0.8007,d,2017-09-16 15:00:00,0,1,0,1,0.2196679999999999,183,13,234,15,2,1,2,8,-0.6292230000000002,4.559315,5.949667000000001,4.559315,5.188538,5,3,5.5622,2,1,2,8,-0.6292230000000002,4.559315,5.949667000000001,4.559315,5.188538,5,3,5.5622,Leicester,0.1671,0.2994,0.5335
6,a,0.383977,0.93376,0.383977,0.93376,6,18,1,0,0.8124,w,2017-10-01 14:15:00,1,0,0,3,-0.549783,242,15,122,14,3,1,3,12,-5.3980570000000005,4.124762,9.522819,4.124762,9.522819,7,5,5.6825,2,0,3,9,-5.325146,2.188105,7.513250999999999,2.188105,7.513250999999999,4,2,3.0549,Everton,0.1484,0.3672,0.4844,h,2.21092,0.384728,2.21092,0.384728,12,6,2,1,2.7649000000000004,w,2017-09-23 15:00:00,1,0,0,3,1.8261920000000005,208,23,210,16,2,3,1,7,-1.602359,6.072279,8.435808000000002,6.072279,7.674638000000001,4,11,6.903700000000001,1,3,1,4,-2.046493,5.351705,8.159368,5.351705,7.398198,3,11,5.139,Bournemouth,0.8918,0.0895,0.0187
7,h,0.70219,0.835192,0.70219,0.835192,11,4,1,1,1.1422,d,2017-10-14 15:00:00,0,1,0,1,-0.133002,120,18,224,17,3,1,4,13,-5.531059000000001,4.826952,10.358011,4.826952,10.358011,8,6,6.8247,2,0,3,9,-3.779391,2.219352,5.998743,2.219352,5.998743,4,2,3.844,West Ham,0.2578,0.3688,0.3734,h,0.692185,0.178568,0.692185,0.178568,0,0,1,0,1.8496,w,2017-09-30 15:00:00,1,0,0,3,0.513617,309,27,200,24,2,4,1,7,-2.470127,6.302603,10.295067,6.302603,8.77273,7,13,7.236899999999999,2,2,1,7,-1.3707640000000003,4.143373,5.514137000000001,4.143373,5.514137000000001,5,6,6.1275,Swansea,0.4668,0.4492,0.084
8,a,0.14859,3.71812,0.14859,2.95695,4,13,0,3,0.0139,l,2017-10-21 15:00:00,0,0,1,0,-2.80836,523,25,102,18,3,2,4,13,-8.339419000000001,4.975541999999999,14.076131,4.975541999999999,13.314961,8,9,6.8386,1,1,3,6,-5.28712,1.938613,7.986903,1.938613,7.225733,3,5,3.4707,Manchester City,0.0009,0.0112,0.9879,h,4.45388,0.681236,4.45388,0.681236,19,2,7,2,2.9608000000000003,w,2017-10-14 15:00:00,1,0,0,3,3.772644,125,24,586,8,7,0,1,22,17.59977,23.3253,4.96436,22.56413,4.96436,29,4,20.1479,5,0,0,15,14.115295,18.54937,3.672905,17.7882,3.672905,24,2,13.2266,Stoke,0.9815,0.0163,0.0022
9,h,1.0271,0.516369,1.0271,0.516369,6,5,1,0,1.8478,w,2017-10-30 20:00:00,1,0,0,3,0.5107309999999999,297,20,237,20,4,2,4,16,-7.828688000000001,6.002641999999999,14.5925,6.002641999999999,13.83133,9,9,8.686399999999999,2,1,2,8,-2.923521,2.631311,6.316002,2.631311,5.554832,3,4,5.1372,Newcastle United,0.5034,0.3376,0.159,h,0.270313,0.566845,0.270313,0.566845,4,3,1,0,0.932,w,2017-10-21 15:00:00,1,0,0,3,-0.296532,180,25,270,26,4,3,2,14,1.9289430000000003,10.932352,9.764581000000002,10.932352,9.003409000000001,10,8,12.826600000000004,2,1,2,8,1.1835600000000002,5.531557,5.109169,5.531557,4.347997,6,5,6.763,Crystal Palace,0.1494,0.4838,0.3668
