,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,1.35651,0.564237,1.35651,0.564237,4,3,2,3,2.0537,l,2017-08-12 15:00:00,0,0,1,0,0.7922730000000001,179,18,285,12,0,1,0,0,0.7922730000000001,1.35651,0.564237,1.35651,0.564237,2,3,2.0537,0,1,0,0,0.7922730000000001,1.35651,0.564237,1.35651,0.564237,2,3,2.0537,Burnley,0.5899,0.284,0.1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.834423,0.72428,0.834423,0.72428,2,8,2,1,1.4331999999999998,w,2017-08-20 16:00:00,1,0,0,3,0.1101429999999999,325,23,151,18,1,1,0,3,0.902416,2.190933,1.288517,2.190933,1.288517,4,4,3.4868999999999994,1,1,0,3,0.902416,2.190933,1.288517,2.190933,1.288517,4,4,3.4868999999999994,Tottenham,0.3585,0.3577,0.2838,a,2.34418,0.634633,2.34418,0.634633,8,2,2,0,2.5751,w,2017-08-13 13:30:00,1,0,0,3,1.709547,114,16,413,14,1,0,0,3,1.709547,2.34418,0.634633,2.34418,0.634633,2,0,2.5751,1,0,0,3,1.709547,2.34418,0.634633,2.34418,0.634633,2,0,2.5751,Newcastle United,0.8107,0.143,0.0463
2,h,1.16991,0.326655,1.16991,0.326655,11,4,2,0,2.0959,w,2017-08-27 13:30:00,1,0,0,3,0.8432550000000001,282,19,350,20,2,1,0,6,1.7456710000000002,3.360843,1.615172,3.360843,1.615172,6,4,5.582799999999999,2,1,0,6,1.7456710000000002,3.360843,1.615172,3.360843,1.615172,6,4,5.582799999999999,Everton,0.5979,0.3022,0.0999,a,0.59971,1.14216,0.59971,1.14216,1,14,1,1,0.8764,d,2017-08-21 20:00:00,0,1,0,1,-0.5424500000000001,279,13,149,13,1,0,1,4,-0.098316,1.320284,1.4186,1.320284,1.4186,2,1,2.6411,1,0,1,4,-0.098316,1.320284,1.4186,1.320284,1.4186,2,1,2.6411,Manchester City,0.1829,0.3277,0.4894
3,a,1.03943,1.34903,1.03943,0.587861,12,2,2,1,1.0166,w,2017-09-09 15:00:00,1,0,0,3,0.4515690000000001,164,15,284,24,3,1,0,9,2.1972400000000003,4.400273,2.964202,4.400273,2.203033,8,5,6.599399999999999,3,1,0,9,2.1972400000000003,4.400273,2.964202,4.400273,2.203033,8,5,6.599399999999999,Leicester,0.2418,0.2912,0.467,a,0.670573,2.73725,0.670573,1.97608,3,13,0,2,0.1828,l,2017-08-26 17:30:00,0,0,1,0,-1.305507,325,19,147,18,1,2,0,3,-0.6233719999999998,4.019073,5.403615,4.019073,4.642445,5,6,3.6169,1,2,0,3,-0.6233719999999998,4.019073,5.403615,4.019073,4.642445,5,6,3.6169,Manchester United,0.0281,0.0985,0.8734
4,h,0.762129,1.42208,0.762129,1.42208,4,5,0,0,0.7374,d,2017-09-17 13:30:00,0,1,0,1,-0.6599510000000001,284,17,311,31,3,1,1,10,1.5372890000000003,5.162402,4.3862820000000005,5.162402,3.625113,8,5,7.336799999999999,3,1,1,10,1.5372890000000003,5.162402,4.3862820000000005,5.162402,3.625113,8,5,7.336799999999999,Arsenal,0.1543,0.2745,0.5712,h,2.48732,0.577291,2.48732,0.577291,12,2,3,0,2.6154,w,2017-09-09 15:00:00,1,0,0,3,1.910029,232,30,306,19,2,2,0,6,0.7271409999999998,6.922006,6.194864999999999,6.922006,6.194864999999999,7,8,6.7301,2,2,0,6,0.7271409999999998,6.922006,6.194864999999999,6.922006,6.194864999999999,7,8,6.7301,Bournemouth,0.8309,0.1227,0.0464
5,a,1.59815,0.600959,1.59815,0.600959,7,8,4,0,2.2753,w,2017-09-23 15:00:00,1,0,0,3,0.997191,189,18,358,17,4,1,1,13,2.5344800000000003,6.760552000000001,4.987241000000001,6.760552000000001,4.226072,12,5,9.6121,4,0,1,13,1.742207,5.4040420000000005,4.423004000000001,5.4040420000000005,3.661835,10,2,7.558400000000001,Stoke,0.6822,0.2287,0.0891,a,0.675783,2.6598,0.675783,2.6598,5,3,1,2,0.2318,l,2017-09-16 15:00:00,0,0,1,0,-1.984017,137,19,208,20,1,2,2,5,-3.503384,4.125052,7.628436000000001,4.125052,7.628436000000001,5,6,4.2782,1,2,2,5,-3.503384,4.125052,7.628436000000001,4.125052,7.628436000000001,5,6,4.2782,Newcastle United,0.0403,0.1109,0.8488
6,h,0.911532,1.23068,0.911532,1.23068,2,8,0,1,1.1082,l,2017-09-30 17:30:00,0,0,1,0,-0.319148,404,11,237,30,4,2,1,13,2.215332,7.672084000000001,6.2179210000000005,7.672084000000001,5.456752,12,6,10.7203,3,1,1,10,1.3129160000000002,5.481151,4.929404,5.481151,4.168235,8,2,7.2334,Manchester City,0.2624,0.321,0.4166,h,5.72543,0.611018,5.72543,0.611018,18,2,5,0,2.9928,w,2017-09-23 15:00:00,1,0,0,3,5.114412000000001,163,23,377,13,5,0,1,16,13.507978,17.64074,3.371592,16.87957,3.371592,21,2,15.616300000000004,4,0,1,13,11.916811,15.773230000000002,3.0952490000000004,15.012060000000002,3.0952490000000004,19,2,12.904699999999998,Crystal Palace,0.9967,0.0027,0.0006
7,a,0.651919,1.51873,0.651919,1.51873,6,10,1,2,0.6647000000000001,l,2017-10-14 15:00:00,0,0,1,0,-0.8668109999999999,205,25,318,34,4,3,1,13,1.3485210000000003,8.324003000000001,7.736651,8.324003000000001,6.975482,13,8,11.385,2,2,1,7,-0.3971499999999999,4.96316,6.121479,4.96316,5.36031,7,4,5.8022,Crystal Palace,0.1395,0.2462,0.6143,a,0.244321,3.47508,0.244321,3.47508,3,9,0,4,0.0325,l,2017-09-30 15:00:00,0,0,1,0,-3.230759,376,26,200,19,0,7,0,0,-9.144274,7.152978,16.297252,7.152978,16.297252,0,17,6.5971,0,5,0,0,-6.274222,5.43668,11.710902,5.43668,11.710902,0,13,5.6833,Manchester United,0.003,0.0235,0.9735
8,h,1.78315,1.79693,1.78315,1.79693,4,8,4,2,1.3724,w,2017-10-21 19:30:00,1,0,0,3,-0.0137799999999999,207,22,268,31,5,3,1,16,1.3347410000000004,10.107153,9.533581,10.107153,8.772412,17,10,12.7574,2,2,1,7,-0.8624989999999999,5.70688,6.569379,5.70688,6.569379,9,5,6.158,Watford,0.3729,0.2537,0.3734,h,1.63418,0.988468,0.873011,0.988468,4,8,2,1,1.9395,w,2017-10-14 17:30:00,1,0,0,3,-0.115457,309,19,264,23,4,1,3,15,-1.799715,10.533942,13.094828,9.772773,11.572488,13,13,9.8037,3,1,1,10,-2.861443,5.898843,8.760287,5.1376740000000005,7.999117,8,10,5.7064,Arsenal,0.5528,0.2811,0.1661
9,a,1.78362,0.455055,1.78362,0.455055,14,8,1,0,2.3809,w,2017-10-28 17:30:00,1,0,0,3,1.328565,264,12,360,16,6,3,1,19,2.6633060000000004,11.890773,9.988636,11.890773,9.227467,18,10,15.1383,3,2,0,9,1.126017,6.728371,5.602353999999999,6.728371,5.602353999999999,10,5,7.801500000000001,Bournemouth,0.7266,0.2011,0.0723,a,1.11834,1.60117,0.357172,1.60117,3,9,2,1,0.9179,w,2017-10-21 15:00:00,1,0,0,3,-1.243998,182,24,226,29,2,6,1,7,-9.003468,6.610454,14.852754,5.849286,14.852754,6,13,6.7959000000000005,2,2,1,7,-3.526774,4.472408,7.238014,3.71124,7.238014,5,5,5.1055,Stoke,0.2015,0.3134,0.4851
10,h,1.8417,0.773586,1.8417,0.773586,7,5,1,0,2.1845000000000003,w,2017-11-05 16:30:00,1,0,0,3,1.068114,169,29,212,33,7,3,1,22,3.73142,13.732473,10.762222,13.732473,10.001053,19,10,17.3228,3,2,0,9,1.19694,6.971921,5.774981,6.971921,5.774981,7,5,7.710700000000001,Manchester United,0.6519,0.2288,0.1193,h,0.943496,1.08708,0.943496,1.08708,4,6,1,0,1.1813999999999998,w,2017-10-28 12:30:00,1,0,0,3,-0.143584,240,23,175,24,7,1,2,23,9.554299,20.568099,9.49146,19.045759,9.49146,23,4,19.6139,3,1,1,10,1.2006159999999997,6.528538999999999,5.327923,6.528538999999999,5.327923,7,2,6.882199999999999,Tottenham,0.282,0.3354,0.3826
11,a,1.71709,0.590655,1.71709,0.590655,3,6,4,0,2.2855000000000003,w,2017-11-18 15:00:00,1,0,0,3,1.126435,219,24,383,24,8,3,1,25,4.857855000000001,15.449563,11.352877,15.449563,10.591708,23,10,19.6083,4,1,0,12,2.642523,7.777478999999999,5.134956,7.777478999999999,5.134956,11,4,8.888000000000002,West Bromwich Albion,0.6876,0.2227,0.0897,a,0.382005,0.260436,0.382005,0.260436,2,0,0,1,1.3411,l,2017-11-04 15:00:00,0,0,1,0,0.1215689999999999,240,18,246,20,2,5,4,10,-3.443883,9.226268999999998,13.431322,9.226268999999998,12.670152,9,14,12.0437,0,3,2,2,-3.5441959999999995,4.098867,7.643063,4.098867,7.643063,5,8,4.0167,Huddersfield,0.2532,0.5815,0.1653
12,a,0.739983,1.50368,0.739983,1.50368,9,13,1,1,0.7632000000000001,d,2017-11-25 17:30:00,0,1,0,1,-0.763697,315,14,304,26,8,3,2,26,4.094158000000001,16.189546,12.856557,16.189546,12.095387999999998,24,11,20.3715,4,0,1,13,2.745637,7.865542999999999,5.119905999999999,7.865542999999999,5.119905999999999,11,3,8.986500000000001,Liverpool,0.1655,0.2667,0.5678,h,2.06277,0.563886,2.06277,0.563886,12,3,3,0,2.4604,w,2017-11-18 15:00:00,1,0,0,3,1.498884,173,20,315,28,6,2,4,22,9.6117938,25.028907,14.637643199999998,23.488267,13.876473199999998,24,17,24.059800000000003,3,1,1,10,4.297356799999999,9.677431,4.600604199999999,8.897961,4.600604199999999,11,5,10.7212,Southampton,0.7635,0.1699,0.0666
13,h,2.30012,0.0411427,2.30012,0.0411427,9,1,1,0,2.8413,w,2017-11-29 19:45:00,1,0,0,3,2.2589773,237,24,337,16,9,3,2,29,6.353135300000002,18.489666,12.8976997,18.489666,12.136530699999998,25,11,23.2128,4,0,1,13,5.0183943,8.382513,3.3641187,8.382513,3.3641187,8,1,10.4554,Swansea,0.9222,0.0747,0.0031,h,0.879594,0.449075,0.879594,0.449075,4,7,0,0,1.7673,d,2017-11-25 15:00:00,0,1,0,1,0.430519,263,42,222,14,2,8,3,9,-7.6466249999999985,10.609779,18.256404,10.609779,18.256404,7,15,13.3168,0,4,1,1,-3.1009279999999992,3.951684,7.052611999999999,3.951684,7.052611999999999,2,7,4.6752,Bournemouth,0.4648,0.3729,0.1623
14,h,3.07794,0.519549,2.31677,0.519549,20,0,3,1,2.8346,w,2017-12-02 12:30:00,1,0,0,3,1.797221,229,25,436,31,10,3,2,32,8.150356300000002,21.567606,13.417248699999998,20.806436,12.656079699999998,28,12,26.047400000000003,4,0,1,13,5.4870503,9.676833,3.4286127,8.915663,3.4286127,10,2,10.9091,Newcastle United,0.9251,0.0593,0.0156,a,1.1342,0.845327,1.1342,0.845327,3,2,2,2,1.6184,d,2017-11-28 20:00:00,0,1,0,1,0.288873,216,21,221,23,4,7,3,15,-1.5894339999999991,15.206112,17.556718,15.206112,16.795546,13,19,17.074700000000004,0,4,1,1,-3.518377,4.27376,7.792137,4.27376,7.792137,3,11,4.2481,West Bromwich Albion,0.4338,0.317,0.2492
15,a,1.18891,0.418127,1.18891,0.418127,9,3,0,1,2.026,l,2017-12-09 12:30:00,0,0,1,0,0.7707829999999999,144,38,330,23,10,4,2,32,8.921139300000002,22.756516,13.835375699999998,21.995346,13.074206699999998,28,13,28.073400000000003,3,1,1,10,5.1897193,9.024043,3.0731537,8.262872999999999,3.0731537,9,3,10.7506,West Ham,0.5736,0.3052,0.1212,a,0.474483,2.45603,0.474483,2.45603,1,23,1,2,0.1734,l,2017-12-03 16:00:00,0,0,1,0,-1.981547,293,10,117,25,2,9,4,10,-8.254227,13.300251,24.695048,12.539084,20.793311000000003,13,32,13.586199999999998,0,4,1,1,-3.851228,4.8505,8.797621,4.089333,7.940561000000001,3,13,4.3713,Manchester City,0.0249,0.0987,0.8764
16,a,1.8707,0.476748,1.8707,0.476748,11,1,3,1,2.4854000000000003,w,2017-12-12 20:00:00,1,0,0,3,1.393952,290,16,500,15,11,4,2,35,10.315091300000002,24.627216,14.3121237,23.866046,13.550954699999998,31,14,30.558800000000005,3,1,1,10,5.4572363,9.177653,2.9592467,8.416483,2.9592467,8,4,10.9505,Huddersfield,0.7699,0.1757,0.0544,h,2.68125,0.273809,2.68125,0.273809,9,3,2,0,2.9114000000000004,w,2017-12-09 15:00:00,1,0,0,3,2.407441,219,22,251,18,5,8,3,18,-7.8573758,12.3293592,22.488504,12.3293592,20.186735,11,26,15.2167,1,4,0,3,-3.779759999999999,5.081393,9.622323,5.081393,8.861153,3,13,4.8641000000000005,Brighton,0.9583,0.0365,0.0052
17,h,1.29018,0.587081,1.29018,0.587081,12,6,1,0,1.9074,w,2017-12-16 15:00:00,1,0,0,3,0.7030990000000001,311,18,261,27,12,4,2,38,11.018190300000002,25.917396,14.8992047,25.156226,14.138035699999998,32,14,32.46620000000001,4,1,0,12,6.9240323,9.727849999999998,2.0426477,8.96668,2.0426477,8,3,12.0947,Southampton,0.5347,0.3033,0.162,h,1.11749,2.24579,1.11749,2.24579,3,1,1,4,0.5875,l,2017-12-13 19:45:00,0,0,1,0,-1.1283,204,26,225,27,4,7,6,18,-0.7839720000000003,21.481807,20.74344,19.198298,19.98227,17,23,23.8875,1,2,2,5,1.253154,7.016489999999999,5.763336000000001,7.016489999999999,5.763336000000001,8,9,7.954600000000001,Leicester,0.1254,0.2113,0.6633
18,a,1.84971,0.342403,1.84971,0.342403,17,1,0,0,2.6005,d,2017-12-23 12:30:00,0,1,0,1,1.507307,167,17,320,25,12,4,3,39,12.5254973,27.767106,15.2416077,27.005936,14.480438699999995,32,14,35.066700000000004,3,1,1,10,6.172362,9.27744,2.343908,8.51627,2.343908,7,3,11.8539,Everton,0.8176,0.1477,0.0347,h,2.01756,0.766224,0.474817,0.766224,0,1,3,1,2.4695,w,2017-12-18 20:00:00,1,0,0,3,-0.291407,231,23,262,18,7,7,4,25,-7.740645000000001,21.075009,25.654686000000005,15.630534,23.371179000000005,24,30,23.4537,4,0,1,13,-0.079425,6.812961,4.492581,3.651989,3.731414,11,2,9.2719,Swansea,0.7604,0.1883,0.0513
19,h,2.16934,0.452601,2.16934,0.452601,17,3,2,0,2.5649,w,2017-12-26 15:00:00,1,0,0,3,1.716739,196,20,355,9,13,4,3,42,14.242236300000002,29.936446,15.6942087,29.175276,14.933039699999997,34,14,37.631600000000006,3,1,1,10,6.09188,8.36884,2.27696,8.36884,2.27696,6,2,11.5842,Brighton,0.8051,0.1496,0.0453,h,1.40139,1.30044,1.40139,1.30044,3,4,1,0,1.4222,w,2017-12-23 15:00:00,1,0,0,3,0.1009499999999998,183,16,226,21,5,8,6,21,-12.116282000000002,15.60923,26.203174999999995,13.325726,25.442008,15,23,18.4242,1,3,1,4,-5.338599,5.139885,8.95615,3.617551,8.95615,2,9,4.5932,Watford,0.376,0.2942,0.3298
20,h,3.09527,0.28218,2.33414,0.28218,4,0,5,0,2.9232,w,2017-12-30 15:00:00,1,0,0,3,2.05196,296,16,405,19,14,4,3,45,16.294196300000003,33.031716,15.9763887,31.509416,15.215219699999995,39,14,40.55480000000001,4,0,1,13,7.373057,10.275200000000002,2.141013,9.51407,2.141013,11,1,12.4814,Stoke,0.9634,0.033,0.0036,a,1.19984,1.8756,1.19984,1.8756,3,7,1,1,0.8985000000000001,d,2017-12-26 15:00:00,0,1,0,1,-0.6757599999999999,288,20,183,22,5,10,5,20,-12.995495000000002,21.273453,35.030116,20.512283,33.507778,23,41,20.648700000000005,1,3,1,4,-4.983228,5.647373,11.391771,5.647373,10.630601,5,11,4.2964,Huddersfield,0.2183,0.2436,0.5381
21,a,3.0768,1.23205,2.31563,1.23205,11,18,2,2,2.5102999999999995,d,2018-01-03 19:45:00,0,1,0,1,1.08358,326,26,264,24,14,4,4,46,17.377776300000004,36.108516,17.2084387,33.825046,16.447269699999996,41,16,43.06510000000001,3,0,2,11,7.062685,11.4813,2.896315,9.959,2.896315,10,2,12.506299999999998,Arsenal,0.7926,0.1325,0.0749,a,0.917801,1.39429,0.917801,0.633119,12,6,1,1,0.9135,d,2017-12-31 16:30:00,0,1,0,1,0.284682,156,8,316,21,11,5,5,38,18.213083,41.04093399999999,23.58902,39.518593,21.30551,38,26,39.60020000000001,2,0,3,9,2.4069329999999995,6.936460999999999,5.290699,6.936460999999999,4.529528,8,6,7.964300000000001,West Bromwich Albion,0.2066,0.2937,0.4997
22,h,0.622946,1.36341,0.622946,1.36341,8,8,0,0,0.7192000000000001,d,2018-01-13 15:00:00,0,1,0,1,-0.740464,222,35,245,23,14,4,5,47,16.637312300000005,36.73146199999999,18.5718487,34.447992,17.810679699999994,41,16,43.78430000000001,2,0,3,9,5.619122,10.814066,3.672644,9.291766,3.672644,9,2,11.3181,Leicester,0.1501,0.2689,0.581,h,1.45074,0.226625,1.45074,0.226625,5,0,3,0,2.4738,w,2018-01-01 15:00:00,1,0,0,3,1.2241149999999998,285,21,272,30,8,8,6,30,-4.1839403000000015,27.517166700000004,30.178809,25.233698700000005,29.417639,34,32,30.163200000000003,1,3,1,4,-2.523477,6.111008,8.634485,6.111008,8.634485,7,9,5.6039,Huddersfield,0.7575,0.2013,0.0412
23,a,1.52008,0.881174,1.52008,0.881174,12,9,4,0,1.8883,w,2018-01-20 12:30:00,1,0,0,3,0.6389060000000001,208,13,343,30,15,4,5,50,17.276218300000004,38.25154199999999,19.4530227,35.968072,18.6918537,45,16,45.67260000000001,3,0,2,11,4.750721,10.484436,4.211415,8.962136000000001,4.211415,13,2,10.6059,Brighton,0.5396,0.2695,0.1909,a,0.530765,1.38478,0.530765,1.38478,8,3,0,2,0.6574,l,2018-01-13 15:00:00,0,0,1,0,-0.8540149999999999,149,20,223,13,5,10,8,23,-13.470517000000005,19.595974,31.544153999999992,17.312469999999998,30.78298699999999,17,29,22.9562,1,2,2,5,-1.253285,5.388134,6.641419,5.388134,6.641419,3,6,5.954199999999999,West Bromwich Albion,0.1323,0.2605,0.6072
24,h,1.14795,1.42447,1.14795,1.42447,5,3,0,3,1.0815,l,2018-01-31 19:45:00,0,0,1,0,-0.2765199999999999,168,21,353,38,15,5,5,50,16.999698300000002,39.399492,20.8774927,37.116022,20.116323699999995,45,19,46.75410000000001,2,1,2,8,2.7574620000000003,9.463046,5.183284,7.940746,5.183284,11,5,9.1225,Bournemouth,0.2672,0.2799,0.4529,a,0.501886,0.980241,0.501886,0.980241,4,6,1,1,0.8241,d,2018-01-20 15:00:00,0,1,0,1,-0.478355,165,18,217,17,6,11,7,25,-16.456673,21.724193000000003,38.942038,20.963025,37.419698,25,36,22.277100000000004,2,0,3,9,0.0167919999999999,6.855480999999999,6.838689000000001,6.855480999999999,6.838689000000001,10,8,6.6885,West Ham,0.1567,0.354,0.4893
25,a,0.573557,2.12696,0.573557,1.36579,5,13,1,4,0.3106,l,2018-02-05 20:00:00,0,0,1,0,-0.7922330000000001,218,19,312,32,15,6,5,50,16.207465300000003,39.973049,23.0044527,37.689579,21.4821137,46,23,47.06470000000001,1,2,2,5,-0.0867309999999998,6.941333,7.0280640000000005,6.180163,6.266894000000001,7,9,6.5099,Watford,0.0548,0.1462,0.799,a,0.740773,0.722172,0.740773,0.722172,6,5,0,0,1.3363,d,2018-01-31 20:00:00,0,1,0,1,0.0186009999999999,121,18,111,16,7,12,6,27,-5.339772,31.311801,38.173909,29.028292,34.368064,33,44,30.4032,0,3,2,2,-1.128253,5.298481,7.187899000000002,5.298481,6.4267340000000015,4,9,5.507099999999999,Stoke,0.3215,0.3718,0.3067
26,h,2.37995,0.628806,2.37995,0.628806,13,7,3,0,2.5487,w,2018-02-12 20:00:00,1,0,0,3,1.751144,244,24,288,34,16,6,5,53,17.958609300000003,42.352999,23.6332587,40.069529,22.1109197,49,23,49.613400000000006,2,2,1,7,0.5808330000000002,6.244483,6.42482,6.244483,5.66365,8,7,6.548299999999999,West Bromwich Albion,0.8018,0.1433,0.0549,h,0.876603,0.99695,0.876603,0.99695,6,7,2,3,1.2444,l,2018-02-03 15:00:00,0,0,1,0,-0.1203469999999999,268,24,136,17,3,12,11,20,-8.503689,23.874959,32.378646999999994,23.113788,31.617477,21,37,29.87100000000001,1,3,1,4,-1.835429,4.364786,6.200215,4.364786,6.200215,6,9,6.0138,Southampton,0.3034,0.3342,0.3624
27,a,1.68958,1.30036,1.68958,1.30036,8,7,1,2,1.7008,l,2018-02-25 14:05:00,0,0,1,0,0.3892200000000001,203,21,317,31,16,7,5,53,18.347829300000004,44.042579,24.9336187,41.759109,23.4112797,50,25,51.31420000000001,2,3,0,6,1.7105170000000005,7.311117,6.36177,7.311117,5.6006,9,9,7.5299,Manchester United,0.477,0.2698,0.2532,a,1.71995,0.676656,1.71995,0.676656,13,4,0,1,2.1787,l,2018-02-11 14:15:00,0,0,1,0,1.043294,170,22,322,24,17,5,5,56,13.378562,46.77414400000001,31.74445900000001,44.36185100000001,30.983289,51,19,46.813,3,2,0,9,1.2281210000000002,6.981165,4.863091,6.091212,4.863091,6,3,8.8184,Newcastle United,0.651,0.2257,0.1233
28,a,0.118301,0.953312,0.118301,0.953312,3,9,0,1,0.4826,l,2018-03-04 16:00:00,0,0,1,0,-0.8350110000000001,580,7,253,29,16,8,5,53,17.512818300000003,44.16088,25.8869307,41.877410000000005,24.3645917,50,26,51.796800000000005,1,4,0,3,0.2366,5.909338,6.433908000000001,5.909338,5.672738000000001,5,10,6.124199999999999,Manchester City,0.0425,0.3551,0.6024,a,1.92605,1.30172,1.92605,0.540552,7,7,3,0,1.9023,w,2018-03-01 19:45:00,1,0,0,3,1.385498,295,14,417,39,24,1,3,75,48.69447929999999,70.96536900000001,19.1270477,66.299229,17.604749700000003,82,20,67.9294,4,0,1,13,8.68898,12.00645,3.317468,11.24528,2.5563,15,3,12.5595,Arsenal,0.5457,0.2652,0.1891
29,h,3.87829,1.13893,3.87829,1.13893,20,11,2,1,2.7603,w,2018-03-10 17:30:00,1,0,0,3,2.73936,183,24,291,23,17,8,5,56,20.252178300000004,48.03917,27.0258607,45.7557,25.5035217,52,27,54.557100000000005,2,3,0,6,3.25248,8.639678,6.1483680000000005,8.639678,5.387198000000001,7,8,7.803,Crystal Palace,0.897,0.0693,0.0337,h,0.74138,1.25439,0.74138,1.25439,4,13,2,3,0.8916,l,2018-03-05 20:00:00,0,0,1,0,-0.5130099999999999,335,22,109,17,6,14,9,27,-4.722046999999998,40.660669000000006,41.57698400000001,35.332601,40.05464800000001,27,46,42.46639999999999,0,3,2,2,-0.6706039999999996,6.743938000000001,6.653449999999999,5.221676,5.89228,5,9,6.503300000000001,Manchester United,0.1996,0.2928,0.5076
30,h,1.209,1.3895,1.209,1.3895,12,2,1,3,1.1733,l,2018-04-01 16:00:00,0,0,1,0,-0.1804999999999998,287,25,261,31,17,9,5,56,20.07167830000001,49.24817,28.4153607,46.96470000000001,26.8930217,53,30,55.7304,2,3,0,6,3.864213,9.275121,5.410908,9.275121,5.410908,7,7,8.6657,Tottenham,0.2883,0.3084,0.4033,a,2.53124,1.17387,2.53124,1.17387,9,5,4,1,2.4082,w,2018-03-11 16:00:00,1,0,0,3,1.35737,169,20,313,27,18,5,7,61,33.137143,58.51118799999999,23.950825,56.227678,23.090535000000003,59,25,65.32289999999999,4,0,1,13,6.203289,10.99948,3.273851,9.47714,3.273851,10,3,12.6877,Bournemouth,0.742,0.1822,0.0758
