,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,1.73657,0.988934,1.73657,0.988934,5,3,3,0,2.0425,w,2017-08-12 15:00:00,1,0,0,3,0.747636,221,32,117,18,1,0,0,3,0.747636,1.73657,0.988934,1.73657,0.988934,3,0,2.0425,1,0,0,3,0.747636,1.73657,0.988934,1.73657,0.988934,3,0,2.0425,Crystal Palace,0.5978,0.2491,0.1531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,0.267008,0.973322,0.267008,0.973322,2,5,1,0,0.6132,w,2017-08-20 13:30:00,1,0,0,3,-0.706314,218,28,263,19,2,0,0,6,0.0413219999999999,2.003578,1.962256,2.003578,1.962256,4,0,2.6557,2,0,0,6,0.0413219999999999,2.003578,1.962256,2.003578,1.962256,4,0,2.6557,Newcastle United,0.0912,0.3396,0.5692,h,0.634633,2.34418,0.634633,2.34418,2,8,0,2,0.2819,l,2017-08-13 13:30:00,0,0,1,0,-1.709547,413,14,114,16,0,1,0,0,-1.709547,0.634633,2.34418,0.634633,2.34418,0,2,0.2819,0,1,0,0,-1.709547,0.634633,2.34418,0.634633,2.34418,0,2,0.2819,Tottenham,0.0463,0.143,0.8107
2,h,1.51605,0.795911,1.51605,0.795911,5,2,0,0,1.9329,d,2017-08-26 15:00:00,0,1,0,1,0.7201389999999999,328,26,149,13,2,0,1,7,0.7614609999999998,3.519628,2.7581670000000003,3.519628,2.7581670000000003,4,0,4.5886,2,0,1,7,0.7614609999999998,3.519628,2.7581670000000003,3.519628,2.7581670000000003,4,0,4.5886,Southampton,0.5525,0.2754,0.1721,h,2.1424,1.53269,0.620063,1.53269,14,1,3,2,1.8535,w,2017-08-19 15:00:00,1,0,0,3,-0.912627,131,27,305,13,1,0,1,4,0.898657,4.35988,1.938886,2.837543,1.938886,3,2,4.4698,1,0,1,4,0.898657,4.35988,1.938886,2.837543,1.938886,3,2,4.4698,West Ham,0.5292,0.2659,0.2049
3,a,0.339338,1.94969,0.339338,1.94969,1,3,0,2,0.1729,l,2017-09-11 20:00:00,0,0,1,0,-1.610352,145,19,246,27,2,1,1,7,-0.8488910000000002,3.858966,4.707857000000001,3.858966,4.707857000000001,4,2,4.7615,2,1,1,7,-0.8488910000000002,3.858966,4.707857000000001,3.858966,4.707857000000001,4,2,4.7615,West Ham,0.0193,0.115,0.8657,a,0.558484,2.76107,0.558484,2.76107,0,7,0,3,0.1361,l,2017-08-26 15:00:00,0,0,1,0,-2.202586,97,17,295,26,0,3,0,0,-3.301949,2.717714,7.542,2.717714,6.019663,2,10,1.2454999999999998,0,3,0,0,-3.301949,2.717714,7.542,2.717714,6.019663,2,10,1.2454999999999998,Newcastle United,0.0187,0.08,0.9013
4,h,0.700349,1.24181,0.700349,0.480681,3,5,1,1,0.8007,d,2017-09-16 15:00:00,0,1,0,1,0.2196679999999999,183,13,234,15,2,1,2,8,-0.6292230000000002,4.559315,5.949667000000001,4.559315,5.188538,5,3,5.5622,2,1,2,8,-0.6292230000000002,4.559315,5.949667000000001,4.559315,5.188538,5,3,5.5622,Leicester,0.1671,0.2994,0.5335,h,1.34903,1.03943,0.587861,1.03943,2,12,1,2,1.6922,l,2017-09-09 15:00:00,0,0,1,0,-0.4515690000000001,284,24,164,15,1,3,0,3,-1.074941,5.368103,6.443045000000001,4.606934,5.681875000000001,6,8,5.3091,1,3,0,3,-1.074941,5.368103,6.443045000000001,4.606934,5.681875000000001,6,8,5.3091,Chelsea,0.467,0.2912,0.2418
5,a,0.312561,0.369454,0.312561,0.369454,2,2,0,0,1.1349,d,2017-09-23 15:00:00,0,1,0,1,-0.056893,246,20,230,17,2,1,3,9,-0.6861160000000002,4.871875999999999,6.319121000000001,4.871875999999999,5.5579920000000005,5,3,6.6971,1,1,3,6,-1.433752,3.1353060000000004,5.3301870000000005,3.1353060000000004,4.569058,2,3,4.6546,Burnley,0.1969,0.5442,0.2589,a,0.334402,2.18727,0.334402,2.18727,0,19,1,1,0.1813,d,2017-09-16 15:00:00,0,1,0,1,-1.852868,367,18,145,11,2,1,2,8,-4.9051670000000005,3.371331,8.276498,3.371331,8.276498,6,5,3.5492,2,1,2,8,-4.9051670000000005,3.371331,8.276498,3.371331,8.276498,6,5,3.5492,Liverpool,0.0238,0.1099,0.8663
6,h,0.196648,1.56089,0.196648,1.56089,2,11,0,4,0.321,l,2017-09-30 12:30:00,0,0,1,0,-1.3642420000000002,349,28,200,15,2,2,3,9,-2.050358,5.068523999999999,7.880011000000001,5.068523999999999,7.118882000000001,5,7,7.0181,0,2,3,3,-2.09168,3.064946,5.917755,3.064946,5.156626,1,7,4.362399999999999,Tottenham,0.0364,0.2118,0.7518,a,1.45327,0.67667,1.45327,0.67667,3,2,3,2,2.0349,w,2017-09-23 12:30:00,1,0,0,3,0.7766000000000001,178,26,219,35,3,1,2,11,6.103537,10.22572,4.122183,10.22572,4.122183,10,5,12.67,2,1,2,8,4.3939900000000005,7.881539999999999,3.48755,7.881539999999999,3.48755,8,5,10.0949,West Ham,0.5867,0.2748,0.1385
7,a,0.596086,1.65446,0.596086,1.65446,3,4,0,2,0.3745,l,2017-10-14 15:00:00,0,0,1,0,-1.058374,198,18,351,34,2,3,3,9,-3.1087320000000003,5.664609999999999,9.534471000000002,5.664609999999999,8.773342000000001,5,9,7.3926,0,3,2,2,-3.870193,2.144982,6.7763040000000005,2.144982,6.015175000000001,1,9,2.8040000000000003,Swansea,0.0505,0.223,0.7265,a,0.178568,0.692185,0.178568,0.692185,0,0,0,1,0.7012,l,2017-09-30 15:00:00,0,0,1,0,-0.513617,200,24,309,27,1,4,2,5,-5.604070999999999,5.003635,10.607706,5.003635,10.607706,3,8,6.2391,1,3,1,4,-0.686741,4.293275,4.980016,4.293275,4.980016,3,4,5.9732,West Ham,0.084,0.4492,0.4668
8,h,1.26744,0.807135,1.26744,0.807135,5,6,2,1,1.8124,w,2017-10-21 15:00:00,1,0,0,3,0.4603049999999998,398,19,79,21,3,3,3,12,-2.6484270000000003,6.932049999999999,10.341606000000002,6.932049999999999,9.580477000000002,7,10,9.205,1,2,2,5,-1.7995360000000007,3.073084,5.633749,3.073084,4.87262,3,8,4.4435,Manchester United,0.5,0.3124,0.1876,a,0.230358,1.92702,0.230358,1.92702,3,9,0,0,0.2231,d,2017-10-14 12:30:00,0,1,0,1,-1.696662,336,25,192,22,6,0,2,20,10.158188,18.817468,7.13694,17.295128000000002,7.13694,21,2,17.557299999999998,3,0,2,11,3.734645,10.031478000000002,5.535663,9.270308000000002,5.535663,11,2,9.2166,Liverpool,0.0295,0.1346,0.8359
9,a,0.0554802,2.14257,0.0554802,1.3631,0,16,0,3,0.0702,l,2017-10-28 15:00:00,0,0,1,0,-1.3076198,474,15,135,21,3,4,3,12,-3.9560468,6.987530199999998,12.484176,6.987530199999998,10.943577,7,13,9.2752,1,3,1,4,-3.3268238,2.4282151999999995,6.534509,2.4282151999999995,5.755039,2,10,3.713,Liverpool,0.003,0.0612,0.9358,a,0.667771,2.62043,0.667771,2.62043,8,5,1,4,0.2378,l,2017-10-22 16:00:00,0,0,1,0,-1.952659,224,24,388,12,3,2,4,13,5.05844,17.946267,12.887826999999998,17.185097,12.126656999999998,14,16,16.218700000000002,1,1,3,6,2.763714,8.355830999999998,6.353287,8.355830999999998,5.592117,6,8,8.823,Tottenham,0.0429,0.1091,0.848
10,h,0.260436,0.382005,0.260436,0.382005,0,2,1,0,1.0774,w,2017-11-04 15:00:00,1,0,0,3,-0.1215689999999999,246,20,240,18,4,4,3,15,-4.0776158,7.247966199999999,12.866181,7.247966199999999,11.325582,8,13,10.3526,2,3,0,6,-3.3914998000000005,2.3760902,6.54706,2.3760902,5.76759,3,10,3.6555,West Bromwich Albion,0.1653,0.5815,0.2532,h,1.11852,2.77085,1.11852,2.77085,1,17,2,3,0.3011,l,2017-10-28 15:00:00,0,0,1,0,-1.65233,499,23,124,29,2,4,4,10,-3.565452,8.844263999999999,13.170886,8.844263999999999,12.409716,9,13,10.702600000000002,0,3,2,2,-4.531103,4.483514,9.775787,4.483514,9.014617,5,9,2.9662,Manchester City,0.0535,0.1406,0.8059
11,a,1.1633,1.38782,1.1633,1.38782,9,4,0,4,1.1729,l,2017-11-18 15:00:00,0,0,1,0,-0.22452,105,17,271,14,4,5,3,15,-4.3021358,8.411266199999998,14.254001,8.411266199999998,12.713402,8,17,11.5255,2,3,0,6,-2.2517778,3.3427422,6.373990000000001,3.3427422,5.594520000000001,3,10,4.5074,Bournemouth,0.299,0.2759,0.4251,a,1.28703,0.676091,1.28703,0.676091,12,4,1,0,1.882,w,2017-11-04 15:00:00,1,0,0,3,0.6109389999999999,189,19,187,21,3,7,1,10,-9.721094,8.352539,17.312465,7.591371,17.312465,7,14,9.0959,2,2,1,7,-2.939222,4.434475,6.612529,3.673307,6.612529,3,3,5.4615,Newcastle United,0.5301,0.2917,0.1782
12,h,0.537698,2.66178,0.537698,1.90061,1,11,1,2,0.1116,l,2017-11-26 16:00:00,0,0,1,0,-1.362912,312,13,61,24,4,6,3,15,-5.6650478,8.948964199999999,16.915781,8.948964199999999,14.614012,9,19,11.637099999999998,2,3,0,6,-2.5563158,3.2843542,7.381310000000001,3.2843542,5.840669999999999,4,10,4.2445,Manchester City,0.0133,0.0717,0.915,a,2.40056,0.0970457,2.40056,0.0970457,18,1,2,0,2.9136,w,2017-11-18 15:00:00,1,0,0,3,2.3035143,147,25,487,18,11,0,1,34,25.4126773,34.365109999999994,6.6689227,32.081599999999995,6.6689227,40,7,31.3356,5,0,0,15,11.5855513,15.49369,2.3857987,13.97135,2.3857987,18,5,14.1485,Leicester,0.9578,0.0402,0.002
