,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,2.21748,0.406196,2.21748,0.406196,16,1,0,0,2.6163000000000003,d,2017-08-12 15:00:00,0,1,0,1,1.811284,213,25,219,17,0,0,1,1,1.811284,2.21748,0.406196,2.21748,0.406196,0,0,2.6163000000000003,0,0,1,1,1.811284,2.21748,0.406196,2.21748,0.406196,0,0,2.6163000000000003,Swansea,0.8262,0.1377,0.0361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,2.1424,1.53269,0.620063,1.53269,14,1,3,2,1.8535,w,2017-08-19 15:00:00,1,0,0,3,-0.912627,131,27,305,13,1,0,1,4,0.898657,4.35988,1.938886,2.837543,1.938886,3,2,4.4698,1,0,1,4,0.898657,4.35988,1.938886,2.837543,1.938886,3,2,4.4698,West Ham,0.5292,0.2659,0.2049,a,0.62654,2.63853,0.62654,2.63853,9,10,0,4,0.2288,l,2017-08-13 16:00:00,0,0,1,0,-2.01199,267,20,234,25,0,1,0,0,-2.01199,0.62654,2.63853,0.62654,2.63853,0,4,0.2288,0,1,0,0,-2.01199,0.62654,2.63853,0.62654,2.63853,0,4,0.2288,Manchester United,0.0387,0.1127,0.8486
2,a,0.795911,1.51605,0.795911,1.51605,2,5,0,0,0.7917,d,2017-08-26 15:00:00,0,1,0,1,-0.7201389999999999,149,13,328,26,1,0,2,5,0.1785180000000001,5.155791000000001,3.454936,3.633454,3.454936,3,2,5.2615,1,0,2,5,0.1785180000000001,5.155791000000001,3.454936,3.633454,3.454936,3,2,5.2615,Huddersfield,0.1721,0.2754,0.5525,h,0.267008,0.973322,0.267008,0.973322,2,5,1,0,0.6132,w,2017-08-20 13:30:00,1,0,0,3,-0.706314,218,28,263,19,2,0,0,6,0.0413219999999999,2.003578,1.962256,2.003578,1.962256,4,0,2.6557,2,0,0,6,0.0413219999999999,2.003578,1.962256,2.003578,1.962256,4,0,2.6557,Newcastle United,0.0912,0.3396,0.5692
3,h,0.331259,0.57794,0.331259,0.57794,6,3,0,2,0.993,l,2017-09-09 15:00:00,0,0,1,0,-0.2466809999999999,192,19,201,21,1,1,2,5,-0.0681629999999998,5.487050000000001,4.032876,3.9647130000000006,4.032876,3,4,6.2545,1,1,2,5,-0.0681629999999998,5.487050000000001,4.032876,3.9647130000000006,4.032876,3,4,6.2545,Watford,0.1722,0.4764,0.3514,h,0.281459,0.952357,0.281459,0.952357,5,8,0,0,0.6756,d,2017-08-26 15:00:00,0,1,0,1,-0.670898,258,8,156,22,1,0,2,5,1.061728,4.635099,4.334541,4.635099,3.573371,5,3,4.0973,1,0,2,5,1.061728,4.635099,4.334541,4.635099,3.573371,5,3,4.0973,Brighton,0.1023,0.3687,0.529
4,a,1.11428,2.03243,1.11428,2.03243,13,10,1,0,0.7139,w,2017-09-16 12:30:00,1,0,0,3,-0.9181500000000002,188,20,279,22,2,1,2,8,-0.986313,6.601330000000001,6.065306,5.0789930000000005,6.065306,4,4,6.9684,2,1,2,8,-0.986313,6.601330000000001,6.065306,5.0789930000000005,6.065306,4,4,6.9684,Crystal Palace,0.1609,0.2312,0.6079,a,1.72996,0.429329,1.72996,0.429329,8,2,0,1,2.4137,l,2017-09-10 13:30:00,0,0,1,0,1.300631,108,23,209,26,0,4,0,0,-1.7172529999999997,4.2652090000000005,5.982461999999999,4.2652090000000005,5.982461999999999,0,7,4.5052,0,4,0,0,-1.7172529999999997,4.2652090000000005,5.982461999999999,4.2652090000000005,5.982461999999999,0,7,4.5052,Burnley,0.7382,0.1991,0.0627
5,h,0.802062,1.07247,0.802062,1.07247,5,8,0,1,1.012,l,2017-09-23 15:00:00,0,0,1,0,-0.270408,179,20,290,19,2,2,2,8,-1.256721,7.403392000000001,7.137776,5.881055000000001,7.137776,4,5,7.980399999999999,2,2,1,7,-3.0680050000000003,5.185912,6.73158,3.663575,6.73158,4,5,5.3641000000000005,Manchester United,0.2275,0.3295,0.443,h,3.28722,1.06298,2.52605,1.06298,5,1,4,0,2.6885000000000003,w,2017-09-17 16:00:00,1,0,0,3,1.46307,326,31,218,23,4,0,1,13,8.353683,14.03956,4.163537,12.51722,4.163537,16,2,12.7317,4,0,1,13,8.353683,14.03956,4.163537,12.51722,4.163537,16,2,12.7317,Everton,0.8638,0.0971,0.0391
6,a,1.42781,2.68136,1.42781,1.92019,14,9,1,2,0.5409999999999999,l,2017-09-30 15:00:00,0,0,1,0,-0.49238,112,19,374,24,2,3,2,8,-1.749101,8.831202000000001,9.819136,7.308865000000001,9.057966,5,7,8.5214,1,3,1,4,-2.647758,4.471322,7.88025,4.471322,7.119079999999999,2,5,4.0516,Stoke,0.1225,0.1735,0.704,h,0.600959,1.59815,0.600959,1.59815,8,7,0,4,0.496,l,2017-09-23 15:00:00,0,0,1,0,-0.997191,358,17,189,18,1,3,2,5,-4.500575,4.726011,9.226586,4.726011,9.226586,5,10,4.7742,1,2,2,5,-4.056441,4.449571000000001,8.506012,4.449571000000001,8.506012,5,9,3.9662,Chelsea,0.0891,0.2287,0.6822
7,h,1.71445,0.950997,0.953278,0.950997,9,6,2,2,2.0066,d,2017-10-15 16:00:00,0,1,0,1,0.0022809999999999,185,26,359,20,2,3,3,9,-1.74682,10.545652,10.770133,8.262143,10.008963,7,9,10.528,1,3,1,4,-1.925338,5.389861,7.315197,4.628689,6.5540270000000005,4,7,5.2665,Newcastle United,0.5864,0.2474,0.1662,h,0.280437,1.64475,0.280437,1.64475,2,8,1,1,0.2909,d,2017-10-01 16:30:00,0,1,0,1,-1.364313,342,16,148,21,3,3,1,10,2.2277560000000003,9.711042,7.483286,9.711042,7.483286,7,6,11.148600000000002,3,1,1,10,3.230989,8.103087,4.872098,8.103087,4.872098,7,3,8.819500000000001,Liverpool,0.0381,0.1766,0.7853
8,h,2.02288,0.504128,2.02288,0.504128,7,0,1,0,2.5848,w,2017-10-21 17:30:00,1,0,0,3,1.5187519999999997,127,26,300,18,3,3,3,12,-0.2280680000000003,12.568532,11.274261,10.285023,10.513091,8,9,13.1128,2,2,1,7,-0.1599050000000006,7.081482,7.241385,6.32031,6.480215,5,5,6.8583,West Bromwich Albion,0.8115,0.1503,0.0382,a,0.155254,0.964277,0.155254,0.964277,2,7,1,1,0.4945,d,2017-10-16 20:00:00,0,1,0,1,-0.809023,260,24,182,25,2,2,4,10,-0.39437,7.221616,8.377156,7.221616,7.615986,7,9,10.1366,0,2,3,3,-0.374566,4.509436,5.645172,4.509436,4.884002,4,8,6.0509,Leicester,0.0535,0.334,0.6125
9,a,0.54364,1.50533,0.54364,1.50533,5,5,1,1,0.4821999999999999,d,2017-10-29 13:30:00,0,1,0,1,-0.96169,279,25,282,17,3,3,4,13,-1.1897580000000003,13.112172,12.779591,10.828663,12.018421,9,10,13.595,1,2,2,5,-0.2034450000000004,6.510842,6.714284999999999,5.74967,5.953115,5,6,6.6266,Brighton,0.082,0.2362,0.6818,a,1.98345,0.569111,1.22228,0.569111,2,5,3,0,2.5049,w,2017-10-20 20:00:00,1,0,0,3,0.653169,329,17,197,16,3,4,2,11,-5.608176,6.558796000000001,12.166969,5.797626000000001,11.405802,9,10,8.2554,2,2,1,7,-2.457524,4.81025,7.267771000000001,4.04908,6.506604,6,5,5.1627,West Ham,0.7836,0.1541,0.0623
