,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,2.34418,0.634633,2.34418,0.634633,8,2,2,0,2.5751,w,2017-08-13 13:30:00,1,0,0,3,1.709547,114,16,413,14,1,0,0,3,1.709547,2.34418,0.634633,2.34418,0.634633,2,0,2.5751,1,0,0,3,1.709547,2.34418,0.634633,2.34418,0.634633,2,0,2.5751,Newcastle United,0.8107,0.143,0.0463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,0.72428,0.834423,0.72428,0.834423,8,2,1,2,1.2090999999999998,l,2017-08-20 16:00:00,0,0,1,0,-0.1101429999999999,151,18,325,23,1,1,0,3,1.5994040000000005,3.06846,1.469056,3.06846,1.469056,3,2,3.7842,1,1,0,3,1.5994040000000005,3.06846,1.469056,3.06846,1.469056,3,2,3.7842,Chelsea,0.2838,0.3577,0.3585,h,1.35651,0.564237,1.35651,0.564237,4,3,2,3,2.0537,l,2017-08-12 15:00:00,0,0,1,0,0.7922730000000001,179,18,285,12,0,1,0,0,0.7922730000000001,1.35651,0.564237,1.35651,0.564237,2,3,2.0537,0,1,0,0,0.7922730000000001,1.35651,0.564237,1.35651,0.564237,2,3,2.0537,Burnley,0.5899,0.284,0.1261
2,h,2.3497,0.670943,2.3497,0.670943,15,5,1,1,2.4954,d,2017-08-27 16:00:00,0,1,0,1,1.678757,145,21,319,18,1,1,1,4,3.2781610000000003,5.41816,2.139999,5.41816,2.139999,4,3,6.2796,1,1,1,4,3.2781610000000003,5.41816,2.139999,5.41816,2.139999,4,3,6.2796,Burnley,0.7813,0.1515,0.0672,h,1.37242,0.653058,1.37242,0.653058,4,0,0,1,1.9653,l,2017-08-19 15:00:00,0,0,1,0,0.719362,88,16,266,19,1,1,0,3,-0.0729110000000001,1.936657,2.009568,1.936657,2.009568,3,3,2.6276,1,1,0,3,-0.0729110000000001,1.936657,2.009568,1.936657,2.009568,3,3,2.6276,West Bromwich Albion,0.5629,0.2766,0.1605
3,a,2.17535,1.15144,2.17535,1.15144,9,9,3,0,2.1076,w,2017-09-09 15:00:00,1,0,0,3,1.02391,275,26,242,23,2,1,1,7,4.302071,7.59351,3.291439,7.59351,3.291439,7,3,8.3872,2,1,1,7,4.302071,7.59351,3.291439,7.59351,3.291439,7,3,8.3872,Everton,0.6322,0.211,0.1568,a,0.326655,1.16991,0.326655,1.16991,4,11,0,2,0.6019000000000001,l,2017-08-27 13:30:00,0,0,1,0,-0.8432550000000001,350,20,282,19,1,1,1,4,-0.9415710000000002,1.646939,2.5885100000000003,1.646939,2.5885100000000003,2,3,3.243,1,1,1,4,-0.9415710000000002,1.646939,2.5885100000000003,1.646939,2.5885100000000003,2,3,3.243,Chelsea,0.0999,0.3022,0.5979
4,h,1.17894,0.154074,1.17894,0.154074,12,0,0,0,2.2479,d,2017-09-16 17:30:00,0,1,0,1,1.024866,125,26,341,14,2,1,2,8,5.326937,8.772450000000001,3.445513,8.772450000000001,3.445513,7,3,10.6351,2,1,2,8,5.326937,8.772450000000001,3.445513,8.772450000000001,3.445513,7,3,10.6351,Swansea,0.6472,0.3063,0.0465,h,1.48574,1.03177,1.48574,1.03177,6,2,0,1,1.7627,l,2017-09-10 16:00:00,0,0,1,0,0.45397,152,19,303,32,1,2,1,4,-4.315528,3.162883,7.478411,3.162883,7.478411,2,5,3.5165,1,2,1,4,-4.315528,3.162883,7.478411,3.162883,7.478411,2,5,3.5165,Newcastle United,0.492,0.2867,0.2213
5,a,1.45327,0.67667,1.45327,0.67667,3,2,3,2,2.0349,w,2017-09-23 12:30:00,1,0,0,3,0.7766000000000001,178,26,219,35,3,1,2,11,6.103537,10.22572,4.122183,10.22572,4.122183,10,5,12.67,2,1,2,8,4.3939900000000005,7.881539999999999,3.48755,7.881539999999999,3.48755,8,5,10.0949,West Ham,0.5867,0.2748,0.1385,a,0.266344,0.781891,0.266344,0.781891,0,0,0,0,0.7394000000000001,d,2017-09-16 15:00:00,0,1,0,1,-0.515547,152,18,323,12,1,3,1,4,-2.207144,4.933748,8.663229,4.933748,7.140891999999999,4,10,4.697,1,3,1,4,-2.207144,4.933748,8.663229,4.933748,7.140891999999999,4,10,4.697,West Bromwich Albion,0.1089,0.4127,0.4784
6,a,1.56089,0.196648,1.56089,0.196648,11,2,4,0,2.4672,w,2017-09-30 12:30:00,1,0,0,3,1.3642420000000002,200,15,349,28,4,1,2,14,7.467779,11.78661,4.318830999999999,11.78661,4.318830999999999,14,5,15.1372,3,0,2,11,5.868375,8.71815,2.849775,8.71815,2.849775,11,3,11.353,Huddersfield,0.7518,0.2118,0.0364,a,0.312561,0.369454,0.312561,0.369454,2,2,0,0,1.1349,d,2017-09-23 15:00:00,0,1,0,1,-0.056893,246,20,230,17,2,1,3,9,-0.6861160000000002,4.871875999999999,6.319121000000001,4.871875999999999,5.5579920000000005,5,3,6.6971,1,1,3,6,-1.433752,3.1353060000000004,5.3301870000000005,3.1353060000000004,4.569058,2,3,4.6546,Burnley,0.1969,0.5442,0.2589
7,h,1.95684,0.17504,1.95684,0.17504,17,1,1,0,2.6984,w,2017-10-14 15:00:00,1,0,0,3,1.7817999999999998,130,30,391,9,5,1,2,17,9.249579,13.74345,4.493871,13.74345,4.493871,15,5,17.8356,4,0,1,13,5.971418,8.325289999999999,2.3538720000000004,8.325289999999999,2.3538720000000004,11,2,11.556,Bournemouth,0.8589,0.1217,0.0194,h,1.39901,0.594808,1.39901,0.594808,18,1,0,0,2.0637,d,2017-09-30 15:00:00,0,1,0,1,0.8042020000000001,154,14,275,25,1,5,1,4,-5.97767,5.317074,11.294744,5.317074,11.294744,4,11,5.6981,1,3,1,4,-3.761863,4.171721,7.933584,4.171721,7.933584,4,8,4.662599999999999,Leicester,0.5931,0.2844,0.1225
8,h,2.62043,0.667771,2.62043,0.667771,5,8,4,1,2.6531,w,2017-10-22 16:00:00,1,0,0,3,1.952659,388,12,224,24,6,1,2,20,11.202238,16.36388,5.161642,16.36388,5.161642,19,6,20.4887,4,0,1,13,6.900167,8.77037,1.870203,8.77037,1.870203,12,3,12.1015,Liverpool,0.848,0.1091,0.0429,h,1.92702,0.230358,1.92702,0.230358,9,3,0,0,2.6423,d,2017-10-14 12:30:00,0,1,0,1,1.696662,192,22,336,25,3,1,4,13,7.011099,17.278496,10.267397,16.517326,9.506227,13,12,15.980900000000002,1,1,3,6,2.235669,8.353246,6.878747,8.353246,6.117577,5,9,8.725200000000001,Manchester United,0.8359,0.1346,0.0295
9,a,1.08708,0.943496,1.08708,0.943496,6,4,0,1,1.4832,l,2017-10-28 12:30:00,0,0,1,0,0.143584,175,24,240,23,6,2,2,20,11.345822000000002,17.450960000000002,6.105137999999999,17.450960000000002,6.105137999999999,19,7,21.9719,4,1,0,12,6.018884999999999,8.67851,2.659625,8.67851,2.659625,12,4,11.3368,Manchester United,0.3826,0.3354,0.282,a,0.807135,1.26744,0.807135,1.26744,6,5,1,2,0.8752,l,2017-10-21 15:00:00,0,0,1,0,-0.4603049999999998,79,21,398,19,6,1,2,20,9.697883,19.624603,8.40438,18.102263,8.40438,22,4,18.4325,3,1,1,10,2.80727,8.872263000000002,5.303823,8.111093,5.303823,10,2,8.3893,Huddersfield,0.1876,0.3124,0.5
