,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,2.60022,1.50693,1.83905,1.50693,12,5,2,0,2.2423,w,2018-08-11 17:00:00,1,0,0,3,0.3321199999999999,107,19,269,17,1,0,0,3,0.3321199999999999,2.60022,1.50693,1.83905,1.50693,2,0,2.2423,1,0,0,3,0.3321199999999999,2.60022,1.50693,1.83905,1.50693,2,0,2.2423,Cardiff,0.6773,0.2104,0.1123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,1.69077,1.10275,1.69077,0.341659,10,9,2,1,1.8233,w,2018-08-18 17:00:00,1,0,0,3,1.3491110000000002,262,17,176,26,2,0,0,6,1.681231,4.290990000000001,2.60968,3.52982,1.848589,4,1,4.0656,2,0,0,6,1.681231,4.290990000000001,2.60968,3.52982,1.848589,4,1,4.0656,West Ham,0.5097,0.2942,0.1961,a,0.404253,4.34421,0.404253,4.34421,3,16,0,4,0.0137,l,2018-08-12 15:30:00,0,0,1,0,-3.9399570000000006,403,16,249,31,0,1,0,0,-3.9399570000000006,0.404253,4.34421,0.404253,4.34421,0,4,0.0137,0,1,0,0,-3.9399570000000006,0.404253,4.34421,0.404253,4.34421,0,4,0.0137,Liverpool,0.0015,0.0092,0.9893
2,h,2.5887,0.543665,1.82753,0.543665,11,4,2,2,2.7217,d,2018-08-25 17:00:00,0,1,0,1,1.283865,187,20,208,22,2,0,1,7,2.965096,6.87969,3.153345,5.35735,2.392254,6,3,6.7873,2,0,1,7,2.965096,6.87969,3.153345,5.35735,2.392254,6,3,6.7873,Everton,0.876,0.0937,0.0303,h,2.02004,1.77471,2.02004,1.77471,4,7,2,1,1.564,w,2018-08-18 17:00:00,1,0,0,3,0.2453299999999998,137,27,216,22,1,0,1,4,0.0696739999999997,2.735422,2.665748,2.735422,2.665748,4,3,2.7344,1,0,1,4,0.0696739999999997,2.735422,2.665748,2.735422,2.665748,4,3,2.7344,Southampton,0.4316,0.2692,0.2992
3,a,0.950959,1.16408,0.950959,1.16408,3,15,0,2,1.2144,l,2018-09-01 14:00:00,0,0,1,0,-0.213121,361,17,115,14,2,1,1,7,2.751975,7.830649,4.317425,6.308309,3.556334,6,5,8.0017,2,1,1,7,2.751975,7.830649,4.317425,6.308309,3.556334,6,5,8.0017,Chelsea,0.3007,0.3123,0.387,a,1.49669,0.209337,0.735524,0.209337,13,3,2,1,2.5616000000000003,w,2018-08-26 18:00:00,1,0,0,3,0.526187,80,18,338,14,3,0,0,9,0.9431819999999996,5.52895,3.063432,4.006614,3.063432,8,3,6.191700000000001,3,0,0,9,0.9431819999999996,5.52895,3.063432,4.006614,3.063432,8,3,6.191700000000001,Newcastle United,0.7952,0.176,0.0288
4,h,2.22726,1.82502,1.46609,1.06386,6,8,4,2,1.6923,w,2018-09-15 14:00:00,1,0,0,3,0.4022299999999998,203,12,196,28,3,1,1,10,3.154205,10.057909,6.142445,7.774399000000001,4.620194,10,7,9.694,3,1,1,10,3.154205,10.057909,6.142445,7.774399000000001,4.620194,10,7,9.694,Leicester,0.4797,0.2532,0.2671,h,0.981217,1.22722,0.981217,1.22722,5,5,1,2,1.1133000000000002,l,2018-09-01 11:30:00,0,0,1,0,-0.2460029999999999,286,22,267,27,2,2,0,6,-0.1556090000000001,3.460125,4.376904,3.460125,3.615734,6,5,4.3538,2,2,0,6,-0.1556090000000001,3.460125,4.376904,3.460125,3.615734,6,5,4.3538,Liverpool,0.2629,0.3246,0.4125
5,a,0.976413,2.29417,0.976413,2.29417,10,10,0,4,0.4392,l,2018-09-22 14:00:00,0,0,1,0,-1.3177569999999998,156,9,330,32,3,2,1,10,1.836448,11.034322,8.436615,8.750812,6.914363999999999,10,11,10.1332,2,2,1,7,1.504328,8.434102,6.929684999999999,6.911762,5.407434,8,11,7.8909,Burnley,0.0881,0.1749,0.737,a,0.208994,3.3916,0.208994,3.3916,3,11,0,1,0.0428,l,2018-09-16 12:30:00,0,0,1,0,-3.182606,287,16,226,13,0,4,1,1,-5.717694,4.677955999999999,11.15682,4.677955999999999,10.39565,3,10,3.3985000000000003,0,4,1,1,-5.717694,4.677955999999999,11.15682,4.677955999999999,10.39565,3,10,3.3985000000000003,Wolverhampton Wanderers,0.0039,0.0311,0.965
6,h,1.97143,0.385841,1.21026,0.385841,4,11,2,1,2.6379,w,2018-10-01 19:00:00,1,0,0,3,0.8244189999999999,301,20,234,18,4,2,1,13,2.660867,13.005752,8.822455999999999,9.961072,7.300204999999999,12,12,12.7711,2,2,1,7,0.9796359999999998,8.714762,6.212776000000001,6.431252,5.4516160000000005,8,11,8.7055,Crystal Palace,0.8371,0.1266,0.0363,h,0.930793,0.229309,0.930793,0.229309,9,1,0,0,1.9934,d,2018-09-22 14:00:00,0,1,0,1,0.701484,147,20,271,29,2,3,1,7,-0.6312230000000001,6.695172,8.848735000000001,6.695172,7.326395,4,6,7.337199999999999,1,3,1,4,-1.0713070000000002,5.617011999999999,8.210659,5.617011999999999,6.688319,2,6,5.5868,Newcastle United,0.5398,0.374,0.0862
7,a,3.28471,1.06613,2.52354,1.06613,5,6,4,0,2.7696,w,2018-10-06 14:00:00,1,0,0,3,1.45741,199,13,241,21,5,2,1,16,4.118277,16.290461999999998,9.888585999999998,12.484612,8.366335,16,12,15.540699999999998,3,2,0,9,1.153181,9.410772,6.735241,7.127262,5.974081,10,9,8.7534,Watford,0.8986,0.0738,0.0276,a,2.62141,1.57061,2.62141,1.57061,4,9,0,2,2.1028,l,2018-09-29 14:00:00,0,0,1,0,1.0508,278,27,144,16,4,2,1,13,2.8577260000000004,10.499059,7.641333,10.499059,7.641333,11,8,11.6217,2,2,1,7,0.3645880000000001,7.158239,6.7936510000000006,7.158239,6.7936510000000006,6,7,6.7689,Arsenal,0.6346,0.199,0.1664
8,h,0.840403,0.589633,0.840403,0.589633,4,4,0,0,1.588,d,2018-10-20 14:00:00,0,1,0,1,0.25077,154,11,269,27,5,2,2,17,4.369047,17.130864999999996,10.478218999999998,13.325015,8.955967999999999,16,12,17.1287,3,1,1,10,1.6170720000000005,9.300216,6.160794,7.016706,5.399634,10,7,9.127,Southampton,0.4011,0.3847,0.2142,h,1.487,3.54699,1.487,3.54699,5,15,0,3,0.3072,l,2018-10-07 13:15:00,0,0,1,0,-2.05999,325,23,193,17,1,5,2,5,-4.635706999999999,11.145568,15.020104999999996,9.623228,14.258934999999996,6,14,8.1742,1,3,1,4,-4.026605999999999,7.808424,11.07386,6.286084,10.31269,4,10,4.6865,Chelsea,0.0646,0.1134,0.822
9,a,2.10555,0.383833,1.34439,0.383833,12,1,3,0,2.6882,w,2018-10-27 14:00:00,1,0,0,3,0.960557,318,10,275,17,6,2,2,20,5.329604,19.236415,10.862051999999997,14.669405,9.339800999999998,19,12,19.8169,3,1,1,10,2.175399,9.178506,4.719607,6.895006,4.719607,9,5,10.1229,Fulham,0.8585,0.1127,0.0288,a,0.947712,1.7562,0.947712,1.7562,6,4,2,4,0.8002,l,2018-10-20 14:00:00,0,0,1,0,-0.808488,97,23,260,25,1,6,2,5,-7.763246999999999,10.435803,20.48245,10.435803,18.19905,11,25,7.4152,0,4,1,1,-6.210062999999999,4.915057,11.88618,4.915057,11.12512,4,16,3.9135,Cardiff,0.1823,0.2533,0.5644
