,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,1.50693,2.60022,1.50693,1.83905,5,12,0,2,0.5473,l,2018-08-11 17:00:00,0,0,1,0,-0.3321199999999999,269,17,107,19,0,1,0,0,-0.3321199999999999,1.50693,2.60022,1.50693,1.83905,0,2,0.5473,0,1,0,0,-0.3321199999999999,1.50693,2.60022,1.50693,1.83905,0,2,0.5473,Bournemouth,0.1123,0.2104,0.6773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,1.15521,1.55405,1.15521,0.79288,3,3,0,0,1.0033,d,2018-08-18 14:30:00,0,1,0,1,0.36233,151,30,107,17,0,1,1,1,0.03021,2.66214,4.15427,2.66214,2.63193,0,2,1.5506000000000002,0,1,1,1,0.03021,2.66214,4.15427,2.66214,2.63193,0,2,1.5506000000000002,Newcastle United,0.2369,0.2926,0.4705,h,0.974497,2.58097,0.974497,2.58097,8,3,1,2,0.3879,l,2018-08-11 14:30:00,0,0,1,0,-1.6064730000000005,349,20,198,35,0,1,0,0,-1.6064730000000005,0.974497,2.58097,0.974497,2.58097,1,2,0.3879,0,1,0,0,-1.6064730000000005,0.974497,2.58097,0.974497,2.58097,1,2,0.3879,Tottenham,0.08,0.1479,0.7721
2,a,1.06351,0.203453,1.06351,0.203453,5,1,0,0,2.1796999999999995,d,2018-08-25 17:00:00,0,1,0,1,0.860057,195,23,106,12,0,1,2,2,0.890267,3.72565,4.357723,3.72565,2.835383,0,2,3.7303,0,1,2,2,0.890267,3.72565,4.357723,3.72565,2.835383,0,2,3.7303,Huddersfield,0.6204,0.3185,0.0611,a,0.663731,4.60356,0.663731,4.60356,4,17,1,6,0.0258,l,2018-08-19 15:30:00,0,0,1,0,-3.939829,317,9,101,11,0,2,0,0,-5.096814,1.0598459999999998,6.91783,1.0598459999999998,6.15666,1,9,0.1911,0,2,0,0,-5.096814,1.0598459999999998,6.91783,1.0598459999999998,6.15666,1,9,0.1911,Manchester City,0.0025,0.0183,0.9792
3,h,0.77426,1.41005,0.77426,1.41005,5,15,2,3,0.8539000000000001,l,2018-09-02 12:30:00,0,0,1,0,-0.6357900000000001,360,22,81,18,0,2,2,2,0.2544769999999999,4.49991,5.767773,4.49991,4.245433,2,5,4.5842,0,2,2,2,0.2544769999999999,4.49991,5.767773,4.49991,4.245433,2,5,4.5842,Arsenal,0.1947,0.2698,0.5355,h,1.7852,1.17924,1.7852,1.17924,8,10,3,1,1.8239,w,2018-08-25 17:00:00,1,0,0,3,0.6059599999999998,166,33,319,18,1,2,0,3,-0.2266629999999998,4.688367,4.91503,4.688367,4.91503,5,6,4.002,1,2,0,3,-0.2266629999999998,4.688367,4.91503,4.688367,4.91503,5,6,4.002,West Ham,0.5255,0.2474,0.2271
4,a,0.8276,2.67145,0.8276,1.91028,3,13,1,4,0.2624999999999999,l,2018-09-15 14:00:00,0,0,1,0,-1.08268,404,22,84,21,0,3,2,2,-0.8282029999999999,5.32751,8.439223,5.32751,6.155713,3,9,4.8467,0,3,2,2,-0.8282029999999999,5.32751,8.439223,5.32751,6.155713,3,9,4.8467,Chelsea,0.0433,0.1326,0.8241,h,1.16408,0.950959,1.16408,0.950959,15,3,2,0,1.4733,w,2018-09-01 14:00:00,1,0,0,3,0.213121,115,14,361,17,4,0,0,12,1.156303,6.69303,4.014391,5.170694,4.014391,10,3,7.665000000000001,4,0,0,12,1.156303,6.69303,4.014391,5.170694,4.014391,10,3,7.665000000000001,Bournemouth,0.387,0.3123,0.3007
5,h,0.0980726,3.08415,0.0980726,3.08415,2,18,0,5,0.0439,l,2018-09-22 14:00:00,0,0,1,0,-2.9860774,540,8,107,14,0,4,2,2,-3.8142804,5.4255826,11.523373,5.4255826,9.239863,3,14,4.8906,0,3,2,2,-3.4821604,3.9186526,8.923153,3.9186526,7.400813,3,12,4.3433,Manchester City,0.0029,0.0352,0.9619,h,4.91621,0.342698,4.91621,0.342698,22,3,3,0,2.9919,w,2018-09-15 14:00:00,1,0,0,3,4.573512,228,21,420,11,4,0,1,13,12.579401,15.849539999999998,3.270139,15.849539999999998,3.270139,14,3,12.9744,4,0,1,13,12.579401,15.849539999999998,3.270139,15.849539999999998,3.270139,14,3,12.9744,Fulham,0.9962,0.0033,0.0005
6,h,1.56707,0.111527,1.56707,0.111527,14,6,1,2,2.5845,l,2018-09-30 15:00:00,0,0,1,0,1.455543,105,17,90,13,0,5,2,2,-2.3587374,6.9926526,11.6349,6.9926526,9.35139,4,16,7.4751,0,4,1,1,-2.3889474,4.3305126,7.48063,4.3305126,6.71946,4,14,5.9245,Burnley,0.8015,0.18,0.0185,h,2.29417,0.976413,2.29417,0.976413,10,10,4,0,2.3859,w,2018-09-22 14:00:00,1,0,0,3,1.3177569999999998,330,32,156,9,1,4,1,4,-4.399937,6.972125999999999,12.133233,6.972125999999999,11.372063,7,10,5.7844,1,4,0,3,-4.788266999999999,5.563856,11.113293,5.563856,10.352123,7,10,4.1084,Bournemouth,0.737,0.1749,0.0881
7,a,1.13843,2.6517,1.13843,2.6517,2,17,0,1,0.4323,l,2018-10-06 14:00:00,0,0,1,0,-1.51327,357,20,72,8,0,6,2,2,-3.8720074,8.131082600000001,14.2866,8.131082600000001,12.00309,4,17,7.9074,0,5,0,0,-4.7622744,4.405432599999999,9.928877,4.405432599999999,9.167707,4,15,4.1771,Tottenham,0.0881,0.168,0.7439,a,2.33733,0.339245,1.57616,0.339245,1,3,2,0,2.7757,w,2018-09-29 14:00:00,1,0,0,3,1.236915,214,15,215,35,5,2,0,15,3.5173640000000006,13.480779000000002,8.441115,11.958479000000002,8.441115,14,7,13.4263,3,2,0,9,0.0862910000000003,7.632678999999999,6.024088,6.110379,6.024088,9,5,8.482099999999999,Huddersfield,0.8965,0.0862,0.0173
8,h,1.7562,0.947712,1.7562,0.947712,4,6,4,2,1.9465,w,2018-10-20 14:00:00,1,0,0,3,0.808488,260,25,97,23,1,6,2,5,-3.0635194,9.8872826,15.234312,9.8872826,12.950802,8,19,9.8539,1,4,0,3,-3.3179964,5.3873726,9.466539,5.3873726,8.705369,6,14,5.2697,Fulham,0.5644,0.2533,0.1823,h,1.31588,1.13706,1.31588,1.13706,5,12,1,5,1.4962,l,2018-10-07 11:00:00,0,0,1,0,0.1788199999999999,311,26,276,18,1,5,2,5,-6.954758999999999,9.488091,18.72625,9.488091,16.44285,9,21,6.615,0,3,2,2,-5.045845,5.482895,12.81214,5.482895,10.52874,4,14,3.7032,Arsenal,0.4029,0.2875,0.3096
9,a,0.643117,2.30176,0.643117,2.30176,1,16,1,4,0.2206,l,2018-10-27 14:00:00,0,0,1,0,-1.6586429999999996,496,6,81,12,1,7,2,5,-4.722162399999999,10.5303996,17.536071999999997,10.5303996,15.252562,9,23,10.0745,1,4,0,3,-3.8939594,5.2028896,9.096849,5.2028896,9.096849,6,14,5.2278,Liverpool,0.0269,0.1399,0.8332,a,0.663819,0.638341,0.663819,0.638341,10,0,1,0,1.34,w,2018-10-20 16:30:00,1,0,0,3,0.025478,341,18,330,24,7,0,2,23,10.957122,17.834982999999998,6.87786,17.073812999999998,6.116690999999999,16,3,18.486,3,0,2,11,3.800606,7.627603000000001,4.588166000000001,7.627603000000001,3.826997,7,2,8.748000000000001,Huddersfield,0.313,0.401,0.286
