,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.715382,0.891038,0.715382,0.891038,2,4,2,2,1.1704,d,2018-08-11 19:30:00,0,1,0,1,-0.175656,312,20,228,9,0,0,1,1,-0.175656,0.715382,0.891038,0.715382,0.891038,2,2,1.1704,0,0,1,1,-0.175656,0.715382,0.891038,0.715382,0.891038,2,2,1.1704,Wolverhampton Wanderers,0.2643,0.3775,0.3582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,2.02004,1.77471,2.02004,1.77471,4,7,2,1,1.564,w,2018-08-18 17:00:00,1,0,0,3,0.2453299999999998,137,27,216,22,1,0,1,4,0.0696739999999997,2.735422,2.665748,2.735422,2.665748,4,3,2.7344,1,0,1,4,0.0696739999999997,2.735422,2.665748,2.735422,2.665748,4,3,2.7344,Southampton,0.4316,0.2692,0.2992,h,1.01994,1.40827,1.01994,1.40827,3,7,0,0,1.0448,d,2018-08-12 15:30:00,0,1,0,1,-0.3883299999999998,199,12,164,21,0,0,1,1,-0.3883299999999998,1.01994,1.40827,1.01994,1.40827,0,0,1.0448,0,0,1,1,-0.3883299999999998,1.01994,1.40827,1.01994,1.40827,0,0,1.0448,Burnley,0.2552,0.2792,0.4656
2,a,0.543665,2.5887,0.543665,1.82753,4,11,2,2,0.1846,d,2018-08-25 17:00:00,0,1,0,1,-1.283865,208,22,187,20,1,0,2,5,-1.2141910000000002,3.279087,5.254448,3.279087,4.493278,6,5,2.919,1,0,2,5,-1.2141910000000002,3.279087,5.254448,3.279087,4.493278,6,5,2.919,Bournemouth,0.0303,0.0937,0.876,a,1.69077,1.10275,1.69077,0.341659,10,9,2,1,1.8233,w,2018-08-18 17:00:00,1,0,0,3,1.3491110000000002,262,17,176,26,2,0,0,6,1.681231,4.290990000000001,2.60968,3.52982,1.848589,4,1,4.0656,2,0,0,6,1.681231,4.290990000000001,2.60968,3.52982,1.848589,4,1,4.0656,West Ham,0.5097,0.2942,0.1961
3,h,0.616013,0.660035,0.616013,0.660035,2,1,1,1,1.2222,d,2018-09-01 14:00:00,0,1,0,1,-0.044022,179,21,271,29,1,0,3,6,-1.2582130000000002,3.8951,5.914483,3.8951,5.153313,7,6,4.1412,1,0,3,6,-1.2582130000000002,3.8951,5.914483,3.8951,5.153313,7,6,4.1412,Huddersfield,0.272,0.4062,0.3218,h,0.203453,1.06351,0.203453,1.06351,1,5,0,0,0.5018,d,2018-08-25 17:00:00,0,1,0,1,-0.860057,106,12,195,23,0,2,1,1,-5.9568710000000005,1.263299,7.98134,1.263299,7.220169999999999,1,9,0.6929000000000001,0,2,1,1,-5.9568710000000005,1.263299,7.98134,1.263299,7.220169999999999,1,9,0.6929000000000001,Cardiff,0.0611,0.3185,0.6204
4,h,1.26774,1.52437,1.26774,1.52437,5,7,1,3,1.1214,l,2018-09-16 15:00:00,0,0,1,0,-0.2566299999999999,179,27,244,22,1,1,3,6,-1.5148430000000002,5.16284,7.438853,5.16284,6.677683,8,9,5.262599999999999,1,1,3,6,-1.5148430000000002,5.16284,7.438853,5.16284,6.677683,8,9,5.262599999999999,West Ham,0.2789,0.2847,0.4364,h,0.888887,1.22301,0.888887,1.22301,7,4,0,1,1.0284,l,2018-09-01 14:00:00,0,0,1,0,-0.3341229999999999,301,21,269,26,0,4,0,0,-6.229151,3.57513,9.04319,2.814039,9.04319,2,10,2.8533,0,4,0,0,-6.229151,3.57513,9.04319,2.814039,9.04319,2,10,2.8533,Wolverhampton Wanderers,0.2413,0.3045,0.4542
5,a,1.06523,0.930544,1.06523,0.930544,5,15,0,2,1.4826,l,2018-09-23 15:00:00,0,0,1,0,0.1346859999999998,309,18,151,31,1,2,3,6,-1.3801570000000003,6.22807,8.369397,6.22807,7.608227,8,11,6.745199999999999,1,2,2,5,-1.2045010000000005,5.512688,7.478359,5.512688,6.717189,6,9,5.5748,Arsenal,0.3848,0.3282,0.287,a,0.90461,0.412121,0.90461,0.412121,10,3,2,1,1.7786,w,2018-09-15 14:00:00,1,0,0,3,0.492489,149,21,354,24,3,2,0,9,0.9016160000000002,7.003027,6.101411,7.003027,6.101411,10,9,7.656899999999999,3,2,0,9,0.9016160000000002,7.003027,6.101411,7.003027,6.101411,10,9,7.656899999999999,Newcastle United,0.4688,0.3722,0.159
6,h,2.31538,0.536317,1.55432,0.536317,7,6,3,0,2.649,w,2018-09-29 14:00:00,1,0,0,3,1.0180029999999998,216,26,230,23,2,2,3,9,-0.3621540000000005,8.54345,8.905714,7.782389999999999,8.144544,11,11,9.394199999999998,1,2,2,5,-0.4318280000000003,5.808028,6.239966000000001,5.046968,5.478796000000001,7,8,6.6598,Fulham,0.8411,0.1257,0.0332,h,1.77245,1.76133,1.77245,1.76133,4,5,1,1,1.387,d,2018-09-22 11:30:00,0,1,0,1,0.01112,141,17,302,25,1,3,2,5,-6.115576,7.635894,15.27381,7.635894,13.75147,8,13,4.8935,1,2,2,5,-5.675492,6.9978180000000005,14.19565,6.9978180000000005,12.67331,8,11,3.9681,Watford,0.3766,0.2572,0.3662
7,a,1.14952,1.10472,1.14952,1.10472,6,2,2,1,1.3692,w,2018-10-06 14:00:00,1,0,0,3,0.0448000000000001,263,20,212,17,3,2,3,12,-0.3173540000000003,9.69297,10.010434,8.93191,9.249264,13,12,10.763399999999995,2,2,1,7,0.8968369999999999,6.413883,4.755986,5.652823,4.755986,7,7,7.8444,Leicester,0.3529,0.3105,0.3366,a,1.34341,0.397301,0.582246,0.397301,3,3,2,0,2.3033,w,2018-09-29 14:00:00,1,0,0,3,0.184945,191,21,315,27,4,3,0,12,0.7429700000000002,8.432595000000001,7.689640999999999,6.910271,6.167301,13,10,9.956,3,2,0,9,0.6280170000000004,6.471622,5.082451,4.949298000000001,4.321281,10,8,7.991300000000001,Newcastle United,0.6867,0.2432,0.0701
8,h,1.92794,1.50174,1.92794,0.740567,10,5,2,0,1.6654,w,2018-10-21 15:00:00,1,0,0,3,1.187373,176,20,266,30,4,2,3,15,0.8700189999999997,11.62091,11.512174,10.85985,9.989831,15,12,12.428799999999995,3,2,0,9,2.128232,7.725810000000001,5.597690999999999,6.96475,4.836518,8,6,8.287600000000001,Crystal Palace,0.4635,0.2749,0.2616,h,1.03714,0.755654,1.03714,0.755654,6,4,0,1,1.6276000000000002,l,2018-10-06 14:00:00,0,0,1,0,0.2814859999999999,148,25,386,21,2,5,1,7,-1.1741560000000002,8.118153,11.575819,8.118153,9.292309,5,9,9.2003,1,3,1,4,0.0047219999999997,5.452335,6.969952999999999,5.452335,5.4476130000000005,2,5,5.9519,Wolverhampton Wanderers,0.4233,0.3577,0.219
9,a,1.67348,2.51393,0.912308,1.64513,6,5,1,2,0.7351,l,2018-10-28 15:00:00,0,0,1,0,-0.732822,268,25,239,27,4,3,3,15,0.1371969999999996,13.29439,14.026104,11.772158,11.634961,16,14,13.163899999999996,3,2,0,9,1.65204,8.131549999999999,6.587251,6.609318000000001,4.9572780000000005,8,5,7.9013,Manchester United,0.1673,0.2332,0.5995,a,1.11454,2.21163,1.11454,2.21163,4,9,2,2,0.5613999999999999,d,2018-10-20 11:30:00,0,1,0,1,-1.09709,336,29,199,21,4,3,2,14,-1.1276769999999998,14.044728999999998,13.65007,11.761222,12.888899,15,16,12.088700000000005,2,1,2,8,-0.709441,6.658439,7.367879999999999,6.658439,7.367879999999999,9,9,6.0918,Chelsea,0.1147,0.2173,0.668
10,h,2.59305,0.676348,2.59305,0.676348,10,0,3,1,2.6791,w,2018-11-03 15:00:00,1,0,0,3,1.916702,178,28,286,26,5,3,3,18,2.0538989999999995,15.88744,14.702452,14.365208,12.311309,19,15,15.842999999999996,4,1,0,12,3.434056,9.65937,6.333055,8.137138,4.703081999999999,11,4,9.0978,Brighton,0.8542,0.1165,0.0293,h,1.01337,1.38027,1.01337,1.38027,6,4,1,0,1.0776,w,2018-10-27 14:00:00,1,0,0,3,-0.3669,253,16,199,36,4,4,2,14,-7.784896000000001,11.042708,18.06639,7.998026999999999,15.782923,11,13,9.0113,3,2,0,9,-5.028638,3.762232,9.552,3.762232,8.79087,4,4,3.2258,Wolverhampton Wanderers,0.259,0.3006,0.4404
11,a,0.198027,1.16298,0.198027,1.16298,0,7,0,0,0.4373,d,2018-11-11 14:15:00,0,1,0,1,-0.964953,431,25,171,25,5,3,4,19,1.0889459999999995,16.085467,15.865432,14.563235,13.474289,19,15,16.280299999999997,3,1,1,10,1.4511000000000005,7.542016999999999,6.9597180000000005,6.780844999999999,5.329745,8,4,6.886100000000001,Chelsea,0.053,0.2783,0.6687,h,1.88741,0.454547,1.88741,0.454547,9,4,3,1,2.4744,w,2018-11-04 16:00:00,1,0,0,3,1.432863,181,18,533,27,8,0,3,27,10.476718,23.68654,10.926316,21.403034,10.926316,27,8,23.8078,3,0,2,11,7.371995000000001,12.43862,5.066625,12.43862,5.066625,13,4,11.5203,Crystal Palace,0.7673,0.1725,0.0602
12,h,2.48066,0.879108,2.48066,0.879108,5,1,1,0,2.515,w,2018-11-24 15:00:00,1,0,0,3,1.601552,81,18,282,14,6,3,4,22,2.6904979999999994,18.566127,16.74454,17.043895,14.353397,20,15,18.7953,3,1,1,10,3.007852,8.873156999999999,6.734106000000001,8.111984999999999,5.104132999999999,7,3,8.0319,Cardiff,0.7864,0.1558,0.0578,h,1.94297,0.767044,1.94297,0.767044,4,3,2,1,2.3666,w,2018-11-10 12:30:00,1,0,0,3,1.175926,164,20,211,25,2,8,2,8,-4.806854399999999,13.395631600000002,20.485996,13.395631600000002,18.202486,11,25,12.869799999999998,2,3,0,6,-2.4481169999999994,6.402979,8.851096,6.402979,8.851096,7,9,5.3947,Brighton,0.7218,0.2012,0.077
13,a,1.23014,3.07574,1.23014,3.07574,5,8,0,1,0.2555,l,2018-12-02 16:15:00,0,0,1,0,-1.8456,305,18,208,34,6,4,4,22,0.8448979999999993,19.796267,19.82028,18.274035,17.429137,20,16,19.0508,2,2,1,7,-0.0251210000000003,8.175357,8.308106,7.414185,7.439306,5,4,6.622,Liverpool,0.0441,0.1232,0.8327,a,1.45314,0.673382,1.45314,0.673382,7,3,3,0,2.0938,w,2018-11-24 15:00:00,1,0,0,3,0.7797580000000001,171,26,361,24,10,0,3,33,14.620761999999996,25.009633,10.38887,24.248463,9.627701,26,5,26.7575,4,0,1,13,3.689118,7.838469,4.149351,7.838469,4.149351,11,2,9.6115,Watford,0.6049,0.2791,0.116
14,h,2.10943,1.52214,2.10943,1.52214,5,4,1,1,1.8095,d,2018-12-05 19:45:00,0,1,0,1,0.5872900000000001,102,16,332,27,6,4,5,23,1.4321879999999994,21.905697,21.34242,20.383465,18.951277,21,17,20.8603,2,1,2,8,1.2949909999999998,8.611307,7.316316,8.611307,7.316316,5,3,7.696399999999999,Newcastle United,0.5162,0.2609,0.2229,h,1.12583,2.62697,1.12583,2.62697,9,3,0,3,0.4187,l,2018-12-01 15:00:00,0,0,1,0,-1.50114,182,19,282,16,3,8,3,12,-9.007542,13.970199,23.738901,13.209029,22.216571,11,19,12.127299999999998,3,1,1,10,-3.4085590000000003,6.367511,9.77607,6.367511,9.77607,5,5,4.6287,West Ham,0.0892,0.1511,0.7597
15,h,1.72686,1.63043,0.965692,1.63043,9,5,2,2,1.44,d,2018-12-10 20:00:00,0,1,0,1,-0.664738,143,20,206,28,6,4,6,24,0.7674499999999993,23.632557,22.97285,21.349157,20.581707,23,19,22.3003,1,1,3,6,-1.2864490000000002,7.745117,8.270398,6.983949,8.270398,4,4,6.4573,Watford,0.3873,0.2781,0.3346,h,1.672,2.51933,1.672,2.51933,7,14,1,2,0.7946,l,2018-12-04 20:00:00,0,0,1,0,-0.8473300000000001,395,10,146,21,6,7,2,20,4.454348,22.095351,19.163343,22.095351,17.641002999999998,18,21,22.7063,0,4,1,1,0.6429769999999997,7.165541999999999,7.283735,7.165541999999999,6.522565,2,9,6.3647,Manchester City,0.1896,0.2258,0.5846
16,a,1.6235,1.79848,1.6235,1.79848,4,6,1,3,1.2283,l,2018-12-15 12:30:00,0,0,1,0,-0.1749800000000001,411,17,208,24,6,5,6,24,0.5924699999999992,25.256057,24.771330000000003,22.972657,22.380187000000003,24,22,23.5286,1,2,2,5,-0.4964760000000003,9.17059,8.905898,8.409422,8.905898,5,7,7.248299999999999,Manchester City,0.3206,0.2665,0.4129,a,0.740048,0.526329,0.740048,0.526329,11,3,0,2,1.5059,l,2018-12-08 17:30:00,0,0,1,0,0.213719,292,35,404,23,13,1,2,41,32.56861839999999,43.180948,11.3734996,42.41977899999999,9.851160600000002,45,9,39.63679999999999,4,1,0,12,7.128545000000001,11.081108,4.713732,11.081108,3.952563,12,5,11.2583,Chelsea,0.3674,0.4037,0.2289
17,h,1.00121,2.55514,1.00121,2.55514,3,5,2,6,0.3945000000000001,l,2018-12-23 16:00:00,0,0,1,0,-1.5539300000000005,417,28,213,20,6,6,6,24,-0.9614600000000012,26.257267,27.326470000000004,23.973867,24.935327000000004,26,28,23.9231,0,3,2,2,-3.651958000000001,7.691140000000001,10.58193,6.929971999999999,10.58193,6,13,5.1278,Tottenham,0.0787,0.1584,0.7629,h,1.74625,0.451196,1.74625,0.451196,11,4,1,0,2.4027,w,2018-12-15 15:00:00,1,0,0,3,1.295054,99,14,327,18,13,4,0,39,8.253063000000001,29.717453,21.464431,27.433986,19.180923,31,16,29.64,4,1,0,12,2.529439,8.839728000000001,6.3102920000000005,8.078561,5.5491220000000006,11,6,8.7544,Burnley,0.7347,0.1986,0.0667
18,a,1.8875,1.88646,1.12637,1.88646,6,3,5,1,1.3337,w,2018-12-26 15:00:00,1,0,0,3,-0.7600899999999999,202,16,231,23,7,6,6,27,-1.721550000000001,28.144767,29.212930000000004,25.100237,26.821787000000004,31,29,25.2568,1,2,2,5,-2.5664480000000003,8.3485,9.39265,6.826202,9.39265,11,13,6.206,Burnley,0.3457,0.2966,0.3577,a,1.03237,1.4656,1.03237,1.4656,4,9,1,3,1.0021,l,2018-12-22 12:30:00,0,0,1,0,-0.43323,340,25,184,23,3,12,3,12,-20.671015,15.479264999999998,36.91145,15.479264999999998,36.15028,16,36,12.7573,1,4,0,3,-4.283534,4.656643,8.940177,4.656643,8.940177,3,9,3.944,Arsenal,0.2321,0.3058,0.4621
19,a,0.655851,1.60311,0.655851,1.60311,5,4,0,1,0.5871,l,2018-12-29 15:00:00,0,0,1,0,-0.947259,169,13,240,26,7,7,6,27,-2.6688090000000013,28.800618,30.816040000000005,25.756088,28.424897000000005,31,30,25.8439,1,3,1,4,-4.100997,6.894921000000001,9.47362,5.372623,9.47362,10,13,4.983600000000001,Brighton,0.1184,0.2319,0.6497,h,1.38502,0.789138,1.38502,0.789138,8,10,1,1,1.946,d,2018-12-26 17:15:00,0,1,0,1,0.5958819999999999,473,24,159,11,6,9,4,22,-11.22014,19.703760000000003,30.923853,15.897906,27.118046000000003,21,27,18.266900000000003,1,3,1,4,-1.962787,4.675364999999999,6.63815,3.914192,5.876979000000001,5,7,5.2668,Arsenal,0.544,0.314,0.142
20,h,0.871304,0.644144,0.871304,0.644144,10,2,0,1,1.5005,l,2019-01-01 12:30:00,0,0,1,0,0.2271599999999999,175,31,265,18,7,8,6,27,-2.4416490000000013,29.671921999999995,31.460184000000005,26.627392,29.06904100000001,31,31,27.3444,1,4,0,3,-3.2090990000000006,6.039365,8.487334,5.2782350000000005,8.487334,8,12,5.0441,Leicester,0.3767,0.3704,0.2529,h,1.51648,0.493212,0.755309,0.493212,9,3,0,1,2.2903,l,2018-12-29 15:00:00,0,0,1,0,0.262097,98,13,245,27,8,8,4,28,-1.3308700000000002,24.656925000000008,23.704301,20.851091000000007,22.181961,24,23,28.7304,2,3,0,6,-1.538562,4.783159,5.56055,4.021988,5.56055,3,5,6.482900000000001,Cardiff,0.6872,0.2287,0.0841
21,h,1.7814,1.52828,1.7814,1.52828,6,8,2,0,1.5785,w,2019-01-13 14:15:00,1,0,0,3,0.25312,171,28,200,18,8,8,6,30,-2.1885290000000013,31.453322,32.98846400000001,28.408792,30.597321000000004,33,31,28.9229,2,3,0,6,-2.780999,6.197265,8.217134,5.436135,8.217134,9,9,5.3943,Bournemouth,0.4406,0.2567,0.3027,h,2.84828,0.977046,2.84828,0.977046,9,9,3,3,2.559,d,2019-01-02 19:45:00,0,1,0,1,1.871234,192,17,265,15,8,10,3,27,-5.1773240000000005,31.990791,34.123356,27.423781,32.601105,31,40,28.1304,1,3,1,4,-3.2875230000000006,6.190541,9.478064,6.190541,9.478064,6,14,4.927200000000001,Watford,0.8085,0.1335,0.058
