,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,1.5137,1.73813,0.75253,1.73813,3,10,2,1,1.1711,w,2018-08-10 22:00:00,1,0,0,3,-0.9856,285,18,298,26,1,0,0,3,-0.9856,1.5137,1.73813,0.75253,1.73813,2,1,1.1711,1,0,0,3,-0.9856,1.5137,1.73813,0.75253,1.73813,2,1,1.1711,Leicester,0.2812,0.3275,0.3913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,1.56579,1.63672,0.804623,0.875549,5,2,2,3,1.244,l,2018-08-19 18:00:00,0,0,1,0,-0.070926,131,14,397,36,1,1,0,3,-1.056526,3.07949,3.37485,1.557153,2.613679,4,4,2.4151,1,1,0,3,-1.056526,3.07949,3.37485,1.557153,2.613679,4,4,2.4151,Brighton,0.2989,0.3473,0.3538,a,0.45504,1.42372,0.45504,1.42372,2,8,0,2,0.5538000000000001,l,2018-08-11 17:00:00,0,0,1,0,-0.96868,228,16,235,27,0,1,0,0,-0.96868,0.45504,1.42372,0.45504,1.42372,0,2,0.5538000000000001,0,1,0,0,-0.96868,0.45504,1.42372,0.45504,1.42372,0,2,0.5538000000000001,Watford,0.0988,0.2574,0.6438
2,h,1.40321,1.80811,1.40321,1.80811,7,6,0,3,1.0506,l,2018-08-27 22:00:00,0,0,1,0,-0.4049,198,21,269,32,1,2,0,3,-1.461426,4.4827,5.18296,2.960363,4.421789,4,7,3.4657,1,2,0,3,-1.461426,4.4827,5.18296,2.960363,4.421789,4,7,3.4657,Tottenham,0.269,0.2436,0.4874,h,3.26713,1.44253,3.26713,1.44253,20,4,3,1,2.48,w,2018-08-18 17:00:00,1,0,0,3,1.8246,285,34,358,4,2,0,0,6,3.431073,5.8481000000000005,2.417027,5.8481000000000005,2.417027,5,2,4.9442,2,0,0,6,3.431073,5.8481000000000005,2.417027,5.8481000000000005,2.417027,5,2,4.9442,Fulham,0.7814,0.1358,0.0828
3,a,2.90359,1.09923,2.14242,1.09923,13,2,2,0,2.5312,w,2018-09-02 15:00:00,1,0,0,3,1.04319,215,20,294,14,2,2,0,6,-0.4182359999999998,7.386289999999999,6.28219,5.1027830000000005,5.521019000000001,6,7,5.9969,2,2,0,6,-0.4182359999999998,7.386289999999999,6.28219,5.1027830000000005,5.521019000000001,6,7,5.9969,Burnley,0.7978,0.1378,0.0644,a,1.56882,1.92459,1.56882,1.92459,5,10,2,4,1.1357,l,2018-08-25 17:00:00,0,0,1,0,-0.3557699999999999,353,19,164,14,0,2,1,1,-1.4918980000000002,3.369732,4.86163,3.369732,4.86163,3,7,3.0247,0,2,1,1,-1.4918980000000002,3.369732,4.86163,3.369732,4.86163,3,7,3.0247,Fulham,0.2912,0.2621,0.4467
4,a,1.64902,1.17523,1.64902,1.17523,6,7,2,1,1.7992000000000004,w,2018-09-15 16:30:00,1,0,0,3,0.4737899999999999,181,18,281,22,3,2,0,9,0.0555540000000001,9.03531,7.45742,6.751803000000001,6.696249000000001,8,8,7.796100000000001,3,2,0,9,0.0555540000000001,9.03531,7.45742,6.751803000000001,6.696249000000001,8,8,7.796100000000001,Watford,0.5086,0.2734,0.218,h,0.454309,0.582521,0.454309,0.582521,3,5,2,1,1.1059,w,2018-09-02 15:00:00,1,0,0,3,-0.1282119999999999,281,25,122,24,4,0,0,12,2.2918360000000004,4.941089,2.649253,4.941089,2.649253,9,3,7.2357,4,0,0,12,2.2918360000000004,4.941089,2.649253,4.941089,2.649253,9,3,7.2357,Tottenham,0.2195,0.4474,0.3331
5,h,0.62283,1.1185,0.62283,1.1185,12,7,1,1,0.8489,d,2018-09-22 14:00:00,0,1,0,1,-0.49567,199,12,393,22,3,2,1,10,-0.4401159999999999,9.65814,8.57592,7.374633000000001,7.814749000000001,9,9,8.645000000000001,2,2,1,7,0.5454839999999999,8.144440000000001,6.83779,6.622103000000001,6.076619,7,8,7.4739,Wolverhampton Wanderers,0.1789,0.3122,0.5089,h,3.3916,0.208994,3.3916,0.208994,11,3,1,0,2.9261,w,2018-09-16 12:30:00,1,0,0,3,3.182606,226,13,287,16,2,1,2,8,3.983862,7.862897999999999,3.879036,7.862897999999999,3.879036,5,5,9.2138,2,1,2,8,3.983862,7.862897999999999,3.879036,7.862897999999999,3.879036,5,5,9.2138,Burnley,0.965,0.0311,0.0039
6,a,0.865739,1.3029,0.865739,1.3029,2,9,1,3,0.9135,l,2018-09-29 11:30:00,0,0,1,0,-0.4371609999999999,238,21,248,19,3,3,1,10,-0.8772769999999999,10.523879,9.87882,8.240372,9.117649,10,12,9.558500000000002,2,2,1,7,0.179249,7.444388999999999,6.503970000000001,6.683218999999999,6.503970000000001,6,8,7.143400000000001,West Ham,0.1993,0.3156,0.4851,h,1.0177,1.88344,1.0177,1.88344,4,12,0,0,0.7327,d,2018-09-23 12:30:00,0,1,0,1,-0.86574,351,13,148,26,1,4,1,4,-6.838261,6.1172,12.19437,5.356109,12.19437,5,11,5.179900000000001,1,3,1,4,-2.8983040000000004,5.712947,7.850160000000001,4.951855999999999,7.850160000000001,5,7,5.166200000000001,Chelsea,0.161,0.2497,0.5893
7,h,2.40631,1.55962,2.40631,1.55962,12,5,3,2,1.9688,w,2018-10-06 16:30:00,1,0,0,3,0.8466899999999999,85,17,336,25,4,3,1,13,-0.0305869999999999,12.930189,11.43844,10.646682,10.677269,13,14,11.527300000000002,3,1,1,10,1.430839,8.447489,6.25548,7.686318999999999,6.25548,9,7,8.061599999999999,Newcastle United,0.5878,0.2054,0.2068,h,0.397301,1.34341,0.397301,0.582246,3,3,0,2,0.4535,l,2018-09-29 14:00:00,0,0,1,0,-0.184945,315,27,191,21,0,5,2,2,-5.788185,4.331378,10.880723,3.570208,9.358393,4,10,4.5224,0,4,1,1,-3.819382,1.802831,7.1445430000000005,1.802831,5.622213,3,8,2.4304,Leicester,0.0701,0.2432,0.6867
8,a,1.11454,2.21163,1.11454,2.21163,4,9,2,2,0.5613999999999999,d,2018-10-20 11:30:00,0,1,0,1,-1.09709,336,29,199,21,4,3,2,14,-1.1276769999999998,14.044728999999998,13.65007,11.761222,12.888899,15,16,12.088700000000005,2,1,2,8,-0.709441,6.658439,7.367879999999999,6.658439,7.367879999999999,9,9,6.0918,Chelsea,0.1147,0.2173,0.668,a,3.54699,1.487,3.54699,1.487,15,5,3,0,2.5794,w,2018-10-07 13:15:00,1,0,0,3,2.05999,193,17,325,23,6,0,2,20,5.200383,16.57129,9.087401,14.287783999999998,9.087401,18,5,16.247600000000002,3,0,2,11,4.257201,11.04234,6.023969,10.28117,6.023969,10,2,10.0559,Southampton,0.822,0.1134,0.0646
9,h,2.51393,1.67348,1.64513,0.912308,5,6,2,1,2.0317000000000003,w,2018-10-28 15:00:00,1,0,0,3,0.732822,239,27,268,25,5,3,2,17,-0.3948549999999998,16.558659,15.32355,13.406352,13.801207,17,17,14.120400000000004,2,1,2,8,-0.4504089999999999,7.523349,7.86613,6.654549,7.104958000000001,9,9,6.324300000000001,Everton,0.5995,0.2332,0.1673,h,1.92794,1.50174,1.92794,0.740567,10,5,2,0,1.6654,w,2018-10-21 15:00:00,1,0,0,3,1.187373,176,20,266,30,4,2,3,15,0.8700189999999997,11.62091,11.512174,10.85985,9.989831,15,12,12.428799999999995,3,2,0,9,2.128232,7.725810000000001,5.597690999999999,6.96475,4.836518,8,6,8.287600000000001,Crystal Palace,0.4635,0.2749,0.2616
