,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.855516,0.670022,0.855516,0.670022,5,7,3,0,1.5457999999999998,w,2019-08-10 15:00:00,1,0,0,3,0.185494,230,20,274,28,1,0,0,3,0.185494,0.855516,0.670022,0.855516,0.670022,3,0,1.5457999999999998,1,0,0,3,0.185494,0.855516,0.670022,0.855516,0.670022,3,0,1.5457999999999998,Watford,0.3946,0.362,0.2434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,2.40461,1.00856,2.40461,1.00856,8,4,1,1,2.3339,d,2019-08-17 15:00:00,0,1,0,1,1.39605,192,35,275,31,1,0,1,4,1.581544,3.260126,1.678582,3.260126,1.678582,4,1,3.8797,1,0,1,4,1.581544,3.260126,1.678582,3.260126,1.678582,4,1,3.8797,West Ham,0.7183,0.179,0.1027,h,1.2003,3.18377,1.2003,2.42264,1,9,0,5,0.2522,l,2019-08-10 12:30:00,0,0,1,0,-1.22234,328,20,215,31,0,1,0,0,-1.22234,1.2003,3.18377,1.2003,2.42264,0,5,0.2522,0,1,0,0,-1.22234,1.2003,3.18377,1.2003,2.42264,0,5,0.2522,Manchester City,0.0452,0.1166,0.8382
2,h,0.997711,2.07795,0.997711,2.07795,6,6,0,2,0.5691,l,2019-08-24 15:00:00,0,0,1,0,-1.080239,211,23,215,20,1,1,1,4,0.5013050000000001,4.257837,3.756532,4.257837,3.756532,4,3,4.448799999999999,1,1,1,4,0.5013050000000001,4.257837,3.756532,4.257837,3.756532,4,3,4.448799999999999,Southampton,0.1192,0.2115,0.6693,h,2.14047,1.52022,2.14047,1.52022,1,6,1,2,1.8259,l,2019-08-17 15:00:00,0,0,1,0,0.6202500000000002,288,24,132,14,0,2,0,0,0.7985290000000003,3.22799,2.429461,3.22799,2.429461,1,5,3.3395,0,2,0,0,0.7985290000000003,3.22799,2.429461,3.22799,2.429461,1,5,3.3395,Liverpool,0.5327,0.2278,0.2395
3,a,0.861035,2.30818,0.861035,2.30818,7,16,0,4,0.4379,l,2019-08-31 15:00:00,0,0,1,0,-1.447145,346,16,366,32,1,2,1,4,-0.94584,5.1188720000000005,6.064712,5.1188720000000005,6.064712,4,7,4.886699999999999,1,2,1,4,-0.94584,5.1188720000000005,6.064712,5.1188720000000005,6.064712,4,7,4.886699999999999,Manchester City,0.0869,0.1772,0.7359,a,3.12856,1.89345,3.12856,1.89345,17,3,3,1,2.1653,w,2019-08-25 14:00:00,1,0,0,3,1.2351099999999997,119,23,458,20,2,0,1,7,5.583667999999999,9.51309,3.168292,8.75196,3.168292,10,3,7.7288,2,0,1,7,5.583667999999999,9.51309,3.168292,8.75196,3.168292,10,3,7.7288,Bournemouth,0.6639,0.1736,0.1625
4,h,1.68545,0.341654,1.68545,0.341654,13,4,1,1,2.4816,d,2019-09-14 14:00:00,0,1,0,1,1.3437959999999998,111,28,242,20,1,2,2,5,0.3979559999999997,6.804322000000001,6.406366,6.804322000000001,6.406366,5,8,7.3683,1,2,2,5,0.3979559999999997,6.804322000000001,6.406366,6.804322000000001,6.406366,5,8,7.3683,Burnley,0.7641,0.1893,0.0466,h,0.61739,1.20057,0.61739,1.20057,0,11,0,3,0.8487,l,2019-08-31 17:30:00,0,0,1,0,-0.5831799999999999,309,19,149,24,1,2,1,4,0.1267209999999998,4.145971,4.78042,4.145971,4.01925,5,6,4.7763,1,2,1,4,0.1267209999999998,4.145971,4.78042,4.145971,4.01925,5,6,4.7763,Liverpool,0.1772,0.3171,0.5057
5,a,1.21592,1.09807,1.21592,1.09807,6,4,0,0,1.4292,d,2019-09-21 16:30:00,0,1,0,1,0.1178499999999997,128,21,458,20,1,2,3,6,0.5158059999999995,8.020242000000001,7.504436,8.020242000000001,7.504436,5,8,8.7975,0,2,3,3,0.3303119999999995,7.164725999999999,6.834414,7.164725999999999,6.834414,2,8,7.2517,Newcastle United,0.3762,0.3006,0.3232,a,0.291073,2.93281,0.291073,2.93281,4,19,1,3,0.0716,l,2019-09-14 11:30:00,0,0,1,0,-2.641737,419,10,167,24,1,3,1,4,-5.380047,3.1476429999999995,8.52769,3.1476429999999995,8.52769,4,8,3.2353,1,3,1,4,-5.380047,3.1476429999999995,8.52769,3.1476429999999995,8.52769,4,8,3.2353,Liverpool,0.0084,0.0464,0.9452
6,a,0.616263,4.26443,0.616263,3.50326,0,9,0,2,0.0414,l,2019-09-28 14:00:00,0,0,1,0,-2.886997,332,26,349,24,1,3,3,6,-2.3711910000000005,8.636505000000001,11.768866,8.636505000000001,11.007696,5,10,8.838899999999999,0,3,2,2,-3.952735000000001,5.376379,10.090284,5.376379,9.329114,1,9,4.9592,Chelsea,0.0063,0.0225,0.9712,h,1.23321,1.03003,1.23321,1.03003,5,5,1,2,1.5191,l,2019-09-22 15:30:00,0,0,1,0,0.2031799999999999,186,16,277,35,2,2,2,8,3.612549,10.8229,7.971511,10.8229,7.210351,12,13,10.3001,2,1,2,8,4.130469,9.72756,5.597091,9.72756,5.597091,12,9,9.8009,Liverpool,0.4027,0.311,0.2863
7,h,2.60017,0.478504,2.60017,0.478504,12,4,3,0,2.8252,w,2019-10-05 12:30:00,1,0,0,3,2.121666,301,37,259,17,2,3,3,9,-0.2495250000000006,11.236675000000002,12.247369999999998,11.236675000000002,11.486199999999998,8,10,11.6641,1,2,2,5,-0.750830000000001,6.978838,8.490837999999998,6.978838,7.729668,4,7,7.215300000000001,Tottenham,0.9194,0.067,0.0136,h,1.19008,1.16256,1.19008,1.16256,7,8,2,1,1.3805,w,2019-09-28 14:00:00,1,0,0,3,0.0275199999999999,254,8,209,37,3,2,2,11,-0.6298599999999999,9.438442,9.307132,8.677271999999999,9.307132,14,9,10.7198,2,2,1,7,0.5633369999999999,6.79128,5.466773,6.03011,5.466773,9,6,8.0889,Southampton,0.3564,0.3113,0.3323
8,a,1.32184,2.96692,1.32184,2.96692,10,7,1,2,0.4421,l,2019-10-19 15:00:00,0,0,1,0,-1.64508,200,21,271,18,2,4,3,9,-1.8946050000000008,12.558515000000002,15.214289999999998,12.558515000000002,14.453119999999998,9,12,12.1062,1,2,2,5,-0.9487650000000007,7.439643,9.149578,7.439643,8.388408,5,5,7.2195,Aston Villa,0.098,0.1481,0.7539,a,3.67827,1.84838,2.76412,1.84838,9,13,5,1,2.472,w,2019-10-05 15:00:00,1,0,0,3,0.9157400000000002,220,25,145,24,2,4,2,8,-1.6850030000000005,11.162771,13.455949000000002,10.248621,11.933624,13,12,9.343,1,2,2,5,-0.1353129999999998,8.016556,7.998879,7.102406,7.237718999999999,9,7,6.7241,Norwich,0.7819,0.1263,0.0918
9,h,1.15279,1.04723,0.391623,1.04723,4,7,3,2,1.4703,w,2019-10-26 15:00:00,1,0,0,3,-0.655607,237,28,327,28,3,4,3,12,-2.550212000000001,13.711305,16.261519999999997,12.950138,15.50035,12,14,13.5765,2,2,1,7,-2.948168000000001,6.906983,9.855154,6.145816,9.093984,7,6,6.2082,Everton,0.3737,0.3492,0.2771,h,2.23324,0.459112,2.23324,0.459112,11,3,2,0,2.6186,w,2019-10-19 12:30:00,1,0,0,3,1.774128,183,32,191,19,3,5,1,10,2.516762,13.468443000000002,10.951681,13.468443000000002,10.951681,8,13,14.3724,1,4,0,3,2.616175,8.66583,6.049655,8.66583,6.049655,4,9,9.0248,West Ham,0.8303,0.1277,0.042
