,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.670022,0.855516,0.670022,0.855516,7,5,0,3,1.0922,l,2019-08-10 15:00:00,0,0,1,0,-0.185494,274,28,230,20,0,1,0,0,-0.185494,0.670022,0.855516,0.670022,0.855516,0,3,1.0922,0,1,0,0,-0.185494,0.670022,0.855516,0.670022,0.855516,0,3,1.0922,Brighton,0.2434,0.362,0.3946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,1.17279,0.832913,1.17279,0.832913,3,4,0,1,1.663,l,2019-08-17 15:00:00,0,0,1,0,0.339877,157,40,195,22,0,2,0,0,0.1543829999999999,1.842812,1.6884290000000002,1.842812,1.6884290000000002,0,4,2.7552000000000003,0,2,0,0,0.1543829999999999,1.842812,1.6884290000000002,1.842812,1.6884290000000002,0,4,2.7552000000000003,Everton,0.447,0.322,0.231,a,1.2246,0.87159,1.2246,0.87159,5,5,0,0,1.6257,d,2019-08-10 15:00:00,0,1,0,1,0.3530099999999999,110,27,294,26,0,0,1,1,0.3530099999999999,1.2246,0.87159,1.2246,0.87159,0,0,1.6257,0,0,1,1,0.3530099999999999,1.2246,0.87159,1.2246,0.87159,0,0,1.6257,Crystal Palace,0.4342,0.3231,0.2427
2,h,2.29348,3.45768,2.29348,2.69651,20,10,1,3,0.6389,l,2019-08-24 15:00:00,0,0,1,0,-0.4030299999999998,195,21,246,19,0,3,0,0,-0.2486469999999998,4.136292,5.146109,4.136292,4.384939,1,7,3.3941000000000003,0,3,0,0,-0.2486469999999998,4.136292,5.146109,4.136292,4.384939,1,7,3.3941000000000003,West Ham,0.1537,0.1778,0.6685,a,1.00856,2.40461,1.00856,2.40461,4,8,1,1,0.4871,d,2019-08-17 15:00:00,0,1,0,1,-1.39605,275,31,192,35,0,1,1,1,-2.61839,2.20886,5.58838,2.20886,4.827249999999999,1,6,0.7393,0,1,1,1,-2.61839,2.20886,5.58838,2.20886,4.827249999999999,1,6,0.7393,Brighton,0.1027,0.179,0.7183
3,a,1.1068,1.04131,1.1068,1.04131,6,2,1,1,1.3861,d,2019-08-31 15:00:00,0,1,0,1,0.06549,252,21,294,15,0,3,1,1,-0.1831569999999998,5.243092,6.187419,5.243092,5.426249,2,8,4.780200000000001,0,3,1,1,-0.1831569999999998,5.243092,6.187419,5.243092,5.426249,2,8,4.780200000000001,Newcastle United,0.358,0.3121,0.3299,a,0.51428,1.25927,0.51428,1.25927,5,8,1,0,0.6756,w,2019-08-25 16:30:00,1,0,0,3,-0.7449899999999999,323,10,92,19,1,2,0,3,-2.67282,1.81526,4.48808,1.81526,4.48808,2,4,1.8619,1,2,0,3,-2.67282,1.81526,4.48808,1.81526,4.48808,2,4,1.8619,Tottenham,0.1327,0.2775,0.5898
4,h,2.83209,1.00616,2.07092,1.00616,12,7,2,2,2.5551,d,2019-09-15 15:30:00,0,1,0,1,1.0647600000000002,254,28,257,12,0,3,2,2,0.8816030000000004,8.075182,7.193579,7.314012,6.432409,4,10,7.3353,0,3,2,2,0.8816030000000004,8.075182,7.193579,7.314012,6.432409,4,10,7.3353,Arsenal,0.8062,0.1365,0.0573,h,1.92509,1.95514,1.92509,1.19397,12,6,2,2,1.2919,d,2019-09-01 16:30:00,0,1,0,1,0.73112,224,33,207,17,2,1,1,7,0.2148410000000001,5.208122,6.515620999999999,5.208122,4.993281,6,6,4.8616,2,1,1,7,0.2148410000000001,5.208122,6.515620999999999,5.208122,4.993281,6,6,4.8616,Tottenham,0.3461,0.2536,0.4003
5,a,0.344718,6.63049,0.344718,5.86932,1,13,0,8,0.0004,l,2019-09-21 14:00:00,0,0,1,0,-5.524602,430,12,238,21,0,4,2,2,-4.642999,8.4199,13.824069,7.65873,12.301729,4,18,7.3357,0,3,2,2,-4.457504999999999,7.749878000000001,12.968553,6.988708000000001,11.446213,4,15,6.2435,Manchester City,0.0,0.0004,0.9996,a,2.34436,1.7413,2.34436,1.7413,14,6,2,3,1.7614999999999998,l,2019-09-14 16:30:00,0,0,1,0,0.6030599999999999,191,24,258,14,3,1,1,10,7.633872999999999,14.16563,5.770627,13.4045,5.770627,16,6,11.8752,3,1,1,10,7.633872999999999,14.16563,5.770627,13.4045,5.770627,16,6,11.8752,Norwich,0.5051,0.2462,0.2487
6,a,1.06615,1.16363,1.06615,1.16363,10,5,0,2,1.1868,l,2019-09-28 14:00:00,0,0,1,0,-0.09748,239,21,367,16,0,5,2,2,-4.740479,9.48605,14.987699,8.72488,13.465359,4,20,8.5225,0,3,2,2,-4.894861999999999,7.643238,13.29927,6.882068,11.77693,4,16,5.7673,Wolverhampton Wanderers,0.268,0.3828,0.3492,a,1.75572,0.984777,1.75572,0.984777,5,6,1,1,1.9945,d,2019-09-22 13:00:00,0,1,0,1,0.7709429999999999,263,21,265,19,0,2,4,4,-0.7566189999999997,7.699265000000001,8.455886,6.938095000000001,7.694714,7,11,7.664000000000001,0,2,3,3,-1.0258089999999995,6.886316000000001,7.912127000000001,6.125146000000001,7.150955000000001,7,11,6.08,Crystal Palace,0.5842,0.2419,0.1739
7,h,1.44318,0.353724,1.44318,0.353724,2,5,0,0,2.3876,d,2019-10-05 15:00:00,0,1,0,1,1.089456,310,16,148,22,0,5,3,3,-3.651023,10.92923,15.341423,10.16806,13.819083,4,20,10.9101,0,2,3,3,-3.4023759999999994,6.792938,10.195313999999998,6.031768,9.434144,3,13,7.516,Sheffield United,0.7252,0.212,0.0628,h,1.17022,1.97079,1.17022,1.97079,1,11,0,1,0.7802,l,2019-09-28 11:30:00,0,0,1,0,-0.80057,412,17,124,11,2,3,2,8,-0.695562,8.705799,9.401361,8.705799,9.401361,7,7,9.0961,1,3,1,4,-2.55908,5.259378999999999,7.818459,5.259378999999999,7.818459,5,6,4.867,Liverpool,0.18,0.2402,0.5798
8,a,0.846851,0.891617,0.846851,0.891617,2,10,1,1,1.2518,d,2019-10-19 15:00:00,0,1,0,1,-0.0447659999999999,359,19,171,23,0,5,4,4,-3.695789,11.776081,16.23304,11.014911,14.7107,5,21,12.1619,0,2,3,3,-3.512632,6.532989,10.045621,5.771819,9.284451,3,13,7.3817,Tottenham,0.3008,0.3494,0.3498,a,0.478504,2.60017,0.478504,2.60017,4,12,0,3,0.1078,l,2019-10-05 12:30:00,0,0,1,0,-2.121666,259,17,301,37,3,3,2,11,-2.751526,9.916946,11.907302,9.155775999999998,11.907302,14,12,10.8276,2,2,1,7,-2.303319,6.010514,7.552662999999999,5.249344,7.552662999999999,9,8,6.1498,Brighton,0.0136,0.067,0.9194
9,h,0.674903,0.899526,0.674903,0.899526,5,3,0,0,1.1382,d,2019-10-26 15:00:00,0,1,0,1,-0.224623,342,26,178,19,0,5,5,5,-3.920412,12.450984000000002,17.132566,11.689814000000002,15.610226,5,21,13.3001,0,2,3,3,-4.802015,4.375802,9.938987,4.375802,9.177817,1,11,5.9648,Bournemouth,0.2583,0.3633,0.3784,h,0.675554,0.402873,0.675554,0.402873,7,5,0,0,1.5813,d,2019-10-19 15:00:00,0,1,0,1,0.272681,254,20,213,18,3,3,3,12,-3.432411,11.809177,15.241593,11.048012000000002,14.480423,13,13,9.794200000000002,2,1,2,8,0.5273679999999998,6.392240999999999,6.626043,6.392240999999999,5.864872999999999,8,5,6.496500000000001,Norwich,0.3837,0.4302,0.1861
