,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.812949,0.543759,0.812949,0.543759,3,7,0,0,1.584,d,2019-08-11 14:00:00,0,1,0,1,0.26919,392,21,148,23,0,0,1,1,0.26919,0.812949,0.543759,0.812949,0.543759,0,0,1.584,0,0,1,1,0.26919,0.812949,0.543759,0.812949,0.543759,0,0,1.584,Leicester,0.4007,0.3819,0.2174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,0.307356,1.14332,0.307356,0.382148,5,9,1,1,0.4378999999999999,d,2019-08-19 20:00:00,0,1,0,1,-0.0747919999999999,399,20,184,22,0,0,2,2,0.194398,1.120305,1.6870789999999998,1.120305,0.925907,1,1,2.0219,0,0,2,2,0.194398,1.120305,1.6870789999999998,1.120305,0.925907,1,1,2.0219,Manchester United,0.0594,0.2597,0.6809,h,2.37442,1.09534,1.61326,1.09534,8,4,4,0,2.3226,w,2019-08-11 16:30:00,1,0,0,3,0.5179199999999999,281,31,271,42,1,0,0,3,0.5179199999999999,2.37442,1.09534,1.61326,1.09534,4,0,2.3226,1,0,0,3,0.5179199999999999,2.37442,1.09534,1.61326,1.09534,4,0,2.3226,Chelsea,0.7148,0.1782,0.107
2,h,1.32793,1.22762,0.56676,1.22762,4,4,1,1,1.4707,d,2019-08-25 16:30:00,0,1,0,1,-0.6608599999999999,142,12,307,21,0,0,3,3,-0.4664619999999998,2.4482350000000004,2.914699,1.687065,2.153527,2,2,3.4926,0,0,3,3,-0.4664619999999998,2.4482350000000004,2.914699,1.687065,2.153527,2,2,3.4926,Burnley,0.3879,0.307,0.3051,a,1.39172,1.1644,1.39172,1.1644,4,8,1,2,1.5631000000000002,l,2019-08-17 12:30:00,0,0,1,0,0.2273199999999999,296,26,85,16,1,1,0,3,0.0490409999999998,2.300961,2.25192,2.300961,2.25192,4,2,2.7053000000000003,1,1,0,3,0.0490409999999998,2.300961,2.25192,2.300961,2.25192,4,2,2.7053000000000003,Arsenal,0.4265,0.2836,0.2899
3,a,2.00172,1.48842,2.00172,1.48842,5,4,2,3,1.7717000000000005,l,2019-09-01 14:00:00,0,0,1,0,0.5133000000000001,242,12,160,30,0,1,3,3,0.0468380000000002,4.449955000000001,4.403119,3.688785,3.641947,4,5,5.2643,0,1,3,3,0.0468380000000002,4.449955000000001,4.403119,3.688785,3.641947,4,5,5.2643,Everton,0.5086,0.2459,0.2455,a,1.25668,0.855926,1.25668,0.855926,12,6,0,2,1.7245,l,2019-08-23 20:00:00,0,0,1,0,0.400754,146,27,265,20,1,1,1,4,0.413887,3.3141930000000004,2.900306,3.3141930000000004,2.900306,1,2,4.3652,1,1,1,4,0.413887,3.3141930000000004,2.900306,3.3141930000000004,2.900306,1,2,4.3652,Aston Villa,0.4729,0.3058,0.2213
4,h,1.49359,3.06799,1.49359,3.06799,5,6,2,5,0.4052,l,2019-09-14 14:00:00,0,0,1,0,-1.5744,367,28,213,30,0,2,3,3,-1.5275619999999996,5.943545000000001,7.471109,5.182375,6.709937,6,10,5.6695,0,2,3,3,-1.5275619999999996,5.943545000000001,7.471109,5.182375,6.709937,6,10,5.6695,Chelsea,0.0809,0.1625,0.7566,h,2.30579,1.04649,2.30579,1.04649,4,5,2,2,2.2781,d,2019-08-31 15:00:00,0,1,0,1,1.2593,253,17,502,24,1,1,2,5,1.834969,6.5217,5.447891,6.5217,4.686731,6,9,6.3487,1,1,2,5,1.834969,6.5217,5.447891,6.5217,4.686731,6,9,6.3487,Sheffield United,0.6944,0.1949,0.1107
5,a,1.75572,0.984777,1.75572,0.984777,5,6,1,1,1.9945,d,2019-09-22 13:00:00,0,1,0,1,0.7709429999999999,263,21,265,19,0,2,4,4,-0.7566189999999997,7.699265000000001,8.455886,6.938095000000001,7.694714,7,11,7.664000000000001,0,2,3,3,-1.0258089999999995,6.886316000000001,7.912127000000001,6.125146000000001,7.150955000000001,7,11,6.08,Crystal Palace,0.5842,0.2419,0.1739,a,0.577323,1.04944,0.577323,1.04944,5,8,0,4,0.8706999999999999,l,2019-09-14 14:00:00,0,0,1,0,-0.4721169999999999,410,24,216,33,2,2,1,7,-2.118042,3.781758,6.66097,3.781758,5.8998,3,6,4.7685,2,2,1,7,-2.118042,3.781758,6.66097,3.781758,5.8998,3,6,4.7685,Tottenham,0.1793,0.3328,0.4879
6,h,1.16363,1.06615,1.16363,1.06615,5,10,2,0,1.4304,w,2019-09-28 14:00:00,1,0,0,3,0.09748,367,16,239,21,1,2,4,7,-0.6591389999999997,8.862895000000002,9.522036,8.101725,8.760864,9,11,9.0944,1,2,2,5,-0.8535369999999998,7.74259,7.834956999999999,6.98142,7.834956999999999,8,10,7.0725,Watford,0.3492,0.3828,0.268,a,0.344718,6.63049,0.344718,5.86932,1,13,0,8,0.0004,l,2019-09-21 14:00:00,0,0,1,0,-5.524602,430,12,238,21,0,4,2,2,-4.642999,8.4199,13.824069,7.65873,12.301729,4,18,7.3357,0,3,2,2,-4.457504999999999,7.749878000000001,12.968553,6.988708000000001,11.446213,4,15,6.2435,Manchester City,0.0,0.0004,0.9996
7,a,1.18825,1.61884,1.18825,1.61884,1,13,2,0,1.0413,w,2019-10-06 14:00:00,1,0,0,3,-0.43059,315,16,107,26,2,2,4,10,-1.0897289999999995,10.051145000000002,11.140876,9.289975,10.379704,11,11,10.1357,2,2,1,7,-0.623267,7.60291,8.226177,7.60291,8.226177,9,9,6.6431,Manchester City,0.2574,0.2691,0.4735,a,3.1082,2.35854,3.1082,2.35854,13,6,3,1,1.8486,w,2019-09-28 16:30:00,1,0,0,3,0.74966,204,21,392,12,5,1,1,16,13.908135,23.90432,8.473885000000001,22.38202,8.473885000000001,27,7,16.723,4,1,0,12,9.559577,17.51979,7.199043,16.75862,7.199043,20,5,11.1595,Everton,0.5455,0.2121,0.2424
8,h,0.887495,1.37695,0.126326,1.37695,3,5,1,1,0.9399,d,2019-10-19 15:00:00,0,1,0,1,-1.250624,220,15,289,24,2,2,5,11,-2.3403529999999995,10.93864,12.517826,9.416301,11.756654,12,12,11.0756,2,1,2,8,-2.387191,6.488685,8.114707,5.727516,8.114707,8,7,5.8113,Southampton,0.2018,0.3345,0.4637,h,1.27044,2.15201,1.27044,2.15201,5,10,1,4,0.7488,l,2019-10-06 14:00:00,0,0,1,0,-0.8815700000000002,283,26,211,19,2,5,1,7,-0.3467059999999999,12.265356,11.850892,11.504186,11.850892,8,15,11.3868,1,3,1,4,-2.225474,6.959416,8.423720000000001,6.198246,8.423720000000001,5,10,5.8279000000000005,Chelsea,0.1721,0.2325,0.5954
9,a,1.93255,0.603104,1.93255,0.603104,6,3,1,1,2.4102,d,2019-10-27 14:00:00,0,1,0,1,1.329446,240,25,309,8,2,2,6,12,-1.0109069999999996,12.871190000000002,13.12093,11.348851,12.359758,13,13,13.4858,2,0,3,9,0.5166549999999999,6.927645,5.649820999999999,6.166475999999999,5.649820999999999,7,3,7.8163,Newcastle United,0.7433,0.1803,0.0764,a,0.197082,2.30068,0.197082,2.30068,1,12,0,1,0.1328,l,2019-10-19 15:00:00,0,0,1,0,-2.103598,329,14,107,23,2,5,2,8,-9.690649,5.147225,14.837874,5.147225,14.837874,5,14,5.788599999999999,1,3,1,4,-6.952339,2.290655,9.242994,2.290655,9.242994,2,9,2.6249,Chelsea,0.0132,0.0932,0.8936
10,a,1.5103,1.02552,1.5103,1.02552,6,9,1,1,1.7378,d,2019-11-02 15:00:00,0,1,0,1,0.48478,294,25,197,14,2,2,7,13,-0.5261269999999996,14.381490000000005,14.14645,12.859151,13.385278,14,14,15.2236,2,0,3,9,0.2304919999999999,6.682225,5.690564,5.921056,5.690564,7,3,7.5596,Arsenal,0.4856,0.281,0.2334,h,1.54014,1.77892,1.54014,1.01775,8,1,2,2,1.1002,d,2019-10-27 16:30:00,0,1,0,1,0.5223900000000001,161,21,263,10,4,2,4,16,0.909567,14.181327,15.55528,13.420167,12.510599999999997,15,14,13.2369,2,1,2,8,1.759486,7.967045,6.207569,7.205884999999999,5.446399,7,6,8.0669,Crystal Palace,0.2675,0.2977,0.4348
11,h,2.09891,0.473225,2.09891,0.473225,8,0,2,1,2.5328000000000004,w,2019-11-10 14:00:00,1,0,0,3,1.625685,211,32,189,30,3,2,7,16,1.0995580000000005,16.480400000000003,14.619675,14.958061,13.858503,16,15,17.7564,2,0,3,9,1.758697,7.617505,5.097639,6.856336,5.097639,7,4,8.662,Aston Villa,0.7939,0.1511,0.055,h,0.741615,2.38824,0.741615,2.38824,2,16,1,2,0.3756,l,2019-11-02 15:00:00,0,0,1,0,-1.6466250000000002,293,14,88,20,3,6,2,11,-3.896443000000001,15.851451,20.356069,14.937301,18.833744,16,18,12.3733,2,2,1,7,-2.050624,9.281216,10.41769,8.367066,10.41769,10,9,6.2686,Liverpool,0.0731,0.1563,0.7706
12,a,1.2765,0.849789,1.2765,0.849789,7,3,2,1,1.7279,w,2019-11-23 15:00:00,1,0,0,3,0.4267109999999999,274,20,323,23,4,2,7,19,1.5262690000000003,17.7569,15.469464,16.234561,14.708292,18,16,19.4843,2,0,3,9,2.6159980000000003,7.705755,4.328588000000001,6.944586000000001,4.328588000000001,7,5,9.3486,Bournemouth,0.4669,0.3272,0.2059,a,1.9213,2.3306,1.9213,2.3306,10,5,1,2,1.0846,l,2019-11-09 15:00:00,0,0,1,0,-0.4093,133,17,321,17,4,4,4,16,-2.389597,16.498623,18.888225,15.737458000000002,18.127055,15,15,14.7593,1,2,2,5,0.758372,6.048966999999999,5.290595,6.048966999999999,5.290595,2,3,7.3588,Newcastle United,0.28,0.2446,0.4754
13,h,1.27422,1.47296,1.27422,1.47296,4,8,1,1,1.2178,d,2019-12-01 14:00:00,0,1,0,1,-0.1987400000000001,159,21,292,37,4,2,8,20,1.3275290000000004,19.03112,16.942424,17.508781,16.181252,19,17,20.7021,2,0,3,9,3.667882,8.09248,4.424598,8.09248,4.424598,7,5,9.6265,Sheffield United,0.3147,0.2737,0.4116,h,1.56025,1.33065,1.56025,1.33065,3,6,3,3,1.5623,d,2019-11-24 16:30:00,0,1,0,1,0.2295999999999998,325,31,164,19,4,3,6,18,-1.5062809999999998,16.184568,17.690849,16.184568,17.690849,16,12,16.3378,2,0,3,9,0.2787369999999998,7.125044999999999,6.846308,7.125044999999999,6.846308,9,5,6.8413,Manchester United,0.4198,0.3029,0.2773
14,h,1.82237,0.501977,1.82237,0.501977,5,4,2,0,2.4001,w,2019-12-04 19:30:00,1,0,0,3,1.320393,287,31,256,26,5,2,8,23,2.6479220000000003,20.85349,17.444401,19.331151,16.683229,21,17,23.1022,3,0,2,11,3.658829,7.982299999999999,4.323471,7.982299999999999,4.323471,8,4,9.6164,West Ham,0.735,0.1951,0.0699,a,1.12034,2.73185,1.12034,2.73185,3,6,1,0,0.3933,w,2019-11-30 15:00:00,1,0,0,3,-1.6115100000000002,381,34,159,14,4,6,4,16,-9.997069,18.043441,28.801640000000003,17.282270999999998,27.279340000000005,17,23,12.211100000000002,1,3,1,4,-4.31714,6.13095,10.44809,6.13095,10.44809,6,10,4.3188,Chelsea,0.0792,0.1557,0.7651
15,a,1.87208,0.951621,1.87208,0.951621,11,6,2,2,2.0971,d,2019-12-08 16:30:00,0,1,0,1,0.920459,347,15,176,30,5,2,9,24,3.5683810000000005,22.72557,18.396022,21.203231,17.63485,23,19,25.1993,3,0,2,11,4.094508,8.34408,4.249572000000001,8.34408,4.249572000000001,9,5,9.9757,Brighton,0.6229,0.2284,0.1487,a,1.53446,0.965377,1.53446,0.965377,4,6,2,1,1.7994,w,2019-12-05 20:15:00,1,0,0,3,0.5690829999999999,235,28,223,16,5,7,3,18,-4.764054000000002,20.687232,26.212459,19.926065,24.690119,18,22,19.322599999999994,2,3,0,6,-2.2138420000000005,6.975927,9.950939,6.975927,9.189769,6,8,5.7461,Arsenal,0.5142,0.2568,0.229
16,h,0.718669,0.989205,0.718669,0.989205,8,10,1,2,1.0598,l,2019-12-15 14:00:00,0,0,1,0,-0.270536,207,31,226,26,5,3,9,24,3.2978450000000006,23.444239,19.385227,21.9219,18.624055,24,21,26.2591,2,1,2,8,2.198287,6.963839,4.7655520000000005,6.963839,4.7655520000000005,8,6,8.5027,Tottenham,0.2404,0.3386,0.421,h,2.39684,1.08645,2.39684,1.08645,3,1,5,0,2.3573,w,2019-12-07 15:00:00,1,0,0,3,1.3103900000000002,297,27,305,27,6,5,5,23,1.4771270000000007,21.991641,21.275645,21.230471,19.753344,30,23,23.2229,3,1,1,10,5.171724,9.588255,5.177662000000001,9.588255,4.416531,13,7,9.7822,Burnley,0.7218,0.1919,0.0863
17,a,1.65224,1.26536,1.65224,1.26536,2,4,2,1,1.6819,w,2019-12-21 15:00:00,1,0,0,3,0.3868799999999999,246,26,248,17,6,3,9,27,3.684725,25.096479,20.650587,23.57414,19.889415,26,22,27.940999999999995,2,1,2,8,2.158456,7.339579,5.181123,7.339579,5.181123,8,6,8.4567,Norwich,0.4717,0.2668,0.2615,a,1.16408,1.06421,1.16408,1.06421,7,5,1,1,1.4792,d,2019-12-14 15:00:00,0,1,0,1,0.0998699999999999,253,22,211,30,3,11,3,12,-11.349648,17.924817,33.233255,17.924817,29.274465,18,35,14.146400000000002,1,2,2,5,-0.5269440000000002,5.265618,6.553692000000001,5.265618,5.792562,7,7,5.800000000000001,Leicester,0.3918,0.3038,0.3044
18,h,2.39405,1.52044,2.39405,0.614563,4,1,3,2,2.074,w,2019-12-27 19:45:00,1,0,0,3,1.779487,222,17,282,15,7,3,9,30,5.464212,27.490529,22.171027,25.96819,20.503978,29,24,30.015,3,1,1,10,4.136683,8.459409,5.228603,8.459409,4.322725999999999,10,7,9.3129,Manchester City,0.6128,0.2356,0.1516,h,3.59139,1.01388,2.83026,1.01388,17,0,3,1,2.781,w,2019-12-21 17:30:00,1,0,0,3,1.81638,276,32,395,12,12,4,2,38,31.72321,51.17502,17.929547000000003,48.89159,17.168380000000003,50,20,42.475,3,1,1,10,8.738357,12.36246,3.62414,11.60133,2.862973,13,6,12.4933,Leicester,0.9032,0.0714,0.0254
