,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,2.16287,0.126327,2.16287,0.126327,11,0,3,0,2.8937,w,12/09/2020 11:30,1,0,0,3,2.036543,307,14,425,13,1,0,0,3,2.036543,2.16287,0.126327,2.16287,0.126327,3,0,2.8937,1,0,0,3,2.036543,2.16287,0.126327,2.16287,0.126327,3,0,2.8937,Fulham,0.9487,0.0476,0.0037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,1.32902,2.06377,1.32902,2.06377,16,4,2,1,0.8155,w,19/09/2020 19:00,1,0,0,3,-0.73475,217,17,420,23,2,0,0,6,1.301793,3.49189,2.190097,3.49189,2.190097,5,1,3.7092,2,0,0,6,1.301793,3.49189,2.190097,3.49189,2.190097,5,1,3.7092,West Ham,0.1916,0.2407,0.5677,h,0.861445,1.65911,0.861445,1.65911,5,10,0,2,0.6998,l,2020-09-12 19:00:00,0,0,1,0,-0.7976650000000001,173,27,266,11,0,1,0,0,-0.7976650000000001,0.861445,1.65911,0.861445,1.65911,0,2,0.6998,0,1,0,0,-0.7976650000000001,0.861445,1.65911,0.861445,1.65911,0,2,0.6998,Newcastle United,0.1506,0.248,0.6014
2,a,1.17817,2.73834,1.17817,2.73834,3,11,1,3,0.3972,l,28/09/2020 19:15,0,0,1,0,-1.56017,502,14,256,29,2,1,0,6,-0.258377,4.67006,4.928437,4.67006,4.928437,6,4,4.1064,2,1,0,6,-0.258377,4.67006,4.928437,4.67006,4.928437,6,4,4.1064,Liverpool,0.0759,0.1695,0.7546,a,2.25211,0.904183,2.25211,0.143014,13,1,2,0,2.4384,w,2020-09-20 15:30:00,1,0,0,3,2.109096,366,32,414,11,2,0,0,6,3.471073,5.40623,1.173996,3.8839,0.412827,6,3,5.3654,2,0,0,6,3.471073,5.40623,1.173996,3.8839,0.412827,6,3,5.3654,Chelsea,0.7478,0.195,0.0572
3,h,0.667131,0.144994,0.667131,0.144994,4,3,2,1,1.8925,w,04/10/2020 13:00,1,0,0,3,0.522137,167,12,445,23,3,1,0,9,0.26376,5.337191,5.073431,5.337191,5.073431,8,5,5.9989,3,1,0,9,0.26376,5.337191,5.073431,5.337191,5.073431,8,5,5.9989,Sheffield United,0.481,0.4495,0.0695,h,1.53278,1.46641,1.53278,1.46641,11,2,0,1,1.4471999999999998,l,2020-09-27 11:00:00,0,0,1,0,0.06637,335,29,152,17,0,3,0,0,-1.3141136,3.331805,3.88475,2.5706364,3.88475,0,4,3.7073,0,3,0,0,-1.3141136,3.331805,3.88475,2.5706364,3.88475,0,4,3.7073,Leeds,0.3921,0.2709,0.337
4,a,0.838322,1.43023,0.838322,1.43023,3,7,0,1,0.8436,l,17/10/2020 16:30,0,0,1,0,-0.591908,346,17,311,23,3,2,0,9,-0.328148,6.175513,6.503661,6.175513,6.503661,8,6,6.8425,3,2,0,9,-0.328148,6.175513,6.503661,6.175513,6.503661,8,6,6.8425,Manchester City,0.1869,0.2829,0.5302,a,1.41533,2.56662,1.41533,2.56662,10,5,1,1,0.6604,d,2020-10-03 16:30:00,0,1,0,1,-1.15129,273,24,188,24,1,1,1,4,0.2990089999999998,4.93817,6.161507,4.17701,3.878001,6,7,3.4852,1,1,1,4,0.2990089999999998,4.93817,6.161507,4.17701,3.878001,6,7,3.4852,Leeds,0.1593,0.1825,0.6582
5,h,0.73944,0.736172,0.73944,0.736172,5,2,0,1,1.2724,l,25/10/2020 19:15,0,0,1,0,0.003268,264,24,367,14,3,3,0,9,-0.32488,6.914953,7.239833,6.914953,7.239833,8,7,8.1149,2,3,0,6,-2.361423,4.752083,7.113506,4.752083,7.113506,5,7,5.2212,Leicester,0.2978,0.379,0.3232,h,0.671595,0.873776,0.671595,0.873776,4,7,0,1,1.1142,l,2020-10-18 18:15:00,0,0,1,0,-0.2021809999999999,210,24,212,23,3,2,0,9,-2.097257,7.938002,6.229413,4.132156,6.229413,12,8,7.7156,3,2,0,9,-2.097257,7.938002,6.229413,4.132156,6.229413,12,8,7.7156,Aston Villa,0.2525,0.3567,0.3908
6,a,0.998072,0.394113,0.236903,0.394113,7,10,1,0,2.0624,w,01/11/2020 16:30,1,0,0,3,-0.15721,320,27,300,17,4,3,0,12,-0.48209,7.913025,7.633946,7.151856,7.633946,9,7,10.1773,2,3,0,6,-1.783883,4.421135,5.443849,3.659966,5.443849,4,6,6.4681,Manchester United,0.5814,0.3182,0.1004,h,0.648427,0.219906,0.648427,0.219906,6,1,0,0,1.7338,d,2020-10-24 16:30:00,0,1,0,1,0.428521,375,17,323,22,2,2,1,7,-2.8679490000000003,6.412352,9.280252,4.128843,6.996792,9,12,5.4734,2,2,1,7,-2.8679490000000003,6.412352,9.280252,4.128843,6.996792,9,12,5.4734,Chelsea,0.4197,0.4747,0.1056
7,h,1.39037,1.98553,1.39037,1.98553,6,16,0,3,0.9461,l,08/11/2020 19:15,0,0,1,0,-0.59516,169,15,331,24,4,4,0,12,-1.07725,9.303395,9.619476,8.542226,9.619476,9,10,11.1234,2,3,0,6,-0.818873,4.633335,4.691039,3.872166,4.691039,3,6,7.017,Aston Villa,0.2332,0.2465,0.5203,h,2.44855,1.00333,1.68738,1.00333,5,2,3,4,2.3854,l,2020-11-01 12:00:00,0,0,1,0,0.68405,161,23,164,22,4,2,0,12,3.6440156,10.737326,7.093309,9.976156,6.3321404,15,9,10.6182,3,2,0,9,2.9272860000000005,9.932056,6.2436,9.170886,6.2436,14,9,9.4581,Southampton,0.7378,0.172,0.0902
8,a,0.710778,1.9617,0.710778,1.9617,4,11,0,0,0.5177,d,22/11/2020 16:30,0,1,0,1,-1.250922,312,20,179,26,4,4,1,13,-2.328172,10.014173,11.581176,9.253004,11.581176,9,10,11.6411,1,3,1,4,-2.591932,4.676982,6.507745,3.915813,6.507745,1,5,5.6422,Leeds,0.1057,0.2006,0.6937,a,0.847913,1.30169,0.847913,1.30169,6,8,1,4,0.9598,l,2020-11-07 15:00:00,0,0,1,0,-0.453777,152,37,352,17,3,4,1,10,-0.059679,11.811786,14.154961,11.050614,11.110293,14,17,9.938,1,3,1,4,1.471162,8.623023,7.913030999999999,8.623023,7.151860999999999,6,10,7.3519,Crystal Palace,0.2226,0.292,0.4854
9,h,1.1185,2.0069,1.1185,2.0069,12,6,1,2,0.6944,l,29/11/2020 19:15,0,0,1,0,-0.8884,225,28,247,14,4,5,1,13,-3.216572,11.132673,13.588076,10.371504,13.588076,10,12,12.3355,1,3,1,4,-2.888424,4.95716,7.084415,4.195991,7.084415,2,6,5.493,Wolverhampton Wanderers,0.1526,0.2366,0.6108,h,1.57479,1.0785,1.57479,1.0785,5,10,1,1,1.7555999999999998,d,2020-11-23 20:00:00,0,1,0,1,0.4962899999999999,335,27,235,19,4,3,2,14,-1.542121,8.499406,12.325021,8.499406,10.041527,9,10,10.1954,2,1,2,8,1.129479,4.879917,5.272772,4.879917,3.750438,5,3,6.546099999999999,Southampton,0.4908,0.2832,0.226
