,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,1.39569,1.26267,1.39569,1.26267,1,14,1,0,1.477,w,2020-09-12 14:00:00,1,0,0,3,0.1330200000000001,312,18,83,23,1,0,0,3,0.1330200000000001,1.39569,1.26267,1.39569,1.26267,1,0,1.477,1,0,0,3,0.1330200000000001,1.39569,1.26267,1.39569,1.26267,1,0,1.477,Southampton,0.3916,0.3022,0.3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,1.91456,1.09737,1.15339,1.09737,4,9,3,1,2.0159,w,2020-09-19 16:30:00,1,0,0,3,0.0560199999999999,299,22,86,26,2,0,0,6,0.1890400000000001,3.31025,2.36004,2.54908,2.36004,4,1,3.492900000000001,2,0,0,6,0.1890400000000001,3.31025,2.36004,2.54908,2.36004,4,1,3.492900000000001,Manchester United,0.5927,0.2378,0.1695,a,2.05229,0.701256,1.29112,0.701256,6,5,2,1,2.4249,w,2021-05-23 15:00:00,1,0,0,3,0.589864,321,11,264,32,21,6,11,74,15.926088999999996,63.17223699999997,41.917999,54.79945899999998,38.87337,73,44,65.63639999999997,2,2,1,7,-0.8023890000000001,6.788804000000001,6.068893,5.266503999999999,6.068893,9,9,7.398000000000001,Wolverhampton Wanderers,0.7508,0.1725,0.0767
2,h,0.443115,2.27189,0.443115,1.51072,4,3,1,2,0.1946999999999999,l,2020-09-26 14:00:00,0,0,1,0,-1.067605,349,29,168,23,2,1,0,6,-0.878565,3.753365,4.63193,2.992195,3.87076,5,3,3.6876000000000007,2,1,0,6,-0.878565,3.753365,4.63193,2.992195,3.87076,5,3,3.6876000000000007,Everton,0.0286,0.1089,0.8625,h,4.16254,0.315347,4.16254,0.315347,6,6,5,2,2.9941,w,2020-09-19 11:30:00,1,0,0,3,3.847193,191,21,581,14,2,0,0,6,4.292179,5.43047,1.138291,5.43047,1.138291,6,2,4.7387,2,0,0,6,4.292179,5.43047,1.138291,5.43047,1.138291,6,2,4.7387,West Bromwich Albion,0.9973,0.0022,0.0005
3,a,0.103249,2.51433,0.103249,0.991996,2,5,0,4,0.0397,l,2020-10-03 11:30:00,0,0,1,0,-0.888747,440,17,138,31,2,2,0,6,-1.767312,3.856614,7.14626,3.095444,4.862756,5,7,3.727300000000001,2,2,0,6,-1.767312,3.856614,7.14626,3.095444,4.862756,5,7,3.727300000000001,Chelsea,0.0019,0.034,0.9641,a,2.36046,0.911185,2.36046,0.911185,12,3,3,3,2.4217000000000004,d,2020-09-26 16:30:00,0,1,0,1,1.4492749999999996,113,25,449,11,1,1,1,4,-1.5931750000000005,4.535263,4.606105,3.01293,4.606105,6,6,3.9964,1,1,1,4,-1.5931750000000005,4.535263,4.606105,3.01293,4.606105,6,6,3.9964,West Bromwich Albion,0.7497,0.1726,0.0777
4,h,0.761169,1.0935,0.0,1.0935,1,7,1,1,1.1033,d,2020-10-18 13:00:00,0,1,0,1,-1.0935,299,22,147,23,2,2,1,7,-2.860812,4.617783,8.23976,3.095444,5.956256,6,8,4.8306,2,2,1,7,-2.860812,4.617783,8.23976,3.095444,5.956256,6,8,4.8306,Brighton,0.2443,0.3704,0.3853,a,1.16568,2.34034,1.16568,2.34034,7,10,2,4,0.5306,l,2020-10-03 14:00:00,0,0,1,0,-1.1746599999999998,275,30,299,33,1,3,0,3,1.7542770000000003,7.461679999999999,5.707468,5.9394100000000005,4.185133,8,10,6.8572,1,3,0,3,1.7542770000000003,7.461679999999999,5.707468,5.9394100000000005,4.185133,8,10,6.8572,Everton,0.1085,0.2051,0.6864
5,a,2.81049,1.05258,2.81049,1.05258,9,8,2,1,2.5374000000000003,w,2020-10-24 14:00:00,1,0,0,3,1.75791,323,15,181,29,3,2,1,10,-1.102902,7.428273000000001,9.29234,5.905934,7.008836,8,9,7.368,2,2,1,7,-1.2359220000000002,6.032583000000001,8.02967,4.510244,5.746166,7,9,5.891,Fulham,0.802,0.1314,0.0666,a,1.35611,1.66363,0.594945,0.902464,1,1,1,1,1.0473,d,2020-10-18 11:00:00,0,1,0,1,-0.3075190000000001,216,17,349,23,0,4,1,1,-3.66331,4.5415350000000005,8.204849999999999,3.019202,6.682511999999999,4,12,4.317699999999999,0,4,1,1,-3.66331,4.5415350000000005,8.204849999999999,3.019202,6.682511999999999,4,12,4.317699999999999,Sheffield United,0.243,0.3183,0.4387
6,a,0.802767,1.34895,0.802767,1.34895,4,8,0,2,0.887,l,2020-10-30 20:00:00,0,0,1,0,-0.5461830000000001,234,14,374,27,3,3,1,10,-1.649085,8.23104,10.64129,6.7087010000000005,8.357785999999999,8,11,8.255,1,3,1,4,-1.838125,4.92079,8.28125,4.1596210000000005,5.997746,4,10,4.7621,Wolverhampton Wanderers,0.198,0.293,0.509,h,0.758626,0.253685,0.758626,0.253685,5,4,1,1,1.7854,d,2020-10-25 16:30:00,0,1,0,1,0.5049410000000001,265,26,407,13,3,2,1,10,-2.631788,4.996306000000001,8.389254000000001,4.996306000000001,7.628094,6,8,6.348,2,2,1,7,-3.295542,3.383236,7.439938000000001,3.383236,6.678778,4,8,4.4341,Newcastle United,0.4507,0.4333,0.116
7,h,1.30169,0.847913,1.30169,0.847913,8,6,4,1,1.7482,w,2020-11-07 15:00:00,1,0,0,3,0.453777,352,17,152,37,4,3,1,13,-1.1953080000000005,9.53273,11.489203000000002,8.010391,9.205699,12,12,10.0032,2,2,1,7,-0.3167429999999999,5.779365,6.857273,5.018196,5.334939,7,9,6.315600000000001,Leeds,0.4854,0.292,0.2226,h,1.74822,3.07657,1.74822,2.3154,7,5,1,4,0.5166,l,2020-11-02 20:00:00,0,0,1,0,-0.5671799999999998,155,23,369,10,3,3,1,10,0.3940979999999999,10.963873,12.853271,10.202701,9.808603,13,13,8.9782,2,2,1,7,1.858569,9.24152,8.144121,9.24152,7.382951,6,6,7.673999999999999,Leicester,0.1116,0.1818,0.7066
8,a,1.28331,1.75343,1.28331,1.75343,7,7,0,1,0.995,l,2020-11-23 17:30:00,0,0,1,0,-0.4701200000000001,224,14,255,22,4,4,1,13,-1.6654280000000004,10.81604,13.242633,9.293701,10.959129,12,13,10.9982,2,2,1,7,0.1018839999999999,6.959426000000001,6.096373,6.198257,6.096373,7,6,7.2709,Burnley,0.2446,0.2612,0.4942,a,0.326933,1.59022,0.326933,1.59022,2,16,0,0,0.4023,d,2020-11-06 17:30:00,0,1,0,1,-1.263287,277,20,221,22,0,5,2,2,-2.159074,5.080069,8.000313,5.080069,7.2391429999999986,3,12,7.0513,0,3,2,2,-2.336253,3.208893,6.306315999999999,3.208893,5.545145999999999,1,7,4.3952,Brighton,0.0625,0.2148,0.7227
9,h,0.534893,1.27929,0.534893,1.27929,12,4,0,2,0.7053,l,2020-11-27 20:00:00,0,0,1,0,-0.7443970000000001,186,11,269,36,4,5,1,13,-2.4098250000000005,11.350933,14.521923,9.828594,12.238419,12,15,11.7035,2,3,0,6,0.4509869999999997,6.73315,6.282163000000001,6.73315,6.282163000000001,6,7,6.8729000000000005,Newcastle United,0.1382,0.2907,0.5711,h,0.368286,1.81923,0.368286,1.81923,3,8,0,2,0.3298,l,2020-11-21 12:30:00,0,0,1,0,-1.4509439999999998,443,15,124,17,3,4,2,11,-4.749763000000001,9.375004,13.363568,7.091495000000001,11.841258,10,15,9.6726,1,3,1,4,-2.702824,4.2962,6.999024,3.53503,6.237854,4,10,4.5299,Chelsea,0.0513,0.1759,0.7728
