,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.126327,2.16287,0.126327,2.16287,0,11,0,3,0.0587,l,2020-09-12 11:30:00,0,0,1,0,-2.036543,425,13,307,14,0,1,0,0,-2.036543,0.126327,2.16287,0.126327,2.16287,0,3,0.0587,0,1,0,0,-2.036543,0.126327,2.16287,0.126327,2.16287,0,3,0.0587,Arsenal,0.0037,0.0476,0.9487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,1.55503,1.45254,0.793862,0.691368,4,5,3,4,1.4255,l,2020-09-19 14:00:00,0,0,1,0,0.1024939999999999,245,26,259,34,0,2,0,0,-1.934049,1.681357,3.61541,0.920189,2.854238,3,7,1.4842,0,2,0,0,-1.934049,1.681357,3.61541,0.920189,2.854238,3,7,1.4842,Leeds,0.3706,0.3137,0.3157,a,0.269813,3.15412,0.269813,1.63179,2,19,3,4,0.0434,l,2020-09-12 16:30:00,0,0,1,0,-1.361977,196,21,308,31,0,1,0,0,-1.361977,0.269813,3.15412,0.269813,1.63179,3,4,0.0434,0,1,0,0,-1.361977,0.269813,3.15412,0.269813,1.63179,3,4,0.0434,Liverpool,0.0046,0.0296,0.9658
2,h,0.534675,2.03222,0.534675,2.03222,5,10,0,3,0.3681999999999999,l,2020-09-28 17:00:00,0,0,1,0,-1.497545,143,24,307,33,0,3,0,0,-3.431594,2.216032,5.64763,1.454864,4.886457999999999,3,10,1.8524,0,3,0,0,-3.431594,2.216032,5.64763,1.454864,4.886457999999999,3,10,1.8524,Aston Villa,0.0665,0.1687,0.7648,h,0.80527,0.849709,0.80527,0.0885404,17,2,1,0,1.1601,w,2020-09-21 17:00:00,1,0,0,3,0.7167296000000001,89,20,247,14,1,0,0,3,0.7167296000000001,0.80527,0.849709,0.80527,0.0885404,1,0,1.1601,1,0,0,3,0.7167296000000001,0.80527,0.849709,0.80527,0.0885404,1,0,1.1601,Sheffield United,0.2616,0.3753,0.3631
3,a,0.969393,0.89359,0.969393,0.89359,6,2,0,1,1.418,l,2020-10-04 13:00:00,0,0,1,0,0.0758029999999999,297,14,321,22,0,4,0,0,-3.355791,3.1854250000000004,6.541219999999999,2.424257,5.780047999999999,3,11,3.2703999999999995,0,4,0,0,-3.355791,3.1854250000000004,6.541219999999999,2.424257,5.780047999999999,3,11,3.2703999999999995,Wolverhampton Wanderers,0.3549,0.3533,0.2918,a,0.385152,3.05703,0.385152,3.05703,4,1,0,4,0.0847,l,2020-09-27 18:00:00,0,0,1,0,-2.671878,221,27,370,17,1,2,0,3,-2.595797,2.725899,6.082856,2.725899,5.321696,3,7,2.4206000000000003,1,2,0,3,-2.595797,2.725899,6.082856,2.725899,5.321696,3,7,2.4206000000000003,West Ham,0.0121,0.0484,0.9395
4,a,1.35611,1.66363,0.594945,0.902464,1,1,1,1,1.0473,d,2020-10-18 11:00:00,0,1,0,1,-0.3075190000000001,216,17,349,23,0,4,1,1,-3.66331,4.5415350000000005,8.204849999999999,3.019202,6.682511999999999,4,12,4.317699999999999,0,4,1,1,-3.66331,4.5415350000000005,8.204849999999999,3.019202,6.682511999999999,4,12,4.317699999999999,Sheffield United,0.243,0.3183,0.4387,a,0.144994,0.667131,0.144994,0.667131,3,4,1,2,0.658,l,2020-10-04 13:00:00,0,0,1,0,-0.5221370000000001,445,23,167,12,0,4,0,0,-1.8362506,3.476799,4.551881000000001,2.7156304,4.551881000000001,1,6,4.3653,0,4,0,0,-1.8362506,3.476799,4.551881000000001,2.7156304,4.551881000000001,1,6,4.3653,Arsenal,0.0695,0.4495,0.481
5,h,1.05258,2.81049,1.05258,2.81049,8,9,1,2,0.3312,l,2020-10-24 14:00:00,0,0,1,0,-1.75791,181,29,323,15,0,5,1,1,-5.42122,5.594115,11.015339999999998,4.071782,9.493002,5,14,4.648899999999999,0,4,1,1,-3.384677,5.467788,8.85247,3.945455,7.330132000000001,5,11,4.590199999999999,Crystal Palace,0.0666,0.1314,0.802,h,0.761169,1.0935,0.0,1.0935,1,7,1,1,1.1033,d,2020-10-18 13:00:00,0,1,0,1,-1.0935,299,22,147,23,2,2,1,7,-2.860812,4.617783,8.23976,3.095444,5.956256,6,8,4.8306,2,2,1,7,-2.860812,4.617783,8.23976,3.095444,5.956256,6,8,4.8306,Brighton,0.2443,0.3704,0.3853
6,h,1.62247,0.482685,1.62247,0.482685,4,3,2,0,2.3381,w,2020-11-02 17:30:00,1,0,0,3,1.139785,287,23,187,37,1,5,1,4,-4.281435,7.216585,11.498024999999998,5.694252,9.975687,7,14,6.986999999999999,1,3,1,4,-2.347386,5.535228,7.882614999999999,4.774063,7.121449,4,7,5.5028,West Bromwich Albion,0.7108,0.2057,0.0835,a,0.295654,0.546807,0.295654,0.546807,4,4,1,1,0.9414,d,2020-10-26 17:30:00,0,1,0,1,-0.251153,274,19,257,24,0,3,3,3,-7.7695180000000015,2.768158,12.060015999999996,2.768158,10.537675999999998,6,14,2.9199,0,2,3,3,-6.689045,2.415161,9.104206,2.415161,9.104206,6,11,2.8631,Brighton,0.1537,0.4803,0.366
7,a,1.84922,1.42614,1.08806,1.42614,5,6,0,1,1.7197,l,2020-11-07 20:00:00,0,0,1,0,-0.3380799999999999,303,8,222,20,1,6,1,4,-4.619515,9.065805,12.924165,6.782311999999999,11.401827,7,15,8.7067,1,3,1,4,-1.1879210000000002,6.849773,7.276535000000001,5.327448,6.515369000000001,4,5,6.8543,West Ham,0.4853,0.2638,0.2509,a,0.269048,1.56302,0.269048,0.801848,0,12,1,2,0.2694,l,2020-10-31 17:30:00,0,0,1,0,-0.5327999999999999,460,13,159,23,2,3,2,8,2.747594,10.047221999999998,8.0608,10.047221999999998,7.299627999999999,13,10,10.1074,2,1,2,8,2.810509,7.122006999999999,5.0726700000000005,7.122006999999999,4.311498,12,6,7.463800000000001,Liverpool,0.0328,0.171,0.7962
8,h,1.87028,2.2508,1.10911,2.2508,9,9,2,3,1.0824,l,2020-11-22 12:00:00,0,0,1,0,-1.14169,286,27,286,21,1,7,1,4,-5.761205,10.936085,15.174964999999998,7.891421999999999,13.652627,9,18,9.7891,1,3,1,4,-2.4054139999999995,7.75066,8.633745000000001,5.4671650000000005,7.872579,6,7,6.518699999999999,Everton,0.2729,0.2637,0.4634,h,0.376464,1.59642,0.376464,1.59642,9,7,1,3,0.4138,l,2020-11-07 12:30:00,0,0,1,0,-1.2199559999999998,254,20,319,26,4,3,1,13,3.073212,13.284248,10.211036,12.523078,9.449866,16,14,11.997600000000002,1,3,1,4,-2.286572,5.581888,8.62963,5.581888,7.868460000000001,8,11,4.5625,Manchester United,0.069,0.2068,0.7242
9,a,2.03719,1.27814,1.27602,1.27814,7,9,2,1,1.9729,w,2020-11-30 17:30:00,1,0,0,3,-0.0021200000000001,384,22,136,24,2,7,1,7,-5.763325,12.973275,16.453104999999997,9.167442,14.930767,11,19,11.762,2,3,0,6,-2.100015,8.431740000000001,8.248255,6.14824,8.248255,7,7,7.444299999999999,Leicester,0.5776,0.2401,0.1823,a,1.98397,3.77245,1.98397,3.77245,8,9,0,3,0.4460999999999999,l,2020-11-22 19:15:00,0,0,1,0,-1.78848,380,21,240,29,6,3,0,18,-3.369019,15.789214,13.068883,9.699864,13.068883,18,12,14.3961,3,2,0,9,-1.4739430000000002,8.522807,7.713246,6.2393030000000005,7.713246,6,5,7.794700000000001,Liverpool,0.1026,0.1383,0.7591
10,a,0.287444,3.26328,0.287444,2.50211,0,14,0,2,0.0424,l,2020-12-05 15:00:00,0,0,1,0,-2.214666,501,20,192,30,2,8,1,7,-7.977991,13.260719000000002,19.716384999999995,9.454886,17.432876999999998,11,21,11.8044,2,3,0,6,-2.5567710000000003,7.666603999999999,8.701045,5.383104,7.939875000000001,6,7,7.1555,Manchester City,0.0041,0.0301,0.9658,h,2.26129,0.419877,2.26129,0.419877,13,4,5,0,2.6159,w,2020-11-28 15:00:00,1,0,0,3,1.841413,135,16,448,14,4,2,3,15,5.869024,14.666695999999998,10.320021,13.144372,7.275347999999999,15,11,16.0903,2,1,2,8,4.978107,8.298296,3.320192,7.537132,2.559025,8,4,10.7316,Burnley,0.8292,0.1283,0.0425
11,h,1.72509,1.82445,1.72509,1.06328,5,10,1,1,1.2945,d,2020-12-13 16:30:00,0,1,0,1,0.66181,389,12,87,14,2,8,2,8,-7.316181,14.985809,21.540835,11.179976,18.496157,12,22,13.0989,1,3,1,4,-3.034746,7.769223999999999,10.04281,5.485723999999999,8.520470000000001,5,8,6.1119,Liverpool,0.3366,0.2847,0.3787,h,1.59454,0.357753,1.59454,0.357753,9,1,4,0,2.4284,w,2020-12-06 19:15:00,1,0,0,3,1.236787,232,13,434,21,7,1,3,24,9.170419,23.09839,14.689147,20.053721,10.883302,26,17,21.1154,3,0,2,11,2.657293,8.39899,6.502861,6.876651,4.219358,11,3,8.439699999999998,Wolverhampton Wanderers,0.7432,0.1988,0.058
12,h,1.00448,0.462456,1.00448,0.462456,5,4,0,0,1.9177,d,2020-12-16 20:00:00,0,1,0,1,0.5420240000000001,250,22,203,27,2,8,3,9,-6.774157000000001,15.990289,22.003291,12.184456,18.958613,12,22,15.0166,1,2,2,5,-2.1546420000000004,6.924484,9.079126,5.402144,7.556786000000001,5,7,6.3099,Brighton,0.5269,0.337,0.1361,a,0.791673,1.64351,0.791673,1.64351,5,11,0,3,0.6848,l,2020-12-13 19:15:00,0,0,1,0,-0.8518370000000001,263,28,248,19,2,6,4,10,3.548429000000001,17.649697,14.101334,13.843918,10.295489,15,21,19.0786,1,2,2,5,1.3362320000000003,8.223253,5.364682999999999,5.939744,4.603512,4,7,8.924599999999998,Leicester,0.1465,0.2453,0.6082
13,a,1.10645,1.26725,1.10645,0.506084,4,6,1,1,1.1552000000000002,d,2020-12-19 20:00:00,0,1,0,1,0.600366,271,16,276,19,2,8,4,10,-6.1737910000000005,17.096739,23.270540999999994,13.290906,19.464697,13,23,16.1718,1,1,3,6,-0.4125860000000003,6.160653999999999,8.095576000000001,5.399484,5.81207,4,5,6.3827,Newcastle United,0.2805,0.3137,0.4058,a,1.44437,2.95137,1.44437,2.95137,3,16,2,5,0.4646,l,2020-12-16 18:00:00,0,0,1,0,-1.507,251,16,101,24,5,5,2,17,-5.181393,13.002826999999998,17.423021,10.719318,15.900711,16,21,13.7778,2,3,0,6,-2.692769,4.171742,6.864510999999999,4.171742,6.864510999999999,6,10,4.9769000000000005,Leeds,0.0974,0.1724,0.7302
