,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.269813,3.15412,0.269813,1.63179,2,19,3,4,0.0434,l,2020-09-12 16:30:00,0,0,1,0,-1.361977,196,21,308,31,0,1,0,0,-1.361977,0.269813,3.15412,0.269813,1.63179,3,4,0.0434,0,1,0,0,-1.361977,0.269813,3.15412,0.269813,1.63179,3,4,0.0434,Liverpool,0.0046,0.0296,0.9658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,1.45254,1.55503,0.691368,0.793862,5,4,4,3,1.2608,w,2020-09-19 14:00:00,1,0,0,3,-0.1024939999999999,259,34,245,26,1,1,0,3,-1.464471,1.722353,4.709149999999999,0.961181,2.425652,7,7,1.3042,1,1,0,3,-1.464471,1.722353,4.709149999999999,0.961181,2.425652,7,7,1.3042,Fulham,0.3157,0.3137,0.3706,h,0.126327,2.16287,0.126327,2.16287,0,11,0,3,0.0587,l,2020-09-12 11:30:00,0,0,1,0,-2.036543,425,13,307,14,0,1,0,0,-2.036543,0.126327,2.16287,0.126327,2.16287,0,3,0.0587,0,1,0,0,-2.036543,0.126327,2.16287,0.126327,2.16287,0,3,0.0587,Arsenal,0.0037,0.0476,0.9487
2,a,1.46641,1.53278,1.46641,1.53278,2,11,1,0,1.2819,w,2020-09-27 11:00:00,1,0,0,3,-0.06637,152,17,335,29,2,1,0,6,-1.530841,3.188763,6.241929999999999,2.427591,3.958432,8,7,2.5861,2,1,0,6,-1.530841,3.188763,6.241929999999999,2.427591,3.958432,8,7,2.5861,Sheffield United,0.337,0.2709,0.3921,a,0.849709,0.80527,0.0885404,0.80527,2,17,0,1,1.4646,l,2020-09-21 17:00:00,0,0,1,0,-0.7167296000000001,247,14,89,20,0,2,0,0,-1.3804836,1.799025,2.41834,1.0378564,2.41834,0,3,2.2601,0,2,0,0,-1.3804836,1.799025,2.41834,1.0378564,2.41834,0,3,2.2601,Aston Villa,0.3631,0.3753,0.2616
3,h,2.56662,1.41533,2.56662,1.41533,5,10,1,1,2.1571,d,2020-10-03 16:30:00,0,1,0,1,1.15129,188,24,273,24,2,1,1,7,-0.3795510000000002,5.755383,7.657259999999999,4.994211,5.373762,9,8,4.7432,2,1,1,7,-0.3795510000000002,5.755383,7.657259999999999,4.994211,5.373762,9,8,4.7432,Manchester City,0.6582,0.1825,0.1593,h,1.44633,2.86721,1.44633,0.583704,5,3,2,5,0.4174,l,2020-09-27 15:30:00,0,0,1,0,0.8626259999999999,144,27,301,12,1,1,0,3,1.4502989999999998,3.5228399999999995,3.594887,2.76168,1.311381,5,6,2.8248,1,1,0,3,1.4502989999999998,3.5228399999999995,3.594887,2.76168,1.311381,5,6,2.8248,Leicester,0.0894,0.1492,0.7614
4,h,1.08332,0.618191,1.08332,0.618191,14,2,0,1,1.7533,l,2020-10-19 19:00:00,0,0,1,0,0.465129,132,24,312,26,2,2,1,7,0.0855779999999998,6.838703000000001,8.275450999999999,6.0775310000000005,5.9919530000000005,9,9,6.496499999999999,2,2,1,7,0.0855779999999998,6.838703000000001,8.275450999999999,6.0775310000000005,5.9919530000000005,9,9,6.496499999999999,Wolverhampton Wanderers,0.4733,0.3334,0.1933,h,0.89359,0.969393,0.89359,0.969393,2,6,1,0,1.2287,w,2020-10-04 13:00:00,1,0,0,3,-0.0758029999999999,321,22,297,14,2,2,0,6,-2.6716,3.619489,7.052249,3.619489,6.291089,4,7,3.6493,2,2,0,6,-2.6716,3.619489,7.052249,3.619489,6.291089,4,7,3.6493,Fulham,0.2918,0.3533,0.3549
5,a,2.37695,1.50125,2.37695,1.50125,20,7,3,0,1.9651,w,2020-10-23 19:00:00,1,0,0,3,0.8756999999999999,124,34,225,17,3,2,1,10,0.9612779999999996,9.215653,9.776701,8.454481000000001,7.493203,12,9,8.461599999999999,3,1,1,10,2.323255,8.94584,6.622581,8.184667999999999,5.861413,9,5,8.418199999999999,Aston Villa,0.5846,0.2113,0.2041,a,0.873776,0.671595,0.873776,0.671595,7,4,1,0,1.5291,w,2020-10-18 18:15:00,1,0,0,3,0.2021809999999999,212,23,210,24,4,0,0,12,3.835665600000001,6.787526000000001,3.713029,6.787526000000001,2.9518604,12,2,7.409199999999999,4,0,0,12,3.835665600000001,6.787526000000001,3.713029,6.787526000000001,2.9518604,12,2,7.409199999999999,Leicester,0.3908,0.3567,0.2525
6,h,1.74822,3.07657,1.74822,2.3154,7,5,1,4,0.5166,l,2020-11-02 20:00:00,0,0,1,0,-0.5671799999999998,155,23,369,10,3,3,1,10,0.3940979999999999,10.963873,12.853271,10.202701,9.808603,13,13,8.9782,2,2,1,7,1.858569,9.24152,8.144121,9.24152,7.382951,6,6,7.673999999999999,Leicester,0.1116,0.1818,0.7066,a,0.736172,0.73944,0.736172,0.73944,2,5,1,0,1.3486,w,2020-10-25 19:15:00,1,0,0,3,-0.0032679999999999,367,14,264,24,4,2,0,12,-2.100525,8.674174,6.968853,4.868328,6.968853,13,8,9.0642,3,2,0,9,-3.180998,5.718364,6.615856,3.434858,6.615856,10,8,6.1568000000000005,Arsenal,0.3232,0.379,0.2978
7,a,0.847913,1.30169,0.847913,1.30169,6,8,1,4,0.9598,l,2020-11-07 15:00:00,0,0,1,0,-0.453777,152,37,352,17,3,4,1,10,-0.059679,11.811786,14.154961,11.050614,11.110293,14,17,9.938,1,3,1,4,1.471162,8.623023,7.913030999999999,8.623023,7.151860999999999,6,10,7.3519,Crystal Palace,0.2226,0.292,0.4854,a,0.802767,1.34895,0.802767,1.34895,4,8,0,2,0.887,l,2020-10-30 20:00:00,0,0,1,0,-0.5461830000000001,234,14,374,27,3,3,1,10,-1.649085,8.23104,10.64129,6.7087010000000005,8.357785999999999,8,11,8.255,1,3,1,4,-1.838125,4.92079,8.28125,4.1596210000000005,5.997746,4,10,4.7621,Wolverhampton Wanderers,0.198,0.293,0.509
8,h,1.9617,0.710778,1.9617,0.710778,11,4,0,0,2.2817000000000003,d,2020-11-22 16:30:00,0,1,0,1,1.250922,179,26,312,20,3,4,2,11,1.191243,13.773486,14.865739,13.012314000000002,11.821071,14,17,12.2197,1,3,1,4,1.5707940000000002,8.018103,7.208479,8.018103,6.447309000000001,5,9,7.4765,Arsenal,0.6937,0.2006,0.1057,h,1.39037,1.98553,1.39037,1.98553,6,16,0,3,0.9461,l,08/11/2020 19:15,0,0,1,0,-0.59516,169,15,331,24,4,4,0,12,-1.07725,9.303395,9.619476,8.542226,9.619476,9,10,11.1234,2,3,0,6,-0.818873,4.633335,4.691039,3.872166,4.691039,3,6,7.017,Aston Villa,0.2332,0.2465,0.5203
9,a,3.11324,1.29229,3.11324,1.29229,12,6,1,0,2.4936000000000003,w,2020-11-28 17:30:00,1,0,0,3,1.82095,205,32,311,19,4,4,2,14,3.012193,16.886726,16.158029,16.125554,13.113361,15,17,14.7133,2,2,1,7,2.926615,10.048023,7.882578,10.048023,7.121408000000001,6,8,8.216800000000001,Everton,0.7853,0.1377,0.077,a,2.2508,1.87028,2.2508,1.10911,9,9,3,2,1.6539,w,2020-11-22 12:00:00,1,0,0,3,1.14169,286,21,286,27,5,3,1,16,4.214902,15.535048,12.081316,14.773878,10.558976,19,16,13.651500000000002,1,3,1,4,-2.319542,5.492348,9.33423,5.492348,7.811890000000001,7,11,3.9521,Fulham,0.4634,0.2637,0.2729
10,a,1.0277,4.89472,1.0277,4.89472,7,9,1,3,0.0351,l,2020-12-05 20:00:00,0,0,1,0,-3.86702,202,22,297,31,4,5,2,14,-0.8548270000000002,17.914426,21.052749,17.153254,18.008081,16,20,14.7484,1,3,1,4,-1.816105,8.698773,11.276048,8.698773,10.514878,4,11,6.2868,Chelsea,0.0054,0.0189,0.9757,h,0.974755,0.22689,0.974755,0.22689,4,4,0,0,2.0179,d,2020-11-29 16:30:00,0,1,0,1,0.747865,237,24,388,12,5,1,4,19,4.585141999999999,16.157553999999998,8.527744999999998,13.112887,8.527744999999998,22,10,18.8883,3,0,2,11,4.72597,7.120881,2.394911,7.120881,2.394911,9,1,10.127100000000002,Tottenham,0.5514,0.3637,0.0849
