,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,1.65911,0.861445,1.65911,0.861445,10,5,2,0,2.0522,w,2020-09-12 19:00:00,1,0,0,3,0.7976650000000001,266,11,173,27,1,0,0,3,0.7976650000000001,1.65911,0.861445,1.65911,0.861445,2,0,2.0522,1,0,0,3,0.7976650000000001,1.65911,0.861445,1.65911,0.861445,2,0,2.0522,West Ham,0.6014,0.248,0.1506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,0.520678,1.8766,0.520678,1.11546,3,3,0,3,0.3134,l,2020-09-20 13:00:00,0,0,1,0,-0.5947819999999999,251,21,206,19,1,1,0,3,0.2028830000000001,2.1797880000000003,2.738045,2.1797880000000003,1.976905,2,3,2.3656,1,1,0,3,0.2028830000000001,2.1797880000000003,2.738045,2.1797880000000003,1.976905,2,3,2.3656,Brighton,0.0459,0.1757,0.7784,h,1.44281,1.27062,1.44281,0.509456,3,6,1,3,1.4766,l,2020-09-14 19:15:00,0,0,1,0,0.933354,271,29,292,23,0,1,0,0,0.933354,1.44281,1.27062,1.44281,0.509456,1,3,1.4766,0,1,0,0,0.933354,1.44281,1.27062,1.44281,0.509456,1,3,1.4766,Chelsea,0.3871,0.3153,0.2976
2,a,0.942726,3.18765,0.181557,3.18765,4,6,1,1,0.1632,d,2020-09-27 13:00:00,0,1,0,1,-3.006093,357,10,184,19,1,1,1,4,-2.80321,3.122514,5.925695,2.3613450000000005,5.164555,3,4,2.5288000000000004,1,1,1,4,-2.80321,3.122514,5.925695,2.3613450000000005,5.164555,3,4,2.5288000000000004,Tottenham,0.0246,0.0894,0.886,a,2.28004,2.27708,2.28004,1.51591,3,4,5,2,1.3870999999999998,w,2020-09-20 11:00:00,1,0,0,3,0.76413,248,23,234,27,1,1,0,3,0.319144,3.102984,3.5450100000000004,3.102984,2.78384,5,3,2.3448,1,1,0,3,0.319144,3.102984,3.5450100000000004,3.102984,2.78384,5,3,2.3448,Southampton,0.3702,0.2765,0.3533
3,h,1.95629,0.438849,1.19512,0.438849,4,10,3,1,2.6139,w,2020-10-03 19:00:00,1,0,0,3,0.7562709999999999,249,12,226,24,2,1,1,7,-2.046939,5.078804,6.364544,3.556465,5.603404,6,5,5.1427000000000005,2,1,1,7,-2.046939,5.078804,6.364544,3.556465,5.603404,6,5,5.1427000000000005,Burnley,0.8267,0.1338,0.0395,h,0.347136,0.706632,0.347136,0.706632,9,6,0,1,0.8712,l,2020-09-26 19:00:00,0,0,1,0,-0.359496,230,28,275,20,0,2,0,0,0.1771789999999999,1.871176,1.693997,1.871176,1.693997,2,5,2.6561,0,2,0,0,0.1771789999999999,1.871176,1.693997,1.871176,1.693997,2,5,2.6561,Southampton,0.1508,0.4188,0.4304
4,h,0.867496,2.21729,0.867496,1.45612,3,12,1,4,0.4246999999999999,l,2020-10-17 19:00:00,0,0,1,0,-0.588624,340,28,206,34,2,2,1,7,-2.6355630000000003,5.9463,8.581834,4.423961,7.059524000000001,7,9,5.5674,2,2,1,7,-2.6355630000000003,5.9463,8.581834,4.423961,7.059524000000001,7,9,5.5674,Manchester United,0.0765,0.1952,0.7283,h,0.873435,3.3017,0.112267,2.54054,3,8,1,6,0.1301999999999999,l,2020-10-04 15:30:00,0,0,1,0,-2.428273,477,24,227,34,1,2,0,3,-3.885094,3.546635,8.19285,2.024296,5.90939,5,11,1.3595000000000002,1,2,0,3,-3.885094,3.546635,8.19285,2.024296,5.90939,5,11,1.3595000000000002,Tottenham,0.0166,0.0804,0.903
5,a,0.253685,0.758626,0.253685,0.758626,4,5,1,1,0.7813000000000001,d,2020-10-25 16:30:00,0,1,0,1,-0.5049410000000001,407,13,265,26,2,2,2,8,-3.1405040000000004,6.199985,9.34046,4.677646,7.818150000000001,8,10,6.3487,1,2,2,5,-3.938169,4.540875,8.479015,3.018536,6.956705000000001,6,10,4.2965,Wolverhampton Wanderers,0.116,0.4333,0.4507,a,0.618191,1.08332,0.618191,1.08332,2,14,1,0,0.9133,w,2020-10-19 19:00:00,1,0,0,3,-0.465129,312,26,132,24,3,2,0,9,-3.1367290000000003,4.23768,8.135569,4.23768,7.374409,5,7,4.5626,3,2,0,9,-3.1367290000000003,4.23768,8.135569,4.23768,7.374409,5,7,4.5626,Leeds,0.1933,0.3334,0.4733
6,h,2.6311,1.21805,1.86993,1.21805,5,8,2,1,2.4522,w,2020-11-01 14:00:00,1,0,0,3,0.65188,411,12,211,24,3,2,2,11,-2.4886240000000006,8.831085,10.55851,6.547576,9.0362,10,11,8.8009,2,1,2,8,-2.6915070000000005,6.6512970000000005,7.820465,4.367788,7.0592950000000005,8,8,6.4353,Everton,0.7653,0.1563,0.0784,a,0.287054,0.74151,0.287054,0.74151,6,6,0,2,0.8175000000000001,l,2020-10-25 14:00:00,0,0,1,0,-0.454456,409,35,333,24,4,1,1,13,4.945048,11.689734,5.983516,10.928564,5.983516,14,9,11.1923,3,1,1,10,4.500062,10.421804,5.160572,9.660634,5.160572,13,9,9.4477,Southampton,0.1292,0.4299,0.4409
7,a,0.175633,0.985828,0.175633,0.985828,0,4,0,2,0.5419,l,2020-11-06 20:00:00,0,0,1,0,-0.810195,335,20,199,35,3,3,2,11,-3.298819000000001,9.006718,11.544338,6.723209000000001,10.022028,10,13,9.3428,2,2,1,7,-0.4956090000000002,5.884204,5.618643,4.361864000000001,4.857473,7,9,6.814,Southampton,0.0614,0.3577,0.5809,a,1.00333,2.44855,1.00333,1.68738,2,5,4,3,0.4426,w,2020-11-01 12:00:00,1,0,0,3,-0.68405,164,22,161,23,4,2,1,13,-0.5430520000000001,8.363781000000001,8.906833,7.602611,8.145663,14,12,9.4619,4,0,1,13,0.354098,4.824031,5.231102999999999,4.824031,4.469932999999999,12,6,6.9047,Aston Villa,0.0902,0.172,0.7378
8,h,0.368286,1.81923,0.368286,1.81923,3,8,0,2,0.3298,l,2020-11-21 12:30:00,0,0,1,0,-1.4509439999999998,443,15,124,17,3,4,2,11,-4.749763000000001,9.375004,13.363568,7.091495000000001,11.841258,10,15,9.6726,1,3,1,4,-2.702824,4.2962,6.999024,3.53503,6.237854,4,10,4.5299,Chelsea,0.0513,0.1759,0.7728,h,2.87622,0.743967,2.87622,0.743967,14,5,4,1,2.7167,w,2020-11-07 17:30:00,1,0,0,3,2.132253,145,10,470,16,4,1,3,15,2.386333,13.363569,7.932568999999999,10.318902,7.932568999999999,20,10,14.3761,3,0,2,11,3.979508,8.828306,3.326464,7.305972,3.326464,14,4,10.3797,Sheffield United,0.8726,0.0989,0.0285
9,a,1.27929,0.534893,1.27929,0.534893,4,12,2,0,2.0040000000000004,w,2020-11-27 20:00:00,1,0,0,3,0.7443970000000001,269,36,186,11,4,4,2,14,-4.005366,10.654293999999998,13.898461,8.370785000000001,12.376151,12,15,11.6766,2,2,1,7,-1.3698029999999997,4.707993999999999,5.316627,3.946824,5.316627,5,6,6.1092,Crystal Palace,0.5711,0.2907,0.1382,a,1.28331,1.75343,1.28331,1.75343,7,7,0,1,0.995,l,2020-11-23 17:30:00,0,0,1,0,-0.4701200000000001,224,14,255,22,4,4,1,13,-1.6654280000000004,10.81604,13.242633,9.293701,10.959129,12,13,10.9982,2,2,1,7,0.1018839999999999,6.959426000000001,6.096373,6.198257,6.096373,7,6,7.2709,Burnley,0.2446,0.2612,0.4942
