,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.949316,1.61307,0.949316,1.61307,10,3,0,2,0.7955000000000001,l,2020-09-14 17:00:00,0,0,1,0,-0.663754,247,30,188,6,0,1,0,0,-0.663754,0.949316,1.61307,0.949316,1.61307,0,2,0.7955000000000001,0,1,0,0,-0.663754,0.949316,1.61307,0.949316,1.61307,0,2,0.7955000000000001,Wolverhampton Wanderers,0.1683,0.2906,0.5411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.849709,0.80527,0.0885404,0.80527,2,17,0,1,1.4646,l,2020-09-21 17:00:00,0,0,1,0,-0.7167296000000001,247,14,89,20,0,2,0,0,-1.3804836,1.799025,2.41834,1.0378564,2.41834,0,3,2.2601,0,2,0,0,-1.3804836,1.799025,2.41834,1.0378564,2.41834,0,3,2.2601,Aston Villa,0.3631,0.3753,0.2616,h,0.980413,3.43414,0.219244,3.43414,5,19,2,1,0.1707,w,2021-05-23 15:00:00,1,0,0,3,-3.2148960000000004,294,16,133,21,16,15,7,55,3.4628793999999994,56.715489000000005,53.25255619999999,52.14847200000001,48.68559260000001,55,46,54.06,2,2,1,7,-4.171306,4.971850999999999,9.143118,4.210681999999999,8.381988,7,8,4.2307,Chelsea,0.0296,0.0819,0.8885
2,h,1.53278,1.46641,1.53278,1.46641,11,2,0,1,1.4471999999999998,l,2020-09-27 11:00:00,0,0,1,0,0.06637,335,29,152,17,0,3,0,0,-1.3141136,3.331805,3.88475,2.5706364,3.88475,0,4,3.7073,0,3,0,0,-1.3141136,3.331805,3.88475,2.5706364,3.88475,0,4,3.7073,Leeds,0.3921,0.2709,0.337,h,1.45254,1.55503,0.691368,0.793862,5,4,4,3,1.2608,w,2020-09-19 14:00:00,1,0,0,3,-0.1024939999999999,259,34,245,26,1,1,0,3,-1.464471,1.722353,4.709149999999999,0.961181,2.425652,7,7,1.3042,1,1,0,3,-1.464471,1.722353,4.709149999999999,0.961181,2.425652,7,7,1.3042,Fulham,0.3157,0.3137,0.3706
3,a,0.144994,0.667131,0.144994,0.667131,3,4,1,2,0.658,l,2020-10-04 13:00:00,0,0,1,0,-0.5221370000000001,445,23,167,12,0,4,0,0,-1.8362506,3.476799,4.551881000000001,2.7156304,4.551881000000001,1,6,4.3653,0,4,0,0,-1.8362506,3.476799,4.551881000000001,2.7156304,4.551881000000001,1,6,4.3653,Arsenal,0.0695,0.4495,0.481,a,1.17817,2.73834,1.17817,2.73834,3,11,1,3,0.3972,l,28/09/2020 19:15,0,0,1,0,-1.56017,502,14,256,29,2,1,0,6,-0.258377,4.67006,4.928437,4.67006,4.928437,6,4,4.1064,2,1,0,6,-0.258377,4.67006,4.928437,4.67006,4.928437,6,4,4.1064,Liverpool,0.0759,0.1695,0.7546
4,h,1.66363,1.35611,0.902464,0.594945,1,1,1,1,1.6344,d,2020-10-18 11:00:00,0,1,0,1,0.3075190000000001,349,23,216,17,0,4,1,1,-1.5287316,5.140429,5.907991000000001,3.6180944,5.146826000000001,2,7,5.999700000000001,0,4,1,1,-1.5287316,5.140429,5.907991000000001,3.6180944,5.146826000000001,2,7,5.999700000000001,Fulham,0.4387,0.3183,0.243,a,0.969393,0.89359,0.969393,0.89359,6,2,0,1,1.418,l,2020-10-04 13:00:00,0,0,1,0,0.0758029999999999,297,14,321,22,0,4,0,0,-3.355791,3.1854250000000004,6.541219999999999,2.424257,5.780047999999999,3,11,3.2703999999999995,0,4,0,0,-3.355791,3.1854250000000004,6.541219999999999,2.424257,5.780047999999999,3,11,3.2703999999999995,Wolverhampton Wanderers,0.3549,0.3533,0.2918
5,a,1.39788,2.40286,0.636707,2.40286,8,7,1,2,0.6184,l,2020-10-24 19:00:00,0,0,1,0,-1.766153,393,20,170,12,0,5,1,1,-3.2948846,6.538309,8.310851000000001,4.254801400000001,7.549686000000001,3,9,6.618100000000001,0,4,1,1,-2.6311306,5.588992999999999,6.697780999999999,3.3054854,5.936616,3,7,5.8226,Liverpool,0.1341,0.2161,0.6498,a,2.49492,1.35998,2.49492,1.35998,13,2,2,2,2.1289,d,2020-10-17 11:30:00,0,1,0,1,1.13494,218,25,282,20,3,1,1,10,4.746973,12.29654,6.788406,10.77421,6.027237,13,13,10.5102,3,1,1,10,4.746973,12.29654,6.788406,10.77421,6.027237,13,13,10.5102,Everton,0.6444,0.1957,0.1599
6,h,0.687544,1.89643,0.687544,1.89643,3,9,0,1,0.4224,l,2020-10-31 12:30:00,0,0,1,0,-1.208886,449,24,188,12,0,6,1,1,-4.5037706,7.225853,10.207281000000002,4.942345400000001,9.446116000000002,3,10,7.040500000000001,0,4,1,1,-3.1232870000000004,5.426828,7.788941000000001,3.904489,7.027776000000001,3,7,4.7804,Manchester City,0.0699,0.2127,0.7174,a,0.892456,0.263739,0.892456,0.263739,13,2,1,1,1.9364,d,2020-10-24 11:30:00,0,1,0,1,0.628717,157,12,406,20,2,1,2,8,1.5196339999999997,7.260855999999999,7.263568,6.499696,4.980062,8,8,7.2951,2,1,2,8,1.5196339999999997,7.260855999999999,7.263568,6.499696,4.980062,8,8,7.2951,West Ham,0.5165,0.3869,0.0966
7,a,0.743967,2.87622,0.743967,2.87622,5,14,1,4,0.1844,l,2020-11-07 17:30:00,0,0,1,0,-2.132253,470,16,145,10,0,7,1,1,-6.6360236,7.96982,13.083501000000002,5.6863124,12.322336000000002,4,14,7.224900000000001,0,4,1,1,-5.321910000000001,4.638014999999999,9.198751,3.115676,8.437586,4,10,3.5176000000000003,Chelsea,0.0285,0.0989,0.8726,a,1.23077,0.407341,1.23077,0.407341,12,1,3,0,2.1067,w,2020-10-31 15:00:00,1,0,0,3,0.823429,206,23,440,26,3,1,3,12,0.2540799999999994,10.487349,7.188601999999999,7.442682,7.188601999999999,16,9,11.6594,2,0,3,9,3.29653,8.312546,3.493682,6.790212,3.493682,13,6,10.0847,Burnley,0.6051,0.2914,0.1035
8,h,0.692374,2.1142,0.692374,2.1142,7,10,0,1,0.3999,l,2020-11-22 14:00:00,0,0,1,0,-1.4218259999999998,232,16,254,17,0,8,1,1,-8.057849599999999,8.662194,15.197701000000002,6.3786864,14.436536000000002,4,15,7.6248,0,4,1,1,-6.221598999999999,5.185395000000001,10.64582,3.663056,9.884655,3,9,3.2595000000000005,West Ham,0.0757,0.1728,0.7515,h,1.42614,1.84922,1.42614,1.08806,6,5,1,0,1.0165,w,2020-11-07 20:00:00,1,0,0,3,0.3380799999999999,222,20,303,8,3,3,2,11,3.085674,11.473361999999998,9.91002,11.473361999999998,8.387687999999999,14,10,11.1239,2,1,2,8,0.4767110000000001,5.491117,6.536738,5.491117,5.014406,9,6,5.6134,Fulham,0.2509,0.2638,0.4853
9,a,3.36544,1.71644,3.36544,1.71644,11,6,0,1,2.3808,l,2020-11-28 20:00:00,0,0,1,0,1.649,198,15,182,19,0,9,1,1,-6.408849599999999,12.027634,16.914141,9.7441264,16.152976000000002,4,16,10.0056,0,5,0,0,-4.880118,6.887205,11.00615,6.126032,11.00615,2,9,4.0059000000000005,West Bromwich Albion,0.7464,0.1416,0.112,a,0.438646,2.42994,0.438646,1.66881,2,20,0,1,0.1638,l,2020-11-21 20:00:00,0,0,1,0,-1.2301639999999998,324,30,221,29,0,6,3,3,-11.210745,4.488841,17.983055999999998,4.488841,15.699585999999998,6,18,4.1189,0,3,2,2,-4.0460080000000005,2.748029,7.555167000000001,2.748029,6.794037,1,5,3.1325000000000003,Manchester United,0.024,0.0918,0.8842
