,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.978788,0.399306,0.978788,0.399306,5,4,1,1,1.8794,d,2014-08-23 22:00:00,0,1,0,1,0.579482,140,21,237,15,0,0,1,1,0.579482,0.978788,0.399306,0.978788,0.399306,1,1,1.8794,0,0,1,1,0.579482,0.978788,0.399306,0.978788,0.399306,1,1,1.8794,Espanyol,0.51,0.3494,0.1406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,1.31079,1.31774,1.31079,1.31774,4,3,0,1,1.318,l,2014-08-29 19:00:00,0,0,1,0,-0.00695,236,26,204,27,0,1,1,1,0.572532,2.289578,1.717046,2.289578,1.717046,1,2,3.1974,0,1,1,1,0.572532,2.289578,1.717046,2.289578,1.717046,1,2,3.1974,Getafe,0.3413,0.2941,0.3646,a,0.673965,1.91721,0.673965,1.91721,4,9,1,3,0.486,l,2014-08-24 20:00:00,0,0,1,0,-1.243245,310,25,199,37,0,1,0,0,-1.243245,0.673965,1.91721,0.673965,1.91721,1,3,0.486,0,1,0,0,-1.243245,0.673965,1.91721,0.673965,1.91721,1,3,0.486,Celta Vigo,0.0962,0.1974,0.7064
2,h,1.03628,0.763656,1.03628,0.763656,5,1,1,1,1.5613,d,2014-09-12 20:00:00,0,1,0,1,0.2726240000000001,228,38,200,24,0,1,2,2,0.8451560000000001,3.325858,2.480702,3.325858,2.480702,2,3,4.7587,0,1,2,2,0.8451560000000001,3.325858,2.480702,3.325858,2.480702,2,3,4.7587,Cordoba,0.41,0.3313,0.2587,h,0.241504,0.786352,0.241504,0.786352,2,9,1,1,0.7196,d,2014-08-30 18:00:00,0,1,0,1,-0.544848,334,27,202,33,0,1,1,1,-0.779083,0.6199140000000001,1.398997,0.6199140000000001,1.398997,1,3,1.7379,0,1,1,1,-0.779083,0.6199140000000001,1.398997,0.6199140000000001,1.398997,1,3,1.7379,Celta Vigo,0.1039,0.4079,0.4882
3,a,0.603236,1.67935,0.603236,1.67935,2,12,2,1,0.5703,w,2014-09-21 11:00:00,1,0,0,3,-1.076114,197,20,119,22,1,1,2,5,-0.2309579999999998,3.929094,4.160052,3.929094,4.160052,4,4,5.329000000000001,1,1,2,5,-0.2309579999999998,3.929094,4.160052,3.929094,4.160052,4,4,5.329000000000001,Real Sociedad,0.1135,0.2298,0.6567,a,1.30012,2.85395,1.30012,2.85395,6,1,2,2,0.3639,d,2014-09-13 21:00:00,0,1,0,1,-1.5538300000000005,214,16,196,26,1,1,1,4,-0.6184550000000001,5.016633,5.635088,5.016633,5.635088,6,5,3.8604,1,1,1,4,-0.6184550000000001,5.016633,5.635088,5.016633,5.635088,6,5,3.8604,Celta Vigo,0.0704,0.1527,0.7769
4,h,0.263228,1.689,0.263228,1.689,1,11,0,1,0.3269999999999999,l,2014-09-24 19:00:00,0,0,1,0,-1.425772,265,20,152,31,1,2,2,5,-1.65673,4.192322,5.849052,4.192322,5.849052,4,5,5.656000000000001,1,2,2,5,-1.65673,4.192322,5.849052,4.192322,5.849052,4,5,5.656000000000001,Atletico Madrid,0.0458,0.1896,0.7646,h,2.42868,0.926164,2.42868,0.182886,12,4,2,2,2.419,d,2014-09-20 19:00:00,0,1,0,1,2.245794,240,26,151,18,2,0,2,8,3.572428,5.812266,3.726394,5.812266,2.239838,6,4,7.0686,2,0,2,8,3.572428,5.812266,3.726394,5.812266,2.239838,6,4,7.0686,Celta Vigo,0.7447,0.1849,0.0704
5,a,0.72135,0.957268,0.72135,0.957268,2,6,1,0,1.0895,w,2014-09-28 16:00:00,1,0,0,3,-0.2359179999999999,227,24,127,19,2,2,2,8,-1.892648,4.913672,6.80632,4.913672,6.80632,5,5,6.745500000000001,2,2,1,7,-2.47213,3.934884,6.407013999999999,3.934884,6.407013999999999,4,4,4.866099999999999,Deportivo La Coruna,0.2478,0.3461,0.4061,a,1.04057,1.19299,0.297295,1.19299,4,3,1,2,1.2402,l,2014-09-23 21:00:00,0,0,1,0,-0.895695,210,22,170,35,1,3,1,4,-2.935879,5.740319,6.446363,3.5104840000000004,6.446363,7,14,6.3202,1,3,1,4,-2.935879,5.740319,6.446363,3.5104840000000004,6.446363,7,14,6.3202,Celta Vigo,0.2979,0.3465,0.3556
6,h,2.34067,0.511144,1.59739,0.511144,2,1,2,2,2.6717,d,2014-10-04 21:00:00,0,1,0,1,1.086246,149,32,166,24,2,2,3,9,-0.8064019999999998,7.254341999999999,7.317464,6.511062,7.317464,7,7,9.4172,2,1,2,8,-1.3789339999999997,4.964764,5.600418,4.221484,5.600418,6,5,6.219799999999999,Elche,0.8496,0.1229,0.0275,h,0.402099,2.04008,0.402099,2.04008,3,12,0,1,0.2849,l,2014-09-26 20:00:00,0,0,1,0,-1.637981,256,23,175,25,1,4,1,4,-4.573557,4.545299999999999,10.605406,3.802026,8.375582999999999,5,14,4.5053,1,3,1,4,-3.1403570000000003,4.437259999999999,9.064166,3.693986,6.8343430000000005,5,11,4.2808,Celta Vigo,0.0451,0.1496,0.8053
7,a,0.336251,2.75077,0.336251,2.75077,4,8,0,2,0.1037,l,2014-10-19 20:00:00,0,0,1,0,-2.4145190000000003,205,33,190,39,2,3,3,9,-3.220921,7.590592999999999,10.068234,6.847313,10.068234,7,9,9.5209,2,2,1,7,-4.066077,4.264735,7.587532,3.521455,7.587532,5,6,4.7622,Villarreal,0.0138,0.0623,0.9239,a,2.02409,1.17846,2.02409,1.17846,5,8,3,1,2.0135,w,2014-10-05 16:00:00,1,0,0,3,0.8456300000000001,266,33,117,30,3,2,2,11,4.534529000000001,12.779495999999998,8.244967,12.779495999999998,8.244967,10,7,11.8482,2,1,2,8,3.882934,8.657015999999999,4.774082,8.657015999999999,4.774082,8,6,8.7426,Celta Vigo,0.597,0.2225,0.1805
8,h,0.310169,0.921626,0.310169,0.921626,2,4,0,1,0.5975,l,2014-10-25 15:00:00,0,0,1,0,-0.6114569999999999,203,30,142,33,2,4,3,9,-3.832378,7.900761999999999,10.98986,7.157482,10.98986,7,10,10.1184,1,3,1,4,-3.60142,3.971668,6.829808,3.2283880000000003,6.829808,3,6,4.7894,Athletic Club,0.0903,0.3266,0.5831,h,2.66245,0.221015,1.91917,0.221015,6,4,1,1,2.8917,d,2014-10-18 17:00:00,0,1,0,1,1.698155,260,26,163,28,1,5,2,5,-2.0261333000000006,9.5835067,11.749357,8.840226699999999,10.86636,5,12,10.3172,0,3,2,2,-2.575049,6.087816,7.919585,5.344536000000001,7.919585,2,9,6.2995,Celta Vigo,0.9487,0.0456,0.0057
9,a,1.32208,1.46581,1.32208,1.46581,2,1,1,2,1.2289,l,2014-11-02 18:00:00,0,0,1,0,-0.1437300000000001,153,25,271,30,2,5,3,9,-3.976108,9.222842,12.45567,8.479562,12.45567,8,12,11.3473,1,3,1,4,-2.319378,5.03052,6.606618,4.28724,6.606618,4,7,5.6913,Levante,0.3121,0.2926,0.3953,a,0.207108,1.88024,0.207108,1.88024,1,4,0,3,0.2148999999999999,l,2014-10-24 20:00:00,0,0,1,0,-1.6731319999999998,443,26,144,27,1,6,2,5,-12.648584999999995,4.260941,19.139354,4.260941,16.909526,4,23,4.3086,1,3,1,4,-4.956092,2.7837589999999994,9.226399,2.7837589999999994,7.739851,4,13,3.2256000000000005,Celta Vigo,0.0244,0.1417,0.8339
