,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,1.54124,0.10804,1.54124,0.10804,12,0,3,0,2.605,w,2014-08-24 20:00:00,1,0,0,3,1.4332,216,33,515,28,1,0,0,3,1.4332,1.54124,0.10804,1.54124,0.10804,3,0,2.605,1,0,0,3,1.4332,1.54124,0.10804,1.54124,0.10804,3,0,2.605,Elche,0.8115,0.1705,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,3.12545,1.10836,3.12545,1.10836,11,5,1,0,2.6874,w,2014-08-31 18:00:00,1,0,0,3,2.01709,120,32,321,15,2,0,0,6,3.45029,4.66669,1.2164,4.66669,1.2164,4,0,5.292400000000001,2,0,0,6,3.45029,4.66669,1.2164,4.66669,1.2164,4,0,5.292400000000001,Villarreal,0.8606,0.1056,0.0338,a,3.01412,0.345435,3.01412,0.345435,5,0,2,0,2.8986,w,2014-08-24 22:00:00,1,0,0,3,2.668685,313,16,252,24,1,0,0,3,2.668685,3.01412,0.345435,3.01412,0.345435,2,0,2.8986,1,0,0,3,2.668685,3.01412,0.345435,3.01412,0.345435,2,0,2.8986,Levante,0.953,0.0396,0.0074
2,h,2.1772,0.0979707,2.1772,0.0979707,14,3,2,0,2.8197,w,2014-09-13 15:00:00,1,0,0,3,2.0792293,262,31,386,34,3,0,0,9,5.5295193000000005,6.84389,1.3143707,6.84389,1.3143707,6,0,8.112100000000002,3,0,0,9,5.5295193000000005,6.84389,1.3143707,6.84389,1.3143707,6,0,8.112100000000002,Athletic Club,0.9133,0.0798,0.0069,h,2.25621,0.331502,2.25621,0.331502,4,3,3,0,2.779,w,2014-08-30 18:00:00,1,0,0,3,1.924708,195,22,315,33,1,1,0,3,2.628145,3.39772,1.652572,3.39772,0.769575,3,1,3.9172,1,1,0,3,2.628145,3.39772,1.652572,3.39772,0.769575,3,1,3.9172,Levante,0.8982,0.0844,0.0174
3,a,3.8229,0.44198,3.07962,0.44198,14,0,5,0,2.9336,w,2014-09-21 20:00:00,1,0,0,3,2.63764,154,22,429,18,4,0,0,12,8.1671593,10.66679,1.7563507,9.92351,1.7563507,11,0,11.045700000000002,4,0,0,12,8.1671593,10.66679,1.7563507,9.92351,1.7563507,11,0,11.045700000000002,Levante,0.9694,0.0254,0.0052,a,0.358265,0.819725,0.358265,0.819725,1,7,0,0,0.8436,d,2014-09-13 17:00:00,0,1,0,1,-0.46146,241,27,128,13,0,2,1,1,-5.054853,1.035202,6.090055,1.035202,6.090055,0,5,1.042,0,2,1,1,-5.054853,1.035202,6.090055,1.035202,6.090055,0,5,1.042,Malaga,0.1466,0.4038,0.4496
4,a,0.646364,0.278657,0.646364,0.278657,7,4,0,0,1.6659,d,2014-09-24 21:00:00,0,1,0,1,0.367707,96,21,293,31,4,0,1,13,8.5348663,11.313154,2.0350077,10.569874,2.0350077,11,0,12.711600000000002,4,0,1,13,8.5348663,11.313154,2.0350077,10.569874,2.0350077,11,0,12.711600000000002,Malaga,0.4013,0.462,0.1367,a,0.446347,2.76188,0.446347,2.76188,6,2,2,2,0.0628,d,2014-09-20 21:00:00,0,1,0,1,-2.3155330000000003,99,18,264,33,1,1,2,5,-2.49519,3.719102,6.230285,2.836105,5.331295,3,5,4.0543000000000005,1,1,2,5,-2.49519,3.719102,6.230285,2.836105,5.331295,3,5,4.0543000000000005,Espanyol,0.0073,0.0409,0.9518
5,h,4.92758,0.445275,4.92758,0.445275,16,0,6,0,2.9846000000000004,w,2014-09-27 17:00:00,1,0,0,3,4.482305,189,44,285,11,5,0,1,16,13.0171713,16.240734,2.4802827,15.497454,2.4802827,17,0,15.696200000000005,4,0,1,13,11.583971299999998,14.699494,2.3722427,13.956214,2.3722427,14,0,13.0912,Granada,0.9928,0.0062,0.001,h,0.636719,0.415162,0.636719,0.415162,1,1,0,1,1.5546,l,2014-09-24 21:00:00,0,0,1,0,0.221557,149,25,234,29,2,1,2,8,-0.4836029999999999,2.7549719999999995,3.2385750000000004,2.7549719999999995,3.2385750000000004,4,3,6.1096,2,1,2,8,-0.4836029999999999,2.7549719999999995,3.2385750000000004,2.7549719999999995,3.2385750000000004,4,3,6.1096,Levante,0.3722,0.438,0.1898
6,a,2.97834,0.515599,2.97834,0.515599,12,2,2,0,2.7636,w,2014-10-04 17:00:00,1,0,0,3,2.4627410000000003,197,26,260,27,6,0,1,19,15.4799123,19.219074,2.9958817,18.475794,2.9958817,19,0,18.4598,4,0,1,13,12.0296223,14.552384,1.7794816999999998,13.809103999999998,1.7794816999999998,15,0,13.1674,Rayo Vallecano,0.8952,0.078,0.0268,a,1.39355,0.637848,0.650272,0.637848,5,4,2,0,2.0557,w,2014-09-27 21:00:00,1,0,0,3,0.0124239999999999,154,17,269,40,2,2,2,8,-0.2066189999999992,9.991897,9.455245,8.505346,8.711965,10,10,9.5014,2,2,1,7,0.3376300000000005,9.63456,8.553659,8.148009,7.810378999999999,10,10,8.7616,Levante,0.5817,0.3106,0.1077
7,h,3.09294,0.929153,3.09294,0.929153,19,0,3,0,2.6361,w,2014-10-18 19:00:00,1,0,0,3,2.163787,148,23,312,25,7,0,1,22,17.643699299999998,22.312014,3.9250347,21.568734,3.9250347,22,0,21.0959,4,0,1,13,12.11418,15.468124,2.610664,14.724844,2.610664,16,0,12.9838,Eibar,0.8418,0.1107,0.0475,h,1.03989,1.03547,1.03989,1.03547,9,2,3,3,1.333,d,2014-10-04 19:00:00,0,1,0,1,0.00442,103,23,212,23,2,2,3,9,-1.929977,4.987443,6.91742,4.987443,6.91742,8,7,7.433300000000001,1,1,3,6,-0.9035049999999998,3.666932,4.570437,3.666932,4.570437,6,5,5.6901,Levante,0.3343,0.3301,0.3356
8,a,1.30281,1.87887,1.30281,1.13559,7,8,1,3,0.9153,l,2014-10-25 17:00:00,0,0,1,0,0.1672199999999999,259,34,304,24,7,1,1,22,17.8109193,23.614824,5.8039047,22.871544,5.0606247,23,3,22.0112,3,1,1,10,9.64376,12.948034,4.047554,12.948034,3.304274,12,3,10.9655,Real Madrid,0.2182,0.2607,0.5211,a,4.276,0.488171,3.53273,0.488171,8,1,5,0,2.9487,w,2014-10-18 15:00:00,1,0,0,3,3.044559,203,15,427,24,6,2,0,18,8.653845,19.377511,9.237122,16.404412999999998,7.750568000000001,30,9,16.0095,5,0,0,15,9.110898,14.861346,5.007182,12.631526,3.520628,25,3,11.639,Levante,0.9767,0.0186,0.0047
9,h,2.66159,1.55562,2.66159,1.55562,16,5,0,1,2.0884,l,2014-11-01 19:00:00,0,0,1,0,1.10597,128,24,291,42,7,2,1,22,18.9168893,26.276414,7.359524700000001,25.533134,6.6162447,23,4,24.0996,3,2,0,9,10.382023,14.963260000000002,5.324517,14.963260000000002,4.581237,12,4,11.388,Celta Vigo,0.6303,0.1975,0.1722,h,1.88024,0.207108,1.88024,0.207108,4,1,3,0,2.6434,w,2014-10-24 20:00:00,1,0,0,3,1.6731319999999998,144,27,443,26,4,1,4,16,2.7591520000000003,12.996461,10.980586,12.253183,9.494031,16,11,14.517499999999998,3,1,1,10,1.663023,6.512785,6.336317,6.512785,4.849762,8,5,7.448900000000002,Levante,0.8339,0.1417,0.0244
