,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.37841,0.612645,0.37841,0.612645,4,4,0,2,1.0183,l,2014-08-25 19:00:00,0,0,1,0,-0.2342349999999999,345,16,212,25,0,1,0,0,-0.2342349999999999,0.37841,0.612645,0.37841,0.612645,0,2,1.0183,0,1,0,0,-0.2342349999999999,0.37841,0.612645,0.37841,0.612645,0,2,1.0183,Real Madrid,0.1859,0.4606,0.3535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,0.241504,0.786352,0.241504,0.786352,2,9,1,1,0.7196,d,2014-08-30 18:00:00,0,1,0,1,-0.544848,334,27,202,33,0,1,1,1,-0.779083,0.6199140000000001,1.398997,0.6199140000000001,1.398997,1,3,1.7379,0,1,1,1,-0.779083,0.6199140000000001,1.398997,0.6199140000000001,1.398997,1,3,1.7379,Celta Vigo,0.1039,0.4079,0.4882,h,1.91721,0.673965,1.91721,0.673965,9,4,3,1,2.3166,w,2014-08-24 20:00:00,1,0,0,3,1.243245,199,37,310,25,1,0,0,3,1.243245,1.91721,0.673965,1.91721,0.673965,3,1,2.3166,1,0,0,3,1.243245,1.91721,0.673965,1.91721,0.673965,3,1,2.3166,Getafe,0.7064,0.1974,0.0962
2,a,0.763656,1.03628,0.763656,1.03628,1,5,1,1,1.1074,d,2014-09-12 20:00:00,0,1,0,1,-0.2726240000000001,200,24,228,38,0,1,2,2,-1.051707,1.3835700000000002,2.435277,1.3835700000000002,2.435277,2,4,2.8453,0,1,2,2,-1.051707,1.3835700000000002,2.435277,1.3835700000000002,2.435277,2,4,2.8453,Almeria,0.2587,0.3313,0.41,a,1.31079,1.31774,1.31079,1.31774,4,3,0,1,1.318,l,2014-08-29 19:00:00,0,0,1,0,-0.00695,236,26,204,27,0,1,1,1,0.572532,2.289578,1.717046,2.289578,1.717046,1,2,3.1974,0,1,1,1,0.572532,2.289578,1.717046,2.289578,1.717046,1,2,3.1974,Getafe,0.3413,0.2941,0.3646
3,h,0.901931,2.64146,0.901931,1.89856,2,12,1,3,0.3025,l,2014-09-21 18:00:00,0,0,1,0,-0.996629,157,18,316,33,0,2,2,2,-2.048336,2.285501,5.076737,2.285501,4.333837,3,7,3.1478,0,2,2,2,-2.048336,2.285501,5.076737,2.285501,4.333837,3,7,3.1478,Sevilla,0.0556,0.1357,0.8087,h,2.03978,0.30148,1.29676,0.30148,3,0,2,0,2.7313,w,2014-09-14 18:00:00,1,0,0,3,0.99528,192,26,261,17,2,0,1,7,0.8325849999999998,4.571859999999999,2.996255,3.82884,2.996255,5,2,5.2859,2,0,1,7,0.8325849999999998,4.571859999999999,2.996255,3.82884,2.996255,5,2,5.2859,Getafe,0.8755,0.1048,0.0197
4,a,0.116667,1.26428,0.116667,1.26428,3,2,0,3,0.37,l,2014-09-25 21:00:00,0,0,1,0,-1.147613,313,25,176,19,0,3,2,2,-3.195949,2.402168,6.341017,2.402168,5.598117,3,10,3.5178000000000003,0,3,2,2,-3.195949,2.402168,6.341017,2.402168,5.598117,3,10,3.5178000000000003,Valencia,0.0336,0.2692,0.6972,a,1.54259,0.23474,0.799442,0.23474,4,1,3,0,2.5923000000000003,w,2014-09-22 19:45:00,1,0,0,3,0.564702,303,23,224,28,3,0,1,10,2.592433,7.122240000000001,3.63082,5.480102,2.8876690000000003,10,2,8.5103,3,0,1,10,2.592433,7.122240000000001,3.63082,5.480102,2.8876690000000003,10,2,8.5103,Getafe,0.8102,0.1617,0.0281
5,h,0.137119,0.112527,0.137119,0.112527,1,1,0,0,1.137,d,2014-09-28 20:00:00,0,1,0,1,0.0245919999999999,55,9,88,16,0,3,3,3,-3.1713569999999995,2.539287,6.453544,2.539287,5.710644,3,10,4.6548,0,2,3,3,-2.937122,2.160877,5.840899,2.160877,5.097999000000001,3,8,3.6365,Espanyol,0.1186,0.7812,0.1002,h,2.09364,0.40196,2.09364,0.40196,4,5,2,0,2.6665,w,2014-09-25 19:00:00,1,0,0,3,1.6916800000000003,298,43,156,32,1,2,2,5,1.5003750000000005,7.292721,5.049195,6.549570000000001,5.049195,7,8,8.0013,1,2,2,5,1.5003750000000005,7.292721,5.049195,6.549570000000001,5.049195,7,8,8.0013,Getafe,0.8487,0.1204,0.0309
6,a,0.377042,1.4608,0.377042,1.4608,0,1,1,1,0.4679,d,2014-10-03 20:00:00,0,1,0,1,-1.083758,265,22,160,31,0,3,4,4,-4.255115,2.916329,7.914344,2.916329,7.171444,4,11,5.1227,0,2,3,3,-3.476032,2.296415,6.515347,2.296415,5.7724470000000005,3,8,3.3848000000000003,Getafe,0.0767,0.2378,0.6855,h,0.704397,0.619457,0.704397,0.619457,6,4,1,0,1.3839,w,2014-09-28 11:00:00,1,0,0,3,0.08494,226,20,152,25,2,4,0,6,-4.403017,3.634282,9.523467,3.634282,8.037299,3,10,3.8808,2,3,0,6,-3.159772,2.960317,7.606257,2.960317,6.120088999999999,2,7,3.3948,Malaga,0.3317,0.3888,0.2795
7,h,0.395949,1.41292,0.395949,0.669641,2,11,1,2,0.414,l,2014-10-18 21:00:00,0,0,1,0,-0.273692,132,35,254,39,0,4,4,4,-4.5288070000000005,3.312278,9.327264,3.312278,7.841085,5,13,5.5367,0,3,2,2,-3.4771,1.928708,6.891986999999999,1.928708,5.405808,3,9,2.6914,Malaga,0.0653,0.2181,0.7166,h,2.2003,0.851565,1.45702,0.851565,9,3,2,1,2.4145,w,2014-10-04 21:00:00,1,0,0,3,0.605455,186,26,209,25,2,2,3,9,-2.342382,6.817516,8.432611000000001,5.191239,7.533621,5,7,8.568200000000001,1,1,3,6,-1.7012650000000002,4.364485999999999,5.322471,3.621206,5.322471,4,4,6.3293,Granada,0.7458,0.1771,0.0771
8,h,2.09938,0.967731,2.09938,0.967731,5,1,1,1,2.5741,d,2014-10-25 21:00:00,0,1,0,1,1.131649,126,30,209,27,0,4,5,5,-3.397158000000001,5.411657999999999,10.294995,5.411657999999999,8.808816,6,14,8.1108,0,2,3,3,-1.3488220000000002,3.126157,5.218258,3.126157,4.474979,3,7,4.963,Real Sociedad,0.8004,0.1729,0.0267,h,1.29417,1.19816,1.29417,1.19816,3,3,1,2,1.4467,l,2014-10-20 19:45:00,0,0,1,0,0.0960100000000001,145,28,268,29,1,5,2,5,-1.925867,9.483524,11.409390999999998,9.483524,11.409390999999998,9,13,9.7428,0,4,1,1,-1.3074119999999996,4.466891,5.774303,4.466891,5.774303,3,8,5.8824,Getafe,0.3748,0.3223,0.3029
9,a,0.785648,1.77353,0.785648,1.77353,0,8,2,4,0.6176999999999999,l,2014-11-01 17:00:00,0,0,1,0,-0.987882,294,18,208,37,0,5,5,5,-4.385040000000001,6.197305999999999,12.068525,6.197305999999999,10.582346,8,18,8.728499999999999,0,2,3,3,-1.1890910000000003,3.795138,5.727508,3.795138,4.984229000000001,5,8,5.2107,Atletico Madrid,0.1238,0.2463,0.6299,a,1.57745,0.42457,1.57745,0.42457,6,2,1,0,2.4126000000000003,w,2014-10-26 20:00:00,1,0,0,3,1.15288,174,28,277,23,6,1,2,20,11.268704,17.603656,6.334946,16.117094,4.848389999999999,15,7,19.7687,4,1,0,12,7.696276000000001,11.791390000000002,2.608552,10.304828000000002,2.608552,9,3,12.7001,Getafe,0.736,0.2046,0.0594
