,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.673965,1.91721,0.673965,1.91721,4,9,1,3,0.486,l,2014-08-24 20:00:00,0,0,1,0,-1.243245,310,25,199,37,0,1,0,0,-1.243245,0.673965,1.91721,0.673965,1.91721,1,3,0.486,0,1,0,0,-1.243245,0.673965,1.91721,0.673965,1.91721,1,3,0.486,Celta Vigo,0.0962,0.1974,0.7064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,1.31774,1.31079,1.31774,1.31079,3,4,1,0,1.3879,w,2014-08-29 19:00:00,1,0,0,3,0.00695,204,27,236,26,1,1,0,3,-1.236295,1.991705,3.228,1.991705,3.228,2,3,1.8739,1,1,0,3,-1.236295,1.991705,3.228,1.991705,3.228,2,3,1.8739,Almeria,0.3646,0.2941,0.3413,h,0.978788,0.399306,0.978788,0.399306,5,4,1,1,1.8794,d,2014-08-23 22:00:00,0,1,0,1,0.579482,140,21,237,15,0,0,1,1,0.579482,0.978788,0.399306,0.978788,0.399306,1,1,1.8794,0,0,1,1,0.579482,0.978788,0.399306,0.978788,0.399306,1,1,1.8794,Espanyol,0.51,0.3494,0.1406
2,a,0.30148,2.03978,0.30148,1.29676,0,3,0,2,0.1639,l,2014-09-14 18:00:00,0,0,1,0,-0.99528,261,17,192,26,1,2,0,3,-2.231575,2.2931850000000003,5.26778,2.2931850000000003,4.52476,2,5,2.0378,1,2,0,3,-2.231575,2.2931850000000003,5.26778,2.2931850000000003,4.52476,2,5,2.0378,Sevilla,0.0197,0.1048,0.8755,a,1.36011,0.945745,1.36011,0.945745,1,4,2,1,1.6688,w,2014-08-30 22:00:00,1,0,0,3,0.414365,167,25,253,36,1,0,1,4,-0.1626950000000001,2.53208,2.694775,2.53208,2.694775,3,2,2.5546,1,0,1,4,-0.1626950000000001,2.53208,2.694775,2.53208,2.694775,3,2,2.5546,Espanyol,0.4402,0.3482,0.2116
3,h,0.23474,1.54259,0.23474,0.799442,1,4,0,3,0.246,l,2014-09-22 19:45:00,0,0,1,0,-0.564702,224,28,303,23,1,3,0,3,-2.796277,2.527925,6.81037,2.527925,5.324202,2,8,2.2838,1,3,0,3,-2.796277,2.527925,6.81037,2.527925,5.324202,2,8,2.2838,Valencia,0.0281,0.1617,0.8102,h,1.86199,1.09215,1.86199,0.348999,7,5,3,1,2.0376000000000003,w,2014-09-14 16:00:00,1,0,0,3,1.512991,179,23,295,27,2,0,1,7,2.027731,5.579650000000001,3.3960800000000004,4.68066,2.6529290000000003,7,2,5.918,2,0,1,7,2.027731,5.579650000000001,3.3960800000000004,4.68066,2.6529290000000003,7,2,5.918,Espanyol,0.5865,0.2781,0.1354
4,a,0.40196,2.09364,0.40196,2.09364,5,4,0,2,0.2131,l,2014-09-25 19:00:00,0,0,1,0,-1.6916800000000003,156,32,298,43,1,4,0,3,-4.487957,2.929885,8.90401,2.929885,7.417842,2,10,2.4969,1,4,0,3,-4.487957,2.929885,8.90401,2.929885,7.417842,2,10,2.4969,Espanyol,0.0309,0.1204,0.8487,h,2.76188,0.446347,2.76188,0.446347,2,6,2,2,2.8963,d,2014-09-20 21:00:00,0,1,0,1,2.3155330000000003,264,33,99,18,0,2,2,2,-0.1913049999999998,5.199081,4.647235,4.45593,4.647235,5,8,5.3348,0,2,2,2,-0.1913049999999998,5.199081,4.647235,4.45593,4.647235,5,8,5.3348,Malaga,0.9518,0.0409,0.0073
5,h,0.704397,0.619457,0.704397,0.619457,6,4,1,0,1.3839,w,2014-09-28 11:00:00,1,0,0,3,0.08494,226,20,152,25,2,4,0,6,-4.403017,3.634282,9.523467,3.634282,8.037299,3,10,3.8808,2,3,0,6,-3.159772,2.960317,7.606257,2.960317,6.120088999999999,2,7,3.3948,Malaga,0.3317,0.3888,0.2795,h,0.278657,0.646364,0.278657,0.646364,4,7,0,0,0.8721,d,2014-09-24 21:00:00,0,1,0,1,-0.367707,293,31,96,21,1,1,3,6,-2.862897,3.997759,6.8766490000000005,3.114762,5.977659,3,5,4.9264,1,1,3,6,-2.862897,3.997759,6.8766490000000005,3.114762,5.977659,3,5,4.9264,Barcelona,0.1367,0.462,0.4013
6,h,1.4608,0.377042,1.4608,0.377042,1,0,1,1,2.2943,d,2014-10-03 20:00:00,0,1,0,1,1.083758,160,31,265,22,2,4,1,7,-3.319259,5.0950820000000006,9.900509,5.0950820000000006,8.414341,4,11,6.1751,1,3,1,4,-2.0829640000000005,3.103377,6.672509,3.103377,5.1863410000000005,2,8,4.3012,Cordoba,0.6855,0.2378,0.0767,h,0.137119,0.112527,0.137119,0.112527,1,1,0,0,1.137,d,2014-09-28 20:00:00,0,1,0,1,0.0245919999999999,55,9,88,16,0,3,3,3,-3.1713569999999995,2.539287,6.453544,2.539287,5.710644,3,10,4.6548,0,2,3,3,-2.937122,2.160877,5.840899,2.160877,5.097999000000001,3,8,3.6365,Espanyol,0.1186,0.7812,0.1002
7,a,1.19816,1.29417,1.19816,1.29417,3,3,2,1,1.231,w,2014-10-20 19:45:00,1,0,0,3,-0.0960100000000001,268,29,145,28,3,4,1,10,-3.4152690000000003,6.293242,11.194679,6.293242,9.708511,6,12,7.406099999999999,2,2,1,7,-1.1836940000000005,4.000057,5.926899000000001,4.000057,5.183751,4,7,5.3683,Real Sociedad,0.3029,0.3223,0.3748,a,0.481761,1.39473,0.481761,1.39473,3,1,0,2,0.5796,l,2014-10-05 18:00:00,0,0,1,0,-0.912969,156,24,226,30,1,4,2,5,-2.0218769999999995,8.189354,10.211230999999998,8.189354,10.211230999999998,8,11,8.2961,0,3,2,2,-2.9572519999999995,4.472841,7.430093,4.472841,7.430093,4,8,4.7996,Espanyol,0.1055,0.2631,0.6314
8,h,0.42457,1.57745,0.42457,1.57745,2,6,0,1,0.3828,l,2014-10-26 20:00:00,0,0,1,0,-1.15288,277,23,174,28,3,5,1,10,-4.568149,6.717812,12.772129,6.717812,11.285961,6,13,7.7889,2,2,1,7,-1.7718720000000006,4.189887,5.961759,4.189887,5.961759,4,5,5.5051000000000005,Atletico Madrid,0.0594,0.2046,0.736,h,4.12804,0.723748,4.12804,0.723748,11,3,2,0,2.9542,w,2014-10-19 11:00:00,1,0,0,3,3.4042920000000003,183,31,265,26,5,1,2,17,10.115824,16.026206000000002,5.910375999999999,14.539644,4.423819999999999,14,7,17.356099999999998,3,1,1,10,8.789190000000001,12.64262,3.110146,11.156058000000002,2.366868,10,5,12.7065,Espanyol,0.9784,0.019,0.0026
9,a,1.5836,0.760639,1.5836,0.760639,7,5,2,1,2.0412,w,2014-10-31 19:45:00,1,0,0,3,0.8229609999999999,240,43,145,21,4,5,1,13,-3.745188,8.301412000000001,13.532768,8.301412000000001,12.0466,8,14,9.8301,3,1,1,10,0.7427689999999997,5.371527,4.628758,5.371527,4.628758,6,4,7.3332,Deportivo La Coruna,0.5946,0.2574,0.148,a,0.0932128,0.410527,0.0932128,0.410527,0,3,0,0,0.8067,d,2014-10-26 16:00:00,0,1,0,1,-0.3173142,147,6,98,18,2,5,2,8,-5.5189392,8.0134258,12.04581,5.783590800000001,11.30253,11,19,10.473299999999998,1,3,1,4,-3.4787552,3.3136768,6.7924370000000005,2.5704018,6.049157,5,7,5.3933,Espanyol,0.0604,0.6255,0.3141
10,h,0.701376,0.891117,0.701376,0.891117,2,5,0,0,1.1265,d,2014-11-08 17:00:00,0,1,0,1,-0.189741,190,27,228,19,4,5,2,14,-3.934929,9.002788,14.423885,9.002788,12.937717,8,14,10.9566,2,1,2,8,0.4680879999999996,5.368506,4.900418000000001,5.368506,4.900418000000001,5,4,7.075799999999999,Elche,0.258,0.3525,0.3895,h,2.35234,2.01995,2.35234,1.27667,4,7,2,1,1.6144,w,2014-11-02 20:00:00,1,0,0,3,1.07567,215,25,148,23,2,6,2,8,-7.323208999999999,8.384348,18.680666,7.641074,14.964283,10,22,7.1963,1,3,1,4,-4.387633,4.241147,10.11534,4.241147,8.62878,5,9,2.9759,Espanyol,0.4521,0.2581,0.2898
11,a,0.580139,0.655779,0.580139,0.655779,7,9,1,2,1.2198,l,2014-11-23 20:00:00,0,0,1,0,-0.07564,245,30,206,30,4,6,2,14,-4.010569,9.582927000000002,15.079664,9.582927000000002,13.593496,9,16,12.1764,2,2,1,7,-0.6913100000000004,4.487844999999999,5.179155,4.487844999999999,5.179155,5,5,6.0013000000000005,Villarreal,0.2702,0.4092,0.3206,a,2.12387,0.926317,2.12387,0.926317,3,5,1,1,2.2978,d,2014-11-09 16:00:00,0,1,0,1,1.197553,178,41,140,34,4,4,3,15,9.839513,19.973366,10.877129,19.973366,10.133853,15,13,20.5316,2,2,1,7,6.150614,9.21796,3.810622,9.21796,3.067346,8,7,10.6969,Espanyol,0.6999,0.1981,0.102
12,h,0.704685,0.518302,0.704685,0.518302,0,2,1,2,1.4608,l,2014-11-29 15:00:00,0,0,1,0,0.1863829999999999,242,28,239,39,4,7,2,14,-3.824186,10.287612,15.597966,10.287612,14.111798,10,18,13.6372,1,3,1,4,-0.4089170000000003,3.99437,4.403287,3.99437,4.403287,4,6,6.2311,Athletic Club,0.3501,0.4105,0.2394,h,0.829053,0.746307,0.829053,0.746307,2,7,3,1,1.4047,w,2014-11-21 19:45:00,1,0,0,3,0.0827459999999999,230,32,279,37,4,5,3,15,-1.0511073000000006,12.5325637,13.723388,11.7892837,12.840391,10,13,16.6599,3,0,2,11,2.673181,5.611507,2.195046,4.868227,2.195046,6,2,9.2344,Espanyol,0.3398,0.3853,0.2749
13,a,0.24465,1.1169,0.24465,1.1169,3,2,1,1,0.5042,d,2014-12-08 18:00:00,0,1,0,1,-0.87225,177,17,225,31,4,7,3,15,-4.696436,10.532262,16.714866,10.532262,15.228698,11,19,14.1414,1,2,2,5,-0.1282870000000001,3.81445,3.942737,3.81445,3.942737,5,6,6.3525,Levante,0.0685,0.2987,0.6328,a,1.64662,1.12491,1.64662,1.12491,3,3,1,2,1.8197,l,2014-11-29 17:00:00,0,0,1,0,0.5217099999999999,151,18,88,23,3,7,3,12,-12.811324999999997,9.566721,24.607874,9.566721,22.378046,10,28,9.6649,2,2,1,7,-1.835872,5.512888,7.34876,5.512888,7.34876,6,8,5.5712,Espanyol,0.5148,0.2753,0.2099
14,h,0.11349,1.87156,0.11349,1.87156,0,14,0,0,0.1567,d,2014-12-13 15:00:00,0,1,0,1,-1.7580699999999998,420,24,110,26,4,7,4,16,-6.454506,10.645752000000002,18.586426,10.645752000000002,17.100258,11,19,14.298100000000002,0,2,3,3,-2.709318,2.34434,5.053658,2.34434,5.053658,3,5,4.468,Barcelona,0.0115,0.1222,0.8663,h,2.11804,0.223494,2.11804,0.223494,18,2,5,1,2.7155,w,2014-12-07 16:00:00,1,0,0,3,1.894546,100,26,415,17,11,2,1,34,26.7917523,36.349094,9.557341700000002,35.605814,8.8140617,36,7,34.5915,4,1,0,12,8.980833,12.734270000000002,3.753437,12.734270000000002,3.753437,13,4,12.5803,Espanyol,0.8674,0.1133,0.0193
15,a,0.923894,1.52366,0.923894,1.52366,3,10,1,1,0.7469,d,2014-12-21 16:00:00,0,1,0,1,-0.599766,218,18,198,35,4,7,5,17,-7.054272,11.569646000000002,20.110086,11.569646000000002,18.623918,12,20,15.045000000000002,0,2,3,3,-3.119343,2.566858,5.6862010000000005,2.566858,5.6862010000000005,4,6,4.0884,Granada,0.1447,0.3128,0.5425,a,0.699727,1.94193,0.699727,1.94193,1,6,1,2,0.4828,l,2014-12-14 11:00:00,0,0,1,0,-1.242203,140,32,267,20,2,7,6,12,-10.5205245,11.747709999999998,22.2682335,11.004428999999998,21.5249535,9,25,15.306799999999996,0,2,3,3,-2.9446325,5.643407000000001,7.8447585,4.900126,7.8447585,3,8,6.2258,Espanyol,0.0953,0.1969,0.7078
16,h,0.518609,2.5901,0.518609,2.5901,2,3,1,2,0.1859,l,2015-01-04 11:00:00,0,0,1,0,-2.071491,320,31,145,29,4,8,5,17,-9.125763,12.088255000000002,22.700186,12.088255000000002,21.214018,13,22,15.230900000000002,0,2,3,3,-5.115194,2.505328,7.620521999999999,2.505328,7.620521999999999,4,6,3.0545,Rayo Vallecano,0.029,0.0989,0.8721,h,1.37834,2.25875,1.37834,2.25875,2,4,1,3,0.727,l,2014-12-20 21:00:00,0,0,1,0,-0.8804100000000001,85,26,386,35,5,9,2,17,-10.637187,18.954032,30.334498,17.467481000000003,28.104668,17,31,17.1128,2,3,0,6,-2.842834,5.520429999999999,8.363264000000001,5.520429999999999,8.363264000000001,3,7,5.3005,Espanyol,0.1658,0.2296,0.6046
17,a,0.273647,0.857562,0.273647,0.857562,0,3,1,2,0.6636,l,2015-01-10 21:00:00,0,0,1,0,-0.5839150000000001,253,26,228,26,4,9,5,17,-9.709677999999998,12.361902000000002,23.557748,12.361902000000002,22.07158,14,24,15.894500000000004,0,2,3,3,-5.885492,2.07429,7.959781999999999,2.07429,7.959781999999999,4,6,2.2573,Eibar,0.0948,0.3792,0.526,a,1.53054,1.54932,1.53054,1.54932,2,9,2,1,1.3483,w,2015-01-04 18:00:00,1,0,0,3,-0.01878,201,27,182,30,6,6,5,23,-9.584505999999998,15.445096,25.77289200000001,14.701826,24.286332000000005,21,23,16.4815,3,1,1,10,-2.533197,4.628653,7.161849999999999,4.628653,7.161849999999999,8,4,4.5798000000000005,Espanyol,0.3529,0.2896,0.3575
18,h,0.544312,2.41204,0.544312,2.41204,5,8,0,3,0.2261,l,2015-01-18 11:00:00,0,0,1,0,-1.867728,329,23,205,35,4,10,5,17,-11.577405999999998,12.906214000000002,25.969788,12.906214000000002,24.48362,14,27,16.120600000000003,0,3,2,2,-6.88097,2.373952,9.254922,2.373952,9.254922,3,8,1.9792,Real Madrid,0.0338,0.1247,0.8415,a,2.41204,0.544312,2.41204,0.544312,8,5,3,0,2.6492,w,2015-01-18 11:00:00,1,0,0,3,1.867728,205,35,329,23,15,3,0,45,24.541969,46.260941,18.002589,40.314723,15.772754000000004,62,15,40.5031,4,1,0,12,6.3729,10.62341,3.507231,9.13685,2.76395,14,3,11.6699,Getafe,0.8415,0.1247,0.0338
19,h,2.05397,0.47185,1.31069,0.47185,4,5,2,1,2.5988,w,2015-01-26 19:45:00,1,0,0,3,0.8388399999999999,287,27,160,37,5,10,5,20,-10.738566,14.960184000000002,26.441638,14.216904,24.95547,16,28,18.719400000000004,1,3,1,4,-4.284059999999999,4.314432,7.855212,3.571152,7.855212,5,9,4.4213000000000005,Celta Vigo,0.8191,0.1415,0.0394,a,0.234731,1.11281,0.234731,1.11281,3,5,0,1,0.5062,l,2015-01-17 21:00:00,0,0,1,0,-0.878079,190,27,193,28,5,8,6,21,0.3887670000000005,24.591165000000004,24.2024,22.361332,21.972565,18,21,27.003400000000003,0,4,1,1,-0.2502049999999997,5.959687000000001,4.723337000000001,4.473132,4.723337000000001,1,5,7.4449,Espanyol,0.0694,0.298,0.6326
20,a,0.822826,1.93122,0.822826,1.93122,1,3,0,1,0.5649,l,2015-02-01 16:00:00,0,0,1,0,-1.108394,155,19,222,46,5,11,5,20,-11.84696,15.78301,28.372858,15.03973,26.88669,16,29,19.284300000000005,1,4,0,3,-4.792688000000001,4.213364,8.262772,3.470084,8.262772,4,9,4.2393,Almeria,0.1136,0.2241,0.6623,a,0.300551,2.44178,0.300551,2.44178,7,9,0,3,0.1415,l,2015-01-25 18:00:00,0,0,1,0,-2.141229,207,16,146,31,4,12,4,16,-11.436733500000004,18.5124515,28.46261800000001,16.2826095,27.71934300000001,17,33,20.8144,2,3,0,6,-2.7786510000000004,4.998573,7.777217999999999,4.255292,7.033943000000001,5,9,5.3638,Espanyol,0.0188,0.0851,0.8961
21,h,3.04719,0.401739,2.30391,0.401739,7,6,2,1,2.8888,w,2015-02-08 16:00:00,1,0,0,3,1.902171,190,23,155,23,6,11,5,23,-9.944789,18.8302,28.774597,17.34364,27.288429,18,30,22.173100000000005,2,3,0,6,-0.8190260000000005,6.741945,6.074411,5.255385,6.074411,5,8,6.9422,Sevilla,0.9492,0.0412,0.0096,a,2.47777,2.44168,2.47777,2.44168,14,13,1,2,1.3821,l,2015-02-04 19:45:00,0,0,1,0,0.0360900000000001,287,38,155,16,13,5,3,42,10.745724999999998,37.016646,24.784994,32.557611,21.811886,35,24,36.9436,3,2,0,9,3.2977200000000004,10.8035,7.505768000000001,9.316941,6.019221,9,7,8.9502,Real Madrid,0.3845,0.2286,0.3869
