,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.91996,0.522515,0.91996,0.522515,14,1,1,0,1.693,w,2015-08-22 22:30:00,1,0,0,3,0.397445,230,30,294,25,1,0,0,3,0.397445,0.91996,0.522515,0.91996,0.522515,1,0,1.693,1,0,0,3,0.397445,0.91996,0.522515,0.91996,0.522515,1,0,1.693,Las Palmas,0.4436,0.3622,0.1942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,1.2446,1.73824,1.2446,1.73824,6,8,3,0,1.0285,w,2015-08-30 22:30:00,1,0,0,3,-0.4936400000000001,265,25,134,20,2,0,0,6,-0.096195,2.16456,2.260755,2.16456,2.260755,4,0,2.7215,2,0,0,6,-0.096195,2.16456,2.260755,2.16456,2.260755,4,0,2.7215,Sevilla,0.2587,0.2524,0.4889,a,0.856601,0.98272,0.856601,0.98272,3,6,0,0,1.2439,d,2015-08-21 22:30:00,0,1,0,1,-0.1261190000000001,179,20,146,31,0,0,1,1,-0.1261190000000001,0.856601,0.98272,0.856601,0.98272,0,0,1.2439,0,0,1,1,-0.1261190000000001,0.856601,0.98272,0.856601,0.98272,0,0,1.2439,Malaga,0.3049,0.3292,0.3659
2,h,0.833737,2.33036,0.833737,2.33036,2,9,1,2,0.4176,l,2015-09-12 22:30:00,0,0,1,0,-1.4966230000000005,378,28,162,16,2,1,0,6,-1.5928180000000003,2.998297,4.591115,2.998297,4.591115,5,2,3.1391,2,1,0,6,-1.5928180000000003,2.998297,4.591115,2.998297,4.591115,5,2,3.1391,Barcelona,0.0848,0.1632,0.752,h,1.92171,0.223011,1.92171,0.223011,20,3,1,0,2.6354,w,2015-08-29 22:30:00,1,0,0,3,1.698699,90,18,274,29,2,0,0,6,2.32183,3.68312,0.61801,2.93984,0.61801,2,0,5.1746,2,0,0,6,2.32183,3.68312,0.61801,2.93984,0.61801,2,0,5.1746,Malaga,0.8324,0.1382,0.0294
3,a,1.72085,0.2857,1.72085,0.2857,8,4,2,0,2.5063,w,2015-09-19 22:30:00,1,0,0,3,1.43515,227,30,371,34,3,1,0,9,-0.1576680000000003,4.719147,4.876815000000001,4.719147,4.876815000000001,7,2,5.6454,3,1,0,9,-0.1576680000000003,4.719147,4.876815000000001,4.719147,4.876815000000001,7,2,5.6454,Eibar,0.775,0.1813,0.0437,a,0.885807,1.03596,0.885807,1.03596,5,3,0,0,1.2073,d,2015-09-13 22:30:00,0,1,0,1,-0.1501529999999999,199,31,148,31,2,0,1,7,1.056423,4.046117,2.246413,3.302836,2.246413,5,1,5.7958,2,0,1,7,1.056423,4.046117,2.246413,3.302836,2.246413,5,1,5.7958,Malaga,0.2854,0.3511,0.3635
4,h,1.48124,0.480381,1.48124,0.480381,5,1,2,0,2.2916000000000003,w,2015-09-22 22:00:00,1,0,0,3,1.000859,244,36,241,24,4,1,0,12,0.8431909999999996,6.200386999999999,5.357196000000001,6.200386999999999,5.357196000000001,9,2,7.937000000000001,4,1,0,12,0.8431909999999996,6.200386999999999,5.357196000000001,6.200386999999999,5.357196000000001,9,2,7.937000000000001,Getafe,0.682,0.2456,0.0724,h,1.18708,0.690557,1.18708,0.690557,4,5,1,0,1.7887,w,2015-09-18 22:30:00,1,0,0,3,0.4965229999999999,242,25,130,24,1,3,0,3,0.5824249999999999,4.1956,4.356324,4.1956,3.613175,3,6,5.5291,1,3,0,3,0.5824249999999999,4.1956,4.356324,4.1956,3.613175,3,6,5.5291,Malaga,0.492,0.3127,0.1953
5,a,0.466414,0.871094,0.466414,0.871094,6,5,0,1,0.8648,l,2015-09-26 22:30:00,0,0,1,0,-0.40468,314,29,256,21,4,2,0,12,0.4385109999999995,6.666801,6.228290000000001,6.666801,6.228290000000001,9,3,8.801800000000002,3,2,0,9,0.0410659999999994,5.746841,5.705775000000001,5.746841,5.705775000000001,8,3,7.1088,Villarreal,0.1657,0.3677,0.4666,a,0.933564,0.878256,0.933564,0.878256,5,10,1,0,1.4124,w,2015-09-24 00:00:00,1,0,0,3,0.0553079999999999,234,30,167,39,4,0,1,13,1.340609,7.260544,5.176654,6.517263,5.176654,11,4,8.620000000000001,4,0,1,13,1.340609,7.260544,5.176654,6.517263,5.176654,11,4,8.620000000000001,Malaga,0.36,0.3324,0.3076
6,h,2.38708,0.792017,1.6438,0.792017,4,6,1,1,2.6044,d,2015-10-04 22:30:00,0,1,0,1,0.851783,326,35,252,30,4,2,1,13,1.2902939999999994,9.053881,7.020307000000001,8.310601,7.020307000000001,10,4,11.406200000000002,2,2,1,7,1.3864889999999996,6.889321,4.759551999999999,6.146040999999999,4.759551999999999,6,4,8.6847,Real Madrid,0.8227,0.1363,0.041,h,3.18828,0.638418,3.18828,0.638418,18,4,0,0,2.7731,d,2015-09-26 20:15:00,0,1,0,1,2.549862,148,21,268,11,4,0,2,14,11.905143,18.2394,6.334265,17.49613,5.590987,14,1,15.2932,4,0,1,13,10.695681,16.69669,6.001017,15.95342,5.257739,14,1,12.9751,Malaga,0.9012,0.0695,0.0293
7,a,1.57864,0.485713,1.57864,0.485713,3,2,2,0,2.3771000000000004,w,2015-10-18 18:00:00,1,0,0,3,1.092927,253,24,192,28,5,2,1,16,2.383221,10.632521,7.50602,9.889241,7.50602,12,4,13.783300000000002,3,1,1,10,3.976039,7.634224,2.914905,6.890944,2.914905,7,2,10.6442,Real Sociedad,0.7224,0.2099,0.0677,a,1.04161,1.89707,1.04161,1.89707,3,2,1,3,0.7388999999999999,l,2015-10-04 00:05:00,0,0,1,0,-0.8554600000000001,150,24,289,30,1,3,3,6,2.995009,8.632073,6.380344,8.632073,5.637064,6,7,11.2312,1,3,1,4,1.994046,6.799502,5.548736,6.799502,4.805456,6,7,7.599200000000001,Malaga,0.1702,0.2283,0.6015
8,h,2.07582,0.885758,2.07582,0.14248,4,3,2,1,2.2518,w,2015-10-25 23:30:00,1,0,0,3,1.9333400000000005,289,53,186,21,6,2,1,19,4.316561,12.708341,8.391778,11.965061,7.6485,14,5,16.035100000000003,3,1,1,10,4.474229,7.989194,3.5149630000000003,7.245914,2.771685,7,3,10.3897,Valencia,0.6741,0.2295,0.0964,h,1.59507,1.53697,0.851924,0.793694,1,4,3,0,1.4243,w,2015-10-18 00:00:00,1,0,0,3,0.05823,192,22,224,42,3,2,3,12,2.524501,12.427497,9.903126,11.684351,9.15985,7,5,13.433,2,2,1,7,-0.4044510000000001,6.881726999999999,7.286308,6.138580999999999,6.543032,5,4,6.9556,Malaga,0.366,0.3263,0.3077
9,a,1.43617,0.917497,1.43617,0.917497,7,2,1,1,1.8109,d,2015-10-30 23:30:00,0,1,0,1,0.5186729999999999,239,24,391,25,6,2,2,20,4.835234,14.144511,9.309275,13.401231,8.565997,15,6,17.846000000000004,2,1,2,8,3.992043,7.944123999999999,3.952079,7.200844,3.208801,6,4,9.909,Deportivo La Coruna,0.4755,0.3844,0.1401,a,0.766533,1.06014,0.766533,1.06014,3,1,0,2,1.0457,l,2015-10-25 00:05:00,0,0,1,0,-0.293607,229,28,242,32,3,2,4,13,0.471601,9.453132000000002,8.981531,9.453132000000002,8.981531,14,11,12.1724,2,1,2,8,1.171539,5.112112,3.940573,5.112112,3.940573,8,6,7.497399999999999,Malaga,0.2361,0.3374,0.4265
