,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.477297,1.27636,0.477297,1.27636,2,1,1,0,0.4837,w,2015-08-22 20:30:00,1,0,0,3,-0.7990629999999999,292,28,127,29,1,0,0,3,-0.7990629999999999,0.477297,1.27636,0.477297,1.27636,1,0,0.4837,1,0,0,3,-0.7990629999999999,0.477297,1.27636,0.477297,1.27636,1,0,0.4837,Getafe,0.0732,0.2641,0.6627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.721424,1.59386,0.721424,1.59386,0,8,1,3,0.6122000000000001,l,2015-08-28 22:30:00,0,0,1,0,-0.8724360000000001,268,21,198,32,1,1,0,3,-1.6714989999999998,1.198721,2.87022,1.198721,2.87022,2,3,1.0959,1,1,0,3,-1.6714989999999998,1.198721,2.87022,1.198721,2.87022,2,3,1.0959,Villarreal,0.1196,0.2534,0.627,a,1.63096,1.4954,1.63096,1.4954,6,2,1,1,1.4909,d,2015-08-24 00:30:00,0,1,0,1,0.1355599999999999,157,29,74,32,0,0,1,1,0.1355599999999999,1.63096,1.4954,1.63096,1.4954,1,1,1.4909,0,0,1,1,0.1355599999999999,1.63096,1.4954,1.63096,1.4954,1,1,1.4909,Real Betis,0.397,0.2999,0.3031
2,h,1.47918,4.38766,1.47918,3.64439,7,10,0,6,0.1211,l,2015-09-12 18:00:00,0,0,1,0,-2.16521,290,33,263,19,1,2,0,3,-3.836709,2.677901,7.25788,2.677901,6.514609999999999,2,9,1.217,1,2,0,3,-3.836709,2.677901,7.25788,2.677901,6.514609999999999,2,9,1.217,Real Madrid,0.0213,0.0572,0.9215,h,3.14512,0.941159,3.14512,0.197881,11,3,5,0,2.7235,w,2015-08-30 00:30:00,1,0,0,3,2.947239,126,22,335,13,1,0,1,4,4.156701,4.68783,1.274407,4.68783,0.531129,5,0,5.0416,1,0,1,4,4.156701,4.68783,1.274407,4.68783,0.531129,5,0,5.0416,Real Betis,0.8771,0.0922,0.0307
3,a,1.89499,1.35321,1.15171,1.35321,2,3,3,2,1.7963,w,2015-09-20 00:00:00,1,0,0,3,-0.2015,215,25,229,24,2,2,0,6,-4.038209,4.572891,8.61109,3.829611,7.867819999999999,5,11,3.0133,2,2,0,6,-4.038209,4.572891,8.61109,3.829611,7.867819999999999,5,11,3.0133,Real Sociedad,0.5091,0.269,0.2219,a,0.663712,0.75201,0.663712,0.75201,11,1,0,1,1.209,l,2015-09-13 00:00:00,0,0,1,0,-0.0882979999999999,133,24,205,26,0,1,2,2,0.912665,2.496283,1.583618,2.496283,1.583618,0,1,4.840999999999999,0,1,2,2,0.912665,2.496283,1.583618,2.496283,1.583618,0,1,4.840999999999999,Real Betis,0.2785,0.3735,0.348
4,h,1.87389,0.777547,1.87389,0.777547,11,1,1,0,2.2276,w,2015-09-22 22:00:00,1,0,0,3,1.096343,235,32,163,29,3,2,0,9,-2.941866,6.4467810000000005,9.388637,5.703501,8.645366999999998,6,11,5.2409,3,2,0,9,-2.941866,6.4467810000000005,9.388637,5.703501,8.645366999999998,6,11,5.2409,Valencia,0.6718,0.2122,0.116,h,1.81097,0.190749,1.81097,0.190749,10,0,0,0,2.6089,d,2015-09-19 20:15:00,0,1,0,1,1.620221,99,26,245,19,1,0,3,6,4.549173,7.35674,2.807567,7.35674,2.807567,2,1,9.0863,1,0,3,6,4.549173,7.35674,2.807567,7.35674,2.807567,2,1,9.0863,Real Betis,0.8174,0.1567,0.0259
5,a,0.259334,1.89137,0.259334,1.89137,3,2,0,3,0.2093,l,2015-09-27 18:00:00,0,0,1,0,-1.632036,210,15,270,19,3,3,0,9,-4.573902,6.7061150000000005,11.280007,5.962835,10.536737,6,14,5.4502,2,3,0,6,-3.774839,6.228818,10.003647,5.485538,9.260377,5,14,4.9665,Deportivo La Coruna,0.0256,0.1325,0.8419,a,0.264158,1.11886,0.264158,1.11886,4,5,2,1,0.5256,w,2015-09-25 00:05:00,1,0,0,3,-0.854702,310,32,142,25,2,1,2,8,-1.55464,4.605178,6.159818,4.605178,6.159818,8,6,5.2006,2,1,2,8,-1.55464,4.605178,6.159818,4.605178,6.159818,8,6,5.2006,Real Betis,0.0769,0.2949,0.6282
6,h,2.00148,1.6289,1.2582,1.6289,14,1,1,2,1.6879,l,2015-10-03 22:30:00,0,0,1,0,-0.3707,263,36,256,33,3,4,0,9,-4.944602000000001,8.707595000000001,12.908907,7.221035,12.165636999999998,7,16,7.1381,2,3,0,6,-3.2731030000000008,7.508874,10.038687,6.022314,9.295417,5,13,6.042199999999999,Sporting Gijon,0.4687,0.2818,0.2495,h,1.75847,1.65258,1.75847,1.65258,1,8,1,2,1.4247,l,2015-09-27 14:00:00,0,0,1,0,0.10589,187,30,293,21,1,3,2,5,-2.953918,5.610386,9.307574,5.610386,8.564304,5,7,5.771500000000001,1,3,1,4,-1.744456,5.277138,7.764863999999999,5.277138,7.021594,5,7,5.3227,Real Betis,0.3869,0.264,0.3491
7,a,1.85292,1.86579,1.85292,1.86579,4,9,3,1,1.3824,w,2015-10-18 00:05:00,1,0,0,3,-0.0128700000000001,224,34,160,40,4,4,0,12,-4.957472000000001,10.560515,14.774697000000002,9.073955,14.031427,10,17,8.5205,3,2,0,9,-1.1207630000000002,7.882614,7.516817,6.396054,7.516817,8,8,7.3035,Real Betis,0.3739,0.2607,0.3654,a,1.68781,1.2884,1.68781,1.2884,6,8,2,0,1.7061000000000002,w,2015-10-04 14:00:00,1,0,0,3,0.39941,254,24,99,34,3,2,2,11,-3.4664999999999995,7.838567999999999,10.56179,7.095289999999999,10.56179,7,9,8.2423,3,1,1,10,-0.3837009999999999,5.402009,5.785710000000001,5.402009,5.785710000000001,6,3,6.8488,Rayo Vallecano,0.4762,0.2775,0.2463
8,a,1.41105,1.85851,0.667772,1.11561,2,4,0,3,0.9554,l,2015-10-23 22:30:00,0,0,1,0,-0.4478379999999999,327,18,150,33,4,5,0,12,-5.405310000000001,11.971565,16.633207000000002,9.741727,15.147037,10,20,9.4759,2,3,0,6,-1.367101,7.398674,8.022117000000001,5.912116,7.279217000000001,5,9,6.462599999999999,Rayo Vallecano,0.2187,0.2993,0.482,a,2.83637,4.61543,2.83637,3.129,9,3,2,5,0.5107,l,2015-10-17 22:30:00,0,0,1,0,-0.2926299999999999,261,31,292,29,2,5,1,7,-3.4139622000000003,11.1233178,16.023722,10.3800478,13.79401,8,17,7.9638,2,3,0,6,0.473605,9.731847,10.001402,8.988577000000001,8.514972,7,11,7.2142,Barcelona,0.1273,0.1288,0.7439
9,h,1.71942,0.680785,1.71942,0.680785,4,3,1,1,2.3948,d,2015-11-01 19:00:00,0,1,0,1,1.038635,133,31,189,45,4,5,1,13,-4.366675000000001,13.690985,17.313992000000002,11.461147,15.827822,11,21,11.8707,1,3,1,4,-1.424809,7.244204,7.925355000000001,5.757645999999999,7.182455000000001,5,10,6.6298,Granada,0.7245,0.2213,0.0542,h,1.06647,1.11054,1.06647,0.36726,2,4,1,1,1.2302,d,2015-10-24 20:15:00,0,1,0,1,0.6992100000000001,237,33,137,25,1,5,3,6,-4.772729000000001,10.54425,15.31711,9.801101,14.57383,9,17,9.1765,0,2,3,3,-1.6444610000000004,5.790819999999999,8.178560999999998,5.790819999999999,7.435280999999999,5,9,5.3756,Real Betis,0.2976,0.3374,0.365
