,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.98272,0.856601,0.98272,0.856601,6,3,0,0,1.4269,d,2015-08-21 22:30:00,0,1,0,1,0.1261190000000001,146,31,179,20,0,0,1,1,0.1261190000000001,0.98272,0.856601,0.98272,0.856601,0,0,1.4269,0,0,1,1,0.1261190000000001,0.98272,0.856601,0.98272,0.856601,0,0,1.4269,Sevilla,0.3659,0.3292,0.3049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.223011,1.92171,0.223011,1.92171,3,20,0,1,0.2264,l,2015-08-29 22:30:00,0,0,1,0,-1.698699,274,29,90,18,0,1,1,1,-1.57258,1.205731,2.778311,1.205731,2.778311,0,1,1.6533,0,1,1,1,-1.57258,1.205731,2.778311,1.205731,2.778311,0,1,1.6533,Barcelona,0.0294,0.1382,0.8324,a,1.76141,0.394999,1.01813,0.394999,5,5,1,0,2.5392,w,2015-08-23 20:30:00,1,0,0,3,0.623131,126,19,446,27,1,0,0,3,0.623131,1.76141,0.394999,1.01813,0.394999,1,0,2.5392,1,0,0,3,0.623131,1.76141,0.394999,1.01813,0.394999,1,0,2.5392,Athletic Club,0.7913,0.1653,0.0434
2,h,1.03596,0.885807,1.03596,0.885807,3,5,0,0,1.4416,d,2015-09-13 22:30:00,0,1,0,1,0.1501529999999999,148,31,199,31,0,1,2,2,-1.422427,2.2416910000000003,3.664118,2.2416910000000003,3.664118,0,1,3.0949,0,1,2,2,-1.422427,2.2416910000000003,3.664118,2.2416910000000003,3.664118,0,1,3.0949,Eibar,0.3635,0.3511,0.2854,h,1.34808,0.316867,0.604799,0.316867,4,6,2,0,2.3968000000000003,w,2015-08-30 20:30:00,1,0,0,3,0.2879319999999999,272,28,182,29,2,0,0,6,1.206576,3.16031,1.210453,2.417029,1.210453,5,1,4.5885,2,0,0,6,1.206576,3.16031,1.210453,2.417029,1.210453,5,1,4.5885,Athletic Club,0.7238,0.2254,0.0508
3,a,0.690557,1.18708,0.690557,1.18708,5,4,0,1,0.8986,l,2015-09-18 22:30:00,0,0,1,0,-0.4965229999999999,130,24,242,25,0,2,2,2,-1.91895,2.9322480000000004,4.851198,2.9322480000000004,4.851198,0,2,3.9935,0,2,2,2,-1.91895,2.9322480000000004,4.851198,2.9322480000000004,4.851198,0,2,3.9935,Getafe,0.1953,0.3127,0.492,a,0.930841,1.91225,0.930841,1.91225,1,7,1,3,0.6074999999999999,l,2015-09-13 18:00:00,0,0,1,0,-0.981409,223,33,195,27,0,3,0,0,0.0859019999999999,3.00852,3.665767,3.00852,2.922618,2,6,3.7404,0,3,0,0,0.0859019999999999,3.00852,3.665767,3.00852,2.922618,2,6,3.7404,Athletic Club,0.1237,0.2364,0.6399
4,h,0.878256,0.933564,0.878256,0.933564,10,5,0,1,1.2552,l,2015-09-24 00:00:00,0,0,1,0,-0.0553079999999999,167,39,234,30,0,3,2,2,-1.974258,3.810504,5.784762,3.810504,5.784762,0,3,5.2487,0,3,2,2,-1.974258,3.810504,5.784762,3.810504,5.784762,0,3,5.2487,Villarreal,0.3076,0.3324,0.36,h,1.61474,1.26405,0.871459,1.26405,8,2,3,1,1.6351,w,2015-09-20 20:15:00,1,0,0,3,-0.3925909999999999,221,33,146,17,3,0,1,10,1.285301,6.326980000000001,4.298398,5.583699,4.298398,10,4,7.207600000000001,3,0,1,10,1.285301,6.326980000000001,4.298398,5.583699,4.298398,10,4,7.207600000000001,Athletic Club,0.4464,0.2959,0.2577
5,a,0.638418,3.18828,0.638418,3.18828,4,18,0,0,0.1574,d,2015-09-26 20:15:00,0,1,0,1,-2.549862,268,11,148,21,0,3,3,3,-4.524119999999999,4.4489220000000005,8.973042,4.4489220000000005,8.973042,0,3,5.4061,0,3,2,2,-4.650238999999999,3.466202,8.116440999999998,3.466202,8.116440999999998,0,3,3.9792,Real Madrid,0.0293,0.0695,0.9012,a,2.93805,1.17616,2.93805,1.17616,11,12,2,1,2.4789,w,2015-09-23 23:00:00,1,0,0,3,1.76189,224,18,345,37,4,0,1,13,9.355281,15.05112,5.6958470000000005,14.30785,4.952569,14,1,12.5201,4,0,1,13,9.355281,15.05112,5.6958470000000005,14.30785,4.952569,14,1,12.5201,Athletic Club,0.7781,0.1446,0.0773
6,h,1.89707,1.04161,1.89707,1.04161,2,3,3,1,2.0328,w,2015-10-04 00:05:00,1,0,0,3,0.8554600000000001,289,30,150,24,1,3,3,6,-3.668659999999999,6.345992000000001,10.014652,6.345992000000001,10.014652,3,4,7.438899999999999,1,2,2,5,-2.09608,5.140261,7.236340999999999,5.140261,7.236340999999999,3,3,5.7856,Real Sociedad,0.6015,0.2283,0.1702,h,1.08705,0.611548,1.08705,0.611548,4,5,0,0,1.856,d,2015-09-27 22:30:00,0,1,0,1,0.4755020000000001,196,30,163,34,1,2,3,6,3.850469,7.590463,4.483274,7.590463,3.739994,5,4,10.4923,1,2,2,5,3.4803390000000003,6.645584999999999,3.908526,6.645584999999999,3.165246,5,4,8.832,Athletic Club,0.5087,0.3299,0.1614
7,a,1.53697,1.59507,0.793694,0.851924,4,1,0,3,1.2493999999999998,l,2015-10-18 00:00:00,0,0,1,0,-0.05823,224,42,192,22,1,4,3,6,-3.726889999999999,7.882962000000001,11.609722,7.139686000000001,10.866576,3,7,8.6883,1,3,1,4,-2.3044629999999997,5.641271000000001,7.945603999999999,4.897995000000001,7.202458,3,6,5.593399999999999,Valencia,0.3077,0.3263,0.366,a,0.61804,2.69373,0.61804,2.69373,5,9,1,3,0.1768,l,2015-10-04 18:00:00,0,0,1,0,-2.07569,226,19,266,34,2,2,3,9,2.466271,10.832427,8.366156,10.832427,8.366156,4,5,12.0087,2,2,1,7,-0.081641,6.772716999999999,6.854358,6.772716999999999,6.854358,3,4,7.2005,Athletic Club,0.0282,0.0922,0.8796
8,h,1.06014,0.766533,1.06014,0.766533,1,3,2,0,1.6169,w,2015-10-25 00:05:00,1,0,0,3,0.293607,242,32,229,28,2,4,3,9,-3.433282999999999,8.943102000000001,12.376255,8.199826000000002,11.633109,5,7,10.3052,2,2,1,7,-1.5143329999999993,6.010854,7.525056999999999,5.267578,6.781911,5,5,6.3117,Deportivo La Coruna,0.4265,0.3374,0.2361,h,1.24801,0.676596,1.24801,0.676596,8,2,2,2,1.8513,d,2015-10-18 22:30:00,0,1,0,1,0.5714140000000001,184,27,257,36,3,1,4,13,0.7652080000000001,8.686599000000001,7.921391,8.686599000000001,7.921391,14,9,11.1267,2,1,2,8,0.672957,5.177440000000001,4.5044830000000005,5.177440000000001,4.5044830000000005,10,7,7.1036,Athletic Club,0.5095,0.3228,0.1677
9,a,0.482096,1.51083,0.482096,1.51083,4,6,0,1,0.4740999999999999,l,2015-11-01 21:15:00,0,0,1,0,-1.0287339999999998,146,25,282,21,2,5,3,9,-4.462016999999999,9.425198000000002,13.887085,8.681922000000002,13.143939,5,8,10.7793,2,2,1,7,-2.487759,5.614694,8.102322999999998,4.871418,7.359176999999999,5,5,5.5306,Sporting Gijon,0.079,0.2371,0.6839,a,0.15924,2.81541,0.15924,1.93168,2,7,0,3,0.033,l,2015-10-26 23:30:00,0,0,1,0,-1.77244,253,27,254,26,2,4,3,9,-5.478318,8.790486000000001,16.639084,8.790486000000001,14.268804,10,14,7.423100000000002,1,3,1,4,-4.049172,5.471308,11.89076,5.471308,9.52048,7,11,3.1672,Athletic Club,0.0022,0.0264,0.9714
