,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.693517,2.20399,0.693517,2.20399,1,4,0,0,0.2485,d,2015-08-23 00:30:00,0,1,0,1,-1.5104730000000002,174,34,264,27,0,0,1,1,-1.5104730000000002,0.693517,2.20399,0.693517,2.20399,0,0,0.2485,0,0,1,1,-1.5104730000000002,0.693517,2.20399,0.693517,2.20399,0,0,0.2485,Valencia,0.0298,0.1591,0.8111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.0816438,1.7022,0.0816438,0.958918,0,14,0,3,0.1342,l,2015-08-30 00:00:00,0,0,1,0,-0.8772742,423,14,199,32,0,1,1,1,-2.3877472,0.7751608000000001,3.90619,0.7751608000000001,3.1629080000000003,0,3,0.3827,0,1,1,1,-2.3877472,0.7751608000000001,3.90619,0.7751608000000001,3.1629080000000003,0,3,0.3827,Celta Vigo,0.0079,0.1105,0.8816,a,1.80598,0.485771,1.80598,0.485771,17,1,2,1,2.5315,w,2015-08-24 00:00:00,1,0,0,3,1.320209,117,29,340,12,1,0,0,3,1.320209,1.80598,0.485771,1.80598,0.485771,2,1,2.5315,1,0,0,3,1.320209,1.80598,0.485771,1.80598,0.485771,2,1,2.5315,Levante,0.7871,0.1702,0.0427
2,h,0.61631,2.11613,0.61631,2.11613,3,5,1,3,0.3669,l,2015-09-14 22:30:00,0,0,1,0,-1.4998200000000002,133,15,355,31,0,2,1,1,-3.8875672,1.3914708,6.022320000000001,1.3914708,5.279038,1,6,0.7496,0,2,1,1,-3.8875672,1.3914708,6.022320000000001,1.3914708,5.279038,1,6,0.7496,Deportivo La Coruna,0.0669,0.1662,0.7669,a,0.818281,1.85572,0.818281,1.85572,5,5,1,1,0.5631,d,2015-08-30 22:30:00,0,1,0,1,-1.037439,228,28,182,23,0,0,2,2,-1.407569,1.393029,2.800598,1.393029,2.800598,1,1,1.5562,0,0,2,2,-1.407569,1.393029,2.800598,1.393029,2.800598,1,1,1.5562,Valencia,0.114,0.2211,0.6649
3,a,1.77993,0.401504,1.77993,0.401504,5,5,1,0,2.5359000000000003,w,2015-09-20 22:30:00,1,0,0,3,1.378426,201,38,155,23,1,2,1,4,-2.5091412,3.1714008,6.423824000000001,3.1714008,5.680542,2,6,3.2855000000000003,1,2,1,4,-2.5091412,3.1714008,6.423824000000001,3.1714008,5.680542,2,6,3.2855000000000003,Las Palmas,0.7912,0.1623,0.0465,a,1.29875,3.52742,1.29875,2.78415,6,20,3,3,0.2532,d,2015-09-13 20:15:00,0,1,0,1,-1.4853999999999998,376,19,180,45,0,1,2,2,-1.1260403,2.646666,4.5159763,2.646666,3.7727063,3,4,3.3164,0,1,2,2,-1.1260403,2.646666,4.5159763,2.646666,3.7727063,3,4,3.3164,Celta Vigo,0.0491,0.1059,0.845
4,h,2.90667,0.532738,2.1634,0.532738,8,2,2,1,2.8479,w,2015-09-23 22:00:00,1,0,0,3,1.630662,133,29,249,26,2,2,1,7,-0.8784792000000001,6.0780708,6.956562000000001,5.3348008,6.21328,4,7,6.1334,2,2,1,7,-0.8784792000000001,6.0780708,6.956562000000001,5.3348008,6.21328,4,7,6.1334,Sporting Gijon,0.9289,0.0612,0.0099,a,1.62405,0.831861,1.62405,0.831861,2,10,3,2,2.1027,w,2015-09-20 18:00:00,1,0,0,3,0.792189,232,25,162,30,1,1,2,5,-1.4291459999999998,3.319178,4.748324,3.319178,4.748324,3,3,4.2559000000000005,1,1,2,5,-1.4291459999999998,3.319178,4.748324,3.319178,4.748324,3,3,4.2559000000000005,Deportivo La Coruna,0.6191,0.2454,0.1355
5,a,0.920477,2.76392,0.920477,2.76392,2,12,2,3,0.3033,l,2015-09-26 22:30:00,0,0,1,0,-1.843443,197,35,222,26,2,3,1,7,-2.7219222000000003,6.9985478,9.720482,6.2552778,8.9772,6,10,6.4367,2,3,0,6,-1.2114492000000003,6.3050308,7.516491999999999,5.5617608,6.773210000000001,6,10,6.1882,Sevilla,0.058,0.1293,0.8127,a,1.53528,1.02387,1.53528,1.02387,9,2,0,2,1.7436,l,2015-09-24 00:00:00,0,0,1,0,0.5114099999999999,142,39,238,22,0,3,2,2,1.3542739999999998,6.542934,5.1886600000000005,6.542934,5.1886600000000005,2,8,7.7375,0,3,2,2,1.3542739999999998,6.542934,5.1886600000000005,6.542934,5.1886600000000005,2,8,7.7375,Las Palmas,0.4909,0.2709,0.2382
6,h,1.2884,1.68781,1.2884,1.68781,8,6,0,2,1.0164,l,2015-10-04 14:00:00,0,0,1,0,-0.39941,99,34,254,24,2,4,1,7,-3.1213322000000003,8.2869478,11.408292,7.5436778,10.66501,6,12,7.4531,2,3,0,6,-0.7335850000000004,7.511787000000001,7.502102,6.768517,7.502102,6,9,7.0704,Real Betis,0.2463,0.2775,0.4762,a,1.65258,1.75847,1.65258,1.75847,8,1,2,1,1.3113,w,2015-09-27 14:00:00,1,0,0,3,-0.10589,293,21,187,30,2,2,2,8,-3.86591,6.150758,9.27339,5.40748,9.27339,5,9,6.5362,2,2,1,7,-3.73035,4.655358,7.64243,3.91208,7.64243,4,8,5.327,Sporting Gijon,0.3491,0.264,0.3869
7,a,2.83637,4.61543,2.83637,3.129,9,3,2,5,0.5107,l,2015-10-17 22:30:00,0,0,1,0,-0.2926299999999999,261,31,292,29,2,5,1,7,-3.4139622000000003,11.1233178,16.023722,10.3800478,13.79401,8,17,7.9638,2,3,0,6,0.473605,9.731847,10.001402,8.988577000000001,8.514972,7,11,7.2142,Barcelona,0.1273,0.1288,0.7439,a,3.86997,1.57705,3.12669,1.57705,20,8,1,2,2.6118,l,2015-10-03 18:00:00,0,0,1,0,1.54964,136,24,252,27,5,2,0,15,9.46808,19.89103,6.70682,16.1749,6.70682,12,9,17.5326,3,2,0,9,7.14625,16.20791,6.08881,13.23506,6.08881,10,9,12.358000000000002,Sevilla,0.8365,0.1023,0.0612
8,h,1.85851,1.41105,1.11561,0.667772,4,2,3,0,1.7453,w,2015-10-23 22:30:00,1,0,0,3,0.4478379999999999,150,33,327,18,3,5,1,10,-2.9661242000000003,12.9818278,17.434772,11.4956578,14.461782,11,17,9.7091,2,3,0,6,-0.4569830000000001,9.810427,11.010948,8.324257000000001,8.78124,9,11,6.4236,Espanyol,0.482,0.2993,0.2187,a,1.85292,1.86579,1.85292,1.86579,4,9,3,1,1.3824,w,2015-10-18 00:05:00,1,0,0,3,-0.0128700000000001,224,34,160,40,4,4,0,12,-4.957472000000001,10.560515,14.774697000000002,9.073955,14.031427,10,17,8.5205,3,2,0,9,-1.1207630000000002,7.882614,7.516817,6.396054,7.516817,8,8,7.3035,Real Betis,0.3739,0.2607,0.3654
9,a,0.502135,1.26188,0.502135,1.26188,3,5,0,1,0.7130000000000001,l,2015-11-01 15:00:00,0,0,1,0,-0.7597449999999999,96,13,251,40,3,6,1,10,-3.7258692,13.4839628,18.696652,11.9977928,15.723662,11,18,10.4221,1,4,0,3,-2.84739,7.405892,11.74009,6.662992,9.510382,7,11,4.2887,Eibar,0.1384,0.2978,0.5638,a,1.30132,1.64662,1.30132,1.64662,3,10,1,3,1.0927,l,2015-10-25 21:15:00,0,0,1,0,-0.3452999999999999,352,26,95,23,3,2,4,13,0.0175010000000003,10.646852,9.88607,9.903571,9.88607,12,10,13.4653,1,1,3,6,0.3962280000000001,6.315035,5.918806999999999,6.315035,5.918806999999999,7,7,7.3571,Barcelona,0.2651,0.2974,0.4375
